Time,Down,Type,Yards,Details,Montreal,Hamilton
04:48,3,Punt,3,Justin Medlock punts for 35 yards to Mtl20. Chris Rainey return for 3 yards to Mtl23. Tackled by Arnaud Gascon-Nadon.,6,14
04:21,1,Rush,4,Tyrell Sutton rush for 4 yards to the Mtl27. Tackled by Eric Norwood.,6,14
03:45,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,6,14
03:32,3,Punt,15,Sean Whyte punts for 45 yards to Ham38. Brandon Banks return for 15 yards to Ham53. Tackled by Samuel Fournier.,6,14
03:06,1,Rush,13,Zach Collaros rush for 13 yards to the Mtl44. Tackled by Bear Woods.,6,14
02:15,1,Rush,4,Nic Grigsby rush for 4 yards to the Mtl40. Tackled by John Bowman.,6,14
01:36,2,Pass,11,Zach Collaros pass to Luke Tasker for 11 yards to the Mtl29. Tackled by Bear Woods.,6,14
01:18,1,Rush,6,Nic Grigsby rush for 6 yards to the Mtl23. Tackled by Kyries Hebert.,6,14
00:39,2,Pass,8,Zach Collaros pass to Luke Tasker for 8 yards to the Mtl15. Tackled by Chip Cox.,6,14
00:01,1,Rush,7,Zach Collaros rush for 7 yards to the Mtl8. Tackled by Bear Woods.,6,14
15:00,2,Rush,3,Zach Collaros rush for 3 yards to the Mtl5. Tackled by Brian Brikowski.,6,14
14:20,0,Holding,-10,Penalty: Holding on Hamilton (Mike Filer) -10 yards.,6,14
13:51,1,Pass,10,Zach Collaros pass to Bakari Grant for 10 yards to the Mtl5. Tackled by Chip Cox.,6,14
13:11,0,Pass Interference,-10,Penalty: Pass Interference on Hamilton (Luke Tasker) -10 yards.,6,14
12:29,2,Pass,15,Zach Collaros pass to Brandon Banks for 15 yards for a TOUCHDOWN.,6,20
12:08,0,Made Extra Point,0,Justin Medlock extra point is good.,6,21
12:08,0,Kickoff,20,Justin Medlock kicks off to the Mtl5. Chris Rainey return for 20 yards to Mtl25. Tackled by Marc Beswick.,6,21
12:02,1,Pass,10,Jonathan Crompton pass to Duron Carter for 10 yards to the Mtl35. Tackled by Rico Murray.,6,21
11:42,1,Rush,-5,Tyrell Sutton rush for a loss of 5 yards to the Mtl30. Tackled by Simoni Lawrence.,6,21
10:59,2,Pass,9,Jonathan Crompton pass to Chris Rainey for 9 yards to the Mtl39. Tackled by Taylor Reed.,6,21
10:31,3,No Yards,23,Sean Whyte punts for 28 yards to Ham43. Penalty: No Yards on Montreal (James Tuck) -5 yards.,6,21
10:13,1,Fumble,-2,"Sack at Ham46 for a loss of 2 yards by Scott Paxson. FUMBLE, recovered by Mtl (John Bowman). Tackled by Joel Figueroa.",6,21
09:51,1,Pass,25,Jonathan Crompton pass to Brandon London for 25 yards to the Ham21. Tackled by Craig Butler.,6,21
09:05,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Eric Deslauriers.,6,21
08:44,2,Pass,16,Jonathan Crompton pass to S.J. Green for 16 yards to the Ham5. Tackled by Rico Murray.,6,21
08:20,1,Rush,0,Jonathan Crompton rush for no gain to the Ham5. Tackled by Simoni Lawrence.,6,21
07:40,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,6,21
07:01,3,Missed Field Goal,12,Sean Whyte 12 yard field goal attempt is GOOD.,9,21
07:01,0,Kickoff,21,Sean Whyte kicks off to the Ham17. Brandon Banks return for 21 yards to Ham38. Tackled by Mike Edem.,9,21
06:54,1,Rush,2,Nic Grigsby rush for 2 yards to the Ham40. Tackled by Brian Brikowski.,9,21
06:18,2,Pass,46,Zach Collaros pass to Brandon Banks for 46 yards to the Mtl24. Tackled by Chip Cox.,9,21
05:21,1,Pass,4,Zach Collaros pass to Nic Grigsby for 4 yards to the Mtl20. Tackled by Jerald Brown.,9,21
04:40,2,Pass,14,Zach Collaros pass to Luke Tasker for 14 yards to the Mtl6. Tackled by Mike Edem.,9,21
03:36,1,Rush,6,Nic Grigsby rush for 6 yards for a TOUCHDOWN.,9,27
03:15,0,Made Extra Point,0,Justin Medlock extra point is good.,9,28
03:15,0,Holding,10,Justin Medlock kicks off to the Mtl3. Chris Rainey return for 20 yards to Mtl23. Penalty: Holding on Montreal (Eric Deslauriers) -10 yards.,9,28
03:02,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,9,28
02:43,2,Pass,19,Jonathan Crompton pass to S.J. Green for 19 yards to the Mtl32.,9,28
02:34,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Jeff Perrett) -5 yards.,9,28
02:32,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Chris Rainey.,9,28
02:30,2,Pass,20,Jonathan Crompton pass to Brandon London for 20 yards to the Mtl47. Tackled by Rico Murray.,9,28
02:22,1,Fumble,-7,"Sack at Mtl40 for a loss of 7 yards by Eric Norwood. FUMBLE, recovered by Mtl (Ryan White).",9,28
02:10,2,Pass,10,Jonathan Crompton pass to Chris Rainey for 10 yards to the Mtl50. Tackled by Simoni Lawrence.,9,28
01:57,3,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,9,28
01:42,1,Rush,0,Nic Grigsby rush for no gain to the Mtl50. Tackled by Scott Paxson.,9,28
01:30,2,Rush,8,Nic Grigsby rush for 8 yards to the Mtl42. Tackled by Brian Brikowski.,9,28
01:02,3,Punt Single,0,Justin Medlock punts for 62 yards to Mtl0. No return (Single).,9,29
01:02,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,9,29
00:56,2,Pass,15,Jonathan Crompton pass to Chris Rainey for 15 yards to the Mtl50. Tackled by Simoni Lawrence.,9,29
00:48,1,Pass,10,Jonathan Crompton pass to Eric Deslauriers for 10 yards to the Ham50. Tackled by Delvin Breaux.,9,29
00:38,2,Pass,33,Jonathan Crompton pass to Brandon London for 33 yards to the Ham17. Tackled by Craig Butler.,9,29
00:19,1,Pass,17,Jonathan Crompton pass to Duron Carter for 17 yards for a TOUCHDOWN.,15,29
00:19,0,Incomplete Pass,0,Jonathan Crompton incomplete pass.,15,29
00:19,0,Kickoff,15,Sean Whyte kicks off to the Mtl50.,15,29
