Time,Down,Type,Yards,Details,Hamilton,Toronto
02:35,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (SirVincent Rogers) -5 yards.,30,13
02:17,2,Pass,13,Ricky Ray pass to John Chiles for 13 yards to the Tor30. Tackled by Delvin Breaux.,30,13
02:07,3,Holding,51,Swayze Waters punts for 41 yards to Ham39. Penalty: Holding on Hamilton (Delvin Breaux) 10 yards.,30,13
01:38,1,Rush,15,Zach Collaros rush for 15 yards to the Ham44. Tackled by Donald Washington.,30,13
01:12,1,Fumble,-9,"Terrell Sinkfield rush for a loss of 9 yards to the Ham35. FUMBLE, recovered by Tor (Delano Johnson). Tackled by Terrell Sinkfield.",30,13
00:41,1,Rush,7,Steve Slaton rush for 7 yards to the Ham28. Tackled by Eric Norwood.,30,13
00:17,0,Illegal Contact,10,Penalty: Illegal Contact on Hamilton (Ed Gainey) 10 yards.,30,13
00:02,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,30,13
15:00,2,Pass,12,Ricky Ray pass to Steve Slaton for 12 yards to the Ham6. Tackled by Courtney Stephen.,30,13
14:06,1,Pass,6,Ricky Ray pass to Steve Slaton for 6 yards for a TOUCHDOWN.,30,19
14:06,0,Offside,5,Swayze Waters extra point is good. Penalty: Offside on Hamilton 5 yards.,30,20
13:53,0,Kickoff,23,Swayze Waters kicks off to the Ham0. Terrell Sinkfield return for 23 yards to Ham20. Tackled by  .,30,20
13:48,0,Illegal Block,10,Penalty: Illegal Block on Toronto (Delano Johnson) 10 yards.,30,20
13:26,0,Offside,-5,Penalty: Objectionable Conduct on Hamilton (Brandon Banks) -10 yards. Penalty: Offside on Toronto (Shea Emry) 5 yards.,30,20
13:02,1,Pass,15,Zach Collaros pass to Andy Fantuz for 15 yards to the Ham40. Tackled by Matthew Ware.,30,20
12:34,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks defensed by Jamie Robinson.,30,20
11:58,2,Pass,5,Zach Collaros pass to Brandon Banks for 5 yards to the Ham45. Tackled by Donald Washington.,30,20
11:30,3,Punt,12,Justin Medlock punts for 36 yards to Tor29. Chad Owens return for 12 yards to Tor41. Tackled by Frederic Plesius.,30,20
10:52,1,Pass,10,Ricky Ray pass to Jason Barnes for 10 yards to the Tor51. Tackled by Taylor Reed.,30,20
10:28,2,Rush,2,Ricky Ray rush for 2 yards to the Tor53. Tackled by Simoni Lawrence.,30,20
10:10,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Mike Bradwell.,30,20
09:33,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,30,20
09:09,3,Illegal Punt,15,Swayze Waters punts for 25 yards to Ham32. Penalty: Illegal Punt on Toronto (Swayze Waters) -10 yards.,30,20
09:00,1,Offside,-5,Penalty: Offside on Hamilton (Samuel Giguere) -5 yards.,30,20
08:40,1,Rush,6,Zach Collaros rush for 6 yards to the Ham43. Tackled by Gregory Jones.,30,20
08:10,2,Pass,9,Zach Collaros pass to Carl-Olivier Prime for 9 yards to the Ham52. Tackled by Shea Emry.,30,20
07:20,3,Rush,2,Zach Collaros rush for 2 yards to the Ham54. Tackled by Tristan Okpalaugo.,30,20
06:54,1,Unnecessary Roughness,23,Zach Collaros rush for 8 yards to the Tor48. Tackled by Delano Johnson. Penalty: Unnecessary Roughness on Toronto (Shea Emry) 15 yards.,30,20
06:29,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,30,20
06:01,2,Pass,8,Zach Collaros pass to Andy Fantuz for 8 yards to the Tor25. Tackled by Thomas Miles.,30,20
04:59,3,Missed Field Goal,32,Justin Medlock 32 yard field goal attempt is GOOD.,33,20
04:59,1,Pass,10,Ricky Ray pass to John Chiles for 10 yards to the Tor45. Tackled by Craig Butler.,33,20
04:45,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,33,20
04:13,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,33,20
03:47,3,Pass,15,Ricky Ray pass to Jason Barnes for 15 yards to the Ham50. Tackled by Courtney Stephen.,33,20
03:31,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Robert Gill.,33,20
03:11,2,Pass,26,Ricky Ray pass to Curtis Steele for 26 yards to the Ham24. Tackled by Erik Harris.,33,20
02:45,1,Pass,7,Ricky Ray pass to Curtis Steele for 7 yards to the Ham17. Tackled by Taylor Reed.,33,20
02:33,2,Pass,16,Ricky Ray pass to Anthony Woodson for 16 yards to the Ham1. Tackled by Courtney Stephen.,33,20
02:07,1,Rush,1,Ricky Ray rush for 1 yard for a TOUCHDOWN.,33,26
02:07,0,Made Extra Point,0,Swayze Waters extra point is good.,33,27
02:07,0,Kickoff,25,Swayze Waters kicks off to the Ham0. Terrell Sinkfield return for 25 yards to Ham24. Tackled by Curtis Steele.,33,27
02:00,1,Rush,2,Zach Collaros rush for 2 yards to the Ham26.,33,27
01:53,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz defensed by Shea Emry.,33,27
01:50,3,Illegal Block,-8,Justin Medlock punts for 46 yards to Tor38. Chad Owens return for 2 yards to Tor40. Tackled by Carl-Olivier Prime. Penalty: Illegal Block on Toronto (James Yurichuk) -10 yards.,33,27
01:37,1,Pass,11,Ricky Ray pass to John Chiles for 11 yards to the Tor41. Tackled by Taylor Reed.,33,27
01:14,1,Pass,69,Ricky Ray pass to Chad Owens for 69 yards for a TOUCHDOWN.,33,33
01:14,0,Offside,5,Swayze Waters extra point is good. Penalty: Offside on Hamilton 5 yards.,33,34
01:14,0,Kickoff,46,Swayze Waters kicks off to the Ham5. Terrell Sinkfield return for 46 yards to Ham51. Tackled by  .,33,34
01:04,1,Sack,-5,Sack at Ham46 for a loss of 5 yards by Jamie Robinson.,33,34
00:59,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,33,34
00:45,0,Sack,-27,Sack at Ham46 for no gain by Vincent Agnew.  Recovered by Ham (Zach Collaros),33,34
00:38,1,Face Mask,10,Curtis Steele rush for 1 yard to the Ham18. Tackled by Justin Hickman. Penalty: Face Mask on Hamilton (Justin Hickman) 9 yards.,33,34
00:32,1,Rush,-2,Curtis Steele rush for a loss of 2 yards to the Ham11. Tackled by Erik Harris.,33,34
00:28,2,Rush,4,Curtis Steele rush for 4 yards to the Ham7. Tackled by Bryan Hall.,33,34
00:23,3,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,33,34
