Time,Down,Type,Yards,Details,Calgary,Hamilton
13:12,0,Intentional Grounding,-15,Penalty: Intentional Grounding on Calgary (Bo Levi Mitchell) -15 yards.,17,7
12:48,2,Pass,2,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 2 yards to the Cgy42. Tackled by Taylor Reed.,17,7
12:22,3,Objectionable Conduct,-7,Rob Maver punts for 37 yards to Ham31. Brandon Banks return for 3 yards to Ham34. Tackled by Karl McCartney. Penalty: Objectionable Conduct on Hamilton ( ) -10 yards.,17,7
11:58,1,Pass,9,Dan LeFevour pass to Luke Tasker for 9 yards to the Ham33. Tackled by Jamar Wall.,17,7
11:08,2,Rush,4,Dan LeFevour rush for 4 yards to the Ham37. Tackled by Freddie Bishop III.,17,7
10:31,1,Rush,3,Dan LeFevour rush for 3 yards to the Ham40. Tackled by Junior Turner.,17,7
09:50,2,Pass,13,Dan LeFevour pass to Bakari Grant for 13 yards to the Ham53. Tackled by Fred Bennett.,17,7
09:07,1,Fumble,13,"Mossis Madu rush for 13 yards to the Cgy44. FUMBLE, recovered by Cgy (Deron Mayo). Tackled by Mike Filer.",17,7
08:46,1,Rush,27,Hugh Charles rush for 27 yards to the Ham39. Tackled by Courtney Stephen.,17,7
08:13,1,Pass,15,Bo Levi Mitchell pass to Jeff Fuller for 15 yards to the Ham24. Tackled by Courtney Stephen.,17,7
07:38,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Simon Charbonneau-Campeau.,17,7
07:25,2,Sack,-8,Sack at Ham32 for a loss of 8 yards by Ted Laurent.,17,7
06:15,3,Missed Field Goal,40,Rene Paredes 40 yard field goal attempt is GOOD.,20,7
06:15,0,Kickoff,20,Rene Paredes kicks off to the Ham15. Brandon Banks return for 20 yards to Ham35. Tackled by Maalik Bomar.,20,7
06:09,1,Pass,11,Dan LeFevour pass to Brandon Banks for 11 yards to the Ham46. Tackled by Brandon Smith.,20,7
05:37,1,Rush,14,Brandon Banks rush for 14 yards to the Cgy50. Tackled by Juwan Simpson.,20,7
05:03,1,Rush,6,Dan LeFevour rush for 6 yards to the Cgy44. Tackled by Deron Mayo.,20,7
04:24,2,Sack,-1,Sack at Cgy45 for no gain by Junior Turner Recovered by Ham (Dan LeFevour),20,7
03:17,3,Missed Field Goal,52,Justin Medlock 52 yard field goal attempt is GOOD.,20,10
03:17,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel defensed by Erik Harris.,20,10
03:06,2,Interception,0,Bo Levi Mitchell pass intended for Marquay McDaniel INTERCEPTED. No return. Tackled by Marquay McDaniel.,20,10
02:25,1,Sack,-1,Sack at Ham48 for a loss of 1 yard by Freddie Bishop III.,20,10
02:10,2,Offside,5,Penalty: Offside on Calgary 5 yards.,20,10
01:47,2,Pass,12,Dan LeFevour pass to Bakari Grant for 12 yards to the Cgy45. Tackled by Jamar Wall.,20,10
01:08,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Andy Fantuz.,20,10
00:46,2,Pass,12,Dan LeFevour pass to Greg Ellingson for 12 yards to the Cgy33. Tackled by Lin-J Shell.,20,10
00:28,1,Rush,2,Dan LeFevour rush for 2 yards to the Cgy31. Tackled by Jamar Wall.,20,10
00:02,2,Pass,10,Dan LeFevour pass to Greg Ellingson for 10 yards to the Cgy21. Tackled by Fred Bennett.,20,10
14:44,1,Pass,21,Dan LeFevour pass to Bakari Grant for 21 yards for a TOUCHDOWN.,20,16
14:32,0,Made Extra Point,0,Justin Medlock extra point is good.,20,17
14:32,0,Kickoff,48,Justin Medlock kicks off to the Cgy12. Sederrik Cunningham return for 48 yards to Ham50. Tackled by Mike Daly.,20,17
14:24,1,Rush,5,Hugh Charles rush for 5 yards to the Ham45. Tackled by Simoni Lawrence.,20,17
13:47,2,Sack,-8,Sack at Ham53 for a loss of 8 yards by Erik Harris.,20,17
13:10,3,Punt,6,Rob Maver punts for 48 yards to Ham5. Brandon Banks return for 6 yards to Ham11. Tackled by Keenan MacDougall.,20,17
12:36,1,Rush,2,Brandon Banks rush for 2 yards to the Ham13. Tackled by Josh Bell.,20,17
12:08,2,Incomplete Pass,0,Dan LeFevour incomplete pass.,20,17
11:40,3,Punt,14,Justin Medlock punts for 36 yards to Ham49. Sederrik Cunningham return for 14 yards to Ham35. Tackled by Mike Daly.,20,17
11:29,1,Sack,-1,Sack at Ham36 for a loss of 1 yard by Taylor Reed.,20,17
10:54,2,Rush,5,Bo Levi Mitchell rush for 5 yards to the Ham31. Tackled by Taylor Reed.,20,17
09:49,3,Missed Field Goal,38,Rene Paredes 38 yard field goal attempt is GOOD.,23,17
09:49,1,Pass,5,Jeremiah Masoli pass to Greg Ellingson for 5 yards to the Ham40. Tackled by Lin-J Shell.,23,17
09:27,0,Pass Interference,30,Penalty: Pass Interference on Calgary (Brandon Smith) 30 yards.,23,17
09:07,1,Rush,2,Mossis Madu rush for 2 yards to the Cgy38. Tackled by Charleston Hughes.,23,17
08:42,2,Pass,7,Jeremiah Masoli pass to Brandon Banks for 7 yards to the Cgy31. Tackled by Shawn Lemon.,23,17
07:44,3,Rush,2,Jeremiah Masoli rush for 2 yards to the Cgy29. Tackled by Keon Raymond.,23,17
07:20,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Brandon Banks.,23,17
06:40,2,Pass,4,Jeremiah Masoli pass to Samuel Giguere for 4 yards to the Cgy25. Tackled by Jamar Wall.,23,17
05:49,3,Missed Field Goal,32,Justin Medlock 32 yard field goal attempt is GOOD.,23,20
05:49,0,Kickoff,24,Justin Medlock kicks off to the Cgy15. Sederrik Cunningham return for 24 yards to Cgy39. Tackled by Marc Beswick.,23,20
