Time,Down,Type,Yards,Details,Toronto,Hamilton
02:38,3,Punt,0,Swayze Waters punts for 46 yards to Ham1. No return.,1,10
02:07,1,Safety,-1,Mossis Madu rush for a loss of 1 yard to the Ham0. Safety.,3,10
02:07,0,Kickoff,17,Justin Medlock kicks off to the Tor28. Anthony Woodson return for 17 yards to Tor45. Tackled by Marc Beswick.,3,10
02:01,1,Pass,3,Ricky Ray pass to Zander Robinson for 3 yards to the Tor48. Tackled by Erik Harris.,3,10
01:35,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,3,10
00:55,3,Punt,0,Swayze Waters punts for 61 yards to Ham1. No return.,3,10
00:40,1,Illegal Procedure,0,Penalty: Illegal Procedure on Hamilton (Brian Simmons) 0 yards.,3,10
00:24,1,Rush,2,Jeremiah Masoli rush for 2 yards to the Ham3. Tackled by Shea Emry.,3,10
00:10,2,Rush,8,Mossis Madu rush for 8 yards to the Ham11. Tackled by  .,3,10
15:00,1,Rush,4,Mossis Madu rush for 4 yards to the Ham15. Tackled by Jalil Carter.,3,10
14:43,2,Pass,14,Zach Collaros pass to Mossis Madu for 14 yards to the Ham29. Tackled by Nick Rosamonda.,3,10
14:03,1,Rush,0,Cary Koch rush for no gain to the Ham29. Tackled by Branden Smith.,3,10
13:26,0,Sack,-7,"Sack at Ham29 for no gain by Jalil Carter., recovered by Ham (Zach Collaros). . Tackled by Jalil Carter",3,10
12:49,3,Punt,14,Justin Medlock punts for 54 yards to Tor34. Trent Guy return for 14 yards to Tor48. Tackled by Craig Butler.,3,10
12:28,1,Rush,4,Steve Slaton rush for 4 yards to the Tor52. Tackled by Brian Bulcke.,3,10
12:04,2,Pass,5,Ricky Ray pass to Natey Adjei for 5 yards to the Ham53. Tackled by Delvin Breaux.,3,10
11:36,3,Holding,44,Swayze Waters punts for 49 yards to Ham4. Penalty: No Yards on Toronto (Vincent Agnew) -15 yards. Penalty: Holding on Hamilton (Courtney Stephen) 10 yards.,3,10
11:05,1,Pass,29,Zach Collaros pass to Bakari Grant for 29 yards to the Ham38. Tackled by Donald Washington.,3,10
10:50,1,Pass,9,Zach Collaros pass to Mossis Madu for 9 yards to the Ham47. Tackled by Shane Horton.,3,10
10:24,2,Rush,1,Mossis Madu rush for 1 yard to the Ham48. Tackled by Gregory Jones.,3,10
09:43,1,Pass,-5,Zach Collaros pass to Luke Tasker for a loss of 5 yards to the Ham43. Tackled by  .,3,10
09:01,2,Time Count,-5,Penalty: Time Count on Hamilton (Zach Collaros) -5 yards.,3,10
08:23,2,Pass,7,Zach Collaros pass to Mossis Madu for 7 yards to the Ham45. Tackled by Donald Washington.,3,10
08:16,3,Punt,-1,Justin Medlock punts for 49 yards to Tor16. Branden Smith return for a loss of 1 yard to Tor15. Tackled by Ed Gainey.,3,10
08:05,1,Rush,5,Steve Slaton rush for 5 yards to the Tor20. Tackled by Brandon Stewart.,3,10
07:45,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,3,10
07:05,3,Punt,6,Swayze Waters punts for 47 yards to Ham43. Cary Koch return for 6 yards to Ham49. Tackled by Zander Robinson.,3,10
06:36,0,Holding,-10,Penalty: Holding on Hamilton (Joel Figueroa) -10 yards.,3,10
06:19,1,Pass,5,Zach Collaros pass to Mossis Madu for 5 yards to the Ham44. Tackled by Shea Emry.,3,10
05:50,2,Pass,39,Zach Collaros pass to Greg Ellingson for 39 yards to the Tor27. Tackled by Gregory Jones.,3,10
05:14,1,Pass,9,Zach Collaros pass to Greg Ellingson for 9 yards to the Tor18. Tackled by Donald Washington.,3,10
04:30,2,Rush,2,Zach Collaros rush for 2 yards to the Tor16. Tackled by Gregory Jones.,3,10
04:05,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Mossis Madu.,3,10
03:25,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker defensed by  .,3,10
02:43,3,Missed Field Goal,23,Justin Medlock 23 yard field goal attempt is GOOD.,3,13
02:43,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,3,13
02:30,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,3,13
02:26,3,No Yards,29,Swayze Waters punts for 34 yards to Ham41. Penalty: No Yards on Toronto (Nick Rosamonda) -5 yards.,3,13
02:14,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere defensed by Matt Black.,3,13
02:06,2,Sack,-6,Sack at Ham40 for a loss of 6 yards by Tristan Okpalaugo.,3,13
01:59,3,Punt,6,Justin Medlock punts for 64 yards to Tor6. Branden Smith return for 6 yards to Tor12. Tackled by Ed Gainey.,3,13
01:40,1,Pass,3,Ricky Ray pass to Trent Guy for 3 yards to the Tor15. Tackled by Brandon Stewart.,3,13
01:35,2,Pass,7,Ricky Ray pass to Natey Adjei for 7 yards to the Tor22. Tackled by Courtney Stephen.,3,13
01:13,3,Offside,5,Penalty: Offside on Hamilton (Bryan Hall) 5 yards.,3,13
01:06,1,Unnecessary Roughness,47,Ricky Ray pass to Natey Adjei for 32 yards to the Ham51. Tackled by Courtney Stephen. Penalty: Unnecessary Roughness on Hamilton (Courtney Stephen) 15 yards.,3,13
00:58,1,Rush,6,Ricky Ray rush for 6 yards to the Ham30. Tackled by Simoni Lawrence.,3,13
00:50,0,Illegal Contact,10,Penalty: Illegal Contact on Hamilton (Michael Coe) 10 yards.,3,13
00:22,1,Pass,20,Ricky Ray pass to Trent Guy for 20 yards for a TOUCHDOWN.,9,13
00:22,0,Made Extra Point,0,Swayze Waters extra point is good.,10,13
00:22,0,Holding,5,Swayze Waters kicks off to the Ham29. Cary Koch return for 15 yards to Ham44. Penalty: Holding on Hamilton (Arnaud Gascon-Nadon) -10 yards.,10,13
00:17,1,Rush,-4,Mossis Madu rush for a loss of 4 yards to the Ham30. Tackled by Gregory Jones.,10,13
15:00,0,Kickoff,7,Justin Medlock kicks off to the Tor26. LaVon Brazill return for 7 yards to Tor33. Tackled by Mossis Madu.,10,13
14:56,1,Rush,-2,Steve Slaton rush for a loss of 2 yards to the Tor31. Tackled by Ted Laurent.,10,13
14:28,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,10,13
13:52,3,Illegal Block,-2,Swayze Waters punts for 73 yards to Ham6. Cary Koch return for 2 yards to Ham8. Penalty: Illegal Block on Hamilton (Sam Scott) -4 yards.,10,13
13:31,1,Rush,-1,Mossis Madu rush for a loss of 1 yard to the Ham3. Tackled by Vincent Agnew.,10,13
13:09,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Greg Ellingson.,10,13
12:26,3,Safety,-3,Safety,12,13
12:26,0,Fumble,15,"Justin Medlock kicks off to the Tor36. LaVon Brazill return for 15 yards to Tor51., recovered by Ham (Sam Scott). FUMBLE",12,13
12:18,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Greg Ellingson.,12,13
11:53,2,Pass,9,Zach Collaros pass to Mossis Madu for 9 yards to the Tor42. Tackled by Donald Washington.,12,13
11:41,3,Rush,2,Jeremiah Masoli rush for 2 yards to the Tor40. Tackled by Gregory Jones.,12,13
11:16,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere.,12,13
10:45,2,Sack,-8,Sack at Tor48 for a loss of 8 yards by Vincent Agnew.,12,13
10:14,3,Punt,4,Justin Medlock punts for 35 yards to Tor13. Trent Guy return for 4 yards to Tor17. Tackled by Kyle Miller.,12,13
09:46,1,Pass,10,Ricky Ray pass to Zander Robinson for 10 yards to the Tor27. Tackled by Delvin Breaux.,12,13
09:31,1,Sack,-9,Sack at Tor18 for a loss of 9 yards by Brian Bulcke.,12,13
08:48,2,Pass,2,Ricky Ray pass to Trent Guy for 2 yards to the Tor20. Tackled by Bryan Hall.,12,13
08:03,3,Punt,6,Swayze Waters punts for 56 yards to Ham34. Cary Koch return for 6 yards to Ham40. Tackled by Jake Reinhart.,12,13
07:46,1,Pass,8,Zach Collaros pass to Mossis Madu for 8 yards to the Ham48. Tackled by Shane Horton.,12,13
07:32,2,Pass,4,Zach Collaros pass to Luke Tasker for 4 yards to the Ham52. Tackled by Aston Whiteside.,12,13
07:19,1,Rush,2,Zach Collaros rush for 2 yards to the Ham54. Tackled by Cleyon Laing.,12,13
06:53,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,12,13
06:29,3,No Yards,21,Justin Medlock punts for 26 yards to Tor30. Penalty: No Yards on Hamilton (Marc Beswick) -5 yards.,12,13
06:01,1,Rush,1,Curtis Steele rush for 1 yard to the Tor36. Tackled by Antonio Coleman.,12,13
05:43,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Mike Bradwell.,12,13
05:05,3,Punt,19,Swayze Waters punts for 59 yards to Ham15. Cary Koch return for 19 yards to Ham34. Tackled by James Yurichuk.,12,13
04:51,1,Pass,14,Zach Collaros pass to Andy Fantuz for 14 yards to the Ham48. Tackled by Shane Horton.,12,13
04:26,1,Pass,8,Zach Collaros pass to Andy Fantuz for 8 yards to the Tor54. Tackled by Donald Washington.,12,13
03:52,2,Rush,0,Mossis Madu rush for no gain to the Tor54. Tackled by Gregory Jones.,12,13
03:00,3,No Yards,14,Justin Medlock punts for 29 yards to Tor25. Penalty: No Yards on Hamilton (Erik Harris) -15 yards.,12,13
02:35,1,Pass,7,Ricky Ray pass to Curtis Steele for 7 yards to the Tor47. Tackled by Brandon Stewart.,12,13
02:06,2,Time Count,-5,Penalty: Time Count on Toronto (Ricky Ray) -5 yards.,12,13
01:34,2,Sack,-11,Sack at Tor31 for a loss of 11 yards by Antonio Coleman.,12,13
01:18,3,Punt,0,Swayze Waters punts for 49 yards to Ham30. Cary Koch return for no gain to Ham30. Tackled by Brendan Gillanders.,12,13
00:44,1,Rush,3,Mossis Madu rush for 3 yards to the Ham33. Tackled by Gregory Jones.,12,13
00:24,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant defensed by Vincent Agnew.,12,13
15:00,3,Punt,9,Justin Medlock punts for 47 yards to Tor30. LaVon Brazill return for 9 yards to Tor39. Tackled by Ed Gainey.,12,13
14:50,1,Pass,-4,Ricky Ray pass to Curtis Steele for a loss of 4 yards to the Tor35. Tackled by Courtney Stephen.,12,13
14:23,2,Sack,-3,Sack at Tor32 for a loss of 3 yards by Antonio Coleman.,12,13
13:44,3,No Yards,24,Swayze Waters punts for 39 yards to Ham39. Penalty: No Yards on Toronto -15 yards.,12,13
13:16,1,Pass,9,Zach Collaros pass to Greg Ellingson for 9 yards to the Tor47. Tackled by Gregory Jones.,12,13
13:01,2,Rush,4,Jeremiah Masoli rush for 4 yards to the Tor43. Tackled by Shea Emry.,12,13
12:21,1,Pass,16,Zach Collaros pass to Cary Koch for 16 yards to the Tor27. Tackled by Vincent Agnew.,12,13
11:37,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Cary Koch.,12,13
10:57,2,Pass,16,Zach Collaros pass to Mossis Madu for 16 yards to the Tor11. Tackled by Shea Emry.,12,13
10:34,1,Rush,10,Zach Collaros rush for 10 yards to the Tor1. Tackled by Jermaine Gabriel.,12,13
09:53,1,Lateral,22,"Jeremiah Masoli rush for no gain to the Tor1. FUMBLE, recovered by Tor ( ) and returned for 10 yards. Lateral. . Tackled by Jeremiah Masoli",12,13
09:26,1,Pass,38,Ricky Ray pass to Jason Barnes for 38 yards to the Ham52. Tackled by Brandon Stewart.,12,13
09:04,1,Pass,3,Ricky Ray pass to Steve Slaton for 3 yards to the Ham49. Tackled by Brandon Stewart.,12,13
08:19,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Mike Bradwell.,12,13
07:40,3,Punt,2,Swayze Waters punts for 34 yards to Ham15. Cary Koch return for 2 yards to Ham17. Tackled by Ivan Brown.,12,13
07:23,1,Pass,10,Zach Collaros pass to Andy Fantuz for 10 yards to the Ham27. Tackled by Donald Washington.,12,13
06:56,1,Pass,4,Zach Collaros pass to Mossis Madu for 4 yards to the Ham31. Tackled by Donald Washington.,12,13
06:14,2,Pass,7,Zach Collaros pass to Greg Ellingson for 7 yards to the Ham38. Tackled by Matt Black.,12,13
05:33,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere.,12,13
04:56,2,Pass,18,Zach Collaros pass to Luke Tasker for 18 yards to the Tor54. Tackled by Jermaine Gabriel.,12,13
04:28,1,Pass,7,Zach Collaros pass to Luke Tasker for 7 yards to the Tor47. Tackled by Donald Washington.,12,13
04:07,2,Rush,1,Mossis Madu rush for 1 yard to the Tor46. Tackled by Gregory Jones.,12,13
03:24,3,Missed Field Goal,13,47 yard field goal attempt by Justin Medlock is NO GOOD.  Missed field goal returned by Trent Guy to the Tor12. Tackled by Taylor Reed.,12,13
02:44,1,Pass,8,Ricky Ray pass to Curtis Steele for 8 yards to the Tor20. Tackled by Taylor Reed.,12,13
02:20,0,Rush,5,"FUMBLE Curtis Steele rush for 5 yards to the Tor25., recovered by Tor (Tyler Holmes).",12,13
02:09,1,Sack,-8,Sack at Tor17 for a loss of 8 yards by Taylor Reed.,12,13
01:47,2,Interception,0,Ricky Ray pass intended for Darvin Adams INTERCEPTED. No return.,12,13
01:24,1,Rush,6,Mossis Madu rush for 6 yards to the Tor39. Tackled by Aston Whiteside.,12,13
01:20,2,Rush,4,Mossis Madu rush for 4 yards to the Tor35. Tackled by  .,12,13
01:16,1,Rush,3,Mossis Madu rush for 3 yards to the Tor32. Tackled by  .,12,13
00:53,2,Fumble,4,"Mossis Madu rush for 4 yards to the Tor28. FUMBLE, recovered by Tor (Matt Black). Tackled by Mossis Madu.",12,13
00:27,1,Pass,7,Ricky Ray pass to Curtis Steele for 7 yards to the Tor35. Tackled by Simoni Lawrence.,12,13
00:20,2,Rush,6,Ricky Ray rush for 6 yards to the Tor41. Tackled by Ted Laurent.,12,13
00:07,1,Pass,7,Ricky Ray pass to Mike Bradwell for 7 yards to the Tor48. Tackled by Erik Harris.,12,13
