Time,Down,Type,Yards,Details,Hamilton,Edmonton
01:02,3,Punt,10,Grant Shaw punts for 51 yards to Ham31. Brandon Banks return for 10 yards to Ham41. Tackled by Pat White.,17,13
00:43,1,Interception,0,Jeremiah Masoli pass INTERCEPTED. No return.,17,13
00:24,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Michael Coe.,17,13
00:01,0,Sack,-8,"FUMBLE Sack at Ham53 for a loss of 8 yards by Brandon Stewart., recovered by Ham (Arnaud Gascon-Nadon). Tackled by A.J. Guyton.",17,13
15:00,0,Fumble,-1,"FUMBLE, recovered by Ham (C.J. Gable). . Tackled by Almondo Sewell",17,13
14:04,0,Illegal Contact,10,Penalty: Illegal Contact on Edmonton (Aaron Grymes) 10 yards.,17,13
13:48,2,Rush,9,C.J. Gable rush for 9 yards to the Edm39. Tackled by Marcell Young.,17,13
13:07,0,Holding,-10,Penalty: Holding on Hamilton (Brian Simmons) -10 yards.,17,13
12:58,1,Pass,39,Jeremiah Masoli pass to Luke Tasker for 39 yards to the Edm10. Tackled by Eric Samuels.,17,13
12:32,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Samuel Giguere defensed by Joe Burnett.,17,13
11:53,2,Pass,10,Jeremiah Masoli pass to C.J. Gable for 10 yards for a TOUCHDOWN.,23,13
11:35,0,Made Extra Point,0,Justin Medlock extra point is good.,24,13
11:35,0,Kickoff,62,Justin Medlock kicks off to the Edm6. Patrick Robertson return for 62 yards to Ham42. Tackled by Courtney Stephen.,24,13
11:22,1,Pass,11,Mike Reilly pass to Tyler Thomas for 11 yards to the Ham31. Tackled by Michael Coe.,24,13
10:44,1,Pass,6,Mike Reilly pass to Fred Stamps for 6 yards to the Ham25. Tackled by Craig Butler.,24,13
10:25,2,Pass,-5,Mike Reilly pass to A.J. Guyton for a loss of 5 yards to the Ham30. Tackled by Michael Coe.,24,13
09:46,3,Field Goal Single,50,50 yard field goal attempt by Grant Shaw is NO GOOD (Single).,24,14
09:46,1,Pass,8,Jeremiah Masoli pass to Bakari Grant for 8 yards to the Ham43. Tackled by J.C. Sherritt.,24,14
08:47,2,Fumble,57,"Jeremiah Masoli rush for 7 yards to the Ham50. FUMBLE, recovered by Edm (Patrick Watkins) and returned for 50 yards for a TOUCHDOWN.",24,20
08:47,0,Unnecessary Roughness,-15,Grant Shaw extra point is good. Penalty: Unnecessary Roughness on Edmonton (Ryan King) -15 yards.,24,21
08:38,0,Kickoff,28,Grant Shaw kicks off to the Ham17. Brandon Banks return for 28 yards to Ham45. Tackled by Nathan Kanya.,24,21
08:31,0,Illegal Interference,0,"FUMBLE, recovered by Edm (Marcus Howard).  Penalty: Illegal Interference on Hamilton (Jeremiah Masoli) 0 yards",24,21
08:12,1,Pass,2,Mike Reilly pass to Shamawd Chambers for 2 yards to the Ham31. Tackled by Michael Coe.,24,21
07:20,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,24,21
06:56,3,Field Goal Single,51,51 yard field goal attempt by Grant Shaw is NO GOOD (Single).,24,22
06:56,1,Pass,-3,Dan LeFevour pass to C.J. Gable for a loss of 3 yards to the Ham32. Tackled by Patrick Watkins.,24,22
06:06,2,Rush,12,Dan LeFevour rush for 12 yards to the Ham44. Tackled by Eric Samuels.,24,22
05:48,3,Rush,2,Dan LeFevour rush for 2 yards to the Ham46. Tackled by Almondo Sewell.,24,22
05:11,1,Sack,-10,Sack at Ham36 for a loss of 10 yards by Odell Willis.,24,22
04:34,2,Sack,-3,Sack at Ham33 for a loss of 3 yards by Odell Willis.,24,22
03:57,3,Punt,-3,Justin Medlock punts for 36 yards to Edm41. A.J. Guyton return for a loss of 3 yards to Edm38. Tackled by Neil King.,24,22
03:33,1,Pass,10,Mike Reilly pass to A.J. Guyton for 10 yards to the Edm48. Tackled by Eric Norwood.,24,22
03:00,1,Pass,10,Mike Reilly pass to Adarius Bowman for 10 yards to the Ham52. Tackled by Michael Coe.,24,22
02:46,1,Pass,14,Mike Reilly pass to Adarius Bowman for 14 yards to the Ham38. Tackled by Emanuel Davis.,24,22
02:33,1,Rush,-1,Tyler Thomas rush for a loss of 1 yard to the Ham39. Tackled by Simoni Lawrence.,24,22
02:13,2,Pass,3,Mike Reilly pass to Tyler Thomas for 3 yards to the Ham36. Tackled by Brian Bulcke.,24,22
01:30,3,Missed Field Goal,43,Grant Shaw 43 yard field goal attempt is GOOD.,24,25
01:30,1,Interception,32,Dan LeFevour pass intended for Matt Coates INTERCEPTED and returned for 32 yards.,24,25
01:19,1,Pass,6,Mike Reilly pass to Fred Stamps for 6 yards to the Ham11. Tackled by Michael Coe.,24,25
01:12,2,Rush,3,Tyler Thomas rush for 3 yards to the Ham8. Tackled by Eric Norwood.,24,25
00:48,3,Missed Field Goal,15,Grant Shaw 15 yard field goal attempt is GOOD.,24,28
00:48,1,Pass,7,Dan LeFevour pass to Luke Tasker for 7 yards to the Ham42. Tackled by Joe Burnett.,24,28
00:39,1,Illegal Participation,17,Dan LeFevour pass to Bakari Grant for 7 yards to the Ham49. Tackled by J.C. Sherritt. Penalty: Illegal Participation on Edmonton (Patrick Watkins) 10 yards.,24,28
00:32,1,Pass,33,Dan LeFevour pass to Cary Koch for 33 yards to the Edm18. Tackled by Joe Burnett.,24,28
00:24,1,Pass,6,Dan LeFevour pass to Bakari Grant for 6 yards to the Edm12. Tackled by Eric Samuels.,24,28
00:19,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Bakari Grant.,24,28
00:14,3,Pass,7,Dan LeFevour pass to Bakari Grant for 7 yards to the Edm5. Tackled by Dexter McCoil.,24,28
00:08,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for C.J. Gable.,24,28
00:02,2,Fumble,4,"Dan LeFevour rush for 4 yards to the Edm1. FUMBLE, recovered by Edm (Marcus Howard). Tackled by Dominic Alford.",24,28
