Time,Down,Type,Yards,Details,Edmonton,Toronto
10:39,1,Pass,20,Ricky Ray pass to LaVon Brazill for 20 yards to the Edm53. Tackled by Ryan Hinds.,21,20
10:08,0,Holding,-10,Penalty: Holding on Toronto (Chris Van Zeyl) -10 yards.,21,20
09:46,1,Unnecessary Roughness,21,Ricky Ray pass to Steve Slaton for 6 yards to the Tor53. Tackled by J.C. Sherritt. Penalty: Unnecessary Roughness on Edmonton (Mathieu Boulay) 15 yards.,21,20
09:21,1,Rush,6,Steve Slaton rush for 6 yards to the Edm36. Tackled by Alonzo Lawrence.,21,20
08:52,2,Pass,30,Ricky Ray pass to Chad Owens for 30 yards to the Edm6. Tackled by Aaron Grymes.,21,20
08:03,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,21,20
07:36,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,21,20
06:52,3,Missed Field Goal,13,Swayze Waters 13 yard field goal attempt is GOOD.,21,23
06:52,1,Rush,-1,Kendial Lawrence rush for a loss of 1 yard to the Edm34. Tackled by Shea Emry.,21,23
06:15,2,Pass,1,Mike Reilly pass to Adarius Bowman for 1 yard to the Edm35. Tackled by Shea Emry.,21,23
05:51,3,Punt,8,Hugh O'Neill punts for 49 yards to Tor26. LaVon Brazill return for 8 yards to Tor34.,21,23
05:33,1,Rush,3,Curtis Steele rush for 3 yards to the Tor37. Tackled by J.C. Sherritt.,21,23
05:04,2,Pass,6,Ricky Ray pass to Robert Gill for 6 yards to the Tor43. Tackled by Alonzo Lawrence.,21,23
04:41,3,Rush,2,Mitchell Gale rush for 2 yards to the Tor45. Tackled by J.C. Sherritt.,21,23
03:59,1,Pass Interference,5,Penalty: Illegal Procedure on Toronto -5 yards. Penalty: Pass Interference on Edmonton (Chris Rwabukamba) 10 yards.,21,23
03:38,1,Rush,7,Anthony Woodson rush for 7 yards to the Edm53. Tackled by J.C. Sherritt.,21,23
03:08,1,Pass,8,Ricky Ray pass to LaVon Brazill for 8 yards to the Edm45. Tackled by Chris Rwabukamba.,21,23
02:27,2,Rush,0,Curtis Steele rush for no gain to the Edm45. Tackled by Aaron Grymes.,21,23
01:47,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Edmonton 10 yards.,21,23
01:26,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Chris Van Zeyl) -5 yards.,21,23
01:16,0,Illegal Contact,10,Penalty: Illegal Contact on Edmonton (Cameron Sheffield) 10 yards.,21,23
00:40,1,Rush,9,Curtis Steele rush for 9 yards to the Edm21. Tackled by Alonzo Lawrence.,21,23
00:16,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,21,23
15:00,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for LaVon Brazill.,21,23
14:26,3,Missed Field Goal,28,Swayze Waters 28 yard field goal attempt is GOOD.,21,26
14:26,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,21,26
14:02,2,Sack,-9,Sack at Edm26 for a loss of 9 yards by Delano Johnson.,21,26
13:25,3,Illegal Interference,12,Hugh O'Neill punts for 51 yards to Tor33. Chad Owens return for 2 yards to Tor35. Tackled by Mike Miller. Penalty: Illegal Interference on Edmonton (Deon Lacey) 10 yards.,21,26
13:13,1,Rush,17,Steve Slaton rush for 17 yards to the Edm48. Tackled by Ryan Hinds.,21,26
12:57,1,Unnecessary Roughness,34,Ricky Ray pass to Chad Owens for 21 yards to the Edm27. Tackled by Otha Foster. Penalty: Unnecessary Roughness on Edmonton (Otha Foster) 13 yards.,21,26
12:38,1,Sack,-6,Sack at Edm20 for a loss of 6 yards by Cedric McKinley.,21,26
11:49,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for LaVon Brazill.,21,26
11:09,3,Missed Field Goal,27,Swayze Waters 27 yard field goal attempt is GOOD.,21,29
11:09,1,Pass,32,Mike Reilly pass to Devon Bailey for 32 yards to the Tor43. Tackled by Branden Smith.,21,29
10:43,1,Rush,3,John White rush for 3 yards to the Tor40. Tackled by Shea Emry.,21,29
09:56,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Simeon Rottier) -5 yards.,21,29
09:40,2,Pass,8,Mike Reilly pass to Adarius Bowman for 8 yards to the Tor37. Tackled by Shea Emry.,21,29
08:47,3,Missed Field Goal,44,Hugh O'Neill 44 yard field goal attempt is GOOD.,24,29
08:47,1,Rush,0,Curtis Steele rush for no gain to the Tor35. Tackled by Rennie Curran.,24,29
08:16,2,Pass,11,Ricky Ray pass to Zander Robinson for 11 yards to the Tor46. Tackled by Bo Adebayo.,24,29
07:33,1,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Tor54. Tackled by Marcell Young.,24,29
07:02,2,Pass,9,Ricky Ray pass to Anthony Woodson for 9 yards to the Edm47. Tackled by Alonzo Lawrence.,24,29
06:32,0,Pass Interference,28,Penalty: Pass Interference on Edmonton (Marcell Young) 28 yards.,24,29
06:01,1,Rush,5,Anthony Woodson rush for 5 yards to the Edm14. Tackled by Rennie Curran.,24,29
05:28,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,24,29
04:34,3,Field Goal Single,34,34 yard field goal attempt by Swayze Waters is NO GOOD (Single).,24,30
04:34,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,24,30
04:10,2,Pass,7,Mike Reilly pass to Fred Stamps for 7 yards to the Edm42. Tackled by Matthew Ware.,24,30
03:39,3,Objectionable Conduct,30,Hugh O'Neill punts for 49 yards to Tor19. Chad Owens return for 5 yards to Tor24. Tackled by Mike Miller. Penalty: Unnecessary Roughness on Edmonton (Mike Dubuisson) 15 yards. Penalty: Objectionable Conduct on Edmonton 10 yards.,24,30
03:12,1,Pass,0,Ricky Ray pass to Chad Owens for no gain to the Tor49. Tackled by Otha Foster.,24,30
02:48,0,Pass Interference,19,Penalty: Pass Interference on Edmonton (Chris Rwabukamba) 19 yards.,24,30
02:27,1,Rush,12,Curtis Steele rush for 12 yards to the Edm30. Tackled by Odell Willis.,24,30
02:22,1,Rush,-2,Curtis Steele rush for a loss of 2 yards to the Edm32. Tackled by Willie Jefferson.,24,30
01:54,2,Rush,1,Ricky Ray rush for 1 yard to the Edm31. Tackled by Cameron Sheffield.,24,30
01:21,3,Missed Field Goal,38,Swayze Waters 38 yard field goal attempt is GOOD.,24,33
01:21,1,Objectionable Conduct,12,Mike Reilly pass to Devon Bailey for 17 yards to the Edm52. Tackled by Matthew Ware. Penalty: Unnecessary Roughness on Edmonton (John White) -15 yards. Penalty: Objectionable Conduct on Toronto 10 yards.,24,33
01:13,1,Sack,-5,Sack at Edm42 for no gain by Logan Harrell Recovered by Edm (Mike Reilly),24,33
00:49,1,Pass,38,Mike Reilly pass to Fred Stamps for 38 yards to the Tor30.,24,33
00:48,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey.,24,33
00:41,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Toronto (Aston Whiteside) 15 yards.,24,33
00:25,1,Pass,15,Mike Reilly pass to Nate Coehoorn for 15 yards for a TOUCHDOWN.,30,33
00:25,0,Pass Interference,4,Penalty: Pass Interference on Toronto (Matthew Ware) 4 yards.,30,33
00:25,0,Two Point Conversion,1,Mike Reilly 2 pt rush attempt. Successful.,32,33
00:25,0,Kickoff,0,Hugh O'Neill kicks off to the Edm55. Jamie Robinson - no return. Tackled by Mathieu Boulay.,32,33
