Time,Down,Type,Yards,Details,Ottawa,Edmonton
07:56,1,Rush,5,Chevon Walker rush for 5 yards to the Ott40. Tackled by Rennie Curran.,7,11
07:34,2,Pass,5,Henry Burris pass to Paris Jackson for 5 yards to the Ott45. Tackled by Joe Burnett.,7,11
06:54,1,Rush,6,Chevon Walker rush for 6 yards to the Ott51. Tackled by Chris Rwabukamba.,7,11
06:10,2,Pass,3,Henry Burris pass to Kierrie Johnson for 3 yards to the Ott54. Tackled by Rennie Curran.,7,11
05:32,3,Punt,-1,Brett Maher punts for 52 yards to Edm4. Jamal Miles return for a loss of 1 yard to Edm3. Tackled by Eric Fraser.,7,11
05:10,1,Rush,4,John White rush for 4 yards to the Edm7. Tackled by Keith Shologan.,7,11
04:44,2,Pass,-1,Mike Reilly pass to Shamawd Chambers for a loss of 1 yard to the Edm6. Tackled by Jovon Johnson.,7,11
03:58,3,Punt,16,Grant Shaw punts for 47 yards to Edm53. Jamill Smith return for 16 yards to Edm37. Tackled by Calvin McCarty.,7,11
03:37,1,Pass,10,Henry Burris pass to Kierrie Johnson for 10 yards to the Edm27.,7,11
03:13,1,Rush,3,Chevon Walker rush for 3 yards to the Edm24. Tackled by Eric Samuels.,7,11
02:41,2,Sack,-5,Sack at Edm29 for a loss of 5 yards by Willie Jefferson.,7,11
01:22,3,Field Goal Single,49,49 yard field goal attempt by Brett Maher is NO GOOD (Single).,8,11
01:22,0,Pass Interference,26,Penalty: Pass Interference on Ottawa (T.J. Hill) 26 yards.,8,11
00:58,1,Pass,9,Mike Reilly pass to Akeem Foster for 9 yards to the Ott40. Tackled by Seth Williams.,8,11
00:16,2,Rush,6,John White rush for 6 yards to the Ott34. Tackled by Jovon Johnson.,8,11
15:00,1,Rush,4,John White rush for 4 yards to the Ott30. Tackled by Jonathan Williams.,8,11
14:08,2,Pass,30,Mike Reilly pass to Adarius Bowman for 30 yards for a TOUCHDOWN.,8,17
14:01,0,Made Extra Point,0,Grant Shaw extra point is good.,8,18
14:01,0,Holding,7,Grant Shaw kicks off to the Ott8. Carlton Mitchell return for 17 yards to Ott25. Penalty: Holding on Ottawa (Paris Jackson) -10 yards.,8,18
13:50,1,Pass,8,Henry Burris pass to Marcus Henry for 8 yards to the Ott23. Tackled by Eric Samuels.,8,18
13:19,2,Rush,2,Chevon Walker rush for 2 yards to the Ott25. Tackled by Almondo Sewell.,8,18
12:38,3,Rush,0,Thomas DeMarco rush for no gain to the Ott25. Tackled by Eddie Steele.,8,18
12:04,1,Rush,11,John White rush for 11 yards to the Ott14. Tackled by T.J. Hill.,8,18
11:35,1,Rush,1,Mike Reilly rush for 1 yard to the Ott13. Tackled by Keith Shologan.,8,18
10:57,0,Roughing Passer,6,Penalty: Roughing Passer on Ottawa (Brandon Lang) 6 yards.,8,18
10:24,1,Pass,6,Mike Reilly pass to Fred Stamps for 6 yards to the Ott1. Tackled by Brandyn Thompson.,8,18
09:15,2,Pass,1,Mike Reilly pass to Adarius Bowman for 1 yard for a TOUCHDOWN.,8,24
09:00,0,Made Extra Point,0,Grant Shaw extra point is good.,8,25
09:00,0,Kickoff,22,Grant Shaw kicks off to the Ott7. Carlton Mitchell return for 22 yards to Ott29. Tackled by Corbin Sharun.,8,25
08:54,1,Pass,11,Henry Burris pass to Kierrie Johnson for 11 yards to the Ott40. Tackled by Aaron Grymes.,8,25
08:15,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,8,25
07:57,2,Pass,32,Henry Burris pass to Carlton Mitchell for 32 yards to the Edm38. Tackled by Chris Rwabukamba.,8,25
07:36,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,8,25
07:19,2,Pass,15,Henry Burris pass to Paris Jackson for 15 yards to the Edm23. Tackled by Joe Burnett.,8,25
06:54,1,Sack,-3,Sack at Edm26 for a loss of 3 yards. Tackled by Almondo Sewell.,8,25
06:14,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Paris Jackson.,8,25
05:36,3,Missed Field Goal,34,Brett Maher 34 yard field goal attempt is GOOD.,11,25
05:36,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,11,25
05:14,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Seth Williams.,11,25
04:49,3,Unnecessary Roughness,19,Grant Shaw punts for 49 yards to Ott26. Jamill Smith return for 4 yards to Ott30. Tackled by Mike Miller. Penalty: Unnecessary Roughness on Edmonton (Deon Lacey) 15 yards.,11,25
04:29,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,11,25
04:04,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry defensed by Joe Burnett.,11,25
03:58,3,Punt,-2,Brett Maher punts for 43 yards to Edm22. Jamal Miles return for a loss of 2 yards to Edm20. Tackled by Travis Brown.,11,25
03:45,1,Rush,3,John White rush for 3 yards to the Edm23. Tackled by Jasper Simmons.,11,25
03:27,2,Holding,21,John White rush for 31 yards to the Edm54. Penalty: Holding on Edmonton (Adarius Bowman) -10 yards.,11,25
03:01,1,Rush,10,John White rush for 10 yards to the Edm54. Tackled by Jasper Simmons.,11,25
02:52,2,Offside,-5,Penalty: Offside on Edmonton (Adam Baboulas) -5 yards.,11,25
02:41,2,Pass,-4,Mike Reilly pass to Shamawd Chambers for a loss of 4 yards to the Edm45. Tackled by T.J. Hill.,11,25
02:24,3,Punt,0,Grant Shaw punts for 64 yards to Ott1. No return.,11,25
02:07,1,Safety,-1,Sack at Ott0 for a loss of 1 yard by Marcus Howard. Safety.,11,27
02:07,1,Rush,2,John White rush for 2 yards to the Edm37. Tackled by Chris McCoy.,11,27
02:02,2,Pass,-3,Mike Reilly pass to Adarius Bowman for a loss of 3 yards to the Edm34. Tackled by Jovon Johnson.,11,27
01:39,3,Punt,6,Grant Shaw punts for 45 yards to Ott31. Jamill Smith return for 6 yards to Ott37. Tackled by Mike Miller.,11,27
01:11,1,Pass,23,Thomas DeMarco pass to Matt Carter for 23 yards to the Edm50. Tackled by Chris Rwabukamba.,11,27
00:58,1,Pass,6,Thomas DeMarco pass to Paris Jackson for 6 yards to the Edm44. Tackled by Eric Samuels.,11,27
00:48,2,Rush,11,Thomas DeMarco rush for 11 yards to the Edm33. Tackled by Dexter McCoil.,11,27
00:30,1,Pass,4,Thomas DeMarco pass to Kierrie Johnson for 4 yards to the Edm29. Tackled by Joe Burnett.,11,27
00:17,2,Interception,12,Thomas DeMarco pass INTERCEPTED and returned for 12 yards. Tackled by Kierrie Johnson.,11,27
