Time,Down,Type,Yards,Details,Edmonton,BC
14:10,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,13,17
13:45,3,Punt,4,Grant Shaw punts for 40 yards to BC29. Stefan Logan return for 4 yards to BC33. Tackled by Nathan Kanya.,13,17
13:21,1,Rush,4,Andrew Harris rush for 4 yards to the BC37. Tackled by Eddie Steele.,13,17
12:54,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Korey Williams defensed by Dexter McCoil.,13,17
12:33,0,Running into Kicker,-10,Penalty: Running into Kicker on Edmonton (Corbin Sharun) -10 yards.,13,17
12:08,1,Pass,1,Kevin Glenn pass to Andrew Harris for 1 yard to the BC48. Tackled by Joe Burnett.,13,17
11:35,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,13,17
11:12,3,Punt,4,Ricky Schmitt punts for 37 yards to Edm25. Patrick Robertson return for 4 yards to Edm29. Tackled by Rolly Lumbala.,13,17
10:56,1,Rush,4,Tyler Thomas rush for 4 yards to the Edm33. Tackled by Cord Parks.,13,17
10:24,2,Pass,7,Mike Reilly pass to Adarius Bowman for 7 yards to the Edm40. Tackled by Ryan Phillips.,13,17
09:53,1,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Edm47. Tackled by Ronnie Yell.,13,17
09:01,2,Interception,10,Mike Reilly pass intended for Calvin McCarty INTERCEPTED and returned for 10 yards. Tackled by Mike Reilly.,13,17
08:35,1,Rush,2,Andrew Harris rush for 2 yards to the Edm33. Tackled by Aaron Grymes.,13,17
08:06,2,Pass,9,Kevin Glenn pass to Korey Williams for 9 yards to the Edm24. Tackled by Eric Samuels.,13,17
07:32,1,Pass,12,Kevin Glenn pass to Shawn Gore for 12 yards to the Edm12. Tackled by Joe Burnett.,13,17
07:08,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,13,17
06:46,2,Interception,0,Kevin Glenn pass intended for Shawn Gore INTERCEPTED. No return.,13,17
06:20,1,Rush,0,Tyler Thomas rush for no gain to the Edm25. Tackled by Jabar Westerman.,13,17
05:46,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,13,17
05:21,3,Punt,1,Grant Shaw punts for 40 yards to BC45. Stefan Logan return for 1 yard to BC46. Tackled by Ryan King.,13,17
05:01,1,Rush,1,Andrew Harris rush for 1 yard to the BC47. Tackled by Deon Lacey.,13,17
04:22,2,Interception,19,Kevin Glenn pass intended for Korey Williams INTERCEPTED and returned for 19 yards. Tackled by Ernest Jackson.,13,17
03:52,1,Pass,4,Mike Reilly pass to Tyler Thomas for 4 yards to the BC36. Tackled by Adam Bighill.,13,17
03:15,2,Rush,4,Mike Reilly rush for 4 yards to the BC32. Tackled by Alex Bazzie.,13,17
02:25,3,Pass,3,Matt Nichols pass to Calvin McCarty for 3 yards to the BC29. Tackled by Alex Bazzie.,13,17
02:09,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,13,17
01:29,2,Pass Interference,5,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards. Penalty: Pass Interference on BC (Dante Marsh) 10 yards.,13,17
01:03,2,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the BC17. Tackled by Ronnie Yell.,13,17
00:31,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Tyler Thomas.,13,17
00:00,2,Pass,17,Mike Reilly pass to Fred Stamps for 17 yards for a TOUCHDOWN.,19,17
00:00,0,Made Extra Point,0,Grant Shaw extra point is good.,20,17
15:00,0,Kickoff,11,Grant Shaw kicks off to the Edm46. Onside kick recovered by kicking team by Patrick Watkins.,20,17
14:57,1,Rush,9,Mike Reilly rush for 9 yards to the Edm55.,20,17
14:35,2,Rush,0,Calvin McCarty rush for no gain to the Edm55. Tackled by Jabar Westerman.,20,17
13:51,3,Illegal Punt,23,Grant Shaw punts for 33 yards to BC22. Penalty: Illegal Punt on Edmonton (Grant Shaw) -10 yards.,20,17
13:32,1,Rush,6,Stefan Logan rush for 6 yards to the BC38. Tackled by Don Oramasionwu.,20,17
13:04,2,Rush,1,Andrew Harris rush for 1 yard to the BC39. Tackled by Dexter McCoil.,20,17
12:30,3,Punt,8,Ricky Schmitt punts for 43 yards to Edm28. Patrick Robertson return for 8 yards to Edm36. Tackled by Jamall Johnson.,20,17
12:18,1,Pass,9,Mike Reilly pass to A.J. Guyton for 9 yards to the Edm45. Tackled by Cord Parks.,20,17
