Time,Down,Type,Yards,Details,BC,Edmonton
08:55,0,Made Extra Point,0,Hugh O'Neill extra point is good.,3,27
08:55,0,Kickoff,20,Hugh O'Neill kicks off to the BC18. Marco Iannuzzi return for 20 yards to BC38. Tackled by Chris Rwabukamba.,3,27
08:46,1,Pass,17,Kevin Glenn pass to Keola Antolin for 17 yards to the BC55. Tackled by Dexter McCoil.,3,27
08:24,1,Pass,13,Kevin Glenn pass to Kito Poblah for 13 yards to the Edm42. Tackled by Marcell Young.,3,27
07:50,1,Pass,8,Kevin Glenn pass to Rolly Lumbala for 8 yards to the Edm34. Tackled by Willie Jefferson.,3,27
07:37,2,Rush,-1,Keola Antolin rush for a loss of 1 yard to the Edm35. Tackled by Almondo Sewell.,3,27
06:58,3,Pass,14,Kevin Glenn pass to Rolly Lumbala for 14 yards to the Edm21. Tackled by Marcell Young.,3,27
06:15,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Kito Poblah.,3,27
06:00,2,Fumble,-11,"Sack at Edm32 for a loss of 11 yards by J.C. Sherritt. FUMBLE, recovered by Edm (Eddie Steele). Tackled by Kevin Glenn.",3,27
05:39,1,Pass,14,Mike Reilly pass to Calvin McCarty for 14 yards to the Edm46. Tackled by Josh Johnson.,3,27
04:56,1,Pass,36,Mike Reilly pass to Adarius Bowman for 36 yards to the BC28. Tackled by Cord Parks.,3,27
04:18,1,Pass,8,Mike Reilly pass to Adarius Bowman for 8 yards to the BC20. Tackled by Ryan Phillips.,3,27
03:30,2,Rush,8,John White rush for 8 yards to the BC12. Tackled by Jamall Johnson.,3,27
02:25,1,Pass,4,Mike Reilly pass to John White for 4 yards to the BC8. Tackled by Jamall Johnson.,3,27
02:16,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Paris Jackson.,3,27
01:35,3,Missed Field Goal,15,Hugh O'Neill 15 yard field goal attempt is GOOD.,3,30
01:35,1,Rush,7,Keola Antolin rush for 7 yards to the BC42. Tackled by Alonzo Lawrence.,3,30
01:15,2,Rush,3,Pascal Lochard rush for 3 yards to the BC45. Tackled by Rennie Curran.,3,30
00:34,3,Rush,1,John Beck rush for 1 yard to the BC46. Tackled by Otha Foster.,3,30
00:02,1,Incomplete Pass,0,John Beck incomplete pass intended for Ernest Jackson.,3,30
15:00,2,Incomplete Pass,0,John Beck incomplete pass intended for Lavasier Tuinei.,3,30
14:42,3,Punt,7,Ricky Schmitt punts for 51 yards to Edm13. Kendial Lawrence return for 7 yards to Edm20. Tackled by Bo Lokombo.,3,30
14:24,1,Rush,7,John White rush for 7 yards to the Edm27. Tackled by Ronnie Yell.,3,30
13:40,2,Offside,5,Penalty: Offside on BC (Jamall Johnson) 5 yards.,3,30
13:06,1,Rush,3,John White rush for 3 yards to the Edm35. Tackled by Alex Bazzie.,3,30
