Time,Down,Type,Yards,Details,Edmonton,Hamilton
04:05,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn defensed by Erik Harris.,15,7
03:56,2,Rush,4,Mike Reilly rush for 4 yards to the Edm39. Tackled by Erik Harris.,15,7
03:28,3,Punt,0,Hugh O'Neill punts for 26 yards to Ham45. No return.,15,7
02:58,1,Offside,-5,Penalty: Offside on Hamilton (Brandon Banks) -5 yards.,15,7
02:35,1,Pass,16,Zach Collaros pass to Luke Tasker for 16 yards to the Edm54. Tackled by Alonzo Lawrence.,15,7
02:22,1,Pass,13,Zach Collaros pass to Bakari Grant for 13 yards to the Edm41. Tackled by Marcell Young.,15,7
01:45,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz.,15,7
01:31,2,Pass,7,Zach Collaros pass to Bakari Grant for 7 yards to the Edm34. Tackled by Alonzo Lawrence.,15,7
00:33,3,Missed Field Goal,41,Justin Medlock 41 yard field goal attempt is GOOD.,15,10
00:33,1,Pass,2,Pat White pass to A.J. Guyton for 2 yards to the Edm37. Tackled by Craig Butler.,15,10
00:17,2,Pass,11,Mike Reilly pass to Adarius Bowman for 11 yards to the Edm48.,15,10
15:00,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,15,10
14:51,2,Interception,15,Mike Reilly pass intended for Nate Coehoorn INTERCEPTED and returned for 15 yards. Tackled by Selvish Capers.,15,10
14:19,1,Pass,14,Zach Collaros pass to Andy Fantuz for 14 yards to the Edm26. Tackled by Otha Foster.,15,10
13:54,1,Pass,12,Zach Collaros pass to Luke Tasker for 12 yards to the Edm14. Tackled by Patrick Watkins.,15,10
13:18,1,Offside,-5,Penalty: Offside on Hamilton (Luke Tasker) -5 yards.,15,10
12:39,1,Pass,18,Zach Collaros pass to Andy Fantuz for 18 yards to the Edm1. Tackled by Marcell Young.,15,10
11:50,1,Rush,1,Zach Collaros rush for 1 yard for a TOUCHDOWN.,15,16
11:29,0,Made Extra Point,0,Justin Medlock extra point is good.,15,17
11:29,0,Kickoff,2,Justin Medlock kicks off to the Edm33. Calvin McCarty return for 2 yards to Edm35. Tackled by Christopher Johnson.,15,17
11:25,1,Pass,9,Mike Reilly pass to Adarius Bowman for 9 yards to the Edm44. Tackled by Brandon Stewart.,15,17
10:56,2,Rush,0,Tyler Thomas rush for no gain to the Edm44. Tackled by Eric Norwood.,15,17
10:09,3,Rush,3,Calvin McCarty rush for 3 yards to the Edm47. Tackled by Michael Atkinson.,15,17
