Time,Down,Type,Yards,Details,Calgary,Winnipeg
03:20,1,Rush,10,Jon Cornish rush for 10 yards to the Wpg37. Tackled by Desia Dunn.,26,23
03:15,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,26,23
02:53,2,Pass,12,Bo Levi Mitchell pass to Nik Lewis for 12 yards to the Wpg25. Tackled by Don Unamba.,26,23
02:53,1,Rush,9,Jon Cornish rush for 9 yards to the Wpg16. Tackled by Matt Bucknor.,26,23
02:12,2,Rush,2,Drew Tate rush for 2 yards to the Wpg14. Tackled by Don Unamba.,26,23
01:52,1,Rush,5,Jon Cornish rush for 5 yards to the Wpg9. Tackled by Don Unamba.,26,23
01:25,2,Rush,9,Jon Cornish rush for 9 yards for a TOUCHDOWN.,32,23
01:25,0,Made Extra Point,0,Rene Paredes extra point is good.,33,23
01:25,0,Kickoff,14,Rene Paredes kicks off to the Wpg19. Sam McGuffie return for 14 yards to Wpg33. Tackled by Adam Thibault.,33,23
01:20,1,Pass,7,Robert Marve pass to Rory Kohlert for 7 yards to the Wpg39. Tackled by Juwan Simpson.,33,23
01:16,2,Incomplete Pass,0,Robert Marve incomplete pass intended for Clarence Denmark defensed by Junior Turner.,33,23
01:07,3,Incomplete Pass,0,Robert Marve incomplete pass intended for Brett Carter.,33,23
01:01,1,Rush,10,Matt Walter rush for 10 yards to the Wpg29. Tackled by Desia Dunn.,33,23
00:56,1,Rush,2,Matt Walter rush for 2 yards to the Wpg27. Tackled by Johnny Sears Jr..,33,23
