Time,Down,Type,Yards,Details,Toronto,Calgary
08:28,1,Fumble,2,"Jon Cornish rush for 2 yards to the Cgy55. FUMBLE, recovered by Cgy (Jon Cornish).",33,25
07:45,2,Pass,18,Bo Levi Mitchell pass to Nik Lewis for 18 yards to the Tor37. Tackled by Evan McCollough.,33,25
07:20,1,Rush,12,Jon Cornish rush for 12 yards to the Tor25. Tackled by Evan McCollough.,33,25
06:25,1,Rush,4,Bo Levi Mitchell rush for 4 yards to the Tor21. Tackled by Shea Emry.,33,25
05:55,2,Pass,6,Drew Tate pass to Nik Lewis for 6 yards to the Tor15. Tackled by Evan McCollough.,33,25
05:03,1,Pass,15,Drew Tate pass to Jabari Arthur for 15 yards for a TOUCHDOWN.,33,31
05:03,0,Offside,3,Penalty: Offside on Toronto (Shea Emry) 3 yards.,33,31
04:47,0,Offside,7,Drew Tate 2 pt conversion pass to Jon Cornish is GOOD. Penalty: Offside on Toronto (Branden Smith) 5 yards.,33,33
04:42,0,Kickoff,20,Rene Paredes kicks off to the Tor13. LaVon Brazill return for 20 yards to Tor33. Tackled by Brad Sinopoli.,33,33
04:22,1,Disqualification,-17,Ricky Ray pass to Steve Slaton for no gain to the Tor33. Tackled by Deron Mayo. Penalty: Disqualification on Toronto (Steve Slaton) -17 yards.,33,33
04:09,2,Pass,1,Ricky Ray pass to Curtis Steele for 1 yard to the Tor17. Tackled by Brandon Smith.,33,33
03:47,3,Punt,14,Swayze Waters punts for 49 yards to Cgy44. Sederrik Cunningham return for 14 yards to Tor52. Tackled by Shane Horton.,33,33
03:20,1,Pass,15,Drew Tate pass to Maurice Price for 15 yards to the Tor37. Tackled by Branden Smith.,33,33
03:00,1,Pass,11,Drew Tate pass to Maurice Price for 11 yards to the Tor26. Tackled by Jermaine Gabriel.,33,33
02:39,1,Rush,11,Jon Cornish rush for 11 yards to the Tor15. Tackled by Evan McCollough.,33,33
02:16,0,Holding,-10,Penalty: Holding on Calgary (Jabari Arthur) -10 yards.,33,33
01:48,1,Pass,25,Drew Tate pass to Jon Cornish for 25 yards for a TOUCHDOWN.,33,39
01:48,0,Made Extra Point,0,Rene Paredes extra point is good.,33,40
01:48,0,Kickoff,26,Rene Paredes kicks off to the Tor15. LaVon Brazill return for 26 yards to Tor41. Tackled by Karl McCartney.,33,40
01:38,1,Pass,13,Ricky Ray pass to Jason Barnes for 13 yards to the Tor54. Tackled by Brandon Smith.,33,40
01:25,1,Pass,8,Ricky Ray pass to Spencer Watt for 8 yards to the Cgy48. Tackled by Fred Bennett.,33,40
01:10,0,Holding,-10,Penalty: Holding on Toronto (Jeff Keeping) -10 yards.,33,40
00:56,2,Pass,11,Ricky Ray pass to LaVon Brazill for 11 yards to the Cgy47. Tackled by Quincy Butler.,33,40
00:48,3,Rush,5,Curtis Steele rush for 5 yards to the Cgy42. Tackled by Deron Mayo.,33,40
00:39,1,Pass,15,Ricky Ray pass to Jason Barnes for 15 yards to the Cgy27. Tackled by Josh Bell.,33,40
00:28,1,Offside,-5,Penalty: Offside on Toronto (Jason Barnes) -5 yards.,33,40
00:18,1,Interception,1,Ricky Ray pass intended for Mike Bradwell INTERCEPTED and returned for 1 yard. Tackled by Natey Adjei.,33,40
