Time,Down,Type,Yards,Details,Hamilton,Calgary
11:21,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy33. Tackled by Justin Hickman.,0,14
10:39,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,0,14
10:14,3,Illegal Block,-6,Rob Maver punts for 48 yards to Ham29. Brandon Banks return for 4 yards to Ham33. Penalty: Illegal Block on Hamilton (Ed Gainey) -10 yards.,0,14
09:50,1,Pass,8,Zach Collaros pass to Samuel Giguere for 8 yards to the Ham31. Tackled by Juwan Simpson.,0,14
09:12,2,Rush,6,Mossis Madu rush for 6 yards to the Ham37. Tackled by Keon Raymond.,0,14
08:31,1,Pass,12,Zach Collaros pass to Luke Tasker for 12 yards to the Ham49. Tackled by Brandon Smith.,0,14
07:52,1,Pass,36,Zach Collaros pass to Brandon Banks for 36 yards to the Cgy25. Tackled by Keon Raymond.,0,14
07:05,1,Pass,6,Zach Collaros pass to Luke Tasker for 6 yards to the Cgy19. Tackled by Keon Raymond.,0,14
06:24,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,0,14
05:57,3,No Yards,-4,1 yard field goal attempt by Justin Medlock is NO GOOD. Field goal attempt is BLOCKED by Demonte' Bolden. Penalty: No Yards on Hamilton (Peter Dyakowski) -5 yards.,0,14
05:31,1,Pass,43,Bo Levi Mitchell pass to Eric Rogers for 43 yards to the Ham44. Tackled by Rico Murray.,0,14
04:42,1,Pass,25,Bo Levi Mitchell pass to   for 25 yards to the Ham19. Tackled by Brandon Stewart.,0,14
03:56,1,Pass,7,Bo Levi Mitchell pass to Tim St. Pierre for 7 yards to the Ham12. Tackled by Erik Harris.,0,14
03:12,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Ham10. Tackled by Justin Hickman.,0,14
03:00,3,Rush,1,Drew Tate rush for 1 yard to the Ham9. Tackled by Ted Laurent.,0,14
02:47,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,0,14
02:25,2,Pass,5,Bo Levi Mitchell pass to Marquay McDaniel for 5 yards to the Ham4. Tackled by Brandon Stewart.,0,14
02:17,3,Missed Field Goal,11,Rene Paredes 11 yard field goal attempt is GOOD.,0,17
02:17,1,Pass,11,Zach Collaros pass to Terrell Sinkfield for 11 yards to the Ham46. Tackled by Junior Turner.,0,17
02:09,1,Rush,19,Nic Grigsby rush for 19 yards to the Cgy45. Tackled by Buddy Jackson.,0,17
01:21,1,Pass,45,Zach Collaros pass to Brandon Banks for 45 yards for a TOUCHDOWN.,6,17
01:21,0,Made Extra Point,0,Justin Medlock extra point is good.,7,17
01:21,0,Kickoff,27,Justin Medlock kicks off to the Cgy12. Matt Walter return for 27 yards to Cgy39. Tackled by Mike Daly.,7,17
01:15,1,Pass,8,Bo Levi Mitchell pass to Marquay McDaniel for 8 yards to the Cgy47. Tackled by Simoni Lawrence.,7,17
01:10,2,Rush,1,Jon Cornish rush for 1 yard to the Cgy48. Tackled by Ted Laurent.,7,17
00:52,3,Punt,-1,Rob Maver punts for 37 yards to Ham25. Brandon Banks return for a loss of 1 yard to Ham24. Tackled by Karl McCartney.,7,17
00:29,1,Rush,6,Nic Grigsby rush for 6 yards to the Ham30. Tackled by Freddie Bishop III.,7,17
00:24,2,Rush,8,Nic Grigsby rush for 8 yards to the Ham38. Tackled by Deron Mayo.,7,17
15:00,0,Kickoff,20,Justin Medlock kicks off to the Cgy11. Sederrik Cunningham return for 20 yards to Cgy31. Tackled by Erik Harris.,7,17
14:53,1,Pass,19,Bo Levi Mitchell pass to   for 19 yards to the Cgy50. Tackled by Rico Murray.,7,17
14:09,1,Rush,7,Jon Cornish rush for 7 yards to the Ham53. Tackled by Simoni Lawrence.,7,17
13:34,2,Pass,-1,Bo Levi Mitchell pass to   for a loss of 1 yard to the Ham54. Tackled by Eric Norwood.,7,17
12:53,3,Punt,45,Rob Maver punts for 47 yards to Ham7. Brandon Banks return for 45 yards to Ham52. Tackled by Deron Mayo.,7,17
12:24,1,Pass,6,Zach Collaros pass to Luke Tasker for 6 yards to the Cgy52. Tackled by Buddy Jackson.,7,17
11:52,0,Illegal Interference,-10,Penalty: Illegal Interference on Hamilton (Terrell Sinkfield) -10 yards.,7,17
11:28,2,Rush,7,Zach Collaros rush for 7 yards to the Ham55. Tackled by Deron Mayo.,7,17
11:05,3,Punt,0,Justin Medlock punts for 40 yards to Cgy15. Sederrik Cunningham return for no gain to Cgy15. Tackled by Ed Gainey.,7,17
10:52,1,Pass,12,Bo Levi Mitchell pass to Marquay McDaniel for 12 yards to the Cgy27. Tackled by Taylor Reed.,7,17
10:07,1,Pass,16,Bo Levi Mitchell pass to Eric Rogers for 16 yards to the Cgy43. Tackled by Brandon Stewart.,7,17
09:45,1,Pass,5,Bo Levi Mitchell pass to Sederrik Cunningham for 5 yards to the Cgy48. Tackled by Taylor Reed.,7,17
09:06,2,Pass,12,Bo Levi Mitchell pass to   for 12 yards to the Ham50. Tackled by Rico Murray.,7,17
08:22,1,Pass,9,Bo Levi Mitchell pass to Eric Rogers for 9 yards to the Ham41. Tackled by Brandon Stewart.,7,17
08:02,0,Illegal Block,-10,Penalty: Illegal Block on Calgary (Pierre Lavertu) -10 yards.,7,17
07:39,2,Pass,16,Bo Levi Mitchell pass to Sederrik Cunningham for 16 yards to the Ham35. Tackled by Rico Murray.,7,17
06:49,1,Rush,3,Jon Cornish rush for 3 yards to the Ham32. Tackled by Ed Gainey.,7,17
06:02,2,Rush,15,Bo Levi Mitchell rush for 15 yards to the Ham17.,7,17
05:38,1,Rush,5,Jon Cornish rush for 5 yards to the Ham12. Tackled by Taylor Reed.,7,17
04:55,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis defensed by Brandon Stewart.,7,17
04:20,3,Missed Field Goal,20,Rene Paredes 20 yard field goal attempt is GOOD.,7,20
04:20,1,Sack,-3,Sack at Ham32 for a loss of 3 yards by Freddie Bishop III.,7,20
03:40,2,Pass,5,Zach Collaros pass to Terrell Sinkfield for 5 yards to the Ham37. Tackled by Junior Turner.,7,20
02:59,3,Punt,1,Justin Medlock punts for 49 yards to Cgy24. Sederrik Cunningham return for 1 yard to Cgy25. Tackled by Arnaud Gascon-Nadon.,7,20
02:48,1,Rush,0,Bo Levi Mitchell rush for no gain to the Cgy25. Tackled by Taylor Reed.,7,20
02:10,2,Holding,1,Bo Levi Mitchell pass to Jon Cornish for 11 yards to the Cgy36. Tackled by Brandon Stewart. Penalty: Holding on Calgary (Marquay McDaniel) -10 yards.,7,20
01:43,1,Rush,2,Jon Cornish rush for 2 yards to the Cgy28. Tackled by Linden Gaydosh.,7,20
01:05,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,7,20
00:41,3,Punt,1,Rene Paredes punts for 39 yards to Ham43. Brandon Banks return for 1 yard to Ham44. Tackled by Adam Berger.,7,20
00:20,1,Pass,6,Zach Collaros pass to Terrell Sinkfield for 6 yards to the Ham50. Tackled by Keon Raymond.,7,20
15:00,2,Pass,7,Zach Collaros pass to Luke Tasker for 7 yards to the Cgy53. Tackled by Deron Mayo.,7,20
14:21,1,Pass,16,Zach Collaros pass to Samuel Giguere for 16 yards to the Cgy37. Tackled by Deron Mayo.,7,20
13:56,1,Pass,14,Zach Collaros pass to Mossis Madu for 14 yards to the Cgy23. Tackled by Junior Turner.,7,20
13:09,1,Rush,5,Mossis Madu rush for 5 yards to the Cgy18. Tackled by Josh Bell.,7,20
12:21,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,7,20
11:55,3,Missed Field Goal,25,Justin Medlock 25 yard field goal attempt is GOOD.,10,20
11:55,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Rob Cote.,10,20
11:33,2,Interception,1,Bo Levi Mitchell pass intended for Marquay McDaniel INTERCEPTED and returned for 1 yard. Tackled by Marquay McDaniel.,10,20
11:09,1,Pass,10,Zach Collaros pass to Andy Fantuz for 10 yards to the Cgy40. Tackled by Fred Bennett.,10,20
10:26,2,Rush,1,Zach Collaros rush for 1 yard to the Cgy39. Tackled by Freddie Bishop III.,10,20
09:50,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,10,20
09:24,2,Pass,13,Zach Collaros pass to Andy Fantuz for 13 yards to the Cgy26. Tackled by Brandon Smith.,10,20
08:33,1,Pass,8,Zach Collaros pass to Andy Fantuz for 8 yards to the Cgy18. Tackled by Freddie Bishop III.,10,20
07:42,2,Rush,6,Nic Grigsby rush for 6 yards to the Cgy12. Tackled by Josh Bell.,10,20
07:21,1,Objectionable Conduct,9,Zach Collaros pass to Terrell Sinkfield for 6 yards to the Cgy6. Tackled by Buddy Jackson. Penalty: Objectionable Conduct on Calgary (Buddy Jackson) 3 yards.,10,20
06:59,1,Rush,1,Nic Grigsby rush for 1 yard to the Cgy2. Tackled by Junior Turner.,10,20
06:17,2,Rush,-3,Nic Grigsby rush for a loss of 3 yards to the Cgy5. Tackled by Freddie Bishop III.,10,20
05:35,3,Missed Field Goal,12,Justin Medlock 12 yard field goal attempt is GOOD.,13,20
05:35,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy38. Tackled by Bryan Hall.,13,20
04:59,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Eric Rogers.,13,20
04:39,3,Punt,20,Rene Paredes punts for 51 yards to Ham21. Brandon Banks return for 20 yards to Ham41. Tackled by Lin-J Shell.,13,20
04:12,1,Pass,22,Zach Collaros pass to Luke Tasker for 22 yards to the Cgy47. Tackled by Jamar Wall.,13,20
03:28,1,Pass,4,Zach Collaros pass to Mossis Madu for 4 yards to the Cgy43. Tackled by Deron Mayo.,13,20
03:04,2,Pass,19,Zach Collaros pass to Bakari Grant for 19 yards to the Cgy24. Tackled by Brandon Smith.,13,20
02:40,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield defensed by Shawn Lemon.,13,20
02:21,2,Sack,-6,Sack at Cgy30 for a loss of 6 yards by Corey Mace.,13,20
02:05,3,Missed Field Goal,37,Justin Medlock 37 yard field goal attempt is GOOD.,16,20
02:05,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Sederrik Cunningham.,16,20
02:00,2,Pass,12,Bo Levi Mitchell pass to Marquay McDaniel for 12 yards to the Cgy47. Tackled by Erik Harris.,16,20
01:55,1,Rush,3,Anthony Parker rush for 3 yards to the Cgy50. Tackled by Eric Norwood.,16,20
01:33,2,Pass,3,Bo Levi Mitchell pass to Marquay McDaniel for 3 yards to the Cgy53. Tackled by Erik Harris.,16,20
01:12,3,Illegal Block,-8,Rene Paredes punts for 37 yards to Ham20. Brandon Banks return for 2 yards to Ham22. Penalty: Illegal Block on Hamilton (Taylor Reed) -10 yards.,16,20
00:35,1,Sack,-9,Sack at Ham3 for a loss of 9 yards by Shawn Lemon.,16,20
00:30,2,Pass,20,Zach Collaros pass to Andy Fantuz for 20 yards to the Ham23. Tackled by Brandon Smith.,16,20
00:24,1,Pass,9,Zach Collaros pass to Andy Fantuz for 9 yards to the Ham32. Tackled by Jamar Wall.,16,20
00:16,2,Pass,22,Zach Collaros pass to Bakari Grant for 22 yards to the Ham54. Tackled by Jamar Wall.,16,20
00:06,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,16,20
