Time,Down,Type,Yards,Details,Calgary,Montreal
09:44,1,Rush,6,Brandon Whitaker rush for 6 yards to the Cgy48. Tackled by DeQuin Evans.,15,15
09:10,2,Rush,0,Brandon Whitaker rush for no gain to the Cgy48. Tackled by DeQuin Evans.,15,15
08:31,3,Punt,7,Sean Whyte punts for 40 yards to Cgy8. Sederrik Cunningham return for 7 yards to Cgy15. Tackled by Mike Edem.,15,15
08:12,1,Rush,18,Matt Walter rush for 18 yards to the Cgy33. Tackled by Kyries Hebert.,15,15
07:44,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Matt Walter.,15,15
07:21,2,Pass,4,Drew Tate pass to Matt Walter for 4 yards to the Cgy37. Tackled by Winston Venable.,15,15
06:53,3,No Yards,28,Rob Maver punts for 43 yards to Mtl30. Penalty: No Yards on Calgary (Jeff Hecht) -15 yards.,15,15
06:31,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,15,15
06:19,2,Pass,11,Jonathan Crompton pass to Duron Carter for 11 yards to the Cgy54. Tackled by Quincy Butler.,15,15
06:00,1,Rush,7,Brandon Whitaker rush for 7 yards to the Cgy47. Tackled by Quincy Butler.,15,15
05:30,2,Rush,2,Jonathan Crompton rush for 2 yards to the Cgy45. Tackled by DeQuin Evans.,15,15
05:11,3,Rush,2,Tanner Marsh rush for 2 yards to the Cgy43. Tackled by DeQuin Evans.,15,15
04:25,1,Pass,13,Jonathan Crompton pass to Brandon London for 13 yards to the Cgy30. Tackled by Josh Bell.,15,15
03:50,1,Pass,3,Jonathan Crompton pass to Duron Carter for 3 yards to the Cgy27. Tackled by Keon Raymond.,15,15
03:10,2,Rush,8,Tanner Marsh rush for 8 yards to the Cgy19. Tackled by Fred Bennett.,15,15
02:25,1,Rush,2,Tanner Marsh rush for 2 yards to the Cgy17. Tackled by Deron Mayo.,15,15
01:43,2,Pass,6,Jonathan Crompton pass to James Rodgers for 6 yards to the Cgy11. Tackled by Josh Bell.,15,15
00:35,3,Missed Field Goal,18,Sean Whyte 18 yard field goal attempt is GOOD.,15,18
00:35,0,Kickoff,14,Sean Whyte kicks off to the Cgy7. Sederrik Cunningham return for 14 yards to Cgy21. Tackled by Chip Cox.,15,18
00:24,1,Rush,6,Matt Walter rush for 6 yards to the Cgy27. Tackled by Aaron Lavarias.,15,18
00:01,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Rob Cote.,15,18
15:00,3,Punt,19,Rob Maver punts for 37 yards to Mtl46. James Rodgers return for 19 yards to Cgy45. Tackled by Rob Cote.,15,18
14:39,1,Rush,4,Tyrell Sutton rush for 4 yards to the Cgy41. Tackled by Junior Turner.,15,18
14:05,2,Pass,20,Jonathan Crompton pass to Brandon Whitaker for 20 yards to the Cgy21. Tackled by Juwan Simpson.,15,18
13:14,1,Pass,9,Jonathan Crompton pass to James Rodgers for 9 yards to the Cgy12. Tackled by Fred Bennett.,15,18
12:32,2,Rush,2,Tanner Marsh rush for 2 yards to the Cgy10. Tackled by Shawn Lemon.,15,18
11:39,1,Pass,10,Jonathan Crompton pass to Duron Carter for 10 yards for a TOUCHDOWN.,15,24
11:21,0,Made Extra Point,0,Sean Whyte extra point is good.,15,25
11:21,0,Kickoff,24,Sean Whyte kicks off to the Cgy8. Sederrik Cunningham return for 24 yards to Cgy32. Tackled by Andrew Lue.,15,25
11:15,1,Pass,-1,Drew Tate pass to Maurice Price for a loss of 1 yard to the Cgy31. Tackled by Chip Cox.,15,25
10:33,2,Interception,1,Drew Tate pass INTERCEPTED and returned for 1 yard. Tackled by Hugh Charles.,15,25
10:07,1,Rush,0,Brandon Whitaker rush for no gain to the Cgy44. Tackled by Keon Raymond.,15,25
09:31,0,Illegal Contact,10,Penalty: Illegal Contact on Calgary (Quincy Butler) 10 yards.,15,25
09:14,2,Offside,5,Penalty: Offside on Calgary (Freddie Bishop III) 5 yards.,15,25
08:40,1,Pass,2,Jonathan Crompton pass to Brandon London for 2 yards to the Cgy27. Tackled by Josh Bell.,15,25
08:19,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter defensed by Fred Bennett.,15,25
07:53,2,Missed Field Goal,34,Sean Whyte 34 yard field goal attempt is GOOD.,15,28
07:53,1,Pass,4,Drew Tate pass to Jabari Arthur for 4 yards to the Cgy39. Tackled by Bear Woods.,15,28
07:25,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Matt Walter.,15,28
07:09,3,Punt,14,Rob Maver punts for 41 yards to Mtl30. James Rodgers return for 14 yards to Mtl44. Tackled by Adam Thibault.,15,28
06:49,1,Rush,6,Brandon Whitaker rush for 6 yards to the Mtl50. Tackled by Freddie Bishop III.,15,28
06:21,2,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl53. Tackled by Keon Raymond.,15,28
05:36,3,Time Count,-5,Penalty: Time Count on Montreal (Sean Whyte) -5 yards.,15,28
05:14,3,Punt,12,Sean Whyte punts for 44 yards to Cgy18. Sederrik Cunningham return for 12 yards to Cgy30. Tackled by Jean-Christophe Beaulieu.,15,28
05:02,1,Pass,10,Drew Tate pass to Brad Sinopoli for 10 yards to the Cgy40. Tackled by Chip Cox.,15,28
04:38,2,Fumble,3,"Matt Walter rush for 3 yards to the Cgy43. FUMBLE, recovered by Mtl (Alan-Michael Cash). Tackled by Shane Bergman.",15,28
04:05,1,Rush,4,Brandon Whitaker rush for 4 yards to the Cgy39. Tackled by Freddie Bishop III.,15,28
03:35,2,Pass,14,Jonathan Crompton pass to S.J. Green for 14 yards to the Cgy25. Tackled by Brandon Smith.,15,28
03:04,1,Rush,5,Brandon Whitaker rush for 5 yards to the Cgy20. Tackled by Junior Turner.,15,28
02:58,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Dave Stala defensed by Juwan Simpson.,15,28
02:42,3,Missed Field Goal,27,Sean Whyte 27 yard field goal attempt is GOOD.,15,31
02:42,0,Kickoff,27,Sean Whyte kicks off to the Cgy13. Sederrik Cunningham return for 27 yards to Cgy40. Tackled by Bryn Roy.,15,31
02:36,1,Sack,-5,Sack at Cgy35 for a loss of 5 yards by Aaron Lavarias.,15,31
02:31,2,Pass,9,Drew Tate pass to Joe West for 9 yards to the Cgy44. Tackled by Winston Venable.,15,31
02:21,3,Fumble,2,"Drew Tate rush for 2 yards to the Cgy46. FUMBLE, recovered by Mtl (Alan-Michael Cash). Tackled by Stanley Bryant.",15,31
02:15,1,Rush,2,Brandon Whitaker rush for 2 yards to the Cgy44. Tackled by Deron Mayo.,15,31
02:02,2,Rush,4,Brandon Whitaker rush for 4 yards to the Cgy40. Tackled by Junior Turner.,15,31
01:45,3,Punt,6,Sean Whyte punts for 38 yards to Cgy2. Sederrik Cunningham return for 6 yards to Cgy8. Tackled by Mike Edem.,15,31
01:35,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Joe West.,15,31
01:30,2,Rush,14,Matt Walter rush for 14 yards to the Cgy22. Tackled by Winston Venable.,15,31
01:25,1,Pass,13,Drew Tate pass to Jabari Arthur for 13 yards to the Cgy35. Tackled by Chip Cox.,15,31
01:13,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Hugh Charles.,15,31
01:02,2,Pass,1,Drew Tate pass to Hugh Charles for 1 yard to the Cgy36.,15,31
00:57,3,Punt,0,Rob Maver punts for 41 yards to Mtl33. James Rodgers return for no gain to Mtl33. Tackled by Karl McCartney.,15,31
00:45,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl38. Tackled by Keon Raymond.,15,31
