Time,Down,Type,Yards,Details,Calgary,BC
11:18,1,Pass,5,Bo Levi Mitchell pass to Joe West for 5 yards to the Cgy24. Tackled by Ronnie Yell.,24,13
10:39,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker defensed by J.R. LaRose.,24,13
10:14,3,Punt,19,Rob Maver punts for 40 yards to BC46. Marco Iannuzzi return for 19 yards to Cgy45. Tackled by Glenn Love.,24,13
09:49,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,24,13
09:40,2,Sack,-6,Sack at Cgy51 for a loss of 6 yards by Shawn Lemon.,24,13
09:03,3,Punt,8,Paul McCallum punts for 40 yards to Cgy11. Anthony Parker return for 8 yards to Cgy19. Tackled by Jamall Johnson.,24,13
08:52,1,Rush,-1,Martell Mallett rush for a loss of 1 yard to the Cgy18. Tackled by  .,24,13
08:20,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Eric Rogers.,24,13
07:57,3,Punt,38,Rob Maver punts for 46 yards to BC46. Stefan Logan return for 38 yards to Cgy26. Tackled by Rob Maver.,24,13
07:37,1,Rush,3,Stefan Logan rush for 3 yards to the Cgy23. Tackled by Juwan Simpson.,24,13
06:57,2,Pass,4,Kevin Glenn pass to Shawn Gore for 4 yards to the Cgy19. Tackled by Keon Raymond.,24,13
06:02,3,Missed Field Goal,27,Paul McCallum 27 yard field goal attempt is GOOD.,24,16
06:02,0,Kickoff,26,Ricky Schmitt kicks off to the Cgy15. Keon Raymond return for 26 yards to Cgy41. Tackled by T.J. Lee.,24,16
05:56,1,Pass,24,Bo Levi Mitchell pass to Marquay McDaniel for 24 yards to the BC45. Tackled by Cord Parks.,24,16
05:12,1,Rush,5,Matt Walter rush for 5 yards to the BC40. Tackled by Solomon Elimimian.,24,16
04:32,2,Pass,16,Bo Levi Mitchell pass to Eric Rogers for 16 yards to the BC24. Tackled by Cord Parks.,24,16
03:47,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Matt Walter.,24,16
03:20,2,Pass,6,Bo Levi Mitchell pass to Matt Walter for 6 yards to the BC18. Tackled by Alex Hoffman-Ellis.,24,16
02:21,3,Missed Field Goal,26,Rene Paredes 26 yard field goal attempt is GOOD.,27,16
02:21,1,Rush,8,Stefan Logan rush for 8 yards to the BC43. Tackled by Buddy Jackson.,27,16
02:01,2,Rush,3,John Beck rush for 3 yards to the BC46. Tackled by Brandon Smith.,27,16
01:24,1,Pass,15,Kevin Glenn pass to Ernest Jackson for 15 yards to the Cgy49. Tackled by Brandon Smith.,27,16
