Time,Down,Type,Yards,Details,Calgary,BC
08:03,0,Pass Interference,21,Penalty: Pass Interference on Calgary (Brandon Smith) 21 yards.,7,20
07:42,1,Rush,-8,Andrew Harris rush for a loss of 8 yards to the Cgy9. Tackled by Brandon Smith.,7,20
06:58,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Courtney Taylor.,7,20
06:19,3,Missed Field Goal,17,Paul McCallum 17 yard field goal attempt is GOOD.,7,23
06:19,1,Pass,5,Bo Levi Mitchell pass to Anthony Parker for 5 yards to the Cgy40. Tackled by Dante Marsh.,7,23
05:45,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Kenny Stafford.,7,23
05:24,3,Punt,13,Rob Maver punts for 51 yards to BC19. Stefan Logan return for 13 yards to BC32. Tackled by Rob Cote.,7,23
05:05,1,Rush,5,Andrew Harris rush for 5 yards to the BC37. Tackled by Junior Turner.,7,23
04:27,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,7,23
04:07,3,Punt,12,Paul McCallum punts for 45 yards to Cgy28. Clifton Smith return for 12 yards to Cgy40. Tackled by Adam Bighill.,7,23
03:54,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price defensed by Dante Marsh.,7,23
03:25,2,Rush,6,Bo Levi Mitchell rush for 6 yards to the Cgy46.,7,23
03:00,3,Punt,6,Rob Maver punts for 40 yards to BC24. Stefan Logan return for 6 yards to BC30. Tackled by Eric Fraser.,7,23
02:40,1,Rush,13,Andrew Harris rush for 13 yards to the BC43. Tackled by Eric Fraser.,7,23
02:33,1,Rush,3,Andrew Harris rush for 3 yards to the BC46. Tackled by Brandon Smith.,7,23
02:06,2,Rush,6,Stefan Logan rush for 6 yards to the BC52. Tackled by Keon Raymond.,7,23
01:40,3,Rush,6,Stefan Logan rush for 6 yards to the Cgy52. Tackled by  .,7,23
01:33,1,Unnecessary Roughness,30,Thomas DeMarco pass to Shawn Gore for 15 yards to the Cgy37. Tackled by Deron Mayo. Penalty: Unnecessary Roughness on Calgary (Jamar Wall) 15 yards.,7,23
01:06,1,Rush,2,Andrew Harris rush for 2 yards to the Cgy20. Tackled by Glenn Love.,7,23
00:58,2,Rush,5,Andrew Harris rush for 5 yards to the Cgy15. Tackled by Justin Phillips.,7,23
00:35,3,Missed Field Goal,23,Paul McCallum 23 yard field goal attempt is GOOD.,7,26
