Time,Down,Type,Yards,Details,BC,Winnipeg
03:05,3,Unnecessary Roughness,15,Mike Renaud punts for 38 yards to BC51. Tim Brown return for no gain to BC51. Tackled by Teague Sherman. Penalty: Unnecessary Roughness on Winnipeg (James Green) 15 yards.,40,14
02:44,1,Rush,1,Andrew Harris rush for 1 yard to the Wpg43. Tackled by Kenny Mainor.,40,14
02:06,2,Pass,11,Thomas DeMarco pass to Paris Jackson for 11 yards to the Wpg32.,40,14
01:48,1,Rush,15,rush for 15 yards to the Wpg17. Tackled by Desia Dunn.,40,14
00:41,1,Rush,17,Andrew Harris rush for 17 yards for a TOUCHDOWN.,46,14
00:26,0,Made Extra Point,0,Paul McCallum extra point is good.,47,14
00:26,0,Kickoff,7,Paul McCallum kicks off to the Wpg6. Clarence Denmark return for 7 yards to Wpg13. Tackled by Seydou Junior Haidara.,47,14
00:01,1,Sack,-5,Sack at Wpg8 for a loss of 5 yards by Eric Taylor.,47,14
15:00,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Rory Kohlert.,47,14
14:51,3,Punt,3,Mike Renaud punts for 43 yards to Wpg51. Tim Brown return for 3 yards to Wpg48. Tackled by James Green.,47,14
14:29,1,Pass,7,Buck Pierce pass to Seydou Junior Haidara for 7 yards to the Wpg41. Tackled by Jovon Johnson.,47,14
14:04,2,Pass,3,Buck Pierce pass to   for 3 yards to the Wpg38. Tackled by Marty Markett.,47,14
13:42,3,Rush,3,Thomas DeMarco rush for 3 yards to the Wpg35. Tackled by Marty Markett.,47,14
13:10,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for  .,47,14
12:52,2,Sack,-8,Sack at Wpg43 for a loss of 8 yards by Alex Hall.,47,14
12:21,3,Punt,0,Paul McCallum punts for 38 yards to Wpg5. No return.,47,14
12:10,1,Rush,4,Will Ford rush for 4 yards to the Wpg9. Tackled by Josh Bell.,47,14
11:47,2,Fumble,3,"Jason Boltus rush for 3 yards to the Wpg12. FUMBLE, recovered by BC (Lin-J Shell). Tackled by Rory Kohlert.",47,14
11:23,1,Pass,7,Buck Pierce pass to Shawn Gore for 7 yards to the Wpg5. Tackled by Brandon Stewart.,47,14
10:48,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Paris Jackson defensed by Henoc Muamba.,47,14
10:09,3,Missed Field Goal,12,Paul McCallum 12 yard field goal attempt is GOOD.,50,14
10:09,1,Rush,2,Will Ford rush for 2 yards to the Wpg37. Tackled by Adam Bighill.,50,14
09:34,2,Sack,-1,Sack at Wpg36 for a loss of 1 yard by Anton McKenzie.,50,14
09:00,3,Punt,5,Mike Renaud punts for 40 yards to BC34. Tim Brown return for 5 yards to BC39. Tackled by Ian Wild.,50,14
08:39,1,Rush,0,Andrew Harris rush for no gain to the BC39. Tackled by Ian Wild.,50,14
08:22,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Shawn Gore defensed by Alex Suber.,50,14
07:57,3,No Yards,22,Paul McCallum punts for 37 yards to Wpg34. Penalty: No Yards on BC (Keynan Parker) -15 yards.,50,14
07:38,1,Pass,38,Jason Boltus pass to Clarence Denmark for 38 yards to the BC23. Tackled by Ryan Phillips.,50,14
06:52,1,Incomplete Pass,0,Jason Boltus incomplete pass intended for Clarence Denmark defensed by Cord Parks.,50,14
06:30,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Clarence Denmark.,50,14
05:49,3,Missed Field Goal,30,Sandro DeAngelis 30 yard field goal attempt is GOOD.,50,17
05:50,1,Pass,15,Buck Pierce pass to Nick Moore for 15 yards to the BC50. Tackled by Jovon Johnson.,50,17
05:09,1,Rush,5,Andrew Harris rush for 5 yards to the BC55. Tackled by Henoc Muamba.,50,17
04:34,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Nick Moore.,50,17
04:21,3,Illegal Block,-3,Paul McCallum punts for 47 yards to Wpg8. Jovon Johnson return for 3 yards to Wpg11. Penalty: Illegal Block on Winnipeg (Kenny Mainor) -6 yards.,50,17
04:04,1,Rush,4,Will Ford rush for 4 yards to the Wpg9. Tackled by Anton McKenzie.,50,17
03:23,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Terrence Edwards.,50,17
03:07,3,Punt,9,Mike Renaud punts for 47 yards to BC54. Tim Brown return for 9 yards to Wpg47. Tackled by Teague Sherman.,50,17
02:39,1,Rush,17,Andrew Harris rush for 17 yards to the Wpg30. Tackled by Demond Washington.,50,17
02:16,1,Fumble,0,"Joey Elliott pass to Andrew Harris for no gain to the Wpg30. FUMBLE, recovered by BC (Andrew Harris).",50,17
01:50,2,Incomplete Pass,0,Joey Elliott incomplete pass intended for Andrew Harris.,50,17
01:27,3,Missed Field Goal,37,Paul McCallum 37 yard field goal attempt is GOOD.,53,17
01:27,1,Pass,6,Jason Boltus pass to Terrence Edwards for 6 yards to the Wpg41. Tackled by Solomon Elimimian.,53,17
01:20,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Terrence Edwards.,53,17
01:09,3,Offside,-5,Penalty: Offside on Winnipeg (Terrence Edwards) -5 yards.,53,17
01:09,3,Pass,9,Jason Boltus pass to Terrence Edwards for 9 yards to the Wpg45. Tackled by Ryan Phillips.,53,17
01:02,1,Rush,4,Tim Brown rush for 4 yards to the Wpg41. Tackled by Henoc Muamba.,53,17
00:57,2,Rush,6,Tim Brown rush for 6 yards to the Wpg35. Tackled by Ian Wild.,53,17
