Time,Down,Type,Yards,Details,BC,Toronto
03:15,1,Pass,2,Travis Lulay pass to Andrew Harris for 2 yards to the BC52. Tackled by Jalil Carter.,6,14
02:48,2,Pass,10,Travis Lulay pass to Andrew Harris for 10 yards to the Tor48. Tackled by Joshua Gatlin.,6,14
02:22,1,Rush,4,Andrew Harris rush for 4 yards to the Tor44. Tackled by Jamie Robinson.,6,14
02:16,2,Offside,-5,Penalty: Offside on BC (Shawn Gore) -5 yards.,6,14
01:58,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Jovan Olafioye) -5 yards.,6,14
01:58,2,Time Count,0,Penalty: Time Count on BC (Travis Lulay) 0 yards.,6,14
01:58,3,Punt,2,Paul McCallum punts for 44 yards to Tor10. Chad Owens return for 2 yards to Tor12. Tackled by Cord Parks.,6,14
01:48,1,Rush,12,Curtis Steele rush for 12 yards to the Tor24. Tackled by Dante Marsh.,6,14
01:41,1,Rush,3,Curtis Steele rush for 3 yards to the Tor27. Tackled by Brandon Jordan.,6,14
01:19,2,Pass,1,Zach Collaros pass to Curtis Steele for 1 yard to the Tor28. Tackled by Eric Taylor.,6,14
00:55,3,Punt,1,Noel Prefontaine punts for 41 yards to BC41. Tim Brown return for 1 yard to BC42. Tackled by Jermaine Gabriel.,6,14
00:30,1,Rush,7,Andrew Harris rush for 7 yards to the BC49. Tackled by James Yurichuk.,6,14
00:24,2,Unnecessary Roughness,-27,Andrew Harris rush for 3 yards to the BC52. Tackled by Kiante Tripp. Penalty: Unnecessary Roughness on BC (Stuart Foord) -15 yards. Penalty: Unnecessary Roughness on BC (Nick Moore) -15 yards. Penalty: Unnecessary Roughness on BC (Courtney Taylor) -15 yards. Penalty: Unnecessary Roughness on Toronto (Jalil Carter) 15 yards.,6,14
15:00,0,Kickoff,23,Hugh O'Neill kicks off to the Tor13. Chad Owens return for 23 yards to Tor36. Tackled by Keynan Parker.,6,14
14:48,1,Rush,1,Curtis Steele rush for 1 yard to the Tor37. Tackled by Keron Williams.,6,14
14:20,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Chad Owens.,6,14
13:41,3,Punt,0,Noel Prefontaine punts for 30 yards to BC43. No return.,6,14
13:39,1,Rush,5,Tim Brown rush for 5 yards to the BC48. Tackled by Jonathan Williams.,6,14
12:56,2,Pass,5,Travis Lulay pass to Courtney Taylor for 5 yards to the BC53. Tackled by Pat Watkins.,6,14
12:26,3,Rush,6,Thomas DeMarco rush for 6 yards to the Tor51. Tackled by Robert McCune.,6,14
11:50,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Ernest Jackson.,6,14
11:13,2,Pass,9,Travis Lulay pass to Andrew Harris for 9 yards to the Tor42. Tackled by Pat Watkins.,6,14
10:46,3,Rush,17,Shawn Gore rush for 17 yards to the Tor25. Tackled by Robert McCune.,6,14
10:28,1,Pass,9,Travis Lulay pass to Courtney Taylor for 9 yards to the Tor16. Tackled by Pat Watkins.,6,14
10:02,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Andrew Harris.,6,14
09:44,3,Offside,5,Penalty: Offside on Toronto (Kiante Tripp) 5 yards.,6,14
09:25,1,Rush,2,Andrew Harris rush for 2 yards to the Tor9. Tackled by Jonathan Williams.,6,14
08:58,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore defensed by Matt Black.,6,14
08:06,3,Missed Field Goal,17,Paul McCallum 17 yard field goal attempt is GOOD.,9,14
08:06,0,Holding,-10,Penalty: Holding on Toronto (Wayne Smith) -10 yards.,9,14
07:45,1,Pass,34,Zach Collaros pass to Spencer Watt for 34 yards to the BC51. Tackled by J.R. LaRose.,9,14
07:23,0,Roughing Passer,15,Penalty: Roughing Passer on BC (Brandon Jordan) 15 yards.,9,14
06:58,1,Pass,8,Zach Collaros pass to Curtis Steele for 8 yards to the BC28. Tackled by Dante Marsh.,9,14
06:16,2,Rush,5,Zach Collaros rush for 5 yards to the BC23. Tackled by Cord Parks.,9,14
05:15,1,Pass,23,Zach Collaros pass to John Chiles for 23 yards for a TOUCHDOWN.,9,20
05:07,0,Made Extra Point,0,Noel Prefontaine extra point is good.,9,21
05:07,0,Holding,4,Noel Prefontaine kicks off to the BC17. Tim Brown return for 14 yards to BC31. Penalty: Holding on BC (Jabar Westerman) -10 yards.,9,21
04:58,1,Pass,7,Travis Lulay pass to Courtney Taylor for 7 yards to the BC28.,9,21
04:32,2,Rush,4,Andrew Harris rush for 4 yards to the BC32. Tackled by Jamie Robinson.,9,21
03:36,1,Pass,7,Travis Lulay pass to Andrew Harris for 7 yards to the BC39. Tackled by Marcus Ball.,9,21
03:18,2,Rush,6,Andrew Harris rush for 6 yards to the BC45. Tackled by Matt Black.,9,21
02:55,1,Pass,40,Travis Lulay pass to Nick Moore for 40 yards to the Tor25.,9,21
02:20,1,Rush,5,Andrew Harris rush for 5 yards to the Tor20. Tackled by Janzen Jackson.,9,21
01:45,2,Pass,11,Travis Lulay pass to Nick Moore for 11 yards to the Tor9. Tackled by Jalil Carter.,9,21
01:04,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris.,9,21
00:38,2,Pass,6,Travis Lulay pass to Courtney Taylor for 6 yards to the Tor3. Tackled by Robert McCune.,9,21
00:00,3,Missed Field Goal,10,Paul McCallum 10 yard field goal attempt is GOOD.,12,21
15:00,0,Kickoff,18,Hugh O'Neill kicks off to the Tor20. Chad Owens return for 18 yards to Tor38.,12,21
14:45,1,Pass,3,Zach Collaros pass to Andre Durie for 3 yards to the Tor41. Tackled by Korey Banks.,12,21
14:25,2,Pass,18,Zach Collaros pass to Jason Barnes for 18 yards to the BC51. Tackled by Ryan Phillips.,12,21
13:46,1,Pass,16,Zach Collaros pass to Chad Owens for 16 yards to the BC35. Tackled by Solomon Elimimian.,12,21
12:58,1,Pass,4,Zach Collaros pass to Mike Bradwell for 4 yards to the BC31. Tackled by Solomon Elimimian.,12,21
12:28,2,Pass,13,Zach Collaros pass to Curtis Steele for 13 yards to the BC18. Tackled by Lin-J Shell.,12,21
11:56,1,Pass,5,Zach Collaros pass to Chad Owens for 5 yards to the BC13. Tackled by Eric Taylor.,12,21
11:17,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Curtis Steele.,12,21
10:29,3,Missed Field Goal,20,Noel Prefontaine 20 yard field goal attempt is GOOD.,12,24
10:29,1,Pass,15,Travis Lulay pass to Nick Moore for 15 yards to the BC50.,12,24
10:06,1,Pass,8,Travis Lulay pass to Andrew Harris for 8 yards to the Tor52. Tackled by Robert McCune.,12,24
09:37,2,Rush,9,Andrew Harris rush for 9 yards to the Tor43. Tackled by Marcus Ball.,12,24
09:05,1,Pass,12,Travis Lulay pass to Marco Iannuzzi for 12 yards to the Tor31. Tackled by Pat Watkins.,12,24
08:27,1,Pass,8,Travis Lulay pass to Marco Iannuzzi for 8 yards to the Tor23. Tackled by Robert McCune.,12,24
07:48,2,Fumble,-3,"Andrew Harris rush for a loss of 3 yards to the Tor26. FUMBLE, recovered by Tor (Shane Horton). Tackled by Patrick Kabongo.",12,24
07:15,1,Rush,11,Curtis Steele rush for 11 yards to the Tor37. Tackled by Adam Bighill.,12,24
06:40,1,Sack,-1,Sack at Tor36 for a loss of 1 yard by Adam Bighill.,12,24
05:59,2,Pass,19,Zach Collaros pass to Chad Owens for 19 yards to the Tor55. Tackled by Ryan Phillips.,12,24
05:26,1,Rush,6,Curtis Steele rush for 6 yards to the BC49. Tackled by Brandon Jordan.,12,24
04:43,2,Rush,-1,Curtis Steele rush for a loss of 1 yard to the BC50. Tackled by Keron Williams.,12,24
03:58,3,Punt,4,Noel Prefontaine punts for 35 yards to BC15. Tim Brown return for 4 yards to BC19. Tackled by Matt Black.,12,24
03:27,1,Unnecessary Roughness,16,Sack at BC18 for no gain Recovered by Tor (Janzen Jackson) and returned for 16 yards FUMBLE Penalty: Unnecessary Roughness on BC (Dean Valli) 1 yards,12,24
03:04,1,Rush,0,Zach Collaros rush for no gain to the BC1. Tackled by Adam Bighill.,12,24
02:24,2,Rush,1,Curtis Steele rush for 1 yard for a TOUCHDOWN.,12,30
02:24,0,Made Extra Point,0,Noel Prefontaine extra point is good.,12,31
02:24,0,Illegal Block,4,Noel Prefontaine kicks off to the BC17. Tim Brown return for 14 yards to BC31. Penalty: Illegal Block on BC (Solomon Elimimian) -10 yards.,12,31
02:16,1,Rush,3,Travis Lulay rush for 3 yards to the BC24.,12,31
02:08,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,12,31
02:03,3,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore.,12,31
01:56,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto -5 yards.,12,31
01:50,1,Rush,4,Curtis Steele rush for 4 yards to the BC25. Tackled by J.R. LaRose.,12,31
01:43,2,Rush,14,Curtis Steele rush for 14 yards to the BC11. Tackled by Korey Banks.,12,31
00:56,1,Rush,11,Curtis Steele rush for 11 yards for a TOUCHDOWN.,12,37
00:56,0,Made Extra Point,0,Noel Prefontaine extra point is good.,12,38
00:56,0,Kickoff,5,Noel Prefontaine kicks off to the BC17. Tim Brown return for 5 yards to BC22. Tackled by Herve Tonye-Tonye.,12,38
00:51,1,Rush,21,Andrew Harris rush for 21 yards to the BC43. Tackled by Jermaine Gabriel.,12,38
00:45,1,Pass,10,Thomas DeMarco pass to Shawn Gore for 10 yards to the BC53. Tackled by Marcus Ball.,12,38
00:27,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Marco Iannuzzi.,12,38
00:23,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Ernest Jackson.,12,38
00:18,3,Rush,10,Andrew Harris rush for 10 yards to the Tor47. Tackled by Jason Pottinger.,12,38
