Time,Down,Type,Yards,Details,BC,Calgary
01:05,3,Illegal Interference,13,Rob Maver punts for 55 yards to BC27. Tim Brown return for 3 yards to BC30. Penalty: Illegal Interference on Calgary (Rob Cote) 10 yards.,18,26
00:29,1,Pass,7,Thomas DeMarco pass to Nick Moore for 7 yards to the BC47. Tackled by Fred Bennett.,18,26
00:16,2,Rush,0,Andrew Harris rush for no gain to the BC47. Tackled by Cordarro Law.,18,26
00:01,3,Unnecessary Roughness,-15,Paul McCallum punts for 24 yards to Cgy39.   return for no gain to Cgy39. Penalty: Unnecessary Roughness on Calgary (Juwan Simpson) -15 yards.,18,26
15:00,1,Pass,19,Kevin Glenn pass to Maurice Price for 19 yards to the Cgy43. Tackled by Dante Marsh.,18,26
14:41,1,Rush,3,Clifton Smith rush for 3 yards to the Cgy46. Tackled by Ryan Phillips.,18,26
14:14,0,Roughing Passer,15,Penalty: Roughing Passer on BC (Solomon Elimimian) 15 yards.,18,26
13:41,1,Pass,9,Kevin Glenn pass to Anthony Parker for 9 yards to the BC40. Tackled by Ryan Phillips.,18,26
13:14,2,Rush,2,Drew Tate rush for 2 yards to the BC38. Tackled by Khreem Smith.,18,26
12:44,1,Interception,33,Kevin Glenn pass intended for Brad Sinopoli INTERCEPTED by Cord Parks and returned for 33 yards. Tackled by Jabari Arthur.,18,26
11:53,1,Pass,5,Thomas DeMarco pass to Andrew Harris for 5 yards to the BC50. Tackled by Deron Mayo.,18,26
11:38,2,Pass,27,Thomas DeMarco pass to Shawn Gore for 27 yards to the Cgy33. Tackled by Brandon Smith.,18,26
11:04,1,Rush,2,Emmanuel Arceneaux rush for 2 yards to the Cgy31. Tackled by Juwan Simpson.,18,26
10:40,2,Pass,13,Thomas DeMarco pass to Nick Moore for 13 yards to the Cgy18. Tackled by Cordarro Law.,18,26
10:01,1,Pass,10,Thomas DeMarco pass to Emmanuel Arceneaux for 10 yards to the Cgy8. Tackled by Fred Bennett.,18,26
09:09,2,Rush,2,Thomas DeMarco rush for 2 yards to the Cgy6. Tackled by Juwan Simpson.,18,26
08:13,1,Pass,6,Thomas DeMarco pass to Nick Moore for 6 yards for a TOUCHDOWN.,24,26
07:58,0,Two Point Conversion,5,Thomas DeMarco 2 pt conversion pass to   is GOOD.,26,26
07:58,0,Kickoff,17,Paul McCallum kicks off to the Cgy33. Rob Cote return for 17 yards to Cgy50. Tackled by Cord Parks.,26,26
07:51,1,Pass,11,Kevin Glenn pass to Maurice Price for 11 yards to the BC49. Tackled by Dante Marsh.,26,26
07:30,1,Rush,38,Jon Cornish rush for 38 yards to the BC11. Tackled by J.R. LaRose.,26,26
07:04,0,Face Mask,5,Penalty: Face Mask on BC (Ryan Phillips) 5 yards.,26,26
06:18,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel defensed by Josh Bell.,26,26
05:36,2,Pass,6,Kevin Glenn pass to Clifton Smith for 6 yards for a TOUCHDOWN.,26,32
05:14,0,Made Extra Point,0,Rene Paredes extra point is good.,26,33
05:14,0,Kickoff,47,Rene Paredes kicks off to the BC11. Tim Brown return for 47 yards to Cgy52. Tackled by Glenn Love.,26,33
05:02,1,Rush,2,Thomas DeMarco rush for 2 yards to the Cgy50. Tackled by Demonte' Bolden.,26,33
04:34,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for  .,26,33
03:54,3,Punt,0,Paul McCallum punts for 31 yards to Cgy19. No return.,26,33
03:12,1,Pass,22,Kevin Glenn pass to Maurice Price for 22 yards to the Cgy41. Tackled by Korey Banks.,26,33
02:48,1,Rush,0,Jon Cornish rush for no gain to the Cgy41. Tackled by Keron Williams.,26,33
02:27,2,Sack,-9,Sack at Cgy32 for a loss of 9 yards by Keron Williams.,26,33
02:03,3,Punt,8,Rob Maver punts for 41 yards to BC37. Tim Brown return for 8 yards to BC45. Tackled by Yannick Carter.,26,33
01:39,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Andrew Harris defensed by Charleston Hughes.,26,33
01:35,2,Pass,12,Thomas DeMarco pass to Andrew Harris for 12 yards to the Cgy53. Tackled by Jonathan Hefney.,26,33
01:25,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,26,33
01:07,2,Interception,65,Thomas DeMarco pass intended for Marco Iannuzzi INTERCEPTED by Chris Randle and returned for 65 yards for a TOUCHDOWN.,26,39
01:07,0,Made Extra Point,0,Rene Paredes extra point is good.,26,40
01:07,0,Kickoff,15,Rene Paredes kicks off to the BC26. Andrew Harris return for 15 yards to BC41. Tackled by Tim St. Pierre.,26,40
01:01,1,Pass,5,Thomas DeMarco pass to Andrew Harris for 5 yards to the BC46. Tackled by Jonathan Hefney.,26,40
00:53,2,Rush,5,Thomas DeMarco rush for 5 yards to the BC51.,26,40
00:42,1,Rush,13,Thomas DeMarco rush for 13 yards to the Cgy46.,26,40
00:19,1,Pass,2,Thomas DeMarco pass to Marco Iannuzzi for 2 yards to the Cgy44. Tackled by Chris Randle.,26,40
00:13,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,26,40
