Time,Down,Type,Yards,Details,Saskatchewan,BC
08:52,0,Pass Interference,10,Penalty: Pass Interference on Saskatchewan (Terrell Maze) 10 yards.,7,3
08:29,1,Pass,11,Thomas DeMarco pass to Emmanuel Arceneaux for 11 yards to the Ssk12. Tackled by Tristan Jackson.,7,3
08:19,1,Interception,38,Thomas DeMarco pass INTERCEPTED by Dwight Anderson and returned for 38 yards. Tackled by Thomas DeMarco.,7,3
07:54,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk36. Tackled by Keron Williams.,7,3
07:20,2,Pass,45,Darian Durant pass to Weston Dressler for 45 yards to the BC29. Tackled by Ryan Phillips.,7,3
06:56,1,Pass,4,Darian Durant pass to Taj Smith for 4 yards to the BC25. Tackled by Cord Parks.,7,3
06:17,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,7,3
05:56,0,Face Mask,13,Penalty: Face Mask on BC (Lin-J Shell) 13 yards.,7,3
05:34,1,Rush,4,Kory Sheets rush for 4 yards to the BC8. Tackled by Solomon Elimimian.,7,3
05:03,2,Pass,7,Darian Durant pass to Taj Smith for 7 yards to the BC1. Tackled by Dante Marsh.,7,3
03:48,1,Rush,1,Kory Sheets rush for 1 yard for a TOUCHDOWN.,13,3
03:29,0,Two Point Conversion,5,Darian Durant 2 pt conversion pass to Weston Dressler is GOOD.,15,3
03:29,0,Kickoff,19,Ricky Schmitt kicks off to the BC12. Tim Brown return for 19 yards to BC31. Tackled by Spencer Moore.,15,3
03:23,1,Rush,0,Andrew Harris rush for no gain to the BC36. Tackled by Ricky Foley.,15,3
02:59,2,Interception,15,Thomas DeMarco pass intended for Nick Moore INTERCEPTED by Craig Butler and returned for 15 yards. Tackled by  .,15,3
02:38,1,Rush,3,Kory Sheets rush for 3 yards to the BC30. Tackled by Keron Williams.,15,3
02:37,2,Pass,6,Darian Durant pass to Chris Getzlaf for 6 yards to the BC24. Tackled by Korey Banks.,15,3
02:16,3,Rush,1,Drew Willy rush for 1 yard to the BC23. Tackled by Adam Bighill.,15,3
01:57,1,Offside,5,Penalty: Offside on Saskatchewan (Ricky Foley) 5 yards.,15,3
01:54,1,Rush,21,Thomas DeMarco rush for 21 yards to the BC49.,15,3
01:44,1,Pass,5,Thomas DeMarco pass to Nick Moore for 5 yards to the BC54. Tackled by Craig Butler.,15,3
01:31,2,Sack,-6,Sack at BC48 for a loss of 6 yards by Jermaine McElveen.,15,3
01:07,3,Punt,5,Paul McCallum punts for 42 yards to Ssk20.   return for 5 yards to Ssk25. Tackled by Tim Cronk.,15,3
00:48,1,Pass,15,Darian Durant pass to Kory Sheets for 15 yards to the Ssk40. Tackled by Josh Bell.,15,3
00:42,1,Unnecessary Roughness,5,Darian Durant rush for 20 yards to the BC50. Penalty: Unnecessary Roughness on Saskatchewan (Xavier Fulton) -15 yards.,15,3
00:34,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,15,3
00:29,2,Pass,25,Darian Durant pass to Chris Getzlaf for 25 yards to the BC40. Tackled by Korey Banks.,15,3
00:24,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,15,3
00:14,2,Pass,21,Darian Durant pass to Kory Sheets for 21 yards to the BC19. Tackled by Josh Bell.,15,3
00:00,1,Field Goal Single,39,39 yard field goal attempt by Chris Milo is NO GOOD (Single).,16,3
15:00,0,Kickoff OOB,30,Ricky Schmitt kicks off to the BC10. Penalty: Kickoff OOB on Saskatchewan (Ricky Schmitt) -35 yards.,16,3
14:58,1,Rush,41,rush for 41 yards to the Ssk24. Tackled by Rod Williams.,16,3
13:56,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for  .,16,3
13:44,0,Pass Interference,23,Penalty: Pass Interference on Saskatchewan (Tyron Brackenridge) 23 yards.,16,3
13:06,1,Rush,1,Shawn Gore rush for 1 yard for a TOUCHDOWN.,16,9
12:46,0,Made Extra Point,0,Paul McCallum extra point is good.,16,10
12:46,0,Kickoff,23,Paul McCallum kicks off to the Ssk25.   return for 23 yards to Ssk48. Tackled by Korey Banks.,16,10
12:39,1,Rush,16,Kory Sheets rush for 16 yards to the BC46. Tackled by Ryan Phillips.,16,10
12:16,1,Pass,25,Darian Durant pass to Taj Smith for 25 yards to the BC21. Tackled by Ryan Phillips.,16,10
11:33,1,Pass,15,Darian Durant pass to Weston Dressler for 15 yards to the BC6. Tackled by Ryan Phillips.,16,10
10:32,1,Rush,6,Kory Sheets rush for 6 yards for a TOUCHDOWN.,22,10
10:21,0,Made Extra Point,0,Chris Milo extra point is good.,23,10
10:21,0,Kickoff,15,Ricky Schmitt kicks off to the BC11. Tim Brown return for 15 yards to BC26. Tackled by Craig Butler.,23,10
10:16,1,Rush,1,Andrew Harris rush for 1 yard to the BC27. Tackled by Dwight Anderson.,23,10
09:32,2,Pass,33,Thomas DeMarco pass to Nick Moore for 33 yards to the Ssk50. Tackled by  .,23,10
08:40,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,23,10
08:16,2,Sack,-4,Sack at Ssk54 for a loss of 4 yards by John Chick.,23,10
07:29,3,Punt,4,Paul McCallum punts for 34 yards to Ssk20.   return for 4 yards to Ssk24. Tackled by Jordan Matechuk.,23,10
07:16,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk25. Tackled by Dante Marsh.,23,10
06:56,2,Pass,6,Darian Durant pass to Kory Sheets for 6 yards to the Ssk31. Tackled by Lin-J Shell.,23,10
06:23,3,Punt,7,Ricky Schmitt punts for 44 yards to BC35. Tim Brown return for 7 yards to BC42. Tackled by Tristan Black.,23,10
06:02,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,23,10
05:38,2,Sack,-1,Sack at BC41 for a loss of 1 yard by Ricky Foley.,23,10
05:00,3,Punt,3,Paul McCallum punts for 50 yards to Ssk19.   return for 3 yards to Ssk22. Tackled by Lin-J Shell.,23,10
04:40,1,Rush,5,Darian Durant rush for 5 yards to the Ssk27. Tackled by Solomon Elimimian.,23,10
03:57,0,Pass Interference,35,Penalty: Pass Interference on BC (J.R. LaRose) 35 yards.,23,10
03:35,1,Pass,21,Darian Durant pass to Chris Getzlaf for 21 yards to the BC27.,23,10
03:21,1,Rush,-2,Kory Sheets rush for a loss of 2 yards to the BC29. Tackled by Khreem Smith.,23,10
02:47,2,Sack,-7,Sack at BC36 for a loss of 7 yards by Lin-J Shell.,23,10
01:58,3,Illegal Block,10,44 yard field goal attempt by Chris Milo is NO GOOD.  Missed field goal returned by Tim Brown to the BC4. Penalty: Illegal Block on BC (Lin-J Shell) -2 yards.,23,10
01:35,1,Rush,1,Andrew Harris rush for 1 yard to the BC3. Tackled by Ricky Foley.,23,10
00:56,2,Rush,0,Buck Pierce rush for no gain to the BC3. Tackled by Ricky Foley.,23,10
00:06,3,Safety,-3,Safety,25,10
00:06,0,Kickoff,20,Paul McCallum kicks off to the Ssk29.   return for 20 yards to Ssk49. Tackled by Jason Arakgi.,25,10
15:00,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,25,10
14:47,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,25,10
14:25,3,Punt,14,Ricky Schmitt punts for 41 yards to BC20. Tim Brown return for 14 yards to BC34. Tackled by Graig Newman.,25,10
14:03,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for  .,25,10
13:41,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Shawn Gore.,25,10
13:20,3,Punt,11,Paul McCallum punts for 49 yards to Ssk27.   return for 11 yards to Ssk38. Tackled by Keynan Parker.,25,10
12:59,1,Sack,-11,Sack at Ssk27 for a loss of 11 yards by Adam Bighill.,25,10
12:18,2,Pass,7,Darian Durant pass to Kory Sheets for 7 yards to the Ssk34. Tackled by Lin-J Shell.,25,10
11:38,3,Punt,5,Ricky Schmitt punts for 48 yards to BC28. Tim Brown return for 5 yards to BC33. Tackled by Paul Woldu.,25,10
11:16,1,Pass,41,Thomas DeMarco pass to   for 41 yards to the Ssk36. Tackled by Tristan Jackson.,25,10
10:35,1,Pass,20,Thomas DeMarco pass to Shawn Gore for 20 yards to the Ssk16. Tackled by Terrell Maze.,25,10
10:16,1,Pass,6,Thomas DeMarco pass to Andrew Harris for 6 yards to the Ssk10. Tackled by Mike McCullough.,25,10
09:54,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Ben Archibald) -5 yards.,25,10
09:39,2,Sack,-10,Sack at Ssk25 for a loss of 10 yards by Ricky Foley.,25,10
08:46,3,Unnecessary Roughness,69,44 yard field goal attempt by Paul McCallum is NO GOOD.  Missed field goal returned by Weston Dressler to the Ssk35. Tackled by Paul McCallum. Penalty: Unnecessary Roughness on BC (Patrick Kabongo) 15 yards.,25,10
08:21,1,Pass,2,Darian Durant pass to Weston Dressler for 2 yards to the Ssk52. Tackled by Cord Parks.,25,10
07:53,2,Rush,13,Darian Durant rush for 13 yards to the BC45.,25,10
07:30,1,Rush,6,Kory Sheets rush for 6 yards to the BC39. Tackled by Keron Williams.,25,10
07:20,2,Rush,1,Kory Sheets rush for 1 yard to the BC38. Tackled by Adam Bighill.,25,10
06:27,3,Missed Field Goal,45,Chris Milo 45 yard field goal attempt is GOOD.,28,10
06:27,1,Pass,7,Thomas DeMarco pass to   for 7 yards to the BC42. Tackled by Tristan Jackson.,28,10
05:50,2,Pass,13,Thomas DeMarco pass to Shawn Gore for 13 yards to the BC55. Tackled by Tyron Brackenridge.,28,10
05:20,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,28,10
04:50,2,Pass,12,Thomas DeMarco pass to Nick Moore for 12 yards to the Ssk43. Tackled by Rod Williams.,28,10
04:20,1,Pass,20,Thomas DeMarco pass to Paris Jackson for 20 yards to the Ssk23. Tackled by Rod Williams.,28,10
03:50,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,28,10
03:00,2,Pass,14,Thomas DeMarco pass to   for 14 yards to the Ssk9.,28,10
02:42,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,28,10
02:38,2,Sack,-6,Sack at Ssk15 for a loss of 6 yards by Tearrius George.,28,10
02:13,3,Pass,15,Thomas DeMarco pass to Nick Moore for 15 yards for a TOUCHDOWN.,28,16
02:13,0,Made Extra Point,0,Paul McCallum extra point is good.,28,17
02:13,0,Kickoff,11,Paul McCallum kicks off to the BC46. Onside kick recovered by kicking team by Lin-J Shell. Tackled by Zach Evans.,28,17
02:09,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,28,17
02:05,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Shawn Gore.,28,17
02:00,3,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Steve Myddelton) -5 yards.,28,17
02:00,3,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux.,28,17
01:51,1,Rush,13,Kory Sheets rush for 13 yards to the BC28. Tackled by Dante Marsh.,28,17
01:31,1,Rush,2,rush for 2 yards to the BC26. Tackled by Solomon Elimimian.,28,17
01:17,2,Rush,0,rush for no gain to the BC26. Tackled by Anton McKenzie.,28,17
00:30,3,Missed Field Goal,33,Chris Milo 33 yard field goal attempt is GOOD.,31,17
00:30,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Nick Moore.,31,17
00:25,2,Interception,0,Thomas DeMarco pass intended for Emmanuel Arceneaux INTERCEPTED by  . No return. Tackled by Emmanuel Arceneaux.,31,17
00:19,1,Pass,13,Darian Durant pass to Geroy Simon for 13 yards to the BC35. Tackled by Josh Bell.,31,17
