Time,Down,Type,Yards,Details,Hamilton,BC
00:07,0,Kickoff,15,Paul McCallum kicks off to the Ham12. C.J. Gable return for 15 yards to Ham27. Tackled by Jason Arakgi.,9,14
15:00,0,Kickoff,18,Paul McCallum kicks off to the Ham14. Tavoy Moore return for 18 yards to Ham32. Tackled by Rolly Lumbala.,9,14
14:53,1,Pass,6,Henry Burris pass to Greg Ellingson for 6 yards to the Ham38. Tackled by Korey Banks.,9,14
14:10,2,Rush,0,Henry Burris rush for no gain to the Ham38. Tackled by Korey Banks.,9,14
13:38,3,Punt,7,Josh Bartel punts for 46 yards to BC26. Tim Brown return for 7 yards to BC33. Tackled by Louie Richardson.,9,14
13:25,1,Sack,-6,Sack at BC27 for a loss of 6 yards by Brandon Boudreaux.,9,14
12:45,2,Pass,56,Travis Lulay pass to Marco Iannuzzi for 56 yards to the Ham27. Tackled by Raymond Brown.,9,14
12:11,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,9,14
11:49,2,Pass,22,Travis Lulay pass to Andrew Harris for 22 yards to the Ham5. Tackled by Simoni Lawrence.,9,14
11:22,1,Rush,2,Rolly Lumbala rush for 2 yards to the Ham3. Tackled by Jamall Johnson.,9,14
10:40,2,Pass,1,Travis Lulay pass to Courtney Taylor for 1 yard to the Ham2. Tackled by Courtney Stephen.,9,14
09:29,3,Pass,2,Travis Lulay pass to Marco Iannuzzi for 2 yards for a TOUCHDOWN.,9,20
09:14,0,Made Extra Point,0,Paul McCallum extra point is good.,9,21
09:14,0,Kickoff,2,Paul McCallum kicks off to the Ham22. Tavoy Moore return for 2 yards to Ham24. Tackled by Josh Bell.,9,21
09:08,1,Face Mask,23,Henry Burris pass to Greg Ellingson for 8 yards to the Ham32. Tackled by J.R. LaRose. Penalty: Face Mask on BC (J.R. LaRose) 15 yards.,9,21
08:56,1,Pass,11,Henry Burris pass to Bakari Grant for 11 yards to the BC52. Tackled by Dante Marsh.,9,21
08:18,1,Pass,8,Henry Burris pass to Greg Ellingson for 8 yards to the BC44. Tackled by Ryan Phillips.,9,21
07:31,2,Rush,1,C.J. Gable rush for 1 yard to the BC43. Tackled by Ryan Phillips.,9,21
06:48,3,Offside,5,Penalty: Offside on BC (Keron Williams) 5 yards.,9,21
06:38,1,Pass,34,Henry Burris pass to Onrea Jones for 34 yards to the BC4. Tackled by Adam Bighill.,9,21
05:44,1,Rush,2,Dan LeFevour rush for 2 yards to the BC2. Tackled by Anton McKenzie.,9,21
04:59,0,Pass Interference,1,Penalty: Pass Interference on BC (Josh Bell) 1 yards.,9,21
04:13,1,Rush,1,Dan LeFevour rush for 1 yard for a TOUCHDOWN.,15,21
04:01,0,Made Extra Point,0,Luca Congi extra point is good.,16,21
04:01,0,Kickoff,15,Luca Congi kicks off to the BC15. Stuart Foord return for 15 yards to BC30. Tackled by Dahrran Diedrick.,16,21
03:56,1,Rush,5,Andrew Harris rush for 5 yards to the BC35. Tackled by Brian Bulcke.,16,21
03:24,2,Pass,7,Travis Lulay pass to Nick Moore for 7 yards to the BC42. Tackled by Simoni Lawrence.,16,21
02:42,1,Pass,3,Travis Lulay pass to Andrew Harris for 3 yards to the BC45. Tackled by Eric Norwood.,16,21
02:15,2,Pass,7,Travis Lulay pass to Courtney Taylor for 7 yards to the BC52. Tackled by Jamall Johnson.,16,21
01:31,3,Rush,0,Thomas DeMarco rush for no gain to the BC52. Tackled by Simoni Lawrence.,16,21
01:16,1,Rush,6,Travis Lulay rush for 6 yards to the Ham52. Tackled by Rico Murray.,16,21
00:42,2,Pass,5,Travis Lulay pass to Nick Moore for 5 yards to the Ham47. Tackled by Emanuel Davis.,16,21
00:01,1,Rush,2,Andrew Harris rush for 2 yards to the Ham45. Tackled by Brandon Boudreaux.,16,21
15:00,2,Pass,8,Travis Lulay pass to Courtney Taylor for 8 yards to the Ham37. Tackled by Rico Murray.,16,21
14:10,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Rolly Lumbala.,16,21
13:44,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,16,21
13:02,3,Field Goal Single,43,43 yard field goal attempt by Paul McCallum is NO GOOD (Single).,16,22
