Time,Down,Type,Yards,Details,Winnipeg,BC
08:44,3,Missed Field Goal,42,Lirim Hajrullahu 42 yard field goal attempt is GOOD.,6,15
08:44,1,Pass,11,Kevin Glenn pass to Shawn Gore for 11 yards to the BC46. Tackled by Bruce Johnson.,6,15
08:17,1,Rush,12,Stefan Logan rush for 12 yards to the Wpg52. Tackled by Matt Bucknor.,6,15
07:59,1,Pass,0,Kevin Glenn pass to Stefan Logan for no gain to the Wpg52. Tackled by Chris Randle.,6,15
07:20,2,Pass,14,Kevin Glenn pass to Andrew Harris for 14 yards to the Wpg38. Tackled by Willie Moseley.,6,15
06:39,1,Rush,0,Andrew Harris rush for no gain to the Wpg38. Tackled by Maurice Leggett.,6,15
06:02,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Seydou Junior Haidara defensed by Chris Randle.,6,15
04:56,3,Field Goal Single,14,57 yard field goal attempt by Paul McCallum is NO GOOD.  Missed field goal returned by Demond Washington to the Wpg0. Tackled by Adam Bighill (Single).,6,16
05:10,1,Pass,14,Brian Brohm pass to Rory Kohlert for 14 yards to the Wpg52. Tackled by Ronnie Yell.,6,16
04:17,1,Rush,5,Nic Grigsby rush for 5 yards to the BC53. Tackled by Eric Taylor.,6,16
03:40,2,Pass,8,Brian Brohm pass to Clarence Denmark for 8 yards to the BC45. Tackled by Dante Marsh.,6,16
03:02,0,Intentional Grounding,-10,Penalty: Intentional Grounding on Winnipeg (Brian Brohm) -10 yards.,6,16
02:35,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark.,6,16
02:09,3,No Yards,27,Lirim Hajrullahu punts for 42 yards to BC13. Penalty: No Yards on Winnipeg (Dan West) -15 yards.,6,16
01:53,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,6,16
01:30,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore defensed by Bruce Johnson.,6,16
01:05,3,Illegal Block,-3,Ricky Schmitt punts for 40 yards to Wpg42. Troy Stoudermire return for 7 yards to Wpg49. Penalty: Illegal Block on Winnipeg (Louie Richardson) -10 yards.,6,16
00:43,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Romby Bryant defensed by Dante Marsh.,6,16
00:21,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Romby Bryant.,6,16
15:00,3,Clipping,-16,Lirim Hajrullahu punts for 48 yards to BC23. Tim Brown return for a loss of 8 yards to BC15. Penalty: Clipping on BC (Jamall Johnson) -8 yards.,6,16
14:34,1,Rush,6,Stefan Logan rush for 6 yards to the BC13. Tackled by Abraham Kromah.,6,16
14:08,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Rolly Lumbala.,6,16
13:43,3,Punt,5,Ricky Schmitt punts for 37 yards to BC50. Troy Stoudermire return for 5 yards to BC45. Tackled by Akwasi Antwi.,6,16
13:23,1,Rush,4,Brian Brohm rush for 4 yards to the BC41. Tackled by Adam Bighill.,6,16
12:48,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Aaron Kelly.,6,16
12:07,3,Missed Field Goal,49,Lirim Hajrullahu 49 yard field goal attempt is GOOD.,9,16
12:07,1,Rush,4,Stefan Logan rush for 4 yards to the BC39. Tackled by Maurice Leggett.,9,16
11:38,2,Pass,8,Kevin Glenn pass to Andrew Harris for 8 yards to the BC47. Tackled by Demond Washington.,9,16
11:00,1,Rush,10,Andrew Harris rush for 10 yards to the Wpg53. Tackled by Desia Dunn.,9,16
10:25,1,Rush,15,Andrew Harris rush for 15 yards to the Wpg38. Tackled by Demond Washington.,9,16
09:48,1,Rush,6,Stefan Logan rush for 6 yards to the Wpg32. Tackled by Maurice Leggett.,9,16
09:07,2,Rush,3,Andrew Harris rush for 3 yards to the Wpg29. Tackled by Willie Moseley.,9,16
08:09,3,Missed Field Goal,37,Paul McCallum 37 yard field goal attempt is GOOD.,9,19
08:09,1,Sack,-1,Sack at Wpg34 for a loss of 1 yard by Khalif Mitchell.,9,19
07:27,2,Pass,7,Brian Brohm pass to Nic Grigsby for 7 yards to the Wpg41. Tackled by Adam Bighill.,9,19
07:00,3,Illegal Punt,26,Lirim Hajrullahu punts for 36 yards to BC33. Penalty: Illegal Punt on Winnipeg (Lirim Hajrullahu) -10 yards.,9,19
06:51,1,Rush,5,Andrew Harris rush for 5 yards to the BC48. Tackled by Abraham Kromah.,9,19
06:12,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,9,19
05:54,3,Punt,4,Ricky Schmitt punts for 50 yards to Wpg12. Troy Stoudermire return for 4 yards to Wpg16. Tackled by Adam Bighill.,9,19
05:35,1,Pass,-3,Brian Brohm pass to Nic Grigsby for a loss of 3 yards to the Wpg13. Tackled by Khreem Smith.,9,19
04:53,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Cory Watson.,9,19
04:33,3,No Yards,24,Lirim Hajrullahu punts for 29 yards to Wpg42. Penalty: No Yards on Winnipeg (Teague Sherman) -5 yards.,9,19
04:17,1,Rush,7,Andrew Harris rush for 7 yards to the Wpg30. Tackled by Teague Sherman.,9,19
03:10,2,Pass,30,Kevin Glenn pass to Emmanuel Arceneaux for 30 yards for a TOUCHDOWN.,9,25
03:01,0,Made Extra Point,0,Paul McCallum extra point is good.,9,26
03:01,0,Kickoff,25,Ricky Schmitt kicks off to the Wpg11. Troy Stoudermire return for 25 yards to Wpg36. Tackled by Adam Bighill.,9,26
02:56,1,Sack,-9,Sack at Wpg27 for a loss of 9 yards by Jabar Westerman.,9,26
02:44,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Rory Kohlert.,9,26
02:27,3,Holding,-6,Lirim Hajrullahu punts for 47 yards to BC36. Tim Brown return for 4 yards to BC40. Penalty: Holding on BC (Torri Williams) -10 yards.,9,26
02:17,1,Rush,12,Andrew Harris rush for 12 yards to the BC42. Tackled by Desia Dunn.,9,26
02:10,1,Rush,6,Andrew Harris rush for 6 yards to the BC48. Tackled by Abraham Kromah.,9,26
01:47,2,Rush,6,Stefan Logan rush for 6 yards to the BC54. Tackled by Chris Randle.,9,26
01:22,1,Rush,3,Stefan Logan rush for 3 yards to the Wpg53. Tackled by Abraham Kromah.,9,26
01:15,2,Rush,18,Andrew Harris rush for 18 yards to the Wpg35. Tackled by Maurice Leggett.,9,26
00:46,1,Rush,4,Stefan Logan rush for 4 yards to the Wpg31. Tackled by Teague Sherman.,9,26
00:42,2,Rush,9,Andrew Harris rush for 9 yards to the Wpg22. Tackled by Demond Washington.,9,26
00:15,1,Time Count,0,Penalty: Time Count on BC (John Beck) 0 yards.,9,26
