Time,Down,Type,Yards,Details,BC,Hamilton
04:15,2,Pass,41,Kevin Glenn pass to   for 41 yards to the Ham17. Tackled by Rico Murray.,10,12
03:13,1,Pass,17,Emmanuel Arceneaux pass to Shawn Gore for 17 yards for a TOUCHDOWN.,16,12
03:07,0,Made Extra Point,0,Paul McCallum extra point is good.,17,12
03:07,0,Holding,14,Ricky Schmitt kicks off to the Ham1. Terrell Sinkfield return for 24 yards to Ham25. Penalty: Holding on Hamilton (Arnaud Gascon-Nadon) -10 yards.,17,12
02:56,1,Pass,17,Zach Collaros pass to Bakari Grant for 17 yards to the Ham32. Tackled by Cord Parks.,17,12
02:12,1,Pass,26,Zach Collaros pass to Samuel Giguere for 26 yards to the BC52. Tackled by Ronnie Yell.,17,12
01:26,1,Pass,7,Zach Collaros pass to Samuel Giguere for 7 yards to the BC45. Tackled by Solomon Elimimian.,17,12
00:56,0,Holding,-10,Penalty: Holding on Hamilton (Tim O'Neill) -10 yards.,17,12
00:33,2,Pass,8,Zach Collaros pass to Andy Fantuz for 8 yards to the BC47. Tackled by Adam Bighill.,17,12
00:01,3,Punt,0,Justin Medlock punts for 21 yards to BC26. No return.,17,12
15:00,1,Rush,-1,Keola Antolin rush for a loss of 1 yard to the BC25. Tackled by Erik Harris.,17,12
14:33,2,Pass,3,Kevin Glenn pass to Keola Antolin for 3 yards to the BC28. Tackled by Taylor Reed.,17,12
13:42,3,Holding,53,Ricky Schmitt punts for 43 yards to Ham39. Penalty: Holding on Hamilton (Neil King) 10 yards.,17,12
13:29,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere.,17,12
13:10,0,Pass Interference,10,Penalty: Pass Interference on BC (Ronnie Yell) 10 yards.,17,12
12:48,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker defensed by Eric Taylor.,17,12
12:22,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,17,12
12:08,3,Punt,0,Justin Medlock punts for 41 yards to BC30. Bradley Randle return for no gain to BC30. Tackled by Arnaud Gascon-Nadon.,17,12
11:58,1,Pass,10,Kevin Glenn pass to   for 10 yards to the BC40. Tackled by Courtney Stephen.,17,12
