Time,Down,Type,Yards,Details,BC,Edmonton
00:38,1,Rush,4,Tyler Thomas rush for 4 yards to the BC9. Tackled by Josh Johnson.,4,7
00:20,2,Rush,5,Pat White rush for 5 yards to the BC4. Tackled by Alex Bazzie.,4,7
00:00,3,Missed Field Goal,11,Grant Shaw 11 yard field goal attempt is GOOD.,4,10
15:00,0,Kickoff,15,Steven Shott kicks off to the Edm19. Hugh Charles return for 15 yards to Edm34. Tackled by Korey Jones.,4,10
14:54,1,Pass,6,Matt Nichols pass to Brandon McRae for 6 yards to the Edm40. Tackled by Brandon McDonald.,4,10
14:10,2,Pass,9,Matt Nichols pass to Brandon McRae for 9 yards to the Edm49. Tackled by Torri Williams.,4,10
13:43,1,Rush,7,Hugh Charles rush for 7 yards to the BC54. Tackled by Torri Williams.,4,10
13:03,2,Rush,4,Hugh Charles rush for 4 yards to the BC50. Tackled by Korey Jones.,4,10
12:22,1,Pass,10,Matt Nichols pass to Mark Dell for 10 yards to the BC40. Tackled by Brandon McDonald.,4,10
11:55,2,Rush,1,Pat White rush for 1 yard to the BC39. Tackled by Korey Jones.,4,10
11:24,1,Rush,4,Hugh Charles rush for 4 yards to the BC35. Tackled by Torri Williams.,4,10
10:34,0,Holding,-10,Penalty: Holding on Edmonton (Andrew Jones) -10 yards.,4,10
10:14,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Mark Dell.,4,10
10:02,3,Punt,0,Hugh O'Neill punts for 27 yards to BC18. No return.,4,10
09:45,1,Rush,8,Keola Antolin rush for 8 yards to the BC26. Tackled by Robert Sands.,4,10
09:17,2,Rush,-2,Keola Antolin rush for a loss of 2 yards to the BC24. Tackled by Eric Samuels.,4,10
08:55,3,Punt,1,Steven Shott punts for 40 yards to Edm46. A.J. Guyton return for 1 yard to Edm47. Tackled by Casey Chin.,4,10
08:31,1,Rush,4,Matt Nichols rush for 4 yards to the Edm51. Tackled by Korey Jones.,4,10
08:01,2,Pass,11,Matt Nichols pass to Tyler Thomas for 11 yards to the BC48. Tackled by John Hardy-Tuliau.,4,10
07:25,1,Offside,-5,Penalty: Offside on Edmonton (Devon Bailey) -5 yards.,4,10
07:01,1,Face Mask,23,Matt Nichols pass to Mark Dell for 8 yards to the BC45. Tackled by Alex Hoffman-Ellis. Penalty: Face Mask on BC (Jemarlous Moten) 15 yards.,4,10
06:40,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Brandon McRae defensed by Jemarlous Moten.,4,10
06:27,2,Pass,0,Matt Nichols pass to Jamal Miles for no gain to the BC30. Tackled by Torri Williams.,4,10
05:42,3,Field Goal Single,50,50 yard field goal attempt by Zackary Medeiros is NO GOOD (Single).,4,11
05:42,1,Pass,3,John Beck pass to Pascal Lochard for 3 yards to the BC38. Tackled by Eric Samuels.,4,11
05:02,2,Sack,-7,Sack at BC31 for a loss of 7 yards by Ra'Shon Harris.,4,11
04:22,3,Offside,5,Penalty: Offside on Edmonton (Joash Gesse) 5 yards.,4,11
04:06,3,Punt,2,Steven Shott punts for 38 yards to Edm36. A.J. Guyton return for 2 yards to Edm38. Tackled by Steven Doege.,4,11
03:49,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Mark Dell.,4,11
03:39,2,Pass,16,Matt Nichols pass to Anthony Barrett for 16 yards to the Edm54. Tackled by Alex Hoffman-Ellis.,4,11
02:55,1,Unnecessary Roughness,-10,Hugh Charles rush for 5 yards to the BC51. Tackled by Chris Olson. Penalty: Unnecessary Roughness on Edmonton (Selvish Capers) -15 yards.,4,11
02:39,2,Pass,41,Matt Nichols pass to Mark Dell for 41 yards to the BC25. Tackled by Torri Williams.,4,11
01:50,0,Sack,-10,"Sack at BC25 for no gain by Alex Bazzie., recovered by Edm (Matt Nichols). . Tackled by Alex Bazzie",4,11
01:05,2,Pass,6,Matt Nichols pass to Brandon McRae for 6 yards to the BC29. Tackled by Ronnie Yell.,4,11
00:58,3,Missed Field Goal,29,29 yard field goal attempt by Zackary Medeiros is NO GOOD.,4,11
00:47,1,Incomplete Pass,0,Travis Partridge incomplete pass intended for Jabin Sambrano.,4,11
00:32,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (T-Dre Player) -5 yards.,4,11
00:20,2,Incomplete Pass,0,Travis Partridge incomplete pass intended for Jabin Sambrano defensed by Anthony Watkins.,4,11
00:03,3,Punt,5,Steven Shott punts for 46 yards to Edm44. Patrick Robertson return for 5 yards to Edm49. Tackled by Steven Doege.,4,11
15:00,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Trevis Turner) -5 yards.,4,11
14:47,1,Incomplete Pass,0,Jacory Harris incomplete pass intended for Jamal Miles.,4,11
14:31,2,Incomplete Pass,0,Jacory Harris incomplete pass intended for Mark Dell.,4,11
14:11,3,Punt,1,Hugh O'Neill punts for 39 yards to BC27. Keola Antolin return for 1 yard to BC28. Tackled by Curtis Dublanko.,4,11
13:53,1,Sack,-7,Sack at BC21 for a loss of 7 yards by Anthony Watkins.,4,11
13:26,2,Rush,7,Travis Partridge rush for 7 yards to the BC28. Tackled by Donovan Richard.,4,11
13:00,3,Punt,10,Steven Shott punts for 36 yards to Edm46. Patrick Robertson return for 10 yards to BC54. Tackled by Akwasi Antwi.,4,11
12:43,1,Rush,-4,Hugh Charles rush for a loss of 4 yards to the Edm52. Tackled by Jemarlous Moten.,4,11
12:24,2,Sack,-12,Sack at Edm40 for a loss of 12 yards by David Menard.,4,11
11:37,3,Punt,9,Hugh O'Neill punts for 45 yards to BC25. Keola Antolin return for 9 yards to BC34. Tackled by Nathan Kanya.,4,11
11:18,1,Pass,6,Travis Partridge pass to Bryan Burnham for 6 yards to the BC40. Tackled by Joe Burnett.,4,11
10:44,2,Pass,40,Travis Partridge pass to Whitman Tomusiak for 40 yards to the Edm30.,4,11
10:25,1,Rush,5,Guillaume Bourassa rush for 5 yards to the Edm25. Tackled by Daniel Ross.,4,11
09:50,2,Interception,0,Travis Partridge pass intended for Bryan Burnham INTERCEPTED. No return. Tackled by Bryan Burnham.,4,11
09:30,1,Rush,6,Tyler Thomas rush for 6 yards to the Edm31. Tackled by Seydou Junior Haidara.,4,11
08:33,2,Pass,6,Pat White pass to Mark Dell for 6 yards to the Edm37. Tackled by Jemarlous Moten.,4,11
07:50,1,Rush,3,Tyler Thomas rush for 3 yards to the Edm40. Tackled by Jemarlous Moten.,4,11
07:30,2,Incomplete Pass,0,Pat White incomplete pass intended for Anthony Barrett.,4,11
06:54,3,Punt,14,Hugh O'Neill punts for 42 yards to BC28. Keola Antolin return for 14 yards to BC42. Tackled by Otha Foster.,4,11
06:54,1,Incomplete Pass,0,Travis Partridge incomplete pass intended for Seydou Junior Haidara.,4,11
06:44,2,Rush,10,Travis Partridge rush for 10 yards to the BC52. Tackled by Robert Sands.,4,11
06:13,3,Rush,0,Travis Partridge rush for no gain to the BC52. Tackled by Donovan Richard.,4,11
05:56,1,Interception,8,Pat White pass INTERCEPTED and returned for 8 yards. Tackled by Devon Bailey.,4,11
05:38,1,Rush,11,Jabin Sambrano rush for 11 yards to the BC44. Tackled by Donovan Richard.,4,11
04:54,1,Pass,11,Travis Partridge pass to Seydou Junior Haidara for 11 yards to the BC55. Tackled by Elie Ngoyi.,4,11
04:18,0,Pass Interference,10,Penalty: Pass Interference on Edmonton (Anthony Watkins) 10 yards.,4,11
03:45,1,Pass,22,Travis Partridge pass to Stephen Adekolu for 22 yards to the Edm23. Tackled by Robert Sands.,4,11
03:07,1,Incomplete Pass,0,Travis Partridge incomplete pass intended for Seydou Junior Haidara.,4,11
02:43,2,Pass,23,Travis Partridge pass to Bryan Burnham for 23 yards for a TOUCHDOWN.,10,11
02:43,0,Made Extra Point,0,Steven Shott extra point is good.,11,11
02:43,0,Kickoff,16,Steven Shott kicks off to the Edm22. Patrick Robertson return for 16 yards to Edm38. Tackled by John Hardy-Tuliau.,11,11
02:38,1,Incomplete Pass,0,Pat White incomplete pass intended for Devon Bailey.,11,11
02:34,2,Sack,-2,Sack at Edm36 for a loss of 2 yards by David Menard.,11,11
02:20,3,Face Mask,31,Hugh O'Neill punts for 50 yards to BC24. Keola Antolin return for 16 yards to BC40. Tackled by Joash Gesse. Penalty: Face Mask on Edmonton (Joash Gesse) 15 yards.,11,11
02:10,1,Sack,-3,Sack at BC52 for a loss of 3 yards by Gregory Alexandre.,11,11
02:01,2,Pass,6,Travis Partridge pass to Stephen Adekolu for 6 yards to the Edm52. Tackled by Donovan Richard.,11,11
01:40,3,Punt,12,Steven Shott punts for 40 yards to Edm11. Patrick Robertson return for 12 yards to Edm23. Tackled by Akwasi Antwi.,11,11
01:25,1,Offside,-5,Penalty: Offside on Edmonton -5 yards.,11,11
01:20,1,Pass,17,Pat White pass to Tyler Thomas for 17 yards to the Edm35. Tackled by Casey Chin.,11,11
01:05,1,Fumble,20,"Pat White pass to Mark Dell for 5 yards to the Edm40. FUMBLE, recovered by BC (Alex Hoffman-Ellis) and returned for 15 yards. Tackled by Trevis Turner.",11,11
00:45,1,Rush,-2,Guillaume Bourassa rush for a loss of 2 yards to the Edm27. Tackled by Otha Foster.,11,11
00:25,2,Rush,-4,Guillaume Bourassa rush for a loss of 4 yards to the Edm31. Tackled by Deon Lacey.,11,11
00:08,3,Missed Field Goal,38,Steven Shott 38 yard field goal attempt is GOOD.,14,11
00:08,1,Incomplete Pass,0,Pat White incomplete pass intended for Tyler Thomas defensed by David Menard.,14,11
00:01,2,Incomplete Pass,0,Pat White incomplete pass intended for Brandon McRae defensed by Tony Burnett.,14,11
