Time,Down,Type,Yards,Details,BC,Saskatchewan
11:46,1,Rush,4,Anthony Allen rush for 4 yards to the Ssk20. Tackled by David Menard.,14,13
11:27,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,14,13
10:58,3,Illegal Block,-7,Josh Bartel punts for 43 yards to BC47. Stefan Logan return for 3 yards to BC50. Penalty: Illegal Block on BC (Jason Arakgi) -10 yards.,14,13
10:43,1,Rush,4,Andrew Harris rush for 4 yards to the BC44. Tackled by Terrell Maze.,14,13
10:08,2,Pass,8,Kevin Glenn pass to   for 8 yards to the BC52. Tackled by Samuel Hurl.,14,13
09:28,1,Rush,3,Andrew Harris rush for 3 yards to the BC55. Tackled by Derek Walker.,14,13
08:51,2,Sack,-5,Sack at BC50 for a loss of 5 yards by Tearrius George.,14,13
08:11,3,Illegal Block,48,Ricky Schmitt punts for 38 yards to Ssk22. Penalty: Illegal Block on Saskatchewan (Alex Anthony) 10 yards.,14,13
07:59,1,Rush,-3,Anthony Allen rush for a loss of 3 yards to the Ssk9. Tackled by Solomon Elimimian.,14,13
07:24,2,Rush,5,Darian Durant rush for 5 yards to the Ssk14. Tackled by Solomon Elimimian.,14,13
06:56,3,Illegal Block,-2,Josh Bartel punts for 49 yards to BC47. Stefan Logan return for 8 yards to BC55. Penalty: Illegal Block on BC (Cord Parks) -10 yards.,14,13
06:28,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for  .,14,13
06:10,2,Objectionable Conduct,10,Kevin Glenn incomplete pass intended for Andrew Harris. Penalty: Objectionable Conduct on Saskatchewan (Tyron Brackenridge) 10 yards.,14,13
05:47,1,Rush,13,Stefan Logan rush for 13 yards to the Ssk42. Tackled by Tyron Brackenridge.,14,13
05:16,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Ryan Cave) -5 yards.,14,13
04:35,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for   defensed by Terrell Maze.,14,13
04:35,2,Pass,14,Kevin Glenn pass to Andrew Harris for 14 yards to the Ssk33. Tackled by Terrell Maze.,14,13
04:09,3,Missed Field Goal,21,43 yard field goal attempt by Paul McCallum is NO GOOD.  Missed field goal returned by Marshay Green to the Ssk11. Tackled by Jamall Johnson.,14,13
03:51,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,14,13
03:31,2,Sack,-7,Sack at Ssk4 for a loss of 7 yards by Adam Bighill.,14,13
02:56,3,Safety,-4,Safety,16,13
02:56,0,Kickoff,20,Chris Milo kicks off to the BC32. Stefan Logan return for 20 yards to BC52. Tackled by Brian Peters.,16,13
02:49,1,Rush,4,Andrew Harris rush for 4 yards to the Ssk54. Tackled by Ricky Foley.,16,13
02:08,2,Offside,5,Penalty: Offside on Saskatchewan (Ricky Foley) 5 yards.,16,13
01:52,2,Rush,-1,Stefan Logan rush for a loss of 1 yard to the Ssk50. Tackled by Derek Walker.,16,13
01:28,3,No Yards,22,Ricky Schmitt punts for 37 yards to Ssk13. Penalty: No Yards on BC (Jason Arakgi) -15 yards.,16,13
01:11,1,Rush,6,Anthony Allen rush for 6 yards to the Ssk34. Tackled by Eric Taylor.,16,13
00:41,2,Offside,-5,Penalty: Offside on Saskatchewan (Eron Riley) -5 yards.,16,13
00:01,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,16,13
15:00,3,Punt,23,Josh Bartel punts for 44 yards to BC37. Stefan Logan return for 23 yards to Ssk50. Tackled by Josh Bartel.,16,13
14:37,1,Rush,6,Andrew Harris rush for 6 yards to the Ssk44. Tackled by Ricky Foley.,16,13
14:11,2,Pass,5,Kevin Glenn pass to Kito Poblah for 5 yards to the Ssk39. Tackled by Tristan Jackson.,16,13
13:33,1,Rush,8,Andrew Harris rush for 8 yards to the Ssk31. Tackled by Brian Peters.,16,13
12:51,2,Rush,5,Andrew Harris rush for 5 yards to the Ssk26. Tackled by Trevor Guyton.,16,13
12:19,1,Pass,3,Kevin Glenn pass to   for 3 yards to the Ssk23. Tackled by Rod Williams.,16,13
11:52,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Andrew Harris.,16,13
11:14,3,Missed Field Goal,30,Paul McCallum 30 yard field goal attempt is GOOD.,19,13
11:14,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Eron Riley.,19,13
10:59,0,Holding,-10,Penalty: Holding on Saskatchewan (Chris Best) -10 yards.,19,13
10:35,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Eron Riley.,19,13
10:13,3,Punt,0,Josh Bartel punts for 39 yards to BC46. No return.,19,13
09:57,1,Rush,3,Andrew Harris rush for 3 yards to the BC49. Tackled by Ricky Foley.,19,13
09:34,2,Pass,24,Kevin Glenn pass to   for 24 yards to the Ssk37. Tackled by Rod Williams.,19,13
08:57,1,Rush,4,Andrew Harris rush for 4 yards to the Ssk33. Tackled by Samuel Hurl.,19,13
08:12,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Andrew Harris.,19,13
07:18,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Saskatchewan (Trevor Guyton) 15 yards.,19,13
06:43,1,Rush,3,Stefan Logan rush for 3 yards to the Ssk15. Tackled by Tearrius George.,19,13
06:20,2,Time Count,-5,Penalty: Time Count on BC (Kevin Glenn) -5 yards.,19,13
05:46,2,Pass,20,Kevin Glenn pass to Courtney Taylor for 20 yards for a TOUCHDOWN.,25,13
05:31,0,Made Extra Point,0,Paul McCallum extra point is good.,26,13
