Time,Down,Type,Yards,Details,BC,Montreal
09:56,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Korey Williams.,0,20
09:19,3,Missed Field Goal,24,Paul McCallum 24 yard field goal attempt is GOOD.,3,20
09:19,0,Kickoff,20,Ricky Schmitt kicks off to the Mtl3. Larry Taylor return for 20 yards to Mtl23. Tackled by Seydou Junior Haidara.,3,20
09:11,1,Incomplete Pass,0,Troy Smith incomplete pass defensed by David Menard.,3,20
08:45,2,Rush,0,Troy Smith rush for no gain to the Mtl23. Tackled by Khreem Smith.,3,20
08:14,3,Punt,11,Sean Whyte punts for 46 yards to BC41. Stefan Logan return for 11 yards to BC52. Tackled by Steven Lumbala.,3,20
07:55,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,3,20
07:43,2,Pass,8,Kevin Glenn pass to Ernest Jackson for 8 yards to the Mtl50. Tackled by Geoff Tisdale.,3,20
06:51,3,Rush,-4,Korey Williams rush for a loss of 4 yards to the Mtl54. Tackled by Scott Paxson.,3,20
06:31,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Eric Deslauriers.,3,20
06:22,2,Pass,11,Troy Smith pass to S.J. Green for 11 yards to the BC45. Tackled by Josh Johnson.,3,20
05:40,1,Rush,2,Brandon Whitaker rush for 2 yards to the BC43. Tackled by Khreem Smith.,3,20
05:04,2,Rush,7,Troy Smith rush for 7 yards to the BC36. Tackled by Khreem Smith.,3,20
04:30,3,Rush,1,Brandon Whitaker rush for 1 yard to the BC35. Tackled by Solomon Elimimian.,3,20
03:41,1,Pass,7,Kevin Glenn pass to Courtney Taylor for 7 yards to the BC42. Tackled by Chip Cox.,3,20
03:26,2,Rush,-1,Stefan Logan rush for a loss of 1 yard to the BC41. Tackled by Michael Klassen.,3,20
02:57,3,Punt,3,Ricky Schmitt punts for 48 yards to Mtl21. Larry Taylor return for 3 yards to Mtl24. Tackled by Jason Arakgi.,3,20
02:46,1,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,3,20
02:22,2,Pass,8,Troy Smith pass to   for 8 yards to the Mtl32. Tackled by Dante Marsh.,3,20
01:50,3,Unnecessary Roughness,33,Sean Whyte punts for 33 yards to BC45. Penalty: No Yards on Montreal (Kenny Stafford) -15 yards. Penalty: Unnecessary Roughness on BC 15 yards.,3,20
01:26,1,Pass,17,Kevin Glenn pass to Korey Williams for 17 yards to the Mtl48. Tackled by Billy Parker.,3,20
01:06,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Andrew Harris.,3,20
