Time,Down,Type,Yards,Details,Saskatchewan,BC
08:22,3,Punt,5,Ricky Schmitt punts for 43 yards to Ssk31. Ryan Smith return for 5 yards to Ssk36. Tackled by Akwasi Antwi.,12,16
08:07,1,Sack,-5,Sack at Ssk31 for a loss of 5 yards by Solomon Elimimian.,12,16
07:29,2,Pass,6,Tino Sunseri pass to Taj Smith for 6 yards to the Ssk37. Tackled by T.J. Lee.,12,16
07:05,3,Punt,14,Josh Bartel punts for 53 yards to BC20. Tim Brown return for 14 yards to BC34. Tackled by Shomari Williams.,12,16
06:50,1,Rush,-8,rush for a loss of 8 yards to the BC26. Tackled by John Chick.,12,16
06:11,2,Pass,8,Kevin Glenn pass to Ernest Jackson for 8 yards to the BC34. Tackled by Carlos Thomas.,12,16
05:25,3,Holding,56,Ricky Schmitt punts for 46 yards to Ssk30. Penalty: Holding on Saskatchewan (Dylan Ainsworth) 10 yards.,12,16
05:05,1,Rush,2,Anthony Allen rush for 2 yards to the Ssk22. Tackled by Cord Parks.,12,16
04:30,2,Pass,14,Tino Sunseri pass to Ryan Smith for 14 yards to the Ssk36. Tackled by Ryan Phillips.,12,16
03:55,1,Rush,6,Anthony Allen rush for 6 yards to the Ssk42. Tackled by Eric Taylor.,12,16
03:16,2,Pass,3,Tino Sunseri pass to Taj Smith for 3 yards to the Ssk45. Tackled by Dante Marsh.,12,16
02:27,3,Rush,12,Tino Sunseri rush for 12 yards to the BC53. Tackled by Solomon Elimimian.,12,16
01:48,1,Rush,8,Anthony Allen rush for 8 yards to the BC45. Tackled by Solomon Elimimian.,12,16
01:10,2,Rush,3,Anthony Allen rush for 3 yards to the BC42. Tackled by Solomon Elimimian.,12,16
00:37,1,Objectionable Conduct,41,Will Ford rush for 40 yards to the BC2. Tackled by Ryan Phillips. Penalty: Objectionable Conduct on BC (Khalif Mitchell) 1 yards.,12,16
00:00,1,Pass,1,Tino Sunseri pass to Dan Clark for 1 yard for a TOUCHDOWN.,18,16
00:00,0,Made Extra Point,0,Chris Milo extra point is good.,19,16
15:00,0,Kickoff,32,Chris Milo kicks off to the BC7. Tim Brown return for 32 yards to BC39. Tackled by Tyron Brackenridge.,19,16
14:52,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,19,16
14:34,2,Pass,12,Kevin Glenn pass to Tim Brown for 12 yards to the BC51. Tackled by Carlos Thomas.,19,16
13:52,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,19,16
13:32,2,Unnecessary Roughness,-11,Kevin Glenn pass to Tim Brown for 4 yards to the BC55. Tackled by Brian Peters. Penalty: Unnecessary Roughness on BC (Dean Valli) -15 yards.,19,16
13:13,3,Illegal Punt,23,Ricky Schmitt punts for 33 yards to Ssk37. Penalty: Illegal Punt on BC (Ricky Schmitt) -10 yards.,19,16
13:02,1,Pass,6,Tino Sunseri pass to Anthony Allen for 6 yards to the Ssk53. Tackled by Torri Williams.,19,16
12:26,2,Rush,0,Anthony Allen rush for no gain to the Ssk53. Tackled by Khalif Mitchell.,19,16
11:38,3,Punt,4,Josh Bartel punts for 45 yards to BC12. Tim Brown return for 4 yards to BC16. Tackled by Levi Steinhauer.,19,16
11:20,1,Rush,6,rush for 6 yards to the BC22. Tackled by Trevor Guyton.,19,16
10:54,2,Rush,3,rush for 3 yards to the BC25. Tackled by Tearrius George.,19,16
10:10,3,No Yards,38,Ricky Schmitt punts for 43 yards to Ssk42. Penalty: No Yards on BC (Keynan Parker) -5 yards.,19,16
09:49,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Taj Smith.,19,16
09:28,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Ryan Smith.,19,16
09:04,3,Punt,17,Josh Bartel punts for 49 yards to BC14. Tim Brown return for 17 yards to BC31. Tackled by Chad Kilgore.,19,16
08:43,1,Rush,4,Shawn Gore rush for 4 yards to the BC35. Tackled by Terrell Maze.,19,16
08:17,2,Sack,-5,Sack at BC30 for a loss of 5 yards by Ricky Foley.,19,16
07:27,0,Fumble,5,", recovered by BC (Shomari Williams). Ricky Schmitt punts for 55 yards to Ssk25. Ryan Smith return for 5 yards to Ssk30. FUMBLE",19,16
07:27,1,Objectionable Conduct,-12,Anthony Allen rush for a loss of 2 yards to the Ssk28. Tackled by Alex Bazzie. Penalty: Objectionable Conduct on Saskatchewan (Anthony Allen) -10 yards.,19,16
07:10,2,Pass,3,Tino Sunseri pass to Anthony Allen for 3 yards to the Ssk21. Tackled by Adam Bighill.,19,16
06:18,3,Punt,16,Josh Bartel punts for 43 yards to BC46. Stefan Logan return for 16 yards to Ssk48. Tackled by Scott McHenry.,19,16
06:02,1,Rush,3,Kevin Glenn rush for 3 yards to the Ssk45.,19,16
05:38,2,Pass,2,Travis Lulay pass to Stefan Logan for 2 yards to the Ssk43. Tackled by Tristan Jackson.,19,16
04:53,3,Punt,0,Ricky Schmitt punts for 27 yards to Ssk16. No return.,19,16
04:40,1,Rush,4,Anthony Allen rush for 4 yards to the Ssk20. Tackled by J.R. LaRose.,19,16
03:59,2,Pass,29,Tino Sunseri pass to Rob Bagg for 29 yards to the Ssk49.,19,16
03:37,1,Rush,10,Anthony Allen rush for 10 yards to the BC51. Tackled by Torri Williams.,19,16
03:00,1,Rush,6,Anthony Allen rush for 6 yards to the BC45. Tackled by Adam Bighill.,19,16
02:38,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Chris Getzlaf defensed by Cord Parks.,19,16
02:00,3,Punt Single,0,Josh Bartel punts for 64 yards to BC0. No return (Single).,20,16
02:00,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,20,16
01:56,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi defensed by Tristan Jackson.,20,16
01:49,3,Punt,3,Ricky Schmitt punts for 51 yards to Ssk24. Ryan Smith return for 3 yards to Ssk27. Tackled by Seydou Junior Haidara.,20,16
01:42,0,Too Many Men on Field,0,Penalty: Holding on Saskatchewan (Chris Best) -10 yards. Penalty: Too Many Men on Field on BC 10 yards.,20,16
01:36,1,Rush,4,Anthony Allen rush for 4 yards to the Ssk31. Tackled by Eric Taylor.,20,16
01:31,2,Rush,11,Anthony Allen rush for 11 yards to the Ssk42. Tackled by Dante Marsh.,20,16
01:06,1,Rush,8,Anthony Allen rush for 8 yards to the Ssk50. Tackled by Torri Williams.,20,16
00:44,2,Rush,0,Will Ford rush for no gain to the Ssk50. Tackled by Khreem Smith.,20,16
00:40,3,Punt,19,Josh Bartel punts for 47 yards to BC13. Tim Brown return for 19 yards to BC32. Tackled by Dylan Ainsworth.,20,16
00:29,1,Pass,11,Travis Lulay pass to Marco Iannuzzi for 11 yards to the BC43. Tackled by Tristan Jackson.,20,16
00:22,1,Pass,5,Travis Lulay pass to Stefan Logan for 5 yards to the BC48. Tackled by Rod Williams.,20,16
00:16,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,20,16
00:11,3,Pass,9,Travis Lulay pass to Stefan Logan for 9 yards to the Ssk53. Tackled by Tyron Brackenridge.,20,16
00:03,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Ernest Jackson defensed by Mark LeGree.,20,16
