Time,Down,Type,Yards,Details,BC,Toronto
15:00,0,Kickoff,42,Ricky Schmitt kicks off to the Tor11. Terrell Sinkfield return for 42 yards to Tor53. Tackled by Akwasi Antwi.,13,9
14:54,1,Rush,-2,Curtis Steele rush for a loss of 2 yards to the Tor51. Tackled by Alex Bazzie.,13,9
14:30,2,Pass,-1,Ricky Ray pass to Curtis Steele for a loss of 1 yard to the Tor50. Tackled by Solomon Elimimian.,13,9
13:56,3,Punt,0,Swayze Waters punts for 44 yards to BC16.   return for no gain to BC16. Tackled by Vincent Agnew.,13,9
13:42,1,Rush,5,Stefan Logan rush for 5 yards to the BC21. Tackled by Dwight Anderson.,13,9
12:58,2,Rush,14,Stefan Logan rush for 14 yards to the BC35. Tackled by Antwaun Molden.,13,9
12:45,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Hunter Steward) -5 yards.,13,9
12:28,1,Pass,7,Kevin Glenn pass to Shawn Gore for 7 yards to the BC37. Tackled by Brandon Underwood.,13,9
11:56,2,Pass,18,Kevin Glenn pass to Stefan Logan for 18 yards to the BC55. Tackled by Antwaun Molden.,13,9
11:41,1,Rush,3,rush for 3 yards to the Tor52. Tackled by Antwaun Molden.,13,9
11:18,2,Pass,6,Kevin Glenn pass to Stefan Logan for 6 yards to the Tor46. Tackled by Antwaun Molden.,13,9
10:40,3,Punt,0,Ricky Schmitt punts for 31 yards to Tor15. No return.,13,9
10:04,1,Rush,3,Jeremiah Johnson rush for 3 yards to the Tor18. Tackled by Solomon Elimimian.,13,9
09:52,2,Pass,10,Ricky Ray pass to Curtis Steele for 10 yards to the Tor28. Tackled by Ryan Phillips.,13,9
09:04,1,Pass,9,Ricky Ray pass to Jason Barnes for 9 yards to the Tor37. Tackled by J.R. LaRose.,13,9
08:28,2,Rush,-1,Curtis Steele rush for a loss of 1 yard to the Tor36. Tackled by Alex Bazzie.,13,9
07:41,3,Punt,2,Swayze Waters punts for 50 yards to BC24.   return for 2 yards to BC26. Tackled by Gregory Jones.,13,9
07:18,1,Rush,7,Stefan Logan rush for 7 yards to the BC33. Tackled by Jermaine Gabriel.,13,9
07:02,2,Rush,2,Stefan Logan rush for 2 yards to the BC35. Tackled by Antwaun Molden.,13,9
06:20,3,Punt,14,Ricky Schmitt punts for 49 yards to Tor26. Branden Smith return for 14 yards to Tor40. Tackled by Keynan Parker.,13,9
05:49,1,Pass,11,Ricky Ray pass to Terrell Sinkfield for 11 yards to the Tor51. Tackled by Solomon Elimimian.,13,9
05:30,1,Rush,6,Curtis Steele rush for 6 yards to the BC53. Tackled by Solomon Elimimian.,13,9
04:45,2,Pass,1,Ricky Ray pass to Curtis Steele for 1 yard to the BC52. Tackled by Ronnie Yell.,13,9
