Time,Down,Type,Yards,Details,Hamilton,Saskatchewan
00:50,2,Offside,5,Penalty: Offside on Saskatchewan (John Chick) 5 yards.,1,24
00:48,2,Pass,11,Zach Collaros pass to Luke Tasker for 11 yards to the Ham51. Tackled by Samuel Hurl.,1,24
00:41,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,1,24
00:32,2,Pass,5,Zach Collaros pass to Bakari Grant for 5 yards to the Ssk54. Tackled by Rod Williams.,1,24
00:26,3,Punt,1,Justin Medlock punts for 35 yards to Ssk19. Marshay Green return for 1 yard to Ssk20. Tackled by Erik Harris.,1,24
15:00,0,Unnecessary Roughness,2,Chris Milo kicks off to the Ham29. Brandon Banks return for 17 yards to Ham46. Tackled by Dylan Ainsworth. Penalty: Unnecessary Roughness on Hamilton (Hasan Hazime) -15 yards.,1,24
14:52,1,Pass,12,Zach Collaros pass to Samuel Giguere for 12 yards to the Ham43. Tackled by Brian Peters.,1,24
14:19,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,1,24
14:09,2,Sack,-9,Sack at Ham34 for a loss of 9 yards by Ricky Foley.,1,24
13:36,3,Punt,10,Justin Medlock punts for 55 yards to Ssk21. Marshay Green return for 10 yards to Ssk31. Tackled by Hasan Hazime.,1,24
13:16,1,Rush,12,Anthony Allen rush for 12 yards to the Ssk43. Tackled by Simoni Lawrence.,1,24
12:40,1,Unnecessary Roughness,18,Darian Durant pass to Rob Bagg for 3 yards to the Ham40. Tackled by James Rogers. Penalty: Unnecessary Roughness on Hamilton (James Rogers) 15 yards.,1,24
12:07,1,Rush,5,Anthony Allen rush for 5 yards to the Ham44. Tackled by Brandon Boudreaux.,1,24
11:38,2,Rush,14,Anthony Allen rush for 14 yards to the Ham30. Tackled by Ted Laurent.,1,24
10:53,1,Rush,2,Anthony Allen rush for 2 yards to the Ham28. Tackled by Bryan Hall.,1,24
10:08,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,1,24
09:29,3,Fumble,6,"24 yard field goal attempt by Chris Milo is NO GOOD.  Missed field goal returned by Brandon Banks to the Ham10., recovered by Ssk (Levi Steinhauer). FUMBLE",1,24
08:36,1,Pass,10,Darian Durant pass to Brett Swain for 10 yards for a TOUCHDOWN.,1,30
08:16,0,Made Extra Point,0,Chris Milo extra point is good.,1,31
08:16,0,Kickoff,45,Chris Milo kicks off to the Ham22. Brandon Banks return for 45 yards to Ssk43. Tackled by Kevin Regimbald.,1,31
08:07,1,Offside,-5,Penalty: Offside on Hamilton (Bakari Grant) -5 yards.,1,31
07:48,1,Sack,-1,Sack at Ssk49 for a loss of 1 yard by Ricky Foley.,1,31
07:14,2,Sack,-3,Sack at Ssk52 for a loss of 3 yards by Derek Walker.,1,31
06:33,3,Punt,0,Justin Medlock punts for 50 yards to Ssk2. No return.,1,31
06:19,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk5. Tackled by Brian Bulcke.,1,31
05:45,2,Rush,4,Anthony Allen rush for 4 yards to the Ssk9. Tackled by Simoni Lawrence.,1,31
04:31,3,Safety,-9,Safety,3,31
04:31,0,Illegal Block,-1,Chris Milo kicks off to the Ham36. Mossis Madu return for 9 yards to Ham45. Penalty: Illegal Block on Hamilton (Arnaud Gascon-Nadon) -10 yards.,3,31
04:15,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Cary Koch.,3,31
04:04,2,Pass,9,Zach Collaros pass to Cary Koch for 9 yards to the Ham44. Tackled by Trevor Guyton.,3,31
03:12,3,Rush,1,Dan LeFevour rush for 1 yard to the Ham45. Tackled by Ricky Foley.,3,31
02:51,1,Sack,-2,Sack at Ham43 for a loss of 2 yards by John Chick.,3,31
02:06,2,Pass,5,Zach Collaros pass to Samuel Giguere for 5 yards to the Ham48. Tackled by Samuel Hurl.,3,31
01:42,3,Punt,0,Justin Medlock punts for 29 yards to Ssk33. No return.,3,31
01:31,1,Rush,17,Anthony Allen rush for 17 yards to the Ssk50. Tackled by Rico Murray.,3,31
00:56,1,Rush,1,Anthony Allen rush for 1 yard to the Ssk51. Tackled by Brian Bulcke.,3,31
00:01,2,Rush,11,Anthony Allen rush for 11 yards to the Ham48. Tackled by Craig Butler.,3,31
15:00,1,Interception,42,Darian Durant pass intended for Taj Smith INTERCEPTED and returned for 42 yards. Tackled by Darian Durant.,3,31
14:24,1,Incomplete Pass,0,Brandon Banks incomplete pass intended for Zach Collaros.,3,31
14:10,2,Pass,10,Zach Collaros pass to Samuel Giguere for 10 yards to the Ssk18.,3,31
13:44,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Cary Koch.,3,31
