Time,Down,Type,Yards,Details,Montreal,Saskatchewan
07:28,3,No Yards,21,Sean Whyte punts for 36 yards to Mtl49. Penalty: No Yards on Montreal (Daryl Townsend) -15 yards.,4,12
07:10,1,Rush,0,Jerome Messam rush for no gain to the Mtl34. Tackled by Michael Klassen.,4,12
06:40,2,Pass,9,Darian Durant pass to Jerome Messam for 9 yards to the Mtl25. Tackled by Winston Venable.,4,12
06:03,3,Rush,2,Tino Sunseri rush for 2 yards to the Mtl23. Tackled by Bear Woods.,4,12
05:16,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,4,12
04:50,2,Sack,-9,Sack at Mtl32 for a loss of 9 yards by John Bowman.,4,12
03:34,3,Missed Field Goal,123,45 yard field goal attempt by Chris Milo is NO GOOD.  Missed field goal returned by Duron Carter for a TOUCHDOWN.,10,12
03:14,0,Made Extra Point,0,Sean Whyte extra point is good.,11,12
03:14,0,Kickoff,28,Sean Whyte kicks off to the Ssk13. Ryan Smith return for 28 yards to Ssk41. Tackled by Winston Venable.,11,12
03:06,1,Rush,4,Will Ford rush for 4 yards to the Ssk45. Tackled by Jerald Brown.,11,12
02:45,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,11,12
02:16,3,Punt Single,83,Josh Bartel punts for 83 yards to Mtl0 (Single).,11,13
02:16,1,Unnecessary Roughness,5,Alex Brink pass to Brandon Whitaker for 20 yards to the Mtl55. Penalty: Unnecessary Roughness on Montreal ( ) -15 yards.,11,13
02:07,1,Pass,6,Alex Brink pass to Duron Carter for 6 yards to the Mtl46. Tackled by Tearrius George.,11,13
02:00,2,Incomplete Pass,0,Alex Brink incomplete pass intended for   defensed by Terrell Maze.,11,13
01:46,3,Sack,-1,Sack at Mtl45 for a loss of 1 yard by John Chick.,11,13
01:40,1,Rush,5,Will Ford rush for 5 yards to the Mtl40. Tackled by Aaron Lavarias.,11,13
01:35,0,Holding,-10,Penalty: Holding on Saskatchewan (Xavier Fulton) -10 yards.,11,13
01:09,2,Rush,17,Darian Durant rush for 17 yards to the Mtl33. Tackled by Jerald Brown.,11,13
01:01,1,Rush,8,Will Ford rush for 8 yards to the Mtl25. Tackled by Michael Klassen.,11,13
00:39,2,Rush,1,Will Ford rush for 1 yard to the Mtl24. Tackled by Gabriel Knapton.,11,13
00:12,3,Missed Field Goal,32,Chris Milo 32 yard field goal attempt is GOOD.,11,16
00:12,0,Illegal Participation,-10,Penalty: Illegal Participation on Montreal (Duron Carter) -10 yards.,11,16
00:01,1,Fumble,18,"Alex Brink pass to Duron Carter for 10 yards to the Mtl35. FUMBLE, recovered by Ssk (Tristan Black) and returned for 8 yards. Tackled by Luc Brodeur-Jourdain.",11,16
