Time,Down,Type,Yards,Details,Saskatchewan,Ottawa
03:21,1,Rush,0,Curtis McNeal rush for no gain to the Ssk52. Tackled by Marlon Smith.,21,17
03:07,2,Rush,7,Curtis McNeal rush for 7 yards to the Ott51. Tackled by Marlon Smith.,21,17
02:33,3,Punt,0,Brett Cameron punts for 27 yards to Ott18. No return.,21,17
02:09,1,Fumble,7,"Alex Carder pass to Eric O'Neal for 7 yards to the Ott25. FUMBLE, recovered by Ott (Eric O'Neal).",21,17
01:57,2,Rush,3,Eric O'Neal rush for 3 yards to the Ott28. Tackled by Trevor Guyton.,21,17
01:40,1,Incomplete Pass,0,Alex Carder incomplete pass intended for Taulib Ikharo.,21,17
01:17,2,Sack,-8,Sack at Ott20 for a loss of 8 yards by Trevor Guyton.,21,17
01:12,3,Pass,23,Alex Carder pass to Scott MacDonell for 23 yards to the Ott43. Tackled by Hugo Lopez.,21,17
01:06,1,Pass,4,Alex Carder pass to Taulib Ikharo for 4 yards to the Ott47.,21,17
00:57,2,Pass,11,Alex Carder pass to Robin Medeiros for 11 yards to the Ssk52.,21,17
00:45,1,Incomplete Pass,0,Alex Carder incomplete pass intended for Robin Medeiros.,21,17
00:37,2,Incomplete Pass,0,Alex Carder incomplete pass intended for Taulib Ikharo.,21,17
00:30,3,Incomplete Pass,0,Alex Carder incomplete pass intended for Eric O'Neal.,21,17
