Time,Down,Type,Yards,Details,Edmonton,Saskatchewan
12:27,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Paris Jackson.,4,16
12:05,3,No Yards,10,Hugh O'Neill punts for 25 yards to Edm55. Penalty: No Yards on Edmonton (Deon Lacey) -15 yards.,4,16
11:29,1,Pass,40,Tino Sunseri pass to Rob Bagg for 40 yards for a TOUCHDOWN.,4,22
11:08,0,Made Extra Point,0,Chris Milo extra point is good.,4,23
11:08,0,Kickoff,18,Chris Milo kicks off to the Edm13. Kendial Lawrence return for 18 yards to Edm31. Tackled by Matt Webster.,4,23
11:01,1,Pass,24,Matt Nichols pass to Kendial Lawrence for 24 yards to the Edm55. Tackled by Matt Webster.,4,23
10:29,1,Rush,9,Tyler Thomas rush for 9 yards to the Ssk46. Tackled by Tyron Brackenridge.,4,23
09:49,2,Rush,2,Matt Nichols rush for 2 yards to the Ssk44. Tackled by Tearrius George.,4,23
09:08,1,Pass,6,Matt Nichols pass to Kendial Lawrence for 6 yards to the Ssk38. Tackled by Tyron Brackenridge.,4,23
08:45,2,Rush,5,Tyler Thomas rush for 5 yards to the Ssk33. Tackled by Tearrius George.,4,23
08:16,1,Rush,4,Kendial Lawrence rush for 4 yards to the Ssk29. Tackled by Macho Harris.,4,23
07:42,2,Offside,5,Penalty: Offside on Saskatchewan (Tyron Brackenridge) 5 yards.,4,23
07:09,2,Rush,2,Pat White rush for 2 yards to the Ssk22. Tackled by Trevor Guyton.,4,23
06:35,1,Rush,2,Tyler Thomas rush for 2 yards to the Ssk20. Tackled by Diamond Ferri.,4,23
06:26,2,Offside,5,Penalty: Offside on Saskatchewan (Ricky Foley) 5 yards.,4,23
06:04,2,Rush,0,Pat White rush for no gain to the Ssk15. Tackled by Rod Williams.,4,23
05:18,3,Missed Field Goal,22,Hugh O'Neill 22 yard field goal attempt is GOOD.,7,23
05:10,1,Rush,1,Steven Miller rush for 1 yard to the Ssk36. Tackled by Gregory Alexandre.,7,23
04:44,2,Rush,1,Tino Sunseri rush for 1 yard to the Ssk37. Tackled by Cedric McKinley.,7,23
04:03,3,Holding,60,Josh Bartel punts for 50 yards to Edm23. Penalty: Holding on Edmonton (Mathieu Boulay) 10 yards.,7,23
03:43,1,Rush,2,Kendial Lawrence rush for 2 yards to the Edm15. Tackled by  .,7,23
03:23,2,Pass,5,Matt Nichols pass to Paris Jackson for 5 yards to the Edm20. Tackled by  .,7,23
02:46,3,Punt,0,Hugh O'Neill punts for 38 yards to Ssk52.   return for no gain to Ssk52. Tackled by Mike Miller.,7,23
02:18,1,Pass,19,Tino Sunseri pass to Korey Williams for 19 yards to the Edm39. Tackled by Patrick Watkins.,7,23
01:49,1,Rush,4,Anthony Allen rush for 4 yards to the Edm35. Tackled by Almondo Sewell.,7,23
01:06,2,Rush,1,Anthony Allen rush for 1 yard to the Edm34. Tackled by Dexter McCoil.,7,23
00:10,3,Field Goal Single,5,41 yard field goal attempt by Chris Milo is NO GOOD.  Missed field goal returned by Kendial Lawrence to the Edm0 (Single).,7,24
00:01,1,Pass,6,Matt Nichols pass to Devon Bailey for 6 yards to the Edm41. Tackled by Woodny Turenne.,7,24
15:00,2,Pass,4,Matt Nichols pass to Devon Bailey for 4 yards to the Edm45. Tackled by Macho Harris.,7,24
14:50,3,Rush,2,Matt Nichols rush for 2 yards to the Edm47. Tackled by Trevor Guyton.,7,24
14:27,1,Pass,19,Matt Nichols pass to Fred Stamps for 19 yards to the Ssk44. Tackled by Matt Webster.,7,24
14:00,1,Pass,5,Matt Nichols pass to Nate Coehoorn for 5 yards to the Ssk39. Tackled by Tristan Jackson.,7,24
13:20,2,Pass,5,Matt Nichols pass to Paris Jackson for 5 yards to the Ssk34.,7,24
12:45,1,Interception,22,Matt Nichols pass intended for Fred Stamps INTERCEPTED and returned for 22 yards. Tackled by Devon Bailey.,7,24
12:06,1,Rush,3,Steven Miller rush for 3 yards to the Ssk35. Tackled by Odell Willis.,7,24
11:42,2,Pass,12,Seth Doege pass to Brett Swain for 12 yards to the Ssk47. Tackled by Alonzo Lawrence.,7,24
11:17,1,Rush,3,Steven Miller rush for 3 yards to the Ssk50. Tackled by Alonzo Lawrence.,7,24
