Time,Down,Type,Yards,Details,Toronto,Saskatchewan
02:13,2,Pass,8,Trevor Harris pass to Maurice Mann for 8 yards to the Ssk16. Tackled by Rod Williams.,9,37
02:07,3,Sack,-8,Sack at Ssk24 for a loss of 8 yards by Tyron Brackenridge.,9,37
01:54,1,Rush,7,Will Ford rush for 7 yards to the Ssk31. Tackled by Nicholas Williams.,9,37
01:46,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Xavier Fulton) -5 yards.,9,37
01:27,2,Unnecessary Roughness,0,Tino Sunseri incomplete pass intended for Taj Smith. Penalty: Unnecessary Roughness on Saskatchewan (Ben Heenan) -15 yards. Penalty: Unnecessary Roughness on Toronto (Cleyon Laing) 15 yards.,9,37
01:21,3,Holding,58,Josh Bartel punts for 48 yards to Tor36. Penalty: Holding on Toronto (Thomas Miles) 10 yards.,9,37
01:10,1,Pass,18,Trevor Harris pass to Darvin Adams for 18 yards to the Tor44. Tackled by David Lee.,9,37
01:01,1,Pass,8,Trevor Harris pass to Jeremiah Johnson for 8 yards to the Tor52. Tackled by Brian Peters.,9,37
00:36,2,Pass,7,Trevor Harris pass to Jarred Fayson for 7 yards to the Ssk51. Tackled by Tristan Black.,9,37
00:18,1,Pass,22,Trevor Harris pass to Maurice Mann for 22 yards to the Ssk29. Tackled by Rod Williams.,9,37
00:01,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Natey Adjei.,9,37
