Time,Down,Type,Yards,Details,Saskatchewan,Montreal
03:41,2,Pass,11,Tino Sunseri pass to Anthony Allen for 11 yards for a TOUCHDOWN.,6,0
03:30,0,Made Extra Point,0,Chris Milo extra point is good.,7,0
03:30,0,Kickoff,22,Chris Milo kicks off to the Mtl13. James Rodgers return for 22 yards to Mtl35. Tackled by Paul Woldu.,7,0
03:16,1,Rush,4,Tyrell Sutton rush for 4 yards to the Mtl39. Tackled by  .,7,0
02:44,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,7,0
02:29,3,Punt,0,Sean Whyte punts for 47 yards to Ssk24. Weston Dressler return for no gain to Ssk24. Tackled by Dominique Ellis.,7,0
02:08,1,Rush,8,Anthony Allen rush for 8 yards to the Ssk32. Tackled by Dominique Ellis.,7,0
01:51,2,Rush,2,Anthony Allen rush for 2 yards to the Ssk34. Tackled by Jeffrey Finley.,7,0
01:18,3,Rush,1,Kerry Joseph rush for 1 yard to the Ssk35. Tackled by Jerald Brown.,7,0
00:38,1,Offside,-5,Penalty: Offside on Saskatchewan (Chris Getzlaf) -5 yards.,7,0
00:20,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Ben Heenan) -5 yards.,7,0
00:03,1,Rush,10,Anthony Allen rush for 10 yards to the Ssk35. Tackled by Winston Venable.,7,0
15:00,2,Pass,5,Tino Sunseri pass to Anthony Allen for 5 yards to the Ssk40. Tackled by Gabriel Knapton.,7,0
14:33,3,Illegal Block,-2,Josh Bartel punts for 60 yards to Mtl10. James Rodgers return for 6 yards to Mtl16. Penalty: Illegal Block on Montreal (Nicolas Boulay) -8 yards.,7,0
13:52,1,Rush,3,Tyrell Sutton rush for 3 yards to the Mtl11. Tackled by Ricky Foley.,7,0
13:26,2,Pass,14,Jonathan Crompton pass to S.J. Green for 14 yards to the Mtl25. Tackled by Rod Williams.,7,0
12:45,1,Rush,6,James Rodgers rush for 6 yards to the Mtl31. Tackled by Rod Williams.,7,0
12:06,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London defensed by Terrell Maze.,7,0
11:47,3,Illegal Block,34,Sean Whyte punts for 44 yards to Ssk35. Penalty: Illegal Block on Montreal -10 yards.,7,0
11:12,1,Sack,-14,Sack at Ssk28 for no gain by Chip Cox Recovered by Mtl (John Bowman) and returned for 3 yards. Tackled by Levy Adcock,7,0
11:01,1,Pass,3,Jonathan Crompton pass to Jean-Christophe Beaulieu for 3 yards to the Ssk22. Tackled by Brandon Boudreaux.,7,0
10:32,0,Pass Interference,21,Penalty: Pass Interference on Saskatchewan (Terrell Maze) 21 yards.,7,0
09:50,1,Rush,1,Tanner Marsh rush for 1 yard for a TOUCHDOWN.,7,6
09:43,0,Made Extra Point,0,Sean Whyte extra point is good.,7,7
09:43,0,Kickoff,17,Sean Whyte kicks off to the Ssk15. Tristan Jackson return for 17 yards to Ssk32. Tackled by Andrew Lue.,7,7
09:36,1,Rush,6,Anthony Allen rush for 6 yards to the Ssk38. Tackled by John Bowman.,7,7
09:05,2,Rush,3,Anthony Allen rush for 3 yards to the Ssk41. Tackled by Bear Woods.,7,7
08:28,3,Punt,4,Josh Bartel punts for 42 yards to Mtl27. James Rodgers return for 4 yards to Mtl31. Tackled by Paul Woldu.,7,7
08:12,1,Rush,16,Tyrell Sutton rush for 16 yards to the Mtl47. Tackled by Tyron Brackenridge.,7,7
07:50,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,7,7
07:30,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,7,7
07:09,3,Illegal Block,-7,Sean Whyte punts for 48 yards to Ssk15. Weston Dressler return for 2 yards to Ssk17. Penalty: Illegal Block on Saskatchewan (Dylan Ainsworth) -9 yards.,7,7
06:35,1,Rush,2,Anthony Allen rush for 2 yards to the Ssk10. Tackled by Alan-Michael Cash.,7,7
06:24,2,Rush,4,Anthony Allen rush for 4 yards to the Ssk14. Tackled by Alan-Michael Cash.,7,7
05:55,3,Illegal Block,-5,Josh Bartel punts for 42 yards to Mtl54. James Rodgers return for 5 yards to Ssk51. Penalty: Illegal Block on Montreal (Daryl Townsend) -10 yards.,7,7
05:15,1,Rush,0,Tyrell Sutton rush for no gain to the Mtl49. Tackled by Tearrius George.,7,7
04:23,2,Pass,61,Jonathan Crompton pass to Duron Carter for 61 yards for a TOUCHDOWN.,7,13
04:14,0,Made Extra Point,0,Sean Whyte extra point is good.,7,14
04:14,0,Kickoff,7,Sean Whyte kicks off to the Ssk11. Tristan Jackson return for 7 yards to Ssk18. Tackled by Bryn Roy.,7,14
04:04,1,Rush,2,Anthony Allen rush for 2 yards to the Ssk20. Tackled by Alan-Michael Cash.,7,14
03:14,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Chris Getzlaf.,7,14
02:59,3,Punt,8,Josh Bartel punts for 45 yards to Mtl45. James Rodgers return for 8 yards to Mtl53. Tackled by Mark LeGree.,7,14
02:40,1,Rush,-4,Tyrell Sutton rush for a loss of 4 yards to the Mtl49. Tackled by Brian Peters.,7,14
02:26,2,Rush,6,Jonathan Crompton rush for 6 yards to the Mtl55. Tackled by Ricky Foley.,7,14
02:12,3,Punt,6,Sean Whyte punts for 48 yards to Ssk7. Weston Dressler return for 6 yards to Ssk13. Tackled by Dominique Ellis.,7,14
01:50,1,Rush,2,Anthony Allen rush for 2 yards to the Ssk15. Tackled by Gabriel Knapton.,7,14
01:44,2,Pass,5,Tino Sunseri pass to Anthony Allen for 5 yards to the Ssk20. Tackled by Bear Woods.,7,14
01:23,3,Punt,0,Josh Bartel punts for 32 yards to Ssk52. No return.,7,14
00:59,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green defensed by Weldon Brown.,7,14
00:54,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Chad Johnson.,7,14
00:49,3,Illegal Punt,14,Sean Whyte punts for 24 yards to Ssk28. Penalty: Illegal Punt on Montreal (Sean Whyte) -10 yards.,7,14
00:43,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Weston Dressler.,7,14
00:37,2,Rush,4,Anthony Allen rush for 4 yards to the Ssk42. Tackled by Alan-Michael Cash.,7,14
00:30,3,Punt,8,Josh Bartel punts for 29 yards to Mtl39. James Rodgers return for 8 yards to Mtl47. Tackled by Mark LeGree.,7,14
15:00,0,Kickoff,52,Chris Milo kicks off to the Mtl15. Chris Rainey return for 52 yards to Ssk43. Tackled by Samuel Hurl.,7,14
14:48,1,Rush,0,Tyrell Sutton rush for no gain to the Ssk43. Tackled by Ricky Foley.,7,14
14:13,2,Rush,14,Jonathan Crompton rush for 14 yards to the Ssk29. Tackled by Marshay Green.,7,14
13:40,1,Rush,8,Tyrell Sutton rush for 8 yards to the Ssk21. Tackled by Brandon Boudreaux.,7,14
13:10,2,Offside,5,Penalty: Offside on Saskatchewan (Chancey Aghayere) 5 yards.,7,14
13:07,1,Sack,-9,Sack at Ssk25 for a loss of 9 yards by Tearrius George.,7,14
12:06,2,Pass,25,Jonathan Crompton pass to Duron Carter for 25 yards for a TOUCHDOWN.,7,20
11:54,0,Made Extra Point,0,Sean Whyte extra point is good.,7,21
11:54,0,Kickoff,41,Sean Whyte kicks off to the Ssk10. Tristan Jackson return for 41 yards to Ssk51. Tackled by Winston Venable.,7,21
11:45,1,Pass,7,Tino Sunseri pass to Weston Dressler for 7 yards to the Mtl52. Tackled by Chip Cox.,7,21
11:11,2,Rush,6,Tino Sunseri rush for 6 yards to the Mtl46. Tackled by Winston Venable.,7,21
10:36,1,Rush,5,Anthony Allen rush for 5 yards to the Mtl41. Tackled by Gabriel Knapton.,7,21
10:05,2,Rush,1,Tino Sunseri rush for 1 yard to the Mtl40. Tackled by Alan-Michael Cash.,7,21
09:23,3,Missed Field Goal,40,40 yard field goal attempt by Chris Milo is NO GOOD.,7,21
09:05,1,Rush,0,James Rodgers rush for no gain to the Mtl25. Tackled by Tristan Jackson.,7,21
08:30,2,Pass,16,Jonathan Crompton pass to Brandon London for 16 yards to the Mtl41. Tackled by Rod Williams.,7,21
08:06,1,Rush,8,Tyrell Sutton rush for 8 yards to the Mtl49. Tackled by Samuel Hurl.,7,21
07:33,2,Rush,10,Tyrell Sutton rush for 10 yards to the Ssk51. Tackled by Tyron Brackenridge.,7,21
06:54,1,Pass,26,Jonathan Crompton pass to Tyrell Sutton for 26 yards to the Ssk25. Tackled by Weldon Brown.,7,21
06:29,1,Pass,7,Jonathan Crompton pass to Duron Carter for 7 yards to the Ssk18. Tackled by Rod Williams.,7,21
05:58,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for James Rodgers.,7,21
05:13,3,Missed Field Goal,25,Sean Whyte 25 yard field goal attempt is GOOD.,7,24
05:13,1,Fumble,-5,"Anthony Allen rush for a loss of 5 yards to the Ssk30. FUMBLE, recovered by Mtl (Winston Venable). Tackled by Anthony Allen.",7,24
05:02,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,7,24
04:22,2,Pass,30,Jonathan Crompton pass to Brandon London for 30 yards for a TOUCHDOWN.,7,30
04:04,0,Made Extra Point,0,Sean Whyte extra point is good.,7,31
04:04,0,Kickoff,15,Sean Whyte kicks off to the Ssk13. Tristan Jackson return for 15 yards to Ssk28. Tackled by Jonathan Beaulieu-Richard.,7,31
03:57,1,Sack,-8,Sack at Ssk20 for a loss of 8 yards by Scott Paxson.,7,31
03:30,2,Pass,9,Tino Sunseri pass to Brett Swain for 9 yards to the Ssk29. Tackled by Billy Parker.,7,31
03:07,3,Punt,21,Josh Bartel punts for 43 yards to Mtl38. James Rodgers return for 21 yards to Ssk51. Tackled by Dylan Ainsworth.,7,31
02:46,1,Pass,9,Jonathan Crompton pass to Brandon London for 9 yards to the Ssk42. Tackled by Rod Williams.,7,31
02:02,2,Offside,5,Penalty: Offside on Saskatchewan (Tearrius George) 5 yards.,7,31
01:55,1,Rush,3,Tyrell Sutton rush for 3 yards to the Ssk34. Tackled by  .,7,31
01:27,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,7,31
00:37,3,Missed Field Goal,42,Sean Whyte 42 yard field goal attempt is GOOD.,7,34
00:36,1,Pass,29,Tino Sunseri pass to Chris Getzlaf for 29 yards to the Mtl46. Tackled by Dominique Ellis.,7,34
00:03,1,Interception,5,Tino Sunseri pass INTERCEPTED and returned for 5 yards. Tackled by Rob Bagg.,7,34
15:00,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter defensed by Weldon Brown.,7,34
14:49,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,7,34
14:29,3,Punt,31,Sean Whyte punts for 46 yards to Ssk32. Weston Dressler return for 31 yards to Mtl47. Tackled by Bryn Roy.,7,34
14:04,1,Rush,-2,Jerome Messam rush for a loss of 2 yards to the Mtl49. Tackled by John Bowman.,7,34
13:34,2,Incomplete Pass,0,Seth Doege incomplete pass intended for Dan DePalma.,7,34
12:52,3,Illegal Block,0,Josh Bartel punts for 44 yards to Mtl5. James Rodgers return for 5 yards to Mtl10. Penalty: Illegal Block on Montreal (Bryn Roy) -5 yards.,7,34
12:30,1,Rush,1,Tyrell Sutton rush for 1 yard to the Mtl6. Tackled by Samuel Hurl.,7,34
12:00,2,Pass,7,Jonathan Crompton pass to Tyrell Sutton for 7 yards to the Mtl13. Tackled by Brian Peters.,7,34
10:53,3,Safety,-13,Safety,9,34
10:53,0,Kickoff,25,Sean Whyte kicks off to the Ssk28. Tristan Jackson return for 25 yards to Ssk53. Tackled by Bryn Roy.,9,34
10:35,1,Pass,15,Seth Doege pass to Brett Swain for 15 yards to the Mtl42. Tackled by Bear Woods.,9,34
10:02,1,Interception,3,Seth Doege pass INTERCEPTED and returned for 3 yards. Tackled by Dan DePalma.,9,34
09:42,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl23. Tackled by Ricky Foley.,9,34
09:22,2,Rush,11,Tyrell Sutton rush for 11 yards to the Mtl34. Tackled by Tristan Jackson.,9,34
08:38,1,Rush,6,Tyrell Sutton rush for 6 yards to the Mtl40. Tackled by Ricky Foley.,9,34
07:56,2,Rush,20,Tyrell Sutton rush for 20 yards to the Ssk50. Tackled by Macho Harris.,9,34
07:09,1,Rush,15,Chris Rainey rush for 15 yards to the Ssk35. Tackled by  .,9,34
06:34,1,Rush,3,Chris Rainey rush for 3 yards to the Ssk32. Tackled by Ricky Foley.,9,34
05:54,2,Rush,9,Chris Rainey rush for 9 yards to the Ssk23. Tackled by  .,9,34
05:17,1,Rush,5,Chris Rainey rush for 5 yards to the Ssk18. Tackled by Brandon Boudreaux.,9,34
04:46,2,Rush,0,Chris Rainey rush for no gain to the Ssk18. Tackled by Macho Harris.,9,34
03:40,3,Missed Field Goal,25,Sean Whyte 25 yard field goal attempt is GOOD.,9,37
03:40,1,Rush,10,Jerome Messam rush for 10 yards to the Ssk45. Tackled by Winston Venable.,9,37
03:09,1,Rush,16,Seth Doege rush for 16 yards to the Mtl49. Tackled by Bear Woods.,9,37
02:50,1,Incomplete Pass,0,Seth Doege incomplete pass intended for Dan DePalma.,9,37
02:37,2,Sack,-1,Sack at Mtl50 for a loss of 1 yard by John Bowman.,9,37
02:29,3,Sack,-12,Sack at Ssk48 for a loss of 12 yards by Bear Woods.,9,37
02:12,1,Unnecessary Roughness,23,Chris Rainey rush for 8 yards to the Ssk40. Tackled by Rod Williams. Penalty: Unnecessary Roughness on Saskatchewan (Rod Williams) 15 yards.,9,37
02:04,1,Rush,1,Chris Rainey rush for 1 yard to the Ssk24. Tackled by Tyron Brackenridge.,9,37
01:58,2,Rush,3,Chris Rainey rush for 3 yards to the Ssk21. Tackled by  .,9,37
01:15,3,Missed Field Goal,29,Sean Whyte 29 yard field goal attempt is GOOD.,9,40
01:15,1,Rush,3,Jerome Messam rush for 3 yards to the Ssk38. Tackled by Winston Venable.,9,40
01:08,2,Pass,10,Seth Doege pass to Dan DePalma for 10 yards to the Ssk48. Tackled by Winston Venable.,9,40
00:47,1,Rush,6,Jerome Messam rush for 6 yards to the Ssk54. Tackled by Aaron Lavarias.,9,40
00:30,2,Pass,12,Seth Doege pass to Dan DePalma for 12 yards to the Mtl44. Tackled by Chip Cox.,9,40
00:05,1,Rush,9,Seth Doege rush for 9 yards to the Mtl35.,9,40
