Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
01:50,2,Unnecessary Roughness,23,rush for 38 yards to the Ssk26. Tackled by Tristan Jackson. Penalty: Unnecessary Roughness on Edmonton (Akeem Foster) -15 yards.,0,17
01:22,1,Pass,31,Pat White pass to Fred Stamps for 31 yards to the Ssk10. Tackled by Tristan Jackson.,0,17
00:52,1,Pass,10,Mike Reilly pass to   for 10 yards for a TOUCHDOWN.,0,23
00:52,0,Made Extra Point,0,Hugh O'Neill extra point is good.,0,24
00:52,0,Kickoff,24,Hugh O'Neill kicks off to the Ssk12.   return for 24 yards to Ssk36. Tackled by Deon Lacey.,0,24
00:47,1,Sack,-9,Sack at Ssk27 for a loss of 9 yards by Eddie Steele.,0,24
00:42,2,Rush,18,Anthony Allen rush for 18 yards to the Ssk45. Tackled by Dexter McCoil.,0,24
00:22,3,Rush,11,Anthony Allen rush for 11 yards to the Edm54. Tackled by Dexter McCoil.,0,24
00:10,1,Incomplete Pass,0,Seth Doege incomplete pass intended for Taj Smith.,0,24
00:01,2,Incomplete Pass,0,Seth Doege incomplete pass intended for Rob Bagg defensed by Cameron Sheffield.,0,24
