Time,Down,Type,Yards,Details,Montreal,Hamilton
00:35,3,Missed Field Goal,24,42 yard field goal attempt by Justin Medlock is NO GOOD.  Missed field goal returned by Brandon Rutley to the Mtl11. Tackled by Hasan Hazime.,17,7
00:22,1,Rush,-1,Brandon Rutley rush for a loss of 1 yard to the Mtl10. Tackled by David Caldwell.,17,7
00:17,2,Rush,5,Brandon Rutley rush for 5 yards to the Mtl15. Tackled by Sam Scott.,17,7
15:00,0,Kickoff,15,Delbert Alvarado kicks off to the Ham10. Tavoy Moore return for 15 yards to Ham25. Tackled by Diamond Ferri.,17,7
14:52,1,Pass,18,Dan LeFevour pass to Andy Fantuz for 18 yards to the Ham43. Tackled by Dominique Ellis.,17,7
14:15,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Luke Tasker.,17,7
14:00,2,Interception,31,Dan LeFevour pass intended for Bakari Grant INTERCEPTED and returned for 31 yards. Tackled by Tim O'Neill.,17,7
13:32,1,Incomplete Pass,0,Alex Brink incomplete pass intended for Steven Lumbala.,17,7
13:10,2,Pass,5,Alex Brink pass to Brandon London for 5 yards to the Ham29. Tackled by Brandon Thurmond.,17,7
12:36,3,Time Count,-5,Penalty: Time Count on Montreal (Delbert Alvarado) -5 yards.,17,7
12:08,3,Missed Field Goal,42,Delbert Alvarado 42 yard field goal attempt is GOOD.,20,7
12:08,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Carl-Olivier Prime.,20,7
11:46,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Cary Koch.,20,7
11:20,3,Illegal Block,52,Brett Lauther punts for 42 yards to Mtl33. Penalty: Illegal Block on Montreal 10 yards.,20,7
10:52,1,Pass,4,Alex Brink pass to Brandon London for 4 yards to the Mtl27. Tackled by James Rogers.,20,7
10:30,2,Incomplete Pass,0,Alex Brink incomplete pass intended for Kyle Graves.,20,7
10:08,3,Illegal Punt,6,Delbert Alvarado punts for 16 yards to Mtl43. Penalty: Illegal Punt on Montreal (Delbert Alvarado) -10 yards.,20,7
09:48,1,Face Mask,23,Jeremiah Masoli pass to Luke Tasker for 13 yards to the Mtl20. Penalty: Face Mask on Montreal 10 yards.,20,7
09:23,1,Rush,4,C.J. Gable rush for 4 yards to the Mtl6. Tackled by CJ James.,20,7
08:28,2,Pass,6,Jeremiah Masoli pass to C.J. Gable for 6 yards for a TOUCHDOWN.,20,13
08:28,0,Offside,5,Brett Lauther extra point is good. Penalty: Offside on Montreal 5 yards.,20,14
08:08,0,Kickoff,13,Brett Lauther kicks off to the Mtl15. Preston Cleckley return for 13 yards to Mtl28. Tackled by David Caldwell.,20,14
08:03,1,Offside,5,Penalty: Offside on Hamilton (Simoni Lawrence) 5 yards.,20,14
07:42,1,Pass,29,Alex Brink pass to Brandon London for 29 yards to the Ham48.,20,14
