Time,Down,Type,Yards,Details,Ottawa,Montreal
06:53,1,Rush,6,Brandon Whitaker rush for 6 yards to the Mtl38. Tackled by Justin Capicciotti.,3,9
06:19,2,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl43. Tackled by Justin Capicciotti.,3,9
05:45,1,Rush,2,Duron Carter rush for 2 yards to the Mtl45. Tackled by Justin Capicciotti.,3,9
05:04,2,Pass,51,Jonathan Crompton pass to Brandon London for 51 yards to the Ott14. Tackled by  .,3,9
04:23,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London.,3,9
03:50,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,3,9
03:14,3,Missed Field Goal,22,Sean Whyte 22 yard field goal attempt is GOOD.,3,12
03:14,1,Pass,16,Henry Burris pass to Wallace Miles for 16 yards to the Ott51. Tackled by Geoff Tisdale.,3,12
02:44,1,Fumble,-2,"Sack at Ott49 for a loss of 2 yards by Gabriel Knapton. FUMBLE, recovered by Mtl (Jermaine McElveen). Tackled by J'Micheal Deane.",3,12
02:00,1,Rush,3,Brandon Whitaker rush for 3 yards to the Ott46. Tackled by Travis Brown.,3,12
01:55,2,Pass,5,Jonathan Crompton pass to Jerod Zaleski for 5 yards to the Ott41. Tackled by Jovon Johnson.,3,12
00:37,3,Punt Single,0,Sean Whyte punts for 49 yards to Ott0. No return (Single).,3,13
00:36,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Patrick Lavoie.,3,13
00:24,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins.,3,13
00:02,3,Punt,8,Brett Maher punts for 40 yards to Mtl35. James Rodgers return for 8 yards to Mtl43. Tackled by Andrew Marshall.,3,13
15:00,1,Rush,13,Tyrell Sutton rush for 13 yards to the Ott54. Tackled by Antoine Pruneau.,3,13
14:19,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,3,13
13:59,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,3,13
13:44,3,Unnecessary Roughness,33,Sean Whyte punts for 23 yards to Ott31. Penalty: No Yards on Montreal (Mike Edem) -5 yards. Penalty: Unnecessary Roughness on Ottawa (Jamill Smith) 15 yards.,3,13
13:18,1,Pass,11,Henry Burris pass to Wallace Miles for 11 yards to the Ott32. Tackled by Kyries Hebert.,3,13
12:51,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,3,13
12:31,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,3,13
12:08,3,Punt,19,Brett Maher punts for 60 yards to Mtl18. James Rodgers return for 19 yards to Mtl37. Tackled by Jordan Verdone.,3,13
11:43,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal -5 yards.,3,13
11:24,1,Pass,20,Jonathan Crompton pass to S.J. Green for 20 yards to the Mtl52. Tackled by  .,3,13
10:34,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl55. Tackled by Jerrell Gavins.,3,13
09:56,2,Pass,-1,Jonathan Crompton pass to Brandon Whitaker for a loss of 1 yard to the Mtl54. Tackled by Zack Evans.,3,13
09:10,3,Punt,7,Sean Whyte punts for 33 yards to Ott23. Jamill Smith return for 7 yards to Ott30. Tackled by Nicolas Boulay.,3,13
08:54,1,Pass,3,Henry Burris pass to Wallace Miles for 3 yards to the Ott33. Tackled by Kyries Hebert.,3,13
08:38,2,Pass,20,Henry Burris pass to Khalil Paden for 20 yards to the Ott53. Tackled by Kyries Hebert.,3,13
08:00,1,Pass,13,Henry Burris pass to Dobson Collins for 13 yards to the Mtl44. Tackled by Marc-Olivier Brouillette.,3,13
07:32,1,Rush,6,Chevon Walker rush for 6 yards to the Mtl38. Tackled by Kyries Hebert.,3,13
07:06,2,Pass,10,Henry Burris pass to Marcus Henry for 10 yards to the Mtl28. Tackled by Kyries Hebert.,3,13
06:14,1,Pass,28,Henry Burris pass to Wallace Miles for 28 yards for a TOUCHDOWN.,9,13
06:06,0,Made Extra Point,0,Brett Maher extra point is good.,10,13
