Time,Down,Type,Yards,Details,Edmonton,Montreal
00:02,1,Incomplete Pass,0,Troy Smith incomplete pass.,30,8
15:00,0,Holding,3,Sean Whyte kicks off to the Edm17. Jamal Miles return for 13 yards to Edm30. Penalty: Holding on Edmonton (Mike Dubuisson) -10 yards.,30,8
14:52,1,Rush,9,Kendial Lawrence rush for 9 yards to the Edm29. Tackled by Jerald Brown.,30,8
14:17,2,Rush,6,Kendial Lawrence rush for 6 yards to the Edm35. Tackled by Kyries Hebert.,30,8
13:38,1,Rush,3,Kendial Lawrence rush for 3 yards to the Edm38. Tackled by Aaron Lavarias.,30,8
13:01,2,Sack,-3,Sack at Edm35 for a loss of 3 yards by Geoff Tisdale.,30,8
12:15,3,Punt,7,Grant Shaw punts for 45 yards to Mtl30. Bo Bowling return for 7 yards to Mtl37. Tackled by Calvin McCarty.,30,8
12:01,1,Pass,6,Troy Smith pass to Duron Carter for 6 yards to the Mtl43. Tackled by Rennie Curran.,30,8
11:32,2,Pass,5,Troy Smith pass to Kenny Stafford for 5 yards to the Mtl48. Tackled by Otha Foster.,30,8
10:48,1,Rush,7,Brandon Whitaker rush for 7 yards to the Mtl55. Tackled by Rennie Curran.,30,8
10:15,2,Rush,9,Brandon Whitaker rush for 9 yards to the Edm46. Tackled by Mike Miller.,30,8
09:35,1,Pass,6,Troy Smith pass to Duron Carter for 6 yards to the Edm40. Tackled by Patrick Watkins.,30,8
08:56,2,Rush,2,Brandon Whitaker rush for 2 yards to the Edm38. Tackled by Eddie Steele.,30,8
08:13,3,Rush,2,Brandon Whitaker rush for 2 yards to the Edm36. Tackled by Rennie Curran.,30,8
07:35,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Kenny Stafford.,30,8
07:17,2,Pass,16,Troy Smith pass to Duron Carter for 16 yards to the Edm20.,30,8
06:54,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Jeff Perrett) -5 yards.,30,8
06:37,1,Unnecessary Roughness,5,Troy Smith incomplete pass intended for Duron Carter. Penalty: Objectionable Conduct on Montreal (Brandon Whitaker) -10 yards. Penalty: Unnecessary Roughness on Edmonton (Aaron Grymes) 15 yards.,30,8
06:13,1,Incomplete Pass,0,Troy Smith incomplete pass defensed by Gregory Alexandre.,30,8
05:55,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,30,8
05:15,3,Missed Field Goal,28,Sean Whyte 28 yard field goal attempt is GOOD.,30,11
05:15,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Chip Cox) 15 yards.,30,11
04:57,1,Rush,0,Kendial Lawrence rush for no gain to the Edm50. Tackled by John Bowman.,30,11
04:20,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers defensed by Geoff Tisdale.,30,11
04:00,3,Punt,-5,Grant Shaw punts for 38 yards to Mtl22. Bo Bowling return for a loss of 5 yards to Mtl17. Tackled by Calvin McCarty.,30,11
03:39,1,Pass,8,Troy Smith pass to Eric Deslauriers for 8 yards to the Mtl25. Tackled by Marcell Young.,30,11
03:04,2,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl30. Tackled by Almondo Sewell.,30,11
02:29,1,Sack,-3,Sack at Mtl27 for a loss of 3 yards by Almondo Sewell.,30,11
02:07,2,Pass,12,Troy Smith pass to Kenny Stafford for 12 yards to the Mtl39. Tackled by Otha Foster.,30,11
01:14,3,Rush,2,Tanner Marsh rush for 2 yards to the Mtl41. Tackled by Chris Rwabukamba.,30,11
00:41,1,Pass,6,Troy Smith pass to Duron Carter for 6 yards to the Mtl47. Tackled by Otha Foster.,30,11
00:01,2,Pass,5,Troy Smith pass to Duron Carter for 5 yards to the Mtl52. Tackled by Aaron Grymes.,30,11
15:00,1,Rush,11,Brandon Whitaker rush for 11 yards to the Edm47. Tackled by Chris Rwabukamba.,30,11
14:34,1,Rush,7,Brandon Whitaker rush for 7 yards to the Edm40. Tackled by Otha Foster.,30,11
13:52,2,Rush,1,Brandon Whitaker rush for 1 yard to the Edm39. Tackled by Odell Willis.,30,11
13:18,3,Rush,17,Brandon Whitaker rush for 17 yards to the Edm22. Tackled by Otha Foster.,30,11
12:29,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,30,11
12:12,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,30,11
11:33,3,Missed Field Goal,29,Sean Whyte 29 yard field goal attempt is GOOD.,30,14
11:33,1,Rush,-3,Kendial Lawrence rush for a loss of 3 yards to the Edm32. Tackled by Marc-Olivier Brouillette.,30,14
11:04,2,Rush,8,Mike Reilly rush for 8 yards to the Edm40. Tackled by Marc-Olivier Brouillette.,30,14
10:15,3,Punt,27,Grant Shaw punts for 37 yards to Mtl33. Bo Bowling return for 27 yards to Edm50. Tackled by Grant Shaw.,30,14
09:52,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Kenny Stafford.,30,14
09:45,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Kenny Stafford.,30,14
09:23,3,Punt,0,Sean Whyte punts for 44 yards to Edm6. No return.,30,14
09:15,1,Pass,16,Mike Reilly pass to Akeem Foster for 16 yards to the Edm22. Tackled by Chip Cox.,30,14
08:32,1,Pass,11,Mike Reilly pass to Adarius Bowman for 11 yards to the Edm33. Tackled by Gabriel Knapton.,30,14
07:51,1,Rush,4,Mike Reilly rush for 4 yards to the Edm37. Tackled by Aaron Lavarias.,30,14
07:12,2,Rush,12,Kendial Lawrence rush for 12 yards to the Edm49. Tackled by Geoff Tisdale.,30,14
