Time,Down,Type,Yards,Details,Montreal,Ottawa
11:17,1,Interception,2,Henry Burris pass intended for Marcus Henry INTERCEPTED and returned for 2 yards. Tackled by Scott MacDonell.,20,7
10:49,1,Rush,4,James Rodgers rush for 4 yards to the Ott51. Tackled by Jasper Simmons.,20,7
10:18,2,Pass,12,Jonathan Crompton pass to Brandon London for 12 yards to the Ott39. Tackled by Jasper Simmons.,20,7
09:51,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,20,7
09:16,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,20,7
08:31,3,Missed Field Goal,46,Sean Whyte 46 yard field goal attempt is GOOD.,23,7
08:31,1,Rush,1,Roy Finch rush for 1 yard to the Ott36. Tackled by John Bowman.,23,7
08:13,2,Pass,10,Henry Burris pass to Khalil Paden for 10 yards to the Ott46. Tackled by Chip Cox.,23,7
07:25,1,Rush,2,Roy Finch rush for 2 yards to the Ott48. Tackled by Bear Woods.,23,7
06:59,2,Pass,9,Henry Burris pass to Carlton Mitchell for 9 yards to the Mtl53. Tackled by Bear Woods.,23,7
06:15,1,Rush,5,Roy Finch rush for 5 yards to the Mtl48. Tackled by Bear Woods.,23,7
05:47,0,Pass Interference,0,Penalty: Objectionable Conduct on Ottawa (Khalil Paden) -10 yards. Penalty: Pass Interference on Montreal (Bear Woods) 10 yards.,23,7
05:22,1,Offside,5,Penalty: Offside on Montreal (John Bowman) 5 yards.,23,7
05:07,1,Sack,-10,Sack at Mtl53 for a loss of 10 yards by Bear Woods.,23,7
04:25,2,Pass,5,Henry Burris pass to Patrick Lavoie for 5 yards to the Mtl48. Tackled by Bear Woods.,23,7
04:04,3,Pass,38,Brett Maher pass to Patrick Lavoie for 38 yards to the Mtl10. Tackled by James Rodgers.,23,7
03:31,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Dan Buckner.,23,7
03:07,2,Sack,-4,Sack at Mtl14 for a loss of 4 yards by John Bowman.,23,7
01:54,3,Missed Field Goal,22,Brett Maher 22 yard field goal attempt is GOOD.,23,10
01:54,0,Kickoff,17,Brett Maher kicks off to the Mtl14. Chris Rainey return for 17 yards to Mtl31. Tackled by Jason Pottinger.,23,10
01:54,1,Pass,7,Jonathan Crompton pass to Tyrell Sutton for 7 yards to the Mtl38. Tackled by Antoine Pruneau.,23,10
01:23,2,Rush,2,Chris Rainey rush for 2 yards to the Mtl40. Tackled by Brandyn Thompson.,23,10
01:00,3,Rush,2,Jonathan Crompton rush for 2 yards to the Mtl42. Tackled by Antoine Pruneau.,23,10
00:30,1,Rush,9,Tyrell Sutton rush for 9 yards to the Mtl51. Tackled by Brandyn Thompson.,23,10
15:00,2,Rush,2,Tanner Marsh rush for 2 yards to the Mtl53. Tackled by Marlon Smith.,23,10
14:45,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,23,10
14:09,2,Pass,6,Jonathan Crompton pass to Kenny Stafford for 6 yards to the Ott51. Tackled by Abdul Kanneh.,23,10
13:37,3,Unnecessary Roughness,-2,Sean Whyte punts for 41 yards to Ott10. Roy Finch return for 6 yards to Ott16. Penalty: Unnecessary Roughness on Ottawa (Jovon Johnson) -8 yards.,23,10
13:08,1,Pass,44,Danny O'Brien pass to Wallace Miles for 44 yards to the Ott52. Tackled by Marc-Olivier Brouillette.,23,10
12:24,1,Pass,58,Danny O'Brien pass to Scott MacDonell for 58 yards for a TOUCHDOWN.,23,16
12:12,0,Made Extra Point,0,Brett Maher extra point is good.,23,17
12:12,0,Kickoff,18,Brett Maher kicks off to the Mtl17. Chris Rainey return for 18 yards to Mtl35. Tackled by Andrew Marshall.,23,17
12:06,1,Rush,-1,Tyrell Sutton rush for a loss of 1 yard to the Mtl34. Tackled by Brandyn Thompson.,23,17
11:12,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Kenny Stafford.,23,17
11:05,3,Punt,12,Sean Whyte punts for 40 yards to Ott36. Roy Finch return for 12 yards to Ott48. Tackled by Nicolas Boulay.,23,17
10:30,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Wallace Miles.,23,17
10:04,2,Pass,9,Danny O'Brien pass to Patrick Lavoie for 9 yards to the Mtl53. Tackled by Bear Woods.,23,17
09:11,3,Punt,0,Brett Maher punts for 44 yards to Mtl9. No return.,23,17
08:57,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Dave Stala defensed by Antoine Pruneau.,23,17
08:47,2,Unnecessary Roughness,7,Jonathan Crompton pass to Brandon London for 22 yards to the Mtl31. Tackled by Abdul Kanneh. Penalty: Unnecessary Roughness on Montreal (Jean-Christophe Beaulieu) -15 yards.,23,17
08:16,1,Rush,2,Tyrell Sutton rush for 2 yards to the Mtl18. Tackled by Scott MacDonell.,23,17
07:55,2,Pass,8,Jonathan Crompton pass to Tyrell Sutton for 8 yards to the Mtl26. Tackled by Travis Brown.,23,17
