Time,Down,Type,Yards,Details,Toronto,Montreal
03:52,2,Rush,4,Ricky Ray rush for 4 yards to the Mtl14. Tackled by Kyries Hebert.,0,0
03:09,3,Missed Field Goal,21,Swayze Waters 21 yard field goal attempt is GOOD.,3,0
03:09,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl40. Tackled by Alex Suber.,3,0
02:40,2,Pass,32,Jonathan Crompton pass to Duron Carter for 32 yards to the Tor38. Tackled by Vincent Agnew.,3,0
01:44,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Chris Rainey.,3,0
01:31,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for James Rodgers.,3,0
01:16,3,Punt,0,Sean Whyte punts for 29 yards to Tor9. No return.,3,0
00:58,1,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Tor18. Tackled by Mitchell White.,3,0
00:34,2,Rush,13,Steve Slaton rush for 13 yards to the Tor31. Tackled by Chip Cox.,3,0
00:11,1,Pass,-3,Ricky Ray pass to Chad Owens for a loss of 3 yards to the Tor28. Tackled by Jerald Brown.,3,0
15:00,2,Offside,-5,Penalty: Offside on Toronto (Spencer Watt) -5 yards.,3,0
14:50,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Steve Slaton.,3,0
14:30,3,Punt,-3,Swayze Waters punts for 43 yards to Mtl44. James Rodgers return for a loss of 3 yards to Mtl41. Tackled by Ivan Brown.,3,0
14:13,1,Rush,7,Tanner Marsh rush for 7 yards to the Mtl48. Tackled by  .,3,0
13:30,2,Rush,15,Tyrell Sutton rush for 15 yards to the Tor47. Tackled by  .,3,0
12:54,1,Rush,7,Tyrell Sutton rush for 7 yards to the Tor40. Tackled by Shea Emry.,3,0
12:19,2,Rush,4,Tyrell Sutton rush for 4 yards to the Tor36. Tackled by Tristan Okpalaugo.,3,0
11:36,1,Pass,19,Jonathan Crompton pass to Duron Carter for 19 yards to the Tor17. Tackled by Jamie Robinson.,3,0
10:58,1,Rush,17,Tyrell Sutton rush for 17 yards for a TOUCHDOWN.,3,6
10:43,0,Made Extra Point,0,Sean Whyte extra point is good.,3,7
10:43,0,Kickoff,27,Sean Whyte kicks off to the Tor14. LaVon Brazill return for 27 yards to Tor41. Tackled by Kyries Hebert.,3,7
10:36,1,Rush,7,Steve Slaton rush for 7 yards to the Tor48. Tackled by Chip Cox.,3,7
10:02,2,Rush,0,Steve Slaton rush for no gain to the Tor48. Tackled by Bear Woods.,3,7
09:27,3,Punt,3,Swayze Waters punts for 38 yards to Mtl24. James Rodgers return for 3 yards to Mtl27. Tackled by Shane Herbert.,3,7
09:10,1,Rush,0,Tyrell Sutton rush for no gain to the Mtl27. Tackled by Aston Whiteside.,3,7
08:37,2,Pass,19,Jonathan Crompton pass to Duron Carter for 19 yards to the Mtl46. Tackled by Logan Harrell.,3,7
08:10,1,Rush,4,Tyrell Sutton rush for 4 yards to the Mtl50. Tackled by Matthew Ware.,3,7
07:32,2,Fumble,16,"Jonathan Crompton pass to Duron Carter for 16 yards to the Tor44. FUMBLE, recovered by Tor (Jermaine Gabriel). Tackled by James Rodgers.",3,7
07:03,1,Pass,11,Ricky Ray pass to Chad Owens for 11 yards to the Tor55. Tackled by Winston Venable.,3,7
06:30,1,Pass,4,Ricky Ray pass to Chad Owens for 4 yards to the Mtl51. Tackled by Jerald Brown.,3,7
05:53,2,Pass,4,Ricky Ray pass to Chad Owens for 4 yards to the Mtl47. Tackled by Bear Woods.,3,7
04:57,3,Punt Single,0,Swayze Waters punts for 64 yards to Mtl0. No return (Single).,4,7
04:57,1,Incomplete Pass,0,S.J. Green incomplete pass intended for Duron Carter.,4,7
04:36,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London.,4,7
04:17,3,No Yards,27,Sean Whyte punts for 42 yards to Tor33. Penalty: No Yards on Montreal (Dominique Ellis) -15 yards.,4,7
03:51,1,Rush,4,Steve Slaton rush for 4 yards to the Tor52. Tackled by Kyries Hebert.,4,7
03:21,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles defensed by Geoff Tisdale.,4,7
02:55,3,Punt,2,Swayze Waters punts for 45 yards to Mtl13. James Rodgers return for 2 yards to Mtl15. Tackled by Cory Greenwood.,4,7
02:42,1,Rush,7,James Rodgers rush for 7 yards to the Mtl22. Tackled by Alex Suber.,4,7
02:32,2,Rush,3,Tyrell Sutton rush for 3 yards to the Mtl25. Tackled by  .,4,7
02:13,3,Punt,8,Sean Whyte punts for 37 yards to Tor48. Chad Owens return for 8 yards to Mtl54. Tackled by Martin Bedard.,4,7
01:44,1,Pass,7,Ricky Ray pass to Steve Slaton for 7 yards to the Mtl47. Tackled by Winston Venable.,4,7
01:38,2,Pass,4,Ricky Ray pass to John Chiles for 4 yards to the Mtl43.,4,7
01:14,1,Pass,16,Ricky Ray pass to Mike Bradwell for 16 yards to the Mtl27. Tackled by Bear Woods.,4,7
01:06,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Zander Robinson.,4,7
01:01,2,Pass,10,Ricky Ray pass to Chad Owens for 10 yards to the Mtl17. Tackled by Chip Cox.,4,7
00:56,1,Pass,12,Ricky Ray pass to Chad Owens for 12 yards to the Mtl5. Tackled by Chip Cox.,4,7
00:32,1,Pass,4,Ricky Ray pass to Steve Slaton for 4 yards to the Mtl1. Tackled by Geoff Tisdale.,4,7
00:10,2,Pass,1,Mitchell Gale pass to Mike Bradwell for 1 yard for a TOUCHDOWN.,10,7
00:10,0,Made Extra Point,0,Swayze Waters extra point is good.,11,7
00:09,0,Kickoff,23,Swayze Waters kicks off to the Mtl20. Chris Rainey return for 23 yards to Mtl43. Tackled by Jermaine Gabriel.,11,7
00:01,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter defensed by Branden Smith.,11,7
15:00,0,Kickoff,26,Sean Whyte kicks off to the Tor15. Branden Smith return for 26 yards to Tor41. Tackled by James Tuck.,11,7
14:49,1,Rush,10,Steve Slaton rush for 10 yards to the Tor51. Tackled by Bear Woods.,11,7
14:17,2,Rush,1,Ricky Ray rush for 1 yard to the Tor52. Tackled by Bear Woods.,11,7
13:34,1,Pass,13,Ricky Ray pass to John Chiles for 13 yards to the Mtl45. Tackled by Jerald Brown.,11,7
13:08,1,Rush,2,Steve Slaton rush for 2 yards to the Mtl43. Tackled by Winston Venable.,11,7
12:38,2,Sack,-6,Sack at Mtl49 for a loss of 6 yards by Alan-Michael Cash.,11,7
12:08,3,Punt,7,Swayze Waters punts for 42 yards to Mtl7. James Rodgers return for 7 yards to Mtl14. Tackled by James Yurichuk.,11,7
11:56,1,Rush,13,Tyrell Sutton rush for 13 yards to the Mtl27. Tackled by Alex Suber.,11,7
11:28,1,Rush,-2,Tyrell Sutton rush for a loss of 2 yards to the Mtl25. Tackled by Logan Harrell.,11,7
10:51,3,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,11,7
10:25,3,Punt,1,Sean Whyte punts for 43 yards to Tor42. Chad Owens return for 1 yard to Tor43. Tackled by Kyries Hebert.,11,7
10:02,1,Pass,5,Ricky Ray pass to Steve Slaton for 5 yards to the Tor48. Tackled by Winston Venable.,11,7
09:32,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Mike Bradwell.,11,7
09:07,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Montreal 10 yards.,11,7
08:50,1,Pass,6,Ricky Ray pass to John Chiles for 6 yards to the Mtl46. Tackled by Jerald Brown.,11,7
08:13,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Maurice Mann.,11,7
07:45,3,Punt,7,Swayze Waters punts for 37 yards to Mtl9. James Rodgers return for 7 yards to Mtl16. Tackled by Matthew Ware.,11,7
07:24,1,Pass,12,Jonathan Crompton pass to Duron Carter for 12 yards to the Mtl28. Tackled by Branden Smith.,11,7
06:55,1,Rush,-3,Tyrell Sutton rush for a loss of 3 yards to the Mtl25. Tackled by Aston Whiteside.,11,7
06:12,2,Pass,10,Jonathan Crompton pass to Duron Carter for 10 yards to the Mtl35. Tackled by Branden Smith.,11,7
05:50,3,Rush,2,Jean-Christophe Beaulieu rush for 2 yards to the Mtl37. Tackled by Zander Robinson.,11,7
05:14,1,Pass,8,Ricky Ray pass to Steve Slaton for 8 yards to the Mtl29. Tackled by Jerald Brown.,11,7
04:58,2,Rush,4,Steve Slaton rush for 4 yards to the Mtl25. Tackled by Brian Brikowski.,11,7
04:23,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Mtl20. Tackled by Mitchell White.,11,7
03:43,2,Pass,2,Ricky Ray pass to Chad Owens for 2 yards to the Mtl18. Tackled by Bear Woods.,11,7
02:51,3,Missed Field Goal,25,Swayze Waters 25 yard field goal attempt is GOOD.,14,7
02:51,1,Pass,9,Jonathan Crompton pass to Duron Carter for 9 yards to the Mtl44. Tackled by Delano Johnson.,14,7
02:15,2,Rush,3,Tyrell Sutton rush for 3 yards to the Mtl47. Tackled by  .,14,7
01:36,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl52. Tackled by Logan Harrell.,14,7
01:02,2,Rush,6,Tyrell Sutton rush for 6 yards to the Tor52. Tackled by  .,14,7
00:13,1,Pass,14,Jonathan Crompton pass to Duron Carter for 14 yards to the Tor38. Tackled by Branden Smith.,14,7
15:00,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London.,14,7
14:43,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,14,7
14:01,3,Missed Field Goal,45,Sean Whyte 45 yard field goal attempt is GOOD.,14,10
14:01,0,Illegal Block,12,Sean Whyte kicks off to the Tor13. LaVon Brazill return for 22 yards to Tor35. Tackled by Andrew Lue. Penalty: Illegal Block on Toronto (Herve Tonye-Tonye) -10 yards.,14,10
13:45,1,Holding,5,Ricky Ray pass to Steve Slaton for 15 yards to the Tor40. Penalty: Holding on Toronto (Spencer Watt) -10 yards.,14,10
13:25,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,14,10
13:14,2,Pass,11,Ricky Ray pass to Spencer Watt for 11 yards to the Tor41. Tackled by Billy Parker.,14,10
12:27,1,Rush,-12,Steve Slaton rush for a loss of 12 yards to the Tor29. Tackled by Winston Venable.,14,10
11:35,2,Pass,12,Ricky Ray pass to Steve Slaton for 12 yards to the Tor41. Tackled by Winston Venable.,14,10
10:56,3,Punt,7,Swayze Waters punts for 44 yards to Mtl25. James Rodgers return for 7 yards to Mtl32. Tackled by Thomas Miles.,14,10
10:43,1,Rush,2,Tyrell Sutton rush for 2 yards to the Mtl34. Tackled by Tristan Okpalaugo.,14,10
10:12,2,Pass,28,Jonathan Crompton pass to S.J. Green for 28 yards to the Tor48.,14,10
09:44,1,Illegal Block,25,Jonathan Crompton pass to S.J. Green for 35 yards to the Tor13. Penalty: Illegal Block on Montreal (Chris Rainey) -10 yards.,14,10
09:19,1,Pass,23,Jonathan Crompton pass to Duron Carter for 23 yards for a TOUCHDOWN.,14,16
09:01,0,Made Extra Point,0,Sean Whyte extra point is good.,14,17
09:01,0,Kickoff,19,Sean Whyte kicks off to the Tor12. LaVon Brazill return for 19 yards to Tor31. Tackled by Mike Edem.,14,17
08:54,1,Pass,4,Ricky Ray pass to Steve Slaton for 4 yards to the Tor35. Tackled by Bear Woods.,14,17
08:16,2,Rush,1,Ricky Ray rush for 1 yard to the Tor36. Tackled by Bear Woods.,14,17
07:43,3,Punt,5,Swayze Waters punts for 32 yards to Mtl42. James Rodgers return for 5 yards to Mtl47. Tackled by Cory Greenwood.,14,17
07:30,1,Rush,0,Tanner Marsh rush for no gain to the Mtl47. Tackled by Shea Emry.,14,17
06:52,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,14,17
06:43,3,Punt,11,Sean Whyte punts for 46 yards to Tor17. Chad Owens return for 11 yards to Tor28. Tackled by James Tuck.,14,17
06:18,1,Rush,12,Steve Slaton rush for 12 yards to the Tor40. Tackled by Bear Woods.,14,17
05:44,1,Pass,0,Ricky Ray pass to Steve Slaton for no gain to the Tor40. Tackled by Winston Venable.,14,17
05:05,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,14,17
04:46,3,Punt,2,Swayze Waters punts for 39 yards to Mtl31. James Rodgers return for 2 yards to Mtl33. Tackled by Ivan Brown.,14,17
04:30,1,Pass,15,Tanner Marsh pass to Duron Carter for 15 yards to the Mtl48. Tackled by  .,14,17
03:55,1,Rush,3,Tyrell Sutton rush for 3 yards to the Mtl51. Tackled by Logan Harrell.,14,17
03:23,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,14,17
03:17,3,Punt,11,Sean Whyte punts for 47 yards to Tor12. Chad Owens return for 11 yards to Tor23. Tackled by Brian Brikowski.,14,17
02:49,0,Tripping,10,Penalty: Tripping on Montreal (Dominique Ellis) 10 yards.,14,17
02:35,1,Sack,-8,Sack at Tor15 for a loss of 8 yards by John Bowman.,14,17
02:29,2,Pass,8,Trevor Harris pass to Mike Bradwell for 8 yards to the Tor33. Tackled by Jerald Brown.,14,17
02:14,3,Punt - Team Recover Own Punt,18,Swayze Waters punts for 18 yards to Tor51.  Alex Suber recovered own teams punt.,14,17
02:03,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Steve Slaton.,14,17
01:59,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Mike Bradwell.,14,17
01:55,3,Incomplete Pass,0,Trevor Harris incomplete pass intended for Chad Owens defensed by Winston Venable.,14,17
01:48,1,Rush,12,Tyrell Sutton rush for 12 yards to the Tor39. Tackled by Jermaine Gabriel.,14,17
01:43,1,Rush,9,Tyrell Sutton rush for 9 yards to the Tor30. Tackled by  .,14,17
01:37,2,Rush,3,Tyrell Sutton rush for 3 yards to the Tor27. Tackled by Tristan Okpalaugo.,14,17
01:15,1,Rush,6,Tyrell Sutton rush for 6 yards to the Tor21. Tackled by Tristan Okpalaugo.,14,17
00:53,2,Rush,6,Tyrell Sutton rush for 6 yards to the Tor15. Tackled by Branden Smith.,14,17
