Time,Down,Type,Yards,Details,Montreal,Edmonton
08:32,1,Pass,1,Jonathan Crompton pass to Brandon Whitaker for 1 yard to the Mtl46. Tackled by Dexter McCoil.,6,9
08:09,2,Unnecessary Roughness,16,Jonathan Crompton rush for 1 yard to the Mtl47. Penalty: Unnecessary Roughness on Edmonton (Odell Willis) 15 yards.,6,9
07:40,1,Pass,7,Jonathan Crompton pass to Brandon Whitaker for 7 yards to the Edm41. Tackled by Patrick Watkins.,6,9
07:05,2,Rush,6,Brandon Whitaker rush for 6 yards to the Edm35. Tackled by Marcell Young.,6,9
06:28,1,Rush,1,James Rodgers rush for 1 yard to the Edm34. Tackled by Otha Foster.,6,9
05:50,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,6,9
05:11,3,Missed Field Goal,42,Sean Whyte 42 yard field goal attempt is GOOD.,9,9
05:11,0,Kickoff,24,Sean Whyte kicks off to the Edm11. Tyler Thomas return for 24 yards to Edm35. Tackled by Andrew Lue.,9,9
05:05,1,Pass,7,Mike Reilly pass to A.J. Guyton for 7 yards to the Edm42. Tackled by Bear Woods.,9,9
04:30,2,Rush,8,Mike Reilly rush for 8 yards to the Edm50. Tackled by Jerald Brown.,9,9
03:33,1,Rush,4,Nate Coehoorn rush for 4 yards to the Edm54. Tackled by Bear Woods.,9,9
02:56,2,Pass,14,Mike Reilly pass to Fred Stamps for 14 yards to the Mtl42. Tackled by Mitchell White.,9,9
02:20,1,Rush,19,Kendial Lawrence rush for 19 yards to the Mtl23. Tackled by Bear Woods.,9,9
01:34,1,Sack,-1,Sack at Mtl24 for a loss of 1 yard by Gabriel Knapton.,9,9
00:55,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,9,9
00:16,3,Missed Field Goal,31,Hugh O'Neill 31 yard field goal attempt is GOOD.,9,12
00:16,1,Pass,11,Jonathan Crompton pass to S.J. Green for 11 yards to the Mtl46. Tackled by Dexter McCoil.,9,12
14:45,1,Pass,64,Jonathan Crompton pass to Duron Carter for 64 yards for a TOUCHDOWN.,15,12
14:27,0,Made Extra Point,0,Sean Whyte extra point is good.,16,12
14:19,0,Holding,29,Sean Whyte kicks off to the Edm10. Tyler Thomas return for 39 yards to Edm49. Penalty: Holding on Edmonton (Deon Lacey) -10 yards.,16,12
14:19,1,Pass,48,Mike Reilly pass to Adarius Bowman for 48 yards to the Mtl23. Tackled by Marc-Olivier Brouillette.,16,12
13:53,1,Unnecessary Roughness,16,Mike Reilly pass to Adarius Bowman for 9 yards to the Mtl14. Tackled by Kyries Hebert. Penalty: Unnecessary Roughness on Montreal (Kyries Hebert) 7 yards.,16,12
13:20,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,16,12
13:03,2,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Mtl1. Tackled by Geoff Tisdale.,16,12
12:23,3,Rush,2,Mike Reilly rush for 1 yard to the Mtl0. Mike Reilly rush for 1 yard for a TOUCHDOWN.,16,18
12:15,0,Made Extra Point,0,Hugh O'Neill extra point is good.,16,19
12:15,0,Kickoff,13,Hugh O'Neill kicks off to the Mtl23. James Rodgers return for 13 yards to Mtl36. Tackled by Patrick Watkins.,16,19
12:08,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London defensed by Ryan Hinds.,16,19
11:48,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,16,19
11:30,3,Unnecessary Roughness,41,Sean Whyte punts for 54 yards to Edm20. Kendial Lawrence return for 26 yards to Edm46. Tackled by Brandon London. Penalty: Unnecessary Roughness on Montreal (Bear Woods) 15 yards.,16,19
10:59,1,Pass,11,Mike Reilly pass to Nate Coehoorn for 11 yards to the Mtl38. Tackled by Mitchell White.,16,19
10:37,1,Rush,12,Mike Reilly rush for 12 yards to the Mtl26. Tackled by Bear Woods.,16,19
09:55,1,Pass,9,Mike Reilly pass to Nate Coehoorn for 9 yards to the Mtl17. Tackled by Mitchell White.,16,19
09:20,2,Rush,2,Pat White rush for 2 yards to the Mtl15. Tackled by Gabriel Knapton.,16,19
08:15,1,Sack,-5,Sack at Mtl20 for a loss of 5 yards by Gabriel Knapton.,16,19
07:12,2,Rush,20,Tyler Thomas rush for 20 yards for a TOUCHDOWN.,16,25
06:57,0,Made Extra Point,0,Hugh O'Neill extra point is good.,16,26
06:57,0,Holding,10,Hugh O'Neill kicks off to the Mtl15. James Rodgers return for 20 yards to Mtl35. Penalty: Holding on Montreal (Bear Woods) -10 yards.,16,26
06:51,1,Pass,11,Jonathan Crompton pass to Brandon Whitaker for 11 yards to the Mtl36. Tackled by Otha Foster.,16,26
06:37,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon Whitaker defensed by Odell Willis.,16,26
05:55,2,Pass,5,Jonathan Crompton pass to Brandon Whitaker for 5 yards to the Mtl41. Tackled by J.C. Sherritt.,16,26
05:28,3,Punt,19,Sean Whyte punts for 53 yards to Edm16. Kendial Lawrence return for 19 yards to Edm35. Tackled by Marc-Olivier Brouillette.,16,26
04:59,1,Pass,17,Mike Reilly pass to Adarius Bowman for 17 yards to the Edm52. Tackled by Kyries Hebert.,16,26
04:33,1,Rush,3,Tyler Thomas rush for 3 yards to the Edm55. Tackled by John Bowman.,16,26
04:01,2,Pass,15,Mike Reilly pass to Kendial Lawrence for 15 yards to the Mtl40. Tackled by Kyries Hebert.,16,26
03:07,1,Rush,17,Mike Reilly rush for 17 yards to the Mtl23.,16,26
02:41,1,Pass,9,Mike Reilly pass to Adarius Bowman for 9 yards to the Mtl14. Tackled by Geoff Tisdale.,16,26
02:23,2,Unnecessary Roughness,-14,Pat White rush for 1 yard to the Mtl13. Tackled by Kyries Hebert. Penalty: Unnecessary Roughness on Edmonton (Pat White) -15 yards.,16,26
02:12,1,Rush,17,Kendial Lawrence rush for 17 yards to the Mtl11. Tackled by Kyries Hebert.,16,26
02:02,1,Rush,4,Kendial Lawrence rush for 4 yards to the Mtl7. Tackled by Kyries Hebert.,16,26
01:37,2,Rush,7,Mike Reilly rush for 7 yards for a TOUCHDOWN.,16,32
01:37,0,Made Extra Point,0,Hugh O'Neill extra point is good.,16,33
01:37,0,Kickoff,26,Hugh O'Neill kicks off to the Mtl15. James Rodgers return for 26 yards to Mtl41. Tackled by Dexter McCoil.,16,33
01:28,1,Rush,4,Jonathan Crompton rush for 4 yards to the Mtl45. Tackled by Gregory Alexandre.,16,33
01:20,2,Pass,8,Jonathan Crompton pass to Dave Stala for 8 yards to the Mtl53. Tackled by Rennie Curran.,16,33
01:12,1,Pass,12,Jonathan Crompton pass to Brandon Whitaker for 12 yards to the Edm45. Tackled by Cameron Sheffield.,16,33
01:01,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter defensed by Willie Jefferson.,16,33
00:50,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green defensed by Marcell Young.,16,33
00:46,3,Sack,-2,Sack at Edm47 for a loss of 2 yards by Cameron Sheffield.,16,33
