Time,Down,Type,Yards,Details,Winnipeg,Edmonton
00:19,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey defensed by Teague Sherman.,0,30
00:12,0,Pass Interference,40,Penalty: Pass Interference on Winnipeg (Chris Randle) 40 yards.,0,30
00:04,1,Rush,1,Mike Reilly rush for 1 yard for a TOUCHDOWN.,0,36
00:04,0,Made Extra Point,0,Hugh O'Neill extra point is good.,0,37
00:04,0,Kickoff,16,Hugh O'Neill kicks off to the Wpg30. Aaron Woods return for 16 yards to Wpg46. Tackled by Mike Dubuisson.,0,37
15:00,0,Kickoff,26,Lirim Hajrullahu kicks off to the Edm8. Kendial Lawrence return for 26 yards to Edm34. Tackled by Chris Randle.,0,37
14:54,1,Pass,12,Mike Reilly pass to Devon Bailey for 12 yards to the Edm46. Tackled by Johnny Sears Jr..,0,37
14:22,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey.,0,37
13:56,2,Offside,5,Penalty: Offside on Winnipeg (Greg Peach) 5 yards.,0,37
13:20,2,Pass,32,Mike Reilly pass to Devon Bailey for 32 yards to the Wpg27. Tackled by Matt Bucknor.,0,37
12:40,1,Rush,14,Pat White rush for 14 yards to the Wpg13. Tackled by Johnny Sears Jr..,0,37
12:04,1,Rush,6,John White rush for 6 yards to the Wpg7. Tackled by Ian Wild.,0,37
11:37,2,Sack,-2,Sack at Wpg9 for a loss of 2 yards by Louie Richardson.,0,37
10:37,3,Missed Field Goal,16,Hugh O'Neill 16 yard field goal attempt is GOOD.,0,40
10:37,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark.,0,40
10:25,2,Pass,23,Brian Brohm pass to Cory Watson for 23 yards to the Edm52. Tackled by Rennie Curran.,0,40
09:53,1,Pass,7,Brian Brohm pass to Brett Carter for 7 yards to the Edm45. Tackled by Patrick Watkins.,0,40
09:20,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark.,0,40
09:05,3,Pass,8,Brian Brohm pass to Nick Moore for 8 yards to the Edm37. Tackled by Otha Foster.,0,40
08:29,1,Rush,1,Sam McGuffie rush for 1 yard to the Edm36. Tackled by Patrick Watkins.,0,40
08:06,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark.,0,40
07:36,3,Missed Field Goal,43,Lirim Hajrullahu 43 yard field goal attempt is GOOD.,3,40
07:36,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,3,40
07:25,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Calvin McCarty.,3,40
06:50,3,Illegal Interference,22,Hugh O'Neill punts for 50 yards to Wpg25. Aaron Woods return for 12 yards to Wpg37. Tackled by Dexter McCoil. Penalty: Illegal Interference on Edmonton (Pat White) 10 yards.,3,40
06:34,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Matthias Goossen) -5 yards.,3,40
06:25,1,Pass,4,Brian Brohm pass to Rory Kohlert for 4 yards to the Wpg46. Tackled by Alonzo Lawrence.,3,40
05:45,2,Interception,15,Brian Brohm pass intended for Nick Moore INTERCEPTED and returned for 15 yards. Tackled by Cory Watson.,3,40
05:27,1,Rush,6,John White rush for 6 yards to the Wpg36. Tackled by Maurice Leggett.,3,40
04:41,2,Rush,2,Mike Reilly rush for 2 yards to the Wpg34. Tackled by Ian Wild.,3,40
04:05,3,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,3,40
03:35,1,Rush,3,Paris Cotton rush for 3 yards to the Wpg37. Tackled by Cedric McKinley.,3,40
03:05,2,Pass,45,Brian Brohm pass to Clarence Denmark for 45 yards to the Edm28. Tackled by Otha Foster.,3,40
02:27,1,Pass,4,Brian Brohm pass to Nick Moore for 4 yards to the Edm24. Tackled by Marcell Young.,3,40
01:50,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark defensed by Dexter McCoil.,3,40
01:17,3,Missed Field Goal,31,Lirim Hajrullahu 31 yard field goal attempt is GOOD.,6,40
01:17,1,Rush,6,John White rush for 6 yards to the Edm41. Tackled by Desia Dunn.,6,40
