Time,Down,Type,Yards,Details,Ottawa,Winnipeg
07:54,2,Fumble,-6,Sack at Wpg35 for a loss of 3 yards by Jonathan Williams FUMBLE FUMBLE Recovered by Ott (Justin Capicciotti) Recovered by Wpg (Justin Capicciotti). Tackled by Kashawn Fraser,21,20
07:28,1,Rush,8,Chevon Walker rush for 8 yards to the Wpg30. Tackled by Dan West.,21,20
06:45,2,Rush,-5,Chevon Walker rush for a loss of 5 yards to the Wpg35. Tackled by Demond Washington.,21,20
06:02,3,Field Goal Single,49,49 yard field goal attempt by Brett Maher is NO GOOD (Single).,22,20
06:02,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg38. Tackled by Travis Brown.,22,20
05:21,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,22,20
05:05,3,Punt,4,Mike Renaud punts for 43 yards to Ott29. Jamill Smith return for 4 yards to Ott33.,22,20
04:42,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,22,20
04:20,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Paris Jackson.,22,20
03:59,3,Punt,1,Brett Maher punts for 41 yards to Wpg36. Aaron Woods return for 1 yard to Wpg37. Tackled by Antoine Pruneau.,22,20
03:28,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly defensed by Jovon Johnson.,22,20
03:15,2,Interception,2,Drew Willy pass intended for Nick Moore INTERCEPTED and returned for 2 yards. Tackled by Nic Grigsby.,22,20
02:47,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,22,20
02:36,0,Pass Interference,10,Penalty: Pass Interference on Winnipeg (Johnny Sears Jr.) 10 yards.,22,20
02:15,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Patrick Lavoie.,22,20
01:51,2,Rush,2,Chevon Walker rush for 2 yards to the Wpg37. Tackled by Zach Anderson.,22,20
00:45,3,Missed Field Goal,45,Brett Maher 45 yard field goal attempt is GOOD.,25,20
00:45,1,Rush,3,Drew Willy rush for 3 yards to the Wpg38. Tackled by Brandon Lang.,25,20
00:01,2,Pass,5,Drew Willy pass to Nic Grigsby for 5 yards to the Wpg43. Tackled by Moton Hopkins.,25,20
15:00,3,Punt,5,Mike Renaud punts for 40 yards to Ott27. Jamill Smith return for 5 yards to Ott32.,25,20
14:42,1,Unnecessary Roughness,36,Henry Burris pass to Kierrie Johnson for 21 yards to the Ott53. Penalty: Unnecessary Roughness on Winnipeg (Bruce Johnson) 15 yards.,25,20
14:18,1,Pass,11,Henry Burris pass to John Delahunt for 11 yards to the Wpg31. Tackled by Demond Washington.,25,20
13:39,1,Rush,4,Chevon Walker rush for 4 yards to the Wpg27. Tackled by Louie Richardson.,25,20
