Time,Down,Type,Yards,Details,Montreal,Winnipeg
03:44,2,Rush,6,Tyrell Sutton rush for 6 yards to the Wpg16. Tackled by Ian Wild.,6,8
03:05,1,Pass,11,Jonathan Crompton pass to Tyrell Sutton for 11 yards to the Wpg5. Tackled by Ian Wild.,6,8
02:30,1,Rush,4,Brandon Whitaker rush for 4 yards to the Wpg1. Tackled by Ian Wild.,6,8
01:55,2,Offside,0,Penalty: Offside on Winnipeg 0 yards.,6,8
01:32,1,Rush,1,Tanner Marsh rush for 1 yard for a TOUCHDOWN.,12,8
01:22,0,Made Extra Point,0,Sean Whyte extra point is good.,13,8
01:22,0,Kickoff,20,Sean Whyte kicks off to the Wpg14. Troy Stoudermire return for 20 yards to Wpg34. Tackled by Jonathan Beaulieu-Richard.,13,8
01:15,1,Pass,9,Drew Willy pass to Clarence Denmark for 9 yards to the Wpg43. Tackled by Mitchell White.,13,8
00:28,2,Rush,1,Drew Willy rush for 1 yard to the Wpg44. Tackled by Bear Woods.,13,8
00:01,1,Pass,24,Drew Willy pass to Rory Kohlert for 24 yards to the Mtl42. Tackled by Mitchell White.,13,8
15:00,1,Rush,15,Nic Grigsby rush for 15 yards to the Mtl27. Tackled by Jerald Brown.,13,8
14:50,1,Pass,12,Drew Willy pass to Nick Moore for 12 yards to the Mtl15. Tackled by Bear Woods.,13,8
14:09,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Cory Watson.,13,8
13:40,2,Pass,0,Drew Willy pass to Julian Feoli-Gudino for no gain to the Mtl15. Tackled by Chip Cox.,13,8
13:00,3,Missed Field Goal,22,Lirim Hajrullahu 22 yard field goal attempt is GOOD.,13,11
13:00,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Kenny Stafford.,13,11
12:43,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,13,11
12:30,3,Punt,9,Sean Whyte punts for 38 yards to Wpg37. Troy Stoudermire return for 9 yards to Wpg46. Tackled by Nicolas Boulay.,13,11
12:15,1,Rush,11,Nic Grigsby rush for 11 yards to the Mtl53. Tackled by Kyries Hebert.,13,11
11:34,1,Pass,37,Drew Willy pass to Clarence Denmark for 37 yards to the Mtl16. Tackled by Mitchell White.,13,11
10:52,1,Rush,5,Drew Willy rush for 5 yards to the Mtl11. Tackled by Chip Cox.,13,11
10:14,2,Sack,-6,Sack at Mtl17 for a loss of 6 yards by Michael Klassen.,13,11
09:12,3,Missed Field Goal,24,Lirim Hajrullahu 24 yard field goal attempt is GOOD.,13,14
