Time,Down,Type,Yards,Details,BC,Winnipeg
14:42,2,Pass,7,Kevin Glenn pass to Ernest Jackson for 7 yards to the BC52. Tackled by Don Unamba.,13,14
14:08,3,No Yards,49,Ricky Schmitt punts for 54 yards to Wpg4. Penalty: No Yards on BC (Jason Arakgi) -5 yards.,13,14
13:49,1,Pass,6,Drew Willy pass to Justin Wilson for 6 yards to the Wpg15. Tackled by Cord Parks.,13,14
13:15,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,13,14
12:54,3,Illegal Block,-7,Lirim Hajrullahu punts for 48 yards to BC47. Marco Iannuzzi return for 3 yards to BC50. Penalty: Illegal Block on BC (Seydou Junior Haidara) -10 yards.,13,14
12:31,1,Rush,5,Keola Antolin rush for 5 yards to the BC45. Tackled by Don Unamba.,13,14
12:00,2,Roughing Passer,10,Penalty: Offside on BC (Ernest Jackson) -5 yards. Penalty: Roughing Passer on Winnipeg (Kashawn Fraser) 15 yards.,13,14
11:40,1,Rush,0,Rolly Lumbala rush for no gain to the BC55. Tackled by Jake Thomas.,13,14
11:03,2,Unnecessary Roughness,-15,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux defensed by Johnny Sears Jr.. Penalty: Unnecessary Roughness on BC (Jermarcus Hardrick) -15 yards.,13,14
10:50,3,Punt,8,Ricky Schmitt punts for 42 yards to Wpg28. Troy Stoudermire return for 8 yards to Wpg36. Tackled by Adam Bighill.,13,14
10:36,1,Rush,4,Paris Cotton rush for 4 yards to the Wpg40. Tackled by Cord Parks.,13,14
09:50,2,Rush,19,Paris Cotton rush for 19 yards to the BC51. Tackled by Torri Williams.,13,14
09:21,1,Pass,17,Drew Willy pass to Cory Watson for 17 yards to the BC34. Tackled by J.R. LaRose.,13,14
08:43,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Justin Wilson defensed by Eric Taylor.,13,14
08:06,2,Sack,-5,Sack at BC39 for a loss of 5 yards by David Menard.,13,14
07:29,3,Missed Field Goal,46,Lirim Hajrullahu 46 yard field goal attempt is GOOD.,13,17
07:29,0,Illegal Block,7,Lirim Hajrullahu kicks off to the BC18. Marco Iannuzzi return for 17 yards to BC35. Penalty: Illegal Block on BC (Adam Bighill) -10 yards.,13,17
07:19,1,Rush,8,Keola Antolin rush for 8 yards to the BC33. Tackled by Chris Randle.,13,17
06:45,2,Rush,1,John Beck rush for 1 yard to the BC34. Tackled by Jake Thomas.,13,17
05:37,3,Rush,2,John Beck rush for 2 yards to the BC36. Tackled by Chris Randle.,13,17
04:55,1,Pass,15,Kevin Glenn pass to Ernest Jackson for 15 yards to the BC51. Tackled by Ian Wild.,13,17
04:12,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Rolly Lumbala.,13,17
03:52,2,Time Count,-5,Penalty: Time Count on BC (Kevin Glenn) -5 yards.,13,17
03:30,2,Pass,19,Kevin Glenn pass to Lavasier Tuinei for 19 yards to the Wpg45. Tackled by Desia Dunn.,13,17
03:05,1,Rush,2,Rolly Lumbala rush for 2 yards to the Wpg43. Tackled by Kashawn Fraser.,13,17
02:23,2,Pass,7,Kevin Glenn pass to Emmanuel Arceneaux for 7 yards to the Wpg36. Tackled by Bruce Johnson.,13,17
01:40,3,Rush,1,John Beck rush for 1 yard to the Wpg35. Tackled by Kashawn Fraser.,13,17
00:57,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Ernest Jackson.,13,17
00:44,2,Interception,20,Kevin Glenn pass intended for Emmanuel Arceneaux INTERCEPTED and returned for 20 yards. Tackled by Emmanuel Arceneaux.,13,17
00:10,1,Rush,2,Paris Cotton rush for 2 yards to the Wpg49. Tackled by Khreem Smith.,13,17
15:00,0,Holding,-10,Penalty: Holding on Winnipeg (Jace Daniels) -10 yards.,13,17
14:45,2,Interception,0,Drew Willy pass intended for Cory Watson INTERCEPTED. No return.,13,17
14:20,1,Pass,3,Kevin Glenn pass to Emmanuel Arceneaux for 3 yards to the BC22.,13,17
14:04,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,13,17
13:39,3,Punt,5,Ricky Schmitt punts for 33 yards to BC55. Troy Stoudermire return for 5 yards to BC50. Tackled by Pascal Lochard.,13,17
13:27,1,Sack,-4,Sack at BC54 for a loss of 4 yards by Khreem Smith.,13,17
12:51,2,Sack,-8,Sack at Wpg48 for a loss of 8 yards by Khreem Smith.,13,17
12:21,3,Punt,2,Lirim Hajrullahu punts for 39 yards to BC23. Marco Iannuzzi return for 2 yards to BC25. Tackled by Derek Jones.,13,17
12:05,1,Rush,4,Keola Antolin rush for 4 yards to the BC29. Tackled by Ian Wild.,13,17
11:37,2,Sack,-9,Sack at BC20 for a loss of 9 yards by Jason Vega.,13,17
11:05,3,Punt,11,Ricky Schmitt punts for 51 yards to Wpg39. Troy Stoudermire return for 11 yards to Wpg50. Tackled by Adam Bighill.,13,17
