Time,Down,Type,Yards,Details,Winnipeg,Calgary
00:08,2,Sack,-8,Sack at Cgy15 for no gain by Shawn Lemon Recovered by Cgy (Brandon Jordan). Tackled by Glenn January,3,10
15:00,0,Kickoff,15,Rene Paredes kicks off to the Wpg25.   return for 15 yards to Wpg40. Tackled by Frank Beltre.,3,10
14:53,1,Rush,-1,Paris Cotton rush for a loss of 1 yard to the Wpg39. Tackled by Brandon Jordan.,3,10
14:12,2,Rush,8,Robert Marve rush for 8 yards to the Wpg47. Tackled by Deron Mayo.,3,10
13:38,3,Punt,5,Lirim Hajrullahu punts for 43 yards to Cgy20. Anthony Parker return for 5 yards to Cgy25. Tackled by Don Unamba.,3,10
13:17,1,Pass,7,Bo Levi Mitchell pass to Kamar Jorden for 7 yards to the Cgy32. Tackled by Demond Washington.,3,10
12:56,0,Holding,-10,Penalty: Holding on Calgary (Brad Erdos) -10 yards.,3,10
12:38,2,Pass,3,Bo Levi Mitchell pass to Joe West for 3 yards to the Cgy25. Tackled by Don Unamba.,3,10
12:03,3,Fumble,-19,Punt blocked by Cory Watson FUMBLE Recovered by Wpg (Louie Richardson) and returned for 1 yard. Tackled by Jeff Hecht,3,10
11:38,1,Rush,0,Paris Cotton rush for no gain to the Cgy4. Tackled by Juwan Simpson.,3,10
10:37,2,Pass,4,Robert Marve pass to Clarence Denmark for 4 yards for a TOUCHDOWN.,9,10
10:37,0,Made Extra Point,0,Kyle Jones extra point is NO GOOD.,9,10
10:24,0,Kickoff,19,Lirim Hajrullahu kicks off to the Cgy22. Anthony Parker return for 19 yards to Cgy41. Tackled by Kyle Jones.,9,10
10:15,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,9,10
09:58,2,Pass,10,Bo Levi Mitchell pass to Maurice Price for 10 yards to the Cgy51. Tackled by Demond Washington.,9,10
09:15,1,Rush,19,Matt Walter rush for 19 yards to the Wpg40. Tackled by Matt Bucknor.,9,10
08:34,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Kamar Jorden.,9,10
08:13,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass.,9,10
07:26,3,Punt Single,0,Rob Maver punts for 45 yards to Wpg0. No return (Single).,9,11
07:26,1,Incomplete Pass,0,Robert Marve incomplete pass intended for Cory Watson.,9,11
07:11,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Matthias Goossen) -5 yards.,9,11
06:54,2,Incomplete Pass,0,Robert Marve incomplete pass intended for Clarence Denmark.,9,11
06:32,3,Punt,14,Lirim Hajrullahu punts for 45 yards to Cgy35. Anthony Parker return for 14 yards to Cgy49. Tackled by Don Unamba.,9,11
06:17,0,Holding,-10,Penalty: Holding on Calgary (Joe West) -10 yards.,9,11
05:49,1,Rush,8,Matt Walter rush for 8 yards to the Cgy47. Tackled by Maurice Leggett.,9,11
05:10,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker defensed by Demond Washington.,9,11
04:46,3,Punt,3,Rob Maver punts for 43 yards to Wpg20. Paris Cotton return for 3 yards to Wpg23. Tackled by Keenan MacDougall.,9,11
04:24,1,Rush,12,Cameron Marshall rush for 12 yards to the Wpg35. Tackled by Jamar Wall.,9,11
03:45,0,Roughing Passer,15,Penalty: Roughing Passer on Calgary (Keon Raymond) 15 yards.,9,11
03:29,1,Rush,12,Paris Cotton rush for 12 yards to the Cgy48. Tackled by Glenn Love.,9,11
02:50,1,Rush,2,Paris Cotton rush for 2 yards to the Cgy46. Tackled by Brandon Jordan.,9,11
02:20,2,Rush,9,Robert Marve rush for 9 yards to the Cgy37. Tackled by Juwan Simpson.,9,11
01:54,1,Rush,2,Paris Cotton rush for 2 yards to the Cgy35. Tackled by Keon Raymond.,9,11
00:57,2,Incomplete Pass,0,Robert Marve incomplete pass intended for Jerrell Jackson defensed by Buddy Jackson.,9,11
00:35,3,Unnecessary Roughness,6,0 yard field goal attempt by Lirim Hajrullahu is NO GOOD. Field goal attempt is BLOCKED by Keon Raymond.  FUMBLE Recovered by Wpg (Lirim Hajrullahu) Penalty: Unnecessary Roughness on Calgary (Glenn Love) 15 yards,9,11
00:05,1,Pass,7,Bo Levi Mitchell pass to Joe West for 7 yards to the Cgy36. Tackled by Chris Randle.,9,11
15:00,2,Pass,14,Bo Levi Mitchell pass to Maurice Price for 14 yards to the Cgy50. Tackled by Greg Hickman.,9,11
14:34,0,Holding,-10,Penalty: Holding on Calgary (Rob Cote) -10 yards.,9,11
14:07,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,9,11
13:39,2,Sack,-4,Sack at Cgy36 for a loss of 4 yards by Greg Hickman.,9,11
12:50,3,Punt,14,Rob Maver punts for 47 yards to Wpg27. Paris Cotton return for 14 yards to Wpg41. Tackled by Glenn Love.,9,11
12:33,1,Pass,4,Robert Marve pass to Demond Washington for 4 yards to the Wpg45. Tackled by Keon Raymond.,9,11
12:05,2,Rush,6,Robert Marve rush for 6 yards to the Wpg51. Tackled by Shawn Lemon.,9,11
11:23,3,Rush,0,Robert Marve rush for no gain to the Wpg51. Tackled by DeQuin Evans.,9,11
11:00,1,Incomplete Pass,0,Robert Marve incomplete pass intended for Clarence Denmark.,9,11
10:38,2,Pass,42,Robert Marve pass to Clarence Denmark for 42 yards to the Cgy17. Tackled by Jamar Wall.,9,11
09:40,1,Rush,5,rush for 5 yards to the Cgy12. Tackled by Frank Beltre.,9,11
09:06,2,Pass,6,Robert Marve pass to   for 6 yards to the Cgy6. Tackled by Josh Bell.,9,11
08:15,1,Rush,3,rush for 3 yards to the Cgy3. Tackled by Deron Mayo.,9,11
07:35,2,Incomplete Pass,0,Robert Marve incomplete pass intended for Clarence Denmark defensed by Buddy Jackson.,9,11
06:59,3,Missed Field Goal,10,Lirim Hajrullahu 10 yard field goal attempt is GOOD.,12,11
06:59,0,Kickoff,15,Lirim Hajrullahu kicks off to the Cgy21. Anthony Parker return for 15 yards to Cgy36. Tackled by  .,12,11
06:52,1,Fumble,-11,Recovered by Wpg (Johnny Sears Jr.) FUMBLE,12,11
06:42,1,Rush,2,Paris Cotton rush for 2 yards to the Cgy23. Tackled by Josh Bell.,12,11
06:08,2,Incomplete Pass,0,Robert Marve incomplete pass intended for Clarence Denmark.,12,11
05:34,3,Missed Field Goal,30,Lirim Hajrullahu 30 yard field goal attempt is GOOD.,15,11
05:34,0,Kickoff,7,"Lirim Hajrullahu kicks off to the Cgy28. Anthony Parker return for 7 yards to Cgy35., recovered by Wpg ( ). Tackled by Anthony Parker.",15,11
05:20,1,Rush,3,Cameron Marshall rush for 3 yards to the Cgy32. Tackled by Shawn Lemon.,15,11
04:56,2,Pass,12,Robert Marve pass to Clarence Denmark for 12 yards to the Cgy20. Tackled by Brandon Smith.,15,11
04:35,1,Rush,1,Paris Cotton rush for 1 yard to the Cgy19. Tackled by Juwan Simpson.,15,11
04:09,2,Pass,8,Robert Marve pass to Cory Watson for 8 yards to the Cgy11. Tackled by Keon Raymond.,15,11
03:16,3,Missed Field Goal,18,Lirim Hajrullahu 18 yard field goal attempt is GOOD.,18,11
03:16,0,Kickoff,16,Lirim Hajrullahu kicks off to the Cgy14. Anthony Parker return for 16 yards to Cgy30. Tackled by Brett Carter.,18,11
03:10,0,Holding,-10,Penalty: Holding on Calgary (Joe West) -10 yards.,18,11
02:52,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,18,11
02:34,0,Pass Interference,-19,Penalty: Pass Interference on Winnipeg (Chris Randle) -19 yards.,18,11
02:21,1,Rush,14,Matt Walter rush for 14 yards to the Cgy53. Tackled by Ian Wild.,18,11
02:10,1,Rush,12,Matt Walter rush for 12 yards to the Wpg45. Tackled by Demond Washington.,18,11
02:02,1,Pass,22,Bo Levi Mitchell pass to Nik Lewis for 22 yards to the Wpg23. Tackled by Bruce Johnson.,18,11
01:44,0,Illegal Contact,10,Penalty: Illegal Contact on Winnipeg (Demond Washington) 10 yards.,18,11
01:28,1,Sack,-4,Sack at Wpg17 for a loss of 4 yards by Ian Wild.,18,11
01:18,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price defensed by Matt Bucknor.,18,11
00:56,3,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,18,11
00:51,1,Rush,6,Paris Cotton rush for 6 yards to the Wpg23. Tackled by Buddy Jackson.,18,11
00:46,2,Rush,3,Paris Cotton rush for 3 yards to the Wpg26. Tackled by Deron Mayo.,18,11
00:11,3,Safety,-26,Safety,18,13
00:11,0,Kickoff,29,Lirim Hajrullahu kicks off to the Cgy28. Keon Raymond return for 29 yards to Wpg53. Tackled by Desia Dunn.,18,13
00:03,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Shane Bergman) -5 yards.,18,13
00:03,1,Pass,19,Bo Levi Mitchell pass to Maurice Price for 19 yards to the Wpg39. Tackled by Ian Wild.,18,13
