Time,Down,Type,Yards,Details,Winnipeg,Hamilton
08:07,0,Kickoff,9,Justin Medlock kicks off to the Wpg7. Aaron Woods return for 9 yards to Wpg16. Tackled by Neil King.,20,13
08:00,1,Rush,15,Nic Grigsby rush for 15 yards to the Wpg31. Tackled by Simoni Lawrence.,20,13
07:28,1,Rush,-4,Paris Cotton rush for a loss of 4 yards to the Wpg27. Tackled by Bryan Hall.,20,13
06:53,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant.,20,13
06:17,3,Punt,0,Lirim Hajrullahu punts for 54 yards to Ham29. No return.,20,13
05:58,0,Pass Interference,-10,Penalty: Pass Interference on Hamilton (C.J. Gable) -10 yards.,20,13
05:41,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Luke Tasker.,20,13
05:22,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for C.J. Gable.,20,13
05:06,3,Punt,18,Justin Medlock punts for 52 yards to Wpg39. Aaron Woods return for 18 yards to Ham53. Tackled by Beau Landry.,20,13
04:50,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,20,13
04:32,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,20,13
04:05,3,Punt,0,Lirim Hajrullahu punts for 29 yards to Ham24. No return.,20,13
03:41,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Cary Koch.,20,13
03:17,2,Pass,30,Dan LeFevour pass to Luke Tasker for 30 yards to the Ham54. Tackled by Demond Washington.,20,13
02:49,1,Pass,9,Dan LeFevour pass to Cary Koch for 9 yards to the Wpg47.,20,13
01:10,2,Rush,3,Dan LeFevour rush for 3 yards to the Wpg44. Tackled by Teague Sherman.,20,13
01:05,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Samuel Giguere.,20,13
00:53,2,Face Mask,30,Dan LeFevour pass to Luke Tasker for 16 yards to the Wpg28. Tackled by Bruce Johnson. Penalty: Face Mask on Winnipeg (Bruce Johnson) 14 yards.,20,13
00:32,1,Pass,5,Dan LeFevour pass to Bakari Grant for 5 yards to the Wpg9. Tackled by Desia Dunn.,20,13
00:02,2,Rush,7,C.J. Gable rush for 7 yards to the Wpg2. Tackled by Demond Washington.,20,13
14:48,1,Rush,2,Dan LeFevour rush for 2 yards for a TOUCHDOWN.,20,19
14:34,0,Made Extra Point,0,Justin Medlock extra point is good.,20,20
14:34,0,Kickoff,18,Justin Medlock kicks off to the Wpg11. Aaron Woods return for 18 yards to Wpg29. Tackled by Erik Harris.,20,20
14:30,1,Sack,-9,Sack at Wpg20 for a loss of 9 yards by Ted Laurent.,20,20
14:06,2,Pass,10,Drew Willy pass to Clarence Denmark for 10 yards to the Wpg30. Tackled by Simoni Lawrence.,20,20
12:45,3,Punt,67,Lirim Hajrullahu punts for 37 yards to Ham43. Quincy McDuffie return for 67 yards to Wpg0 for a TOUCHDOWN.,20,26
12:28,0,Made Extra Point,0,Justin Medlock extra point is good.,20,27
12:28,0,Kickoff,17,Justin Medlock kicks off to the Wpg16. Aaron Woods return for 17 yards to Wpg33. Tackled by Frederic Plesius.,20,27
12:15,1,Rush,6,Nic Grigsby rush for 6 yards to the Wpg39. Tackled by Marcellus Bowman.,20,27
11:57,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,20,27
11:31,3,Fumble,-39,Safety FUMBLE Recovered by Wpg (Lirim Hajrullahu),20,29
11:07,0,Kickoff,43,Lirim Hajrullahu kicks off to the Ham20. Mossis Madu return for 43 yards to Wpg47. Tackled by Kyle Norris.,20,29
10:58,1,Pass,12,Dan LeFevour pass to Bakari Grant for 12 yards to the Wpg35. Tackled by Chris Randle.,20,29
10:34,1,Pass,3,Dan LeFevour pass to Bakari Grant for 3 yards to the Wpg32. Tackled by Matt Bucknor.,20,29
09:57,0,Holding,-10,Penalty: Holding on Hamilton (Tim O'Neill) -10 yards.,20,29
09:15,2,Sack,-2,Sack at Wpg44 for a loss of 2 yards by Greg Peach.,20,29
08:55,3,No Yards,9,Justin Medlock punts for 24 yards to Wpg20. Penalty: No Yards on Hamilton (Brandon Stewart) -15 yards.,20,29
08:19,1,Pass,10,Drew Willy pass to   for 10 yards to the Wpg45. Tackled by Emanuel Davis.,20,29
08:03,2,Offside,5,Penalty: Offside on Hamilton (Bryan Hall) 5 yards.,20,29
07:37,1,Pass,18,Drew Willy pass to Romby Bryant for 18 yards to the Ham42. Tackled by Brandon Stewart.,20,29
07:23,1,Rush,3,Nic Grigsby rush for 3 yards to the Ham39. Tackled by Antonio Coleman.,20,29
06:57,2,Fumble,8,"Drew Willy pass to Julian Feoli-Gudino for 8 yards to the Ham31. FUMBLE, recovered by Ham (Rico Murray). Tackled by Julian Feoli-Gudino.",20,29
06:10,1,Pass,3,Dan LeFevour pass to Bakari Grant for 3 yards to the Ham34. Tackled by Matt Bucknor.,20,29
05:54,2,Pass,9,Dan LeFevour pass to Cary Koch for 9 yards to the Ham43. Tackled by Chris Randle.,20,29
05:18,1,Rush,2,C.J. Gable rush for 2 yards to the Ham45. Tackled by Ejiro Kuale.,20,29
04:24,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Jake Olson) -5 yards.,20,29
04:09,2,Pass,10,Dan LeFevour pass to Andy Fantuz for 10 yards to the Ham50. Tackled by Bruce Johnson.,20,29
03:38,3,Holding,-3,Justin Medlock punts for 47 yards to Wpg13. Aaron Woods return for 7 yards to Wpg20. Penalty: Holding on Winnipeg (Carl Volny) -10 yards.,20,29
03:07,1,Pass,5,Drew Willy pass to   for 5 yards to the Wpg15. Tackled by Rico Murray.,20,29
02:47,2,Rush,1,Drew Willy rush for 1 yard to the Wpg16. Tackled by Eric Norwood.,20,29
02:37,3,Punt,5,Lirim Hajrullahu punts for 54 yards to Ham40. Quincy McDuffie return for 5 yards to Ham45. Tackled by Don Unamba.,20,29
02:20,1,Rush,1,Dan LeFevour rush for 1 yard to the Ham46. Tackled by Greg Peach.,20,29
02:15,2,Pass,1,Dan LeFevour pass to C.J. Gable for 1 yard to the Ham47. Tackled by Maurice Leggett.,20,29
01:50,3,Punt,1,Justin Medlock punts for 48 yards to Wpg15. Aaron Woods return for 1 yard to Wpg16. Tackled by Marc-Antoine Fortin.,20,29
01:40,1,Pass,14,Drew Willy pass to Julian Feoli-Gudino for 14 yards to the Wpg30. Tackled by Courtney Stephen.,20,29
01:32,1,Rush,15,Drew Willy rush for 15 yards to the Wpg45.,20,29
01:18,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,20,29
01:13,2,Pass,17,Drew Willy pass to Clarence Denmark for 17 yards to the Ham48. Tackled by Brandon Stewart.,20,29
01:06,1,Pass,6,Drew Willy pass to   for 6 yards to the Ham42. Tackled by Emanuel Davis.,20,29
00:58,2,Pass,2,Drew Willy pass to Nic Grigsby for 2 yards to the Ham40. Tackled by Brandon Stewart.,20,29
00:45,3,Pass,16,Drew Willy pass to   for 16 yards to the Ham24. Tackled by Neil King.,20,29
00:31,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,20,29
00:21,2,Pass,22,Drew Willy pass to Julian Feoli-Gudino for 22 yards to the Ham2. Tackled by Neil King.,20,29
00:16,1,Rush,0,Nic Grigsby rush for no gain to the Ham2. Tackled by  .,20,29
00:00,2,Pass,2,Drew Willy pass to Nic Grigsby for 2 yards for a TOUCHDOWN.,26,29
00:00,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,27,29
