Time,Down,Type,Yards,Details,Calgary,Hamilton
01:26,1,Pass,13,Dan LeFevour pass to C.J. Gable for 13 yards to the Cgy27. Tackled by  .,27,4
00:36,1,Pass,22,Dan LeFevour pass to Bakari Grant for 22 yards to the Cgy5. Tackled by  .,27,4
00:12,0,Roughing Passer,2,Penalty: Roughing Passer on Calgary (Juwan Simpson) 2 yards.,27,4
00:02,0,Illegal Contact,2,Penalty: Illegal Contact on Calgary (Chris Randle) 2 yards.,27,4
00:00,1,Rush,1,Dan LeFevour rush for 1 yard for a TOUCHDOWN.,27,10
00:01,0,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton -5 yards.,27,10
00:01,0,Time Count,-5,Penalty: Time Count on Hamilton (Brett Lauther) -5 yards.,27,10
00:00,0,Made Extra Point,0,Brett Lauther extra point is good.,27,11
15:00,0,Kickoff,8,Brett Lauther kicks off to the Cgy25. Anthony Parker return for 8 yards to Cgy33. Tackled by Marc Beswick.,27,11
14:54,1,Pass,8,Kevin Glenn pass to Matt Walter for 8 yards to the Cgy41. Tackled by Brandon Isaac.,27,11
14:33,2,Rush,34,Jon Cornish rush for 34 yards to the Ham35. Tackled by Simoni Lawrence.,27,11
13:21,1,Pass,35,Kevin Glenn pass to Jabari Arthur for 35 yards for a TOUCHDOWN.,33,11
13:00,0,Made Extra Point,0,Rene Paredes extra point is good.,34,11
13:00,0,Kickoff,13,Rene Paredes kicks off to the Ham17. Kendial Lawrence return for 13 yards to Ham30. Tackled by Ben D'Aguilar.,34,11
12:55,1,Pass,5,Dan LeFevour pass to Andy Fantuz for 5 yards to the Ham35. Tackled by Deron Mayo.,34,11
12:10,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for C.J. Gable defensed by  .,34,11
11:48,3,Illegal Block,-9,Josh Bartel punts for 45 yards to Cgy30. Larry Taylor return for 1 yard to Cgy31. Penalty: Illegal Block on Calgary ( ) -10 yards.,34,11
11:36,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jabari Arthur defensed by Hasan Hazime.,34,11
11:00,2,Pass,9,Kevin Glenn pass to Jon Cornish for 9 yards to the Cgy30. Tackled by Rico Murray.,34,11
10:51,3,Punt,4,Rob Maver punts for 40 yards to Ham40. Onrea Jones return for 4 yards to Ham44. Tackled by Matt Walter.,34,11
10:12,1,Interception,0,Dan LeFevour pass intended for Luke Tasker INTERCEPTED by  . No return. Tackled by Luke Tasker.,34,11
09:55,0,Holding,-10,Penalty: Holding on Calgary (Stanley Bryant) -10 yards.,34,11
09:32,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jabari Arthur defensed by Brandon Boudreaux.,34,11
09:20,2,Pass,9,Kevin Glenn pass to Jabari Arthur for 9 yards to the Ham50. Tackled by Delvin Breaux.,34,11
08:21,3,Punt Single,0,Rob Maver punts for 52 yards to Ham0. No return (Single).,35,11
08:21,1,Pass,11,Dan LeFevour pass to Luke Tasker for 11 yards to the Ham46. Tackled by Juwan Simpson.,35,11
08:08,1,Rush,20,C.J. Gable rush for 20 yards to the Cgy44. Tackled by Chris Randle.,35,11
07:32,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Luke Tasker defensed by Juwan Simpson.,35,11
06:54,2,Pass,28,Dan LeFevour pass to Luke Tasker for 28 yards to the Cgy16. Tackled by Eric Fraser.,35,11
06:15,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Andy Fantuz.,35,11
05:50,2,Rush,1,Dan LeFevour rush for 1 yard to the Cgy15. Tackled by Demonte' Bolden.,35,11
05:08,3,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Luke Tasker.,35,11
04:45,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy20. Tackled by Simoni Lawrence.,35,11
04:09,2,Offside,-5,Penalty: Offside on Calgary (Brad Sinopoli) -5 yards.,35,11
03:40,2,Interception,0,Kevin Glenn pass intended for Jabari Arthur INTERCEPTED by Brandon Boudreaux. No return. Tackled by Jabari Arthur.,35,11
03:20,1,Rush,6,C.J. Gable rush for 6 yards to the Cgy9. Tackled by Eric Fraser.,35,11
03:00,2,Interception,0,Dan LeFevour pass intended for Luke Tasker INTERCEPTED by Jamar Wall. No return.,35,11
02:49,1,Face Mask,22,Jon Cornish rush for 7 yards to the Cgy32. Tackled by Jamall Johnson. Penalty: Face Mask on Hamilton (Jamall Johnson) 15 yards.,35,11
02:43,1,Rush,1,Jon Cornish rush for 1 yard to the Cgy48. Tackled by Simoni Lawrence.,35,11
02:30,2,Rush,4,Matt Walter rush for 4 yards to the Cgy52. Tackled by Simoni Lawrence.,35,11
02:12,3,Punt,1,Rob Maver punts for 48 yards to Ham10. Onrea Jones return for 1 yard to Ham11. Tackled by Alvin Bowen.,35,11
01:44,1,Rush,28,C.J. Gable rush for 28 yards to the Ham39. Tackled by Chris Randle.,35,11
01:32,1,Rush,19,C.J. Gable rush for 19 yards to the Cgy52. Tackled by Eric Fraser.,35,11
01:09,1,Rush,7,C.J. Gable rush for 7 yards to the Cgy45. Tackled by Demonte' Bolden.,35,11
00:50,2,Rush,8,C.J. Gable rush for 8 yards to the Cgy37. Tackled by Demonte' Bolden.,35,11
00:26,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Andy Fantuz defensed by Juwan Simpson.,35,11
00:09,2,Rush,9,C.J. Gable rush for 9 yards to the Cgy28. Tackled by Jamar Wall.,35,11
00:01,3,Pass,9,Dan LeFevour pass to C.J. Gable for 9 yards to the Cgy19. Tackled by Fred Bennett.,35,11
