Time,Down,Type,Yards,Details,Montreal,Calgary
00:01,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson defensed by Quincy Butler.,24,35
15:00,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce.,24,35
14:47,3,Holding,7,Sean Whyte punts for 44 yards to Cgy33. Larry Taylor return for 17 yards to Cgy50. Penalty: Holding on Calgary (Eric Fraser) -10 yards.,24,35
14:24,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Brad Sinopoli.,24,35
14:00,2,Pass,-1,Bo Levi Mitchell pass to Anthony Parker for a loss of 1 yard to the Cgy39. Tackled by Shea Emry.,24,35
13:31,3,Unnecessary Roughness,20,Rob Maver punts for 36 yards to Mtl35. Arland Bruce return for 5 yards to Mtl40. Tackled by Justin Phillips. Penalty: Unnecessary Roughness on Calgary (Justin Phillips) 15 yards.,24,35
13:06,0,Pass Interference,28,Penalty: Pass Interference on Calgary (Quincy Butler) 28 yards.,24,35
12:46,1,Rush,5,Brandon Whitaker rush for 5 yards to the Cgy22. Tackled by Kevin Huntley.,24,35
12:06,0,Pass Interference,-10,Penalty: Pass Interference on Montreal (Brandon London) -10 yards.,24,35
11:52,2,Sack,-7,Sack at Cgy39 for a loss of 7 yards by Cordarro Law.,24,35
11:18,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Calgary (Demonte' Bolden) 15 yards.,24,35
11:00,1,Rush,5,Brandon Whitaker rush for 5 yards to the Cgy19. Tackled by Justin Phillips.,24,35
10:25,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,24,35
09:50,3,Missed Field Goal,27,Sean Whyte 27 yard field goal attempt is GOOD.,27,35
09:50,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,27,35
09:32,2,Pass,15,Bo Levi Mitchell pass to Jabari Arthur for 15 yards to the Cgy50. Tackled by Byron Parker.,27,35
09:00,1,Rush,3,Matt Walter rush for 3 yards to the Cgy53. Tackled by John Bowman.,27,35
08:04,2,Pass,7,Bo Levi Mitchell pass to Marquay McDaniel for 7 yards to the Mtl50. Tackled by Geoff Tisdale.,27,35
07:44,3,Rush,1,Bo Levi Mitchell rush for 1 yard to the Mtl49. Tackled by Aaron Lavarias.,27,35
07:18,1,Rush,2,Larry Taylor rush for 2 yards to the Mtl47. Tackled by Chip Cox.,27,35
06:28,2,Offside,5,Penalty: Offside on Montreal (Ejiro Kuale) 5 yards.,27,35
06:17,2,Unnecessary Roughness,22,Jon Cornish rush for 7 yards to the Mtl35. Tackled by Marc-Olivier Brouillette. Penalty: Unnecessary Roughness on Montreal (Billy Parker) 15 yards.,27,35
05:51,1,Rush,3,Matt Walter rush for 3 yards to the Mtl17. Tackled by John Bowman.,27,35
05:17,2,Rush,5,Matt Walter rush for 5 yards to the Mtl12. Tackled by Billy Parker.,27,35
04:06,3,Missed Field Goal,19,Rene Paredes 19 yard field goal attempt is GOOD.,27,38
04:06,0,Kickoff,17,Rene Paredes kicks off to the Mtl13. Jerome Messam return for 17 yards to Mtl30. Tackled by Eric Fraser.,27,38
04:01,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Noel Devine.,27,38
03:37,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,27,38
03:18,3,Punt,11,Sean Whyte punts for 49 yards to Cgy31. Larry Taylor return for 11 yards to Cgy42. Tackled by Daryl Townsend.,27,38
02:55,1,Rush,4,Matt Walter rush for 4 yards to the Cgy46. Tackled by Kyries Hebert.,27,38
02:37,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,27,38
02:32,3,Punt,6,Rob Maver punts for 42 yards to Mtl22. Noel Devine return for 6 yards to Mtl28. Tackled by Eric Fraser.,27,38
02:22,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,27,38
02:18,2,Pass,8,Anthony Calvillo pass to Jamel Richardson for 8 yards to the Mtl36. Tackled by Karl McCartney.,27,38
02:11,3,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce defensed by Keon Raymond.,27,38
01:58,1,Rush,5,Jon Cornish rush for 5 yards to the Mtl31. Tackled by Chip Cox.,27,38
01:52,2,Rush,4,Jon Cornish rush for 4 yards to the Mtl27. Tackled by Alan-Michael Cash.,27,38
01:31,0,Blocked Field Goal,-2,Field goal attempt is BLOCKED by John Bowman.  Recovered by Mtl (John Bowman) and returned for 9 yards,27,38
00:55,1,Pass,8,Anthony Calvillo pass to Jamel Richardson for 8 yards to the Mtl55. Tackled by Keon Raymond.,27,38
00:42,2,Pass,9,Anthony Calvillo pass to Arland Bruce for 9 yards to the Cgy46.,27,38
00:42,1,Sack,-4,Sack at Cgy50 for a loss of 4 yards by Cordarro Law.,27,38
00:30,2,Pass,9,Anthony Calvillo pass to Arland Bruce for 9 yards to the Cgy41. Tackled by Juwan Simpson.,27,38
00:12,3,Pass,16,Anthony Calvillo pass to Eric Deslauriers for 16 yards to the Cgy25. Tackled by Juwan Simpson.,27,38
00:05,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Calgary -10 yards.,27,38
00:01,1,Pass,8,Anthony Calvillo pass to Arland Bruce for 8 yards to the Cgy7. Tackled by Eric Fraser.,27,38
