Time,Down,Type,Yards,Details,Saskatchewan,Calgary
07:40,1,Pass,10,Darian Durant pass to Weston Dressler for 10 yards to the Ssk42. Tackled by Derrius Brooks.,18,22
07:01,2,Rush,5,Kory Sheets rush for 5 yards to the Ssk47. Tackled by Derrius Brooks.,18,22
06:49,1,Pass,10,Darian Durant pass to Geroy Simon for 10 yards to the Cgy53. Tackled by Juwan Simpson.,18,22
06:21,2,Rush,3,Kory Sheets rush for 3 yards to the Cgy50. Tackled by Charleston Hughes.,18,22
05:53,1,Face Mask,22,Kory Sheets rush for 7 yards to the Cgy43. Tackled by Juwan Simpson. Penalty: Face Mask on Calgary (Juwan Simpson) 15 yards.,18,22
05:05,1,Pass,28,Darian Durant pass to Taj Smith for 28 yards for a TOUCHDOWN.,24,22
04:52,0,Made Extra Point,0,Chris Milo extra point is good.,25,22
04:52,0,Kickoff,22,Ricky Schmitt kicks off to the Cgy8. Larry Taylor return for 22 yards to Cgy30. Tackled by Kevin Regimbald-Gagne.,25,22
04:45,1,Rush,-2,Jon Cornish rush for a loss of 2 yards to the Cgy28. Tackled by John Chick.,25,22
04:09,0,Objectionable Conduct,28,Penalty: Pass Interference on Saskatchewan (Terrell Maze) 18 yards. Penalty: Objectionable Conduct on Saskatchewan 10 yards.,25,22
03:43,1,Rush,9,Jon Cornish rush for 9 yards to the Ssk45. Tackled by Craig Butler.,25,22
03:00,2,Rush,2,Drew Tate rush for 2 yards to the Ssk43. Tackled by Alex Hall.,25,22
02:46,1,Pass,3,Drew Tate pass to Marquay McDaniel for 3 yards to the Ssk40. Tackled by Tristan Jackson.,25,22
02:32,2,Pass,37,Drew Tate pass to Jeff Fuller for 37 yards to the Ssk3. Tackled by Tyron Brackenridge.,25,22
01:48,1,Rush,3,Jon Cornish rush for 3 yards for a TOUCHDOWN.,25,28
01:48,0,Made Extra Point,0,Rene Paredes extra point is good.,25,29
01:48,0,Kickoff,19,Rene Paredes kicks off to the Ssk10. Jock Sanders return for 19 yards to Ssk29. Tackled by  .,25,29
01:41,1,Sack,-4,Sack at Ssk25 for a loss of 4 yards by Keon Raymond.,25,29
01:35,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,25,29
01:14,3,Interception,0,Darian Durant pass intended for Kory Sheets INTERCEPTED by Chris Randle. No return. Tackled by Ben Heenan.,25,29
01:05,1,Rush,7,Jon Cornish rush for 7 yards to the Ssk28. Tackled by Keith Shologan.,25,29
00:58,2,Rush,4,Jon Cornish rush for 4 yards to the Ssk24. Tackled by Craig Butler.,25,29
