Time,Down,Type,Yards,Details,BC,Calgary
10:08,0,Made Extra Point,0,Hugh O'Neill extra point is NO GOOD.,6,16
09:39,0,Kickoff,16,Hugh O'Neill kicks off to the Cgy20. Larry Taylor return for 16 yards to Cgy36. Tackled by Adam Bighill.,6,16
09:34,1,Rush,16,Jon Cornish rush for 16 yards to the Cgy52. Tackled by Cord Parks.,6,16
08:50,1,Pass,10,Drew Tate pass to Maurice Price for 10 yards to the BC48. Tackled by Cord Parks.,6,16
08:15,1,Rush,15,Jon Cornish rush for 15 yards to the BC33. Tackled by J.R. LaRose.,6,16
07:40,1,Unnecessary Roughness,22,Drew Tate pass to Marquay McDaniel for 11 yards to the BC22. Tackled by Josh Bell. Penalty: Unnecessary Roughness on BC (J.R. LaRose) 11 yards.,6,16
07:10,1,Pass,5,Drew Tate pass to Nik Lewis for 5 yards to the BC6. Tackled by Korey Banks.,6,16
06:48,0,Pass Interference,5,Penalty: Pass Interference on BC (Josh Bell) 5 yards.,6,16
06:14,1,Rush,1,Jon Cornish rush for 1 yard for a TOUCHDOWN.,6,22
05:56,0,Made Extra Point,0,Rene Paredes extra point is good.,6,23
05:56,0,Kickoff,9,Rene Paredes kicks off to the BC8. Tim Brown return for 9 yards to BC17. Tackled by Karl McCartney.,6,23
05:48,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux defensed by Derrius Brooks.,6,23
05:25,2,Pass,6,Travis Lulay pass to Nick Moore for 6 yards to the BC23. Tackled by Jonathan Hefney.,6,23
04:49,3,Punt,6,Hugh O'Neill punts for 42 yards to Cgy45. Larry Taylor return for 6 yards to Cgy51. Tackled by Rolly Lumbala.,6,23
04:33,1,Rush,-3,Jon Cornish rush for a loss of 3 yards to the Cgy48. Tackled by Korey Banks.,6,23
03:50,2,Pass,12,Drew Tate pass to Nik Lewis for 12 yards to the BC50. Tackled by Cord Parks.,6,23
03:03,3,Punt Single,0,Rob Maver punts for 54 yards to BC0. No return (Single).,6,24
03:03,1,Sack,-3,Sack at BC32 for a loss of 3 yards by Charleston Hughes.,6,24
02:36,0,Holding,-10,Penalty: Holding on BC (Jovan Olafioye) -10 yards.,6,24
02:12,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore defensed by Eric Fraser.,6,24
02:07,3,Unnecessary Roughness,47,Hugh O'Neill punts for 39 yards to Cgy49. Larry Taylor return for 34 yards to BC27. Tackled by Rolly Lumbala. Penalty: Unnecessary Roughness on BC (Rolly Lumbala) 13 yards.,6,24
01:54,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Joe West defensed by J.R. LaRose.,6,24
01:40,1,Pass,14,Drew Tate pass to Joe West for 14 yards for a TOUCHDOWN.,6,30
01:40,0,Made Extra Point,0,Rene Paredes extra point is good.,6,31
01:40,0,Kickoff,18,Rene Paredes kicks off to the BC2. Tim Brown return for 18 yards to BC20. Tackled by Yannick Carter.,6,31
01:32,1,Pass,33,Travis Lulay pass to Emmanuel Arceneaux for 33 yards to the BC53. Tackled by Jamar Wall.,6,31
01:23,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris.,6,31
00:56,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore.,6,31
00:51,3,Punt,5,Hugh O'Neill punts for 44 yards to Cgy13. Larry Taylor return for 5 yards to Cgy18. Tackled by Jason Arakgi.,6,31
00:42,1,Rush,9,Jon Cornish rush for 9 yards to the Cgy27. Tackled by Anton McKenzie.,6,31
00:35,2,Rush,15,Jon Cornish rush for 15 yards to the Cgy42. Tackled by Adam Bighill.,6,31
15:00,0,Kickoff,18,Rene Paredes kicks off to the BC10. Tim Brown return for 18 yards to BC28. Tackled by Yannick Carter.,6,31
14:53,1,Pass,7,Travis Lulay pass to Courtney Taylor for 7 yards to the BC35. Tackled by Jonathan Hefney.,6,31
14:10,2,Pass,11,Travis Lulay pass to Nick Moore for 11 yards to the BC46. Tackled by Brandon Smith.,6,31
13:50,1,Pass,11,Travis Lulay pass to Courtney Taylor for 11 yards to the Cgy53. Tackled by Jonathan Hefney.,6,31
13:10,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,6,31
12:46,2,Pass,13,Travis Lulay pass to Shawn Gore for 13 yards to the Cgy40. Tackled by Jonathan Hefney.,6,31
12:03,1,Rush,23,Travis Lulay rush for 23 yards to the Cgy17. Tackled by Jonathan Hefney.,6,31
11:34,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore defensed by Fred Bennett.,6,31
10:44,2,Pass,17,Travis Lulay pass to Courtney Taylor for 17 yards for a TOUCHDOWN.,12,31
10:25,0,Made Extra Point,0,Hugh O'Neill extra point is good.,13,31
10:25,0,Kickoff,30,Hugh O'Neill kicks off to the Cgy6. Larry Taylor return for 30 yards to Cgy36. Tackled by Hugh O'Neill.,13,31
09:52,1,Interception,45,Drew Tate pass intended for Marquay McDaniel INTERCEPTED by Cord Parks and returned for 45 yards for a TOUCHDOWN.,19,31
09:37,0,Made Extra Point,0,Hugh O'Neill extra point is good.,20,31
09:37,0,Kick Off Single,84,Hugh O'Neill kicks off to the Cgy0 (Single).,21,31
09:37,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy38. Tackled by Cord Parks.,21,31
08:55,2,Pass,2,Drew Tate pass to Maurice Price for 2 yards to the Cgy40. Tackled by Josh Bell.,21,31
08:24,3,Punt,-4,Rob Maver punts for 37 yards to BC33. Tim Brown return for a loss of 4 yards to BC29. Tackled by Karl McCartney.,21,31
07:59,1,Pass,8,Travis Lulay pass to Nick Moore for 8 yards to the BC37. Tackled by Jamar Wall.,21,31
07:22,2,Rush,1,Travis Lulay rush for 1 yard to the BC38. Tackled by Brandon Smith.,21,31
06:52,3,Punt,1,Hugh O'Neill punts for 47 yards to Cgy25. Larry Taylor return for 1 yard to Cgy26. Tackled by Jason Arakgi.,21,31
06:20,1,Pass,7,Drew Tate pass to Joe West for 7 yards to the Cgy33. Tackled by Dante Marsh.,21,31
05:48,2,Rush,5,Jon Cornish rush for 5 yards to the Cgy38. Tackled by Keron Williams.,21,31
05:13,1,Rush,6,Jon Cornish rush for 6 yards to the Cgy44. Tackled by Korey Banks.,21,31
04:37,2,Pass,34,Drew Tate pass to Maurice Price for 34 yards to the BC32. Tackled by Dante Marsh.,21,31
04:12,1,Rush,7,Jon Cornish rush for 7 yards to the BC25. Tackled by Adam Bighill.,21,31
03:39,2,Pass,7,Drew Tate pass to Marquay McDaniel for 7 yards to the BC18.,21,31
03:17,1,Rush,7,Jon Cornish rush for 7 yards to the BC11. Tackled by Anton McKenzie.,21,31
02:11,2,Rush,11,Jon Cornish rush for 11 yards for a TOUCHDOWN.,21,37
01:57,0,Made Extra Point,0,Rene Paredes extra point is good.,21,38
01:57,0,Kickoff,30,Rene Paredes kicks off to the BC6. Tim Brown return for 30 yards to BC36. Tackled by Karl McCartney.,21,38
01:49,1,Pass,25,Travis Lulay pass to Nick Moore for 25 yards to the Cgy49. Tackled by Derrius Brooks.,21,38
01:09,1,Rush,-6,Emmanuel Arceneaux rush for a loss of 6 yards to the BC55. Tackled by Jonathan Hefney.,21,38
00:30,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,21,38
00:02,3,Punt,21,Hugh O'Neill punts for 43 yards to Cgy12. Larry Taylor return for 21 yards to Cgy33. Tackled by Rolly Lumbala.,21,38
15:00,1,Rush,4,Matt Walter rush for 4 yards to the Cgy37. Tackled by Anton McKenzie.,21,38
14:35,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Matt Walter.,21,38
14:15,3,Punt,23,Rob Maver punts for 59 yards to BC14. Tim Brown return for 23 yards to BC37. Tackled by Cordarro Law.,21,38
13:46,0,Pass Interference,30,Penalty: Pass Interference on Calgary (Brandon Smith) 30 yards.,21,38
13:23,1,Pass,3,Travis Lulay pass to Shawn Gore for 3 yards to the Cgy40. Tackled by Jonathan Hefney.,21,38
12:40,2,Pass,13,Travis Lulay pass to Shawn Gore for 13 yards to the Cgy27. Tackled by Jonathan Hefney.,21,38
11:57,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,21,38
11:33,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Jovan Olafioye) -5 yards.,21,38
11:12,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor defensed by Juwan Simpson.,21,38
10:26,3,Missed Field Goal,40,Hugh O'Neill 40 yard field goal attempt is GOOD.,24,38
10:26,0,Kickoff OOB,30,Hugh O'Neill kicks off to the Cgy8. Penalty: Kickoff OOB on BC (Hugh O'Neill) -37 yards.,24,38
10:25,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Joe West.,24,38
10:07,2,Pass,13,Drew Tate pass to Maurice Price for 13 yards to the BC52. Tackled by Cord Parks.,24,38
09:20,1,Pass,6,Drew Tate pass to Maurice Price for 6 yards to the BC46. Tackled by Cord Parks.,24,38
08:51,2,Rush,5,Jon Cornish rush for 5 yards to the BC41. Tackled by Anton McKenzie.,24,38
07:59,1,Rush,7,Jon Cornish rush for 7 yards to the BC34. Tackled by Dante Marsh.,24,38
07:12,2,Rush,2,Jon Cornish rush for 2 yards to the BC32. Tackled by Khreem Smith.,24,38
06:14,3,Missed Field Goal,39,Rene Paredes 39 yard field goal attempt is GOOD.,24,41
06:14,1,Sack,-8,Sack at BC27 for a loss of 8 yards by Charleston Hughes.,24,41
05:32,2,Sack,-3,Sack at BC24 for a loss of 3 yards by Charleston Hughes.,24,41
05:00,3,No Yards,23,Hugh O'Neill punts for 38 yards to Cgy48. Penalty: No Yards on BC (Cord Parks) -15 yards.,24,41
04:43,1,Rush,4,Jon Cornish rush for 4 yards to the BC43. Tackled by Brandon Jordan.,24,41
04:07,2,Pass,15,Drew Tate pass to Jabari Arthur for 15 yards to the BC28. Tackled by Cord Parks.,24,41
03:39,1,Rush,6,Jon Cornish rush for 6 yards to the BC22. Tackled by Lin-J Shell.,24,41
03:00,2,Rush,2,Matt Walter rush for 2 yards to the BC20. Tackled by Adam Bighill.,24,41
02:16,3,Missed Field Goal,27,Rene Paredes 27 yard field goal attempt is GOOD.,24,44
02:16,1,Rush,11,Travis Lulay rush for 11 yards to the BC46.,24,44
02:10,1,Rush,8,Andrew Harris rush for 8 yards to the BC54. Tackled by Junior Turner.,24,44
01:50,2,Rush,4,Andrew Harris rush for 4 yards to the Cgy52. Tackled by Charleston Hughes.,24,44
01:25,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris.,24,44
01:20,2,Pass,12,Travis Lulay pass to Andrew Harris for 12 yards to the Cgy40. Tackled by Brandon Smith.,24,44
01:09,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris.,24,44
00:54,2,Pass,15,Travis Lulay pass to Courtney Taylor for 15 yards to the Cgy25. Tackled by Eric Fraser.,24,44
00:46,0,Holding,-10,Penalty: Holding on BC (Patrick Kabongo) -10 yards.,24,44
00:36,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux defensed by Jamar Wall.,24,44
00:29,2,Pass,17,Travis Lulay pass to Emmanuel Arceneaux for 17 yards to the Cgy18. Tackled by Derrius Brooks.,24,44
00:23,3,Pass,11,Travis Lulay pass to Akeem Foster for 11 yards to the Cgy7. Tackled by Jonathan Hefney.,24,44
00:01,1,Pass,7,Travis Lulay pass to Shawn Gore for 7 yards for a TOUCHDOWN.,30,44
00:01,0,Two Point Conversion,5,Travis Lulay 2 pt conversion pass to Nick Moore is GOOD.,32,44
00:01,0,Kickoff,1,Hugh O'Neill kicks off to the BC54. Larry Taylor return for 1 yard to BC53. Tackled by Shawn Gore.,32,44
