Time,Down,Type,Yards,Details,Edmonton,Montreal
12:00,1,Pass,-3,Anthony Calvillo pass to S.J. Green for a loss of 3 yards to the Mtl25. Tackled by Odell Willis.,6,20
11:19,2,Pass,9,Anthony Calvillo pass to Patrick Lavoie for 9 yards to the Mtl34. Tackled by Damaso Munoz.,6,20
10:21,3,Punt,81,Sean Whyte punts for 47 yards to Edm29. Cary Koch return for 81 yards to Mtl0 for a TOUCHDOWN.,12,20
10:08,0,Made Extra Point,0,Grant Shaw extra point is good.,13,20
10:08,0,Kickoff,21,Grant Shaw kicks off to the Mtl3. Noel Devine return for 21 yards to Mtl24. Tackled by  .,13,20
10:03,1,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl26. Tackled by J.C. Sherritt.,13,20
09:26,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,13,20
09:02,3,Punt,12,Sean Whyte punts for 46 yards to Edm38. Cary Koch return for 12 yards to Edm50. Tackled by Chip Cox.,13,20
08:42,1,Rush,1,Hugh Charles rush for 1 yard to the Edm51. Tackled by Michael Klassen.,13,20
08:12,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,13,20
07:43,3,Punt,16,Grant Shaw punts for 41 yards to Mtl18. Noel Devine return for 16 yards to Mtl34. Tackled by Eric Samuels.,13,20
07:13,1,Rush,22,Brandon Whitaker rush for 22 yards to the Edm54. Tackled by Chris Rwabukamba.,13,20
06:50,1,Rush,9,Brandon Whitaker rush for 9 yards to the Edm45. Tackled by T.J. Hill.,13,20
06:01,2,Rush,25,Brandon Whitaker rush for 25 yards to the Edm20. Tackled by Donovan Alexander.,13,20
05:24,1,Rush,4,Brandon Whitaker rush for 4 yards to the Edm16. Tackled by Don Oramasionwu.,13,20
04:30,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,13,20
03:39,3,Missed Field Goal,24,Sean Whyte 24 yard field goal attempt is GOOD.,13,23
03:39,1,Rush,6,John White rush for 6 yards to the Edm41. Tackled by Kyries Hebert.,13,23
03:01,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,13,23
02:42,3,Punt,1,Grant Shaw punts for 29 yards to Mtl40. Noel Devine return for 1 yard to Mtl41. Tackled by Eric Samuels.,13,23
02:10,1,Pass,13,Anthony Calvillo pass to Steven Lumbala for 13 yards to the Mtl54. Tackled by T.J. Hill.,13,23
01:38,1,Pass,5,Anthony Calvillo pass to S.J. Green for 5 yards to the Edm51. Tackled by Marcell Young.,13,23
00:59,2,Pass,20,Anthony Calvillo pass to Jamel Richardson for 20 yards to the Edm31. Tackled by Donovan Alexander.,13,23
00:13,1,Rush,7,Brandon Whitaker rush for 7 yards to the Edm24. Tackled by  .,13,23
15:00,2,Pass,8,Anthony Calvillo pass to S.J. Green for 8 yards to the Edm16. Tackled by Marcell Young.,13,23
14:49,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,13,23
14:28,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London defensed by Chris Rwabukamba.,13,23
