Time,Down,Type,Yards,Details,Edmonton,Toronto
13:44,3,Missed Field Goal,38,38 yard field goal attempt by   is NO GOOD.,16,33
13:21,0,Holding,-10,Penalty: Holding on Edmonton -10 yards.,16,33
12:56,1,Pass,51,pass to the Tor44.,16,33
12:17,1,Pass,23,pass to the Tor21.,16,33
11:55,1,Incomplete Pass,0,incomplete pass.,16,33
11:20,2,Incomplete Pass,0,incomplete pass.,16,33
10:34,3,Field Goal Single,41,41 yard field goal attempt by   is NO GOOD (Single).,17,33
10:06,2,Fumble,-5,"Sack at Tor32 for a loss of 5 yards. FUMBLE, recovered by Tor ( ).",17,33
09:34,3,Punt,3,punts for 40 yards to Edm38.   return for 3 yards to Edm41.,17,33
09:01,1,Pass,14,pass to the Edm55.,17,33
08:32,1,Pass,8,pass to the Tor47.,17,33
08:01,2,Incomplete Pass,0,incomplete pass.,17,33
07:35,3,Pass,17,pass to the Tor30.,17,33
07:06,1,Pass,8,pass to the Tor22.,17,33
05:57,2,Pass,22,pass for a TOUCHDOWN.,23,33
05:57,0,Incomplete Pass,0,incomplete pass.,23,33
05:32,0,Kickoff,21,Edmonton kicks off.   return for 21 yards to Tor23.,23,33
05:01,2,Pass,8,pass to the Tor32.,23,33
03:58,3,No Yards,18,punts for 33 yards to Edm45. Penalty: No Yards on Toronto -15 yards.,23,33
03:30,1,Illegal Participation,5,pass to the Tor35. Penalty: Illegal Participation on Edmonton -10 yards.,23,33
03:06,1,Pass,15,pass to the Tor30.,23,33
02:51,1,Pass,2,pass to the Tor28.,23,33
02:38,2,Pass,5,pass to the Tor23.,23,33
02:10,3,Missed Field Goal,30,30 yard field goal attempt is GOOD.,26,33
02:10,1,Pass,2,pass to the Tor37.,26,33
02:03,2,Pass,49,pass to the Edm24.,26,33
01:05,3,Missed Field Goal,26,26 yard field goal attempt is GOOD.,26,36
01:05,1,Pass,8,pass to the Edm43.,26,36
00:52,1,Pass,16,pass to the Tor42.,26,36
00:43,1,Pass,5,pass to the Tor37.,26,36
00:32,2,Pass,13,pass to the Tor24.,26,36
00:19,0,Objectionable Conduct,-10,Penalty: Objectionable Conduct on Edmonton -10 yards.,26,36
00:15,1,Incomplete Pass,0,incomplete pass.,26,36
00:01,2,Pass,34,pass for a TOUCHDOWN.,32,36
00:01,0,Made Extra Point,0,extra point is good.,33,36
00:01,0,Kickoff,0,Edmonton kicks off.   - no return.,33,36
