Time,Down,Type,Yards,Details,Toronto,Edmonton
14:28,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Adarius Bowman defensed by Pat Watkins.,1,15
14:20,3,Punt,0,Grant Shaw punts for 47 yards to Tor24. Trent Guy return for no gain to Tor24. Tackled by Joash Gesse.,1,15
13:48,1,Rush,5,Zach Collaros rush for 5 yards to the Tor29. Tackled by J.C. Sherritt.,1,15
13:10,0,Pass Interference,10,Penalty: Pass Interference on Edmonton (Damaso Munoz) 10 yards.,1,15
12:50,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,1,15
12:06,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,1,15
11:55,3,Illegal Block,-8,Swayze Waters punts for 54 yards to Edm17. Jamal Miles return for 1 yard to Edm18. Penalty: Illegal Block on Edmonton (Shamawd Chambers) -9 yards.,1,15
11:55,1,Pass,12,Kerry Joseph pass to Marcus Henry for 12 yards to the Edm21. Tackled by  .,1,15
11:20,1,Pass,38,Kerry Joseph pass to Nate Coehoorn for 38 yards to the Tor51. Tackled by Alonzo Lawrence.,1,15
10:40,1,Pass,35,Kerry Joseph pass to Fred Stamps for 35 yards to the Tor16. Tackled by Ricardo Colclough.,1,15
09:55,1,Pass,13,Kerry Joseph pass to John White for 13 yards to the Tor3. Tackled by Robert McCune.,1,15
08:58,1,Rush,3,Kerry Joseph rush for 3 yards for a TOUCHDOWN.,1,21
08:41,0,Made Extra Point,0,Hugh O'Neill extra point is good.,1,22
08:41,0,Kickoff,23,Grant Shaw kicks off to the Tor2. Trent Guy return for 23 yards to Tor25. Tackled by Corbin Sharun.,1,22
08:33,1,Rush,28,Chad Kackert rush for 28 yards to the Tor53. Tackled by Donovan Alexander.,1,22
08:11,1,Rush,6,Chad Kackert rush for 6 yards to the Edm51. Tackled by Damaso Munoz.,1,22
07:29,2,Pass,3,Zach Collaros pass to Jason Barnes for 3 yards to the Edm48. Tackled by Chris Thompson.,1,22
06:55,3,Rush,8,Andre Durie rush for 8 yards to the Edm40. Tackled by Rennie Curran.,1,22
06:31,1,Sack,-3,Sack at Edm43 for a loss of 3 yards by Odell Willis.,1,22
05:50,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,1,22
05:13,3,Missed Field Goal,50,Swayze Waters 50 yard field goal attempt is GOOD.,4,22
05:13,1,Rush,22,Kerry Joseph rush for 22 yards to the Tor53.,4,22
04:45,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Marcus Henry defensed by Matt Black.,4,22
04:21,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Nate Coehoorn.,4,22
04:02,3,Punt,3,Grant Shaw punts for 43 yards to Tor10. Trent Guy return for 3 yards to Tor13. Tackled by Ryan King.,4,22
03:38,1,Rush,2,Zach Collaros rush for 2 yards to the Tor15. Tackled by J.C. Sherritt.,4,22
03:04,2,Pass,4,Zach Collaros pass to Andre Durie for 4 yards to the Tor19. Tackled by Ryan Hinds.,4,22
02:24,3,Punt,6,Swayze Waters punts for 41 yards to Edm50. Jamal Miles return for 6 yards to Tor54. Tackled by James Yurichuk.,4,22
02:24,1,Rush,1,John White rush for 1 yard to the Tor53. Tackled by Robert McCune.,4,22
01:44,2,Fumble,33,"Kerry Joseph pass INTERCEPTED and returned for 33 yards. FUMBLE, recovered by Tor (Marcus Ball).",4,22
00:48,1,Rush,49,Chad Kackert rush for 49 yards for a TOUCHDOWN.,10,22
00:34,0,Made Extra Point,0,Swayze Waters extra point is good.,11,22
00:35,0,Kickoff,31,Swayze Waters kicks off to the Edm15. Jamal Miles return for 31 yards to Edm46. Tackled by Matt Black.,11,22
00:27,1,Rush,0,Kerry Joseph rush for no gain to the Edm46. Tackled by Marcus Ball.,11,22
00:01,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Adarius Bowman.,11,22
15:00,3,No Yards,34,Grant Shaw punts for 39 yards to Tor25. Penalty: No Yards on Edmonton (Ryan King) -5 yards.,11,22
14:44,1,Pass,6,Zach Collaros pass to John Chiles for 6 yards to the Tor36. Tackled by Eric Samuels.,11,22
14:20,2,Pass,4,Zach Collaros pass to Andre Durie for 4 yards to the Tor40. Tackled by Joe Burnett.,11,22
13:42,3,Rush,1,Zach Collaros rush for 1 yard to the Tor41. Tackled by Odell Willis.,11,22
13:12,0,Roughing Passer,15,Penalty: Roughing Passer on Edmonton (Almondo Sewell) 15 yards.,11,22
12:51,1,Rush,19,Chad Kackert rush for 19 yards to the Edm35. Tackled by Donovan Alexander.,11,22
12:20,1,Pass,13,Zach Collaros pass to Dontrelle Inman for 13 yards to the Edm22. Tackled by Eric Samuels.,11,22
11:47,1,Rush,12,Andre Durie rush for 12 yards to the Edm10. Tackled by Marcell Young.,11,22
10:47,1,Pass,10,Zach Collaros pass to Dontrelle Inman for 10 yards for a TOUCHDOWN.,17,22
10:26,0,Two Point Conversion,5,Zach Collaros 2 pt conversion pass to John Chiles is GOOD.,19,22
10:26,0,Kickoff,18,Swayze Waters kicks off to the Edm12. Jamal Miles return for 18 yards to Edm30. Tackled by Mike Bradwell.,19,22
10:17,1,Pass,16,Kerry Joseph pass to Marcus Henry for 16 yards to the Edm46. Tackled by Alonzo Lawrence.,19,22
09:55,1,Sack,-7,Sack at Edm39 for a loss of 7 yards by Robert McCune.,19,22
09:11,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Fred Stamps defensed by Ricardo Colclough.,19,22
08:46,3,Punt,41,Grant Shaw punts for 50 yards to Tor21. Trent Guy return for 41 yards to Edm48. Tackled by Elie Ngoyi.,19,22
08:23,1,Pass,13,Zach Collaros pass to Andre Durie for 13 yards to the Edm35. Tackled by Marcell Young.,19,22
07:50,1,Rush,8,Chad Kackert rush for 8 yards to the Edm27. Tackled by T.J. Hill.,19,22
07:11,2,Rush,4,Chad Kackert rush for 4 yards to the Edm23. Tackled by Marcus Howard.,19,22
06:35,1,Pass,8,Zach Collaros pass to Jason Barnes for 8 yards to the Edm15. Tackled by Eric Samuels.,19,22
05:50,2,Rush,3,Chad Kackert rush for 3 yards to the Edm12. Tackled by J.C. Sherritt.,19,22
05:15,1,Sack,-6,Sack at Edm18 for a loss of 6 yards by Marcus Howard.,19,22
04:31,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman defensed by Chris Thompson.,19,22
03:51,3,Field Goal Single,38,38 yard field goal attempt by Swayze Waters is NO GOOD (Single).,20,22
