Time,Down,Type,Yards,Details,Toronto,Saskatchewan
02:43,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,11,0
02:38,3,Punt,8,Swayze Waters punts for 43 yards to Tor50. Tristan Jackson return for 8 yards to Tor42. Tackled by Demetrice Morley.,11,0
02:26,1,Offside,0,Penalty: Offside on Saskatchewan (Chris Getzlaf) -5 yards. Penalty: Offside on Toronto (Kiante Tripp) 5 yards.,11,0
01:54,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Kierrie Johnson.,11,0
01:40,2,Pass,16,Darian Durant pass to Rob Bagg for 16 yards to the Tor26. Tackled by Marcus Ball.,11,0
01:14,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,11,0
00:40,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kierrie Johnson.,11,0
00:00,3,Missed Field Goal,33,Chris Milo 33 yard field goal attempt is GOOD.,11,3
15:00,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,11,3
14:46,2,Offside,-5,Penalty: Offside on Toronto (Dontrelle Inman) -5 yards.,11,3
14:32,2,Piling On,41,Zach Collaros pass intended for Chad Kackert INTERCEPTED by Weldon Brown and returned for 28 yards. Tackled by Jason Barnes. Penalty: Piling On on Toronto (Chris Van Zeyl) 13 yards.,11,3
13:59,1,Rush,-2,Neal Hughes rush for a loss of 2 yards to the Tor14. Tackled by Marcus Ball.,11,3
13:32,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon defensed by Marcus Ball.,11,3
13:10,3,Missed Field Goal,14,14 yard field goal attempt by Chris Milo is NO GOOD.,11,3
12:52,1,Pass,6,Zach Collaros pass to John Chiles for 6 yards to the Tor31.,11,3
12:42,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,11,3
12:26,3,Clipping,-11,Swayze Waters punts for 48 yards to Ssk31. Tristan Jackson return for 4 yards to Ssk35. Penalty: Clipping on Saskatchewan (Tristan Black) -15 yards.,11,3
12:06,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,11,3
11:45,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,11,3
11:21,3,Punt,3,Ricky Schmitt punts for 55 yards to Tor35. Julian Feoli-Gudino return for 3 yards to Tor38. Tackled by Cory Huclack.,11,3
10:59,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,11,3
10:47,2,Sack,-13,Sack at Tor25 for a loss of 13 yards by Ricky Foley.,11,3
10:11,3,Punt,4,Swayze Waters punts for 42 yards to Ssk43. Tristan Jackson return for 4 yards to Ssk47. Tackled by Shane Horton.,11,3
09:56,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg defensed by Demetrice Morley.,11,3
09:32,2,Pass,9,Darian Durant pass to Neal Hughes for 9 yards to the Tor54. Tackled by Jason Pottinger.,11,3
09:05,3,Offside,5,Penalty: Offside on Toronto (Jonathan Williams) 5 yards.,11,3
08:47,1,Pass,7,Darian Durant pass to Kierrie Johnson for 7 yards to the Tor42. Tackled by Jason Pottinger.,11,3
08:20,2,Rush,3,Neal Hughes rush for 3 yards to the Tor39. Tackled by Jalil Carter.,11,3
07:45,3,Rush,1,Drew Willy rush for 1 yard to the Tor38. Tackled by James Yurichuk.,11,3
07:22,1,Pass,7,Darian Durant pass to Neal Hughes for 7 yards to the Tor31. Tackled by Marcus Ball.,11,3
05:58,2,Pass,31,Darian Durant pass to Chris Getzlaf for 31 yards for a TOUCHDOWN.,11,9
05:44,0,Made Extra Point,0,Chris Milo extra point is good.,11,10
05:44,0,Kickoff,16,Ricky Schmitt kicks off to the Tor8. Jerious Norwood return for 16 yards to Tor24. Tackled by Brian Peters.,11,10
05:36,0,Illegal Substitution,-10,Penalty: Illegal Substitution on Toronto -10 yards.,11,10
05:27,1,Fumble,9,"Zach Collaros pass to Jason Barnes for 9 yards to the Tor23. FUMBLE, recovered by Ssk (Prince Miller). Tackled by Jason Barnes.",11,10
05:17,1,Pass,3,Darian Durant pass to Taj Smith for 3 yards to the Tor20. Tackled by Demetrice Morley.,11,10
04:47,2,Pass,8,Darian Durant pass to Kierrie Johnson for 8 yards to the Tor12. Tackled by Shane Horton.,11,10
04:11,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf defensed by Ricardo Colclough.,11,10
03:48,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,11,10
03:10,3,Missed Field Goal,19,Chris Milo 19 yard field goal attempt is GOOD.,11,13
03:10,1,Fumble,12,"Chad Kackert rush for 12 yards to the Tor47. FUMBLE, recovered by Ssk (Ricky Foley). Tackled by Joe Eppele.",11,13
02:47,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Kierrie Johnson defensed by Ricardo Colclough.,11,13
02:24,2,Pass,47,Darian Durant pass to Rob Bagg for 47 yards for a TOUCHDOWN.,11,19
02:24,0,Made Extra Point,0,Chris Milo extra point is good.,11,20
02:24,0,Kickoff,25,Ricky Schmitt kicks off to the Tor13. Julian Feoli-Gudino return for 25 yards to Tor38. Tackled by Mike McCullough.,11,20
02:17,1,Pass,13,Zach Collaros pass to Dontrelle Inman for 13 yards to the Tor51. Tackled by Terrell Maze.,11,20
02:10,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jerious Norwood.,11,20
01:51,2,Pass,9,Zach Collaros pass to Andre Durie for 9 yards to the Ssk50. Tackled by Mike McCullough.,11,20
01:31,3,Punt Single,-2,Swayze Waters punts for 60 yards to Ssk0. Tristan Jackson return for a loss of 2 yards to Ssk0 (Single).,12,20
01:31,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,12,20
01:24,2,Pass,26,Darian Durant pass to Geroy Simon for 26 yards to the Tor49. Tackled by Matt Black.,12,20
01:18,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,12,20
00:57,2,Interception,0,Darian Durant pass intended for Kierrie Johnson INTERCEPTED by Ricardo Colclough. No return. Tackled by Kierrie Johnson.,12,20
00:49,1,Rush,9,Jerious Norwood rush for 9 yards to the Tor14. Tackled by Ricky Foley.,12,20
00:44,2,Rush,4,Jerious Norwood rush for 4 yards to the Tor18. Tackled by Ricky Foley.,12,20
15:00,0,Kickoff,23,Swayze Waters kicks off to the Ssk17. Tristan Jackson return for 23 yards to Ssk40. Tackled by Alonzo Lawrence.,12,20
14:47,1,Pass,4,Darian Durant pass to Geroy Simon for 4 yards to the Ssk44. Tackled by Alonzo Lawrence.,12,20
14:33,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kierrie Johnson.,12,20
14:12,3,Illegal Interference,39,Ricky Schmitt punts for 54 yards to Tor12. Penalty: Illegal Interference on Saskatchewan (Diamond Ferri) -15 yards.,12,20
13:50,1,Rush,5,Jerious Norwood rush for 5 yards to the Tor32. Tackled by Joe Eppele.,12,20
13:28,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,12,20
13:02,3,Punt,5,Swayze Waters punts for 61 yards to Ssk17. Tristan Jackson return for 5 yards to Ssk22. Tackled by Mike Bradwell.,12,20
12:42,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Neal Hughes.,12,20
12:26,2,Pass,30,Darian Durant pass to Chris Getzlaf for 30 yards to the Ssk52. Tackled by Jason Pottinger.,12,20
11:52,1,Pass,42,Darian Durant pass to Neal Hughes for 42 yards to the Tor16. Tackled by Ricardo Colclough.,12,20
11:10,1,Rush,6,Neal Hughes rush for 6 yards to the Tor10. Tackled by Jonathan Williams.,12,20
10:42,2,Pass,3,Darian Durant pass to Taj Smith for 3 yards to the Tor7. Tackled by Khalif Mitchell.,12,20
09:56,3,Rush,1,Drew Willy rush for 1 yard to the Tor6. Tackled by James Yurichuk.,12,20
09:24,1,Rush,4,Neal Hughes rush for 4 yards to the Tor2. Tackled by David Lee.,12,20
08:32,2,Rush,0,Neal Hughes rush for no gain to the Tor2. Tackled by David Lee.,12,20
07:47,3,Missed Field Goal,9,Chris Milo 9 yard field goal attempt is GOOD.,12,23
07:47,0,Clipping,-15,Penalty: Clipping on Toronto (Jeff Keeping) -15 yards.,12,23
07:33,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,12,23
07:13,3,Punt,3,Swayze Waters punts for 57 yards to Ssk33. Tristan Jackson return for 3 yards to Ssk36. Tackled by Matt Black.,12,23
07:00,1,Offside,0,Penalty: Offside on Saskatchewan (Geroy Simon) -5 yards. Penalty: Offside on Toronto (Jalil Carter) 5 yards.,12,23
06:36,1,Pass,10,Darian Durant pass to Chris Getzlaf for 10 yards to the Ssk46. Tackled by Demetrice Morley.,12,23
06:15,0,Holding,-10,Penalty: Holding on Saskatchewan (Brendon LaBatte) -10 yards.,12,23
05:40,1,Pass,4,Darian Durant pass to Kierrie Johnson for 4 yards to the Ssk40. Tackled by Jalil Carter.,12,23
05:07,2,Pass,23,Darian Durant pass to Geroy Simon for 23 yards to the Tor47. Tackled by Matt Black.,12,23
04:22,1,Rush,3,Neal Hughes rush for 3 yards to the Tor44. Tackled by Marcus Ball.,12,23
04:00,2,Sack,-8,Sack at Tor52 for a loss of 8 yards by Jason Pottinger.,12,23
03:15,3,Punt,1,Ricky Schmitt punts for 45 yards to Tor7. Julian Feoli-Gudino return for 1 yard to Tor8. Tackled by Diamond Ferri.,12,23
02:57,1,Pass,7,Zach Collaros pass to John Chiles for 7 yards to the Tor15. Tackled by Carlos Thomas.,12,23
02:37,2,Pass,16,Zach Collaros pass to John Chiles for 16 yards to the Tor31. Tackled by Tyron Brackenridge.,12,23
02:09,1,Pass,19,Zach Collaros pass to Spencer Watt for 19 yards to the Tor50. Tackled by Carlos Thomas.,12,23
01:39,1,Pass,15,Zach Collaros pass to Dontrelle Inman for 15 yards to the Ssk45. Tackled by  .,12,23
01:08,1,Objectionable Conduct,17,Jerious Norwood rush for 7 yards to the Ssk38. Tackled by Mike McCullough. Penalty: Objectionable Conduct on Saskatchewan (Craig Butler) 10 yards.,12,23
00:44,1,Rush,1,Zach Collaros rush for 1 yard to the Ssk27. Tackled by Keith Shologan.,12,23
00:01,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,12,23
14:42,3,Missed Field Goal,33,Swayze Waters 33 yard field goal attempt is GOOD.,15,23
14:42,1,Offside,-5,Penalty: Offside on Saskatchewan (Rob Bagg) -5 yards.,15,23
14:16,1,Incomplete Pass,0,Darian Durant incomplete pass.,15,23
13:54,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Neal Hughes.,15,23
13:30,3,Punt,-8,Ricky Schmitt punts for 51 yards to Tor29. Julian Feoli-Gudino return for a loss of 8 yards to Tor21. Tackled by Brian Peters.,15,23
13:07,1,Unnecessary Roughness,40,Zach Collaros pass to Andre Durie for 25 yards to the Tor46. Tackled by Tyron Brackenridge. Penalty: Unnecessary Roughness on Saskatchewan (Prince Miller) 15 yards.,15,23
12:50,1,Incomplete Pass,0,Zach Collaros incomplete pass defensed by Carlos Thomas.,15,23
12:24,2,Pass,9,Zach Collaros pass to Jerious Norwood for 9 yards to the Ssk40. Tackled by Craig Butler.,15,23
12:04,0,Illegal Contact,10,Penalty: Illegal Contact on Saskatchewan ( ) 10 yards.,15,23
11:50,1,Pass,15,Zach Collaros pass to John Chiles for 15 yards to the Ssk15. Tackled by Prince Miller.,15,23
10:51,1,Pass,15,Zach Collaros pass to John Chiles for 15 yards for a TOUCHDOWN.,21,23
10:30,0,Two Point Conversion,5,Zach Collaros 2 pt conversion pass to John Chiles is GOOD.,23,23
10:30,0,Kickoff,19,Swayze Waters kicks off to the Ssk15. Tristan Jackson return for 19 yards to Ssk34. Tackled by Jermaine Gabriel.,23,23
10:25,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf defensed by Khalif Mitchell.,23,23
10:25,2,Interception,5,Darian Durant pass intended for Geroy Simon INTERCEPTED by Alonzo Lawrence and returned for 5 yards. Tackled by Neal Hughes.,23,23
09:39,1,Pass,28,Zach Collaros pass to John Chiles for 28 yards to the Ssk28. Tackled by Carlos Thomas.,23,23
09:12,1,Rush,3,Jerious Norwood rush for 3 yards to the Ssk25. Tackled by Hilee Taylor.,23,23
08:38,0,Pass Interference,23,Penalty: Pass Interference on Saskatchewan (Terrell Maze) 23 yards.,23,23
07:58,1,Rush,2,Jerious Norwood rush for 2 yards for a TOUCHDOWN.,29,23
07:47,0,Made Extra Point,0,Swayze Waters extra point is good.,30,23
07:47,0,Kickoff,17,Swayze Waters kicks off to the Ssk17. Tristan Jackson return for 17 yards to Ssk34. Tackled by Zander Robinson.,30,23
07:40,1,Pass,7,Darian Durant pass to Scott McHenry for 7 yards to the Ssk41. Tackled by Marcus Ball.,30,23
07:10,2,Pass,6,Darian Durant pass to Geroy Simon for 6 yards to the Ssk47. Tackled by Pat Watkins.,30,23
06:46,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,30,23
06:28,0,Holding,-10,Penalty: Holding on Saskatchewan (Devin Tyler) -10 yards.,30,23
06:00,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,30,23
05:31,3,Punt,-4,Ricky Schmitt punts for 47 yards to Tor26. Julian Feoli-Gudino return for a loss of 4 yards to Tor22. Tackled by Mike McCullough.,30,23
05:08,1,Pass,3,Zach Collaros pass to Dontrelle Inman for 3 yards to the Tor25. Tackled by Terrell Maze.,30,23
04:44,2,Pass,12,Zach Collaros pass to Andre Durie for 12 yards to the Tor37. Tackled by Weldon Brown.,30,23
04:02,1,Offside,5,Penalty: Offside on Saskatchewan (Hilee Taylor) 5 yards.,30,23
03:31,1,Rush,11,Jerious Norwood rush for 11 yards to the Tor53. Tackled by Mike McCullough.,30,23
03:00,1,Rush,9,Jerious Norwood rush for 9 yards to the Ssk48. Tackled by Weldon Brown.,30,23
02:36,2,Rush,2,Jerious Norwood rush for 2 yards to the Ssk46. Tackled by Weldon Brown.,30,23
02:06,1,Rush,13,Jerious Norwood rush for 13 yards to the Ssk33. Tackled by Tyron Brackenridge.,30,23
01:47,1,Rush,2,Jerious Norwood rush for 2 yards to the Ssk31. Tackled by Keith Shologan.,30,23
01:23,2,Rush,6,Jerious Norwood rush for 6 yards to the Ssk25. Tackled by Tyron Brackenridge.,30,23
00:53,3,Field Goal Single,45,45 yard field goal attempt by Swayze Waters is NO GOOD (Single).,31,23
00:53,1,Pass,10,Darian Durant pass to Geroy Simon for 10 yards to the Ssk45. Tackled by Alonzo Lawrence.,31,23
00:48,1,Pass,45,Darian Durant pass to Chris Getzlaf for 45 yards to the Tor20. Tackled by Ricardo Colclough.,31,23
00:33,1,Rush,3,Darian Durant rush for 3 yards to the Tor17. Tackled by James Yurichuk.,31,23
00:14,2,Pass,17,Darian Durant pass to Chris Getzlaf for 17 yards for a TOUCHDOWN.,31,29
00:14,0,Sack,-7,Sack at Tor12 for a loss of 7 yards by David Lee.,31,29
00:14,0,Kickoff,0,Ricky Schmitt kicks off to the Ssk50. Jason Barnes - no return. Tackled by Neal Hughes.,31,29
