Time,Down,Type,Yards,Details,Hamilton,Saskatchewan
06:59,2,Pass,15,Darian Durant pass to Geroy Simon for 15 yards for a TOUCHDOWN.,3,6
06:38,0,Made Extra Point,0,Chris Milo extra point is good.,3,7
06:38,0,Kickoff,16,Ricky Schmitt kicks off to the Ham9. Brandon Banks return for 16 yards to Ham25. Tackled by Daryl Stephenson.,3,7
06:33,1,Pass,13,Henry Burris pass to Luke Tasker for 13 yards to the Ham38. Tackled by Tristan Jackson.,3,7
06:01,1,Pass,10,Henry Burris pass to Samuel Giguere for 10 yards to the Ham48. Tackled by Tristan Jackson.,3,7
05:31,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,3,7
05:07,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere.,3,7
04:45,3,Punt,5,Josh Bartel punts for 46 yards to Ssk16. Jock Sanders return for 5 yards to Ssk21. Tackled by Arnaud Gascon-Nadon.,3,7
04:32,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk23. Tackled by Eric Norwood.,3,7
03:56,2,Rush,9,Darian Durant rush for 9 yards to the Ssk32.,3,7
03:20,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk35. Tackled by Brandon Boudreaux.,3,7
02:43,0,Holding,-10,Penalty: Holding on Saskatchewan (Brendon LaBatte) -10 yards.,3,7
02:18,2,Pass,6,Darian Durant pass to Weston Dressler for 6 yards to the Ssk31. Tackled by Rico Murray.,3,7
01:55,3,Punt,2,Ricky Schmitt punts for 39 yards to Ham40. Brandon Banks return for 2 yards to Ham42. Tackled by Brian Peters.,3,7
01:39,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,3,7
01:20,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,3,7
00:53,3,Punt,25,Josh Bartel punts for 44 yards to Ssk24. Jock Sanders return for 25 yards to Ssk49. Tackled by Rico Murray.,3,7
00:41,1,Rush,10,Kory Sheets rush for 10 yards to the Ham51. Tackled by Brandon Boudreaux.,3,7
00:01,2,Rush,2,Kory Sheets rush for 2 yards to the Ham49. Tackled by Marcellus Bowman.,3,7
15:00,1,Pass,-3,Darian Durant pass to Jock Sanders for a loss of 3 yards to the Ham52. Tackled by Rico Murray.,3,7
14:30,2,Pass,38,Darian Durant pass to Chris Getzlaf for 38 yards to the Ham14. Tackled by Neil King.,3,7
14:02,1,Pass,2,Darian Durant pass to Neal Hughes for 2 yards to the Ham12. Tackled by Arthur Hobbs.,3,7
13:33,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,3,7
12:46,3,Missed Field Goal,20,Chris Milo 20 yard field goal attempt is GOOD.,3,10
12:46,0,Sack,-7,"FUMBLE Sack at Ham28 for a loss of 7 yards by Craig Butler., recovered by Ham (Henry Burris).",3,10
12:18,2,Pass,4,Henry Burris pass to C.J. Gable for 4 yards to the Ham32. Tackled by Jermaine McElveen.,3,10
11:49,3,No Yards,18,Josh Bartel punts for 33 yards to Ssk45. Penalty: No Yards on Hamilton (Emanuel Davis) -15 yards.,3,10
11:36,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,3,10
11:17,2,Pass,11,Darian Durant pass to Chris Getzlaf for 11 yards to the Ham39. Tackled by Emanuel Davis.,3,10
10:57,1,Pass,10,Darian Durant pass to Weston Dressler for 10 yards to the Ham29. Tackled by Emanuel Davis.,3,10
10:22,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Delvin Breaux.,3,10
09:57,2,Pass,11,Darian Durant pass to Rob Bagg for 11 yards to the Ham18. Tackled by Emanuel Davis.,3,10
09:33,1,Rush,15,Kory Sheets rush for 15 yards to the Ham3. Tackled by Evan McCollough.,3,10
09:00,1,Rush,3,Jock Sanders rush for 3 yards for a TOUCHDOWN.,3,16
08:49,0,Made Extra Point,0,Chris Milo extra point is good.,3,17
08:49,0,Kickoff,25,Ricky Schmitt kicks off to the Ham9. Brandon Banks return for 25 yards to Ham34. Tackled by Brian Peters.,3,17
08:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,3,17
08:24,0,Fumble,4,"FUMBLE, recovered by Ssk (Alex Hall). . Tackled by Andy Fantuz",3,17
08:02,1,Rush,4,Weston Dressler rush for 4 yards to the Ham4. Tackled by Simoni Lawrence.,3,17
07:20,2,Fumble,-4,"Sack at Ham8 for a loss of 4 yards by Eric Norwood. FUMBLE, recovered by Ham (Brandon Boudreaux).",3,17
07:01,1,Pass,6,Henry Burris pass to Bakari Grant for 6 yards to the Ham14. Tackled by Diamond Ferri.,3,17
06:30,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,3,17
06:15,3,Punt,17,Josh Bartel punts for 33 yards to Ham47. Jock Sanders return for 17 yards to Ham30. Tackled by Marcellus Bowman.,3,17
06:01,1,Pass,29,Darian Durant pass to Chris Getzlaf for 29 yards to the Ham1.,3,17
05:31,1,Rush,1,Kory Sheets rush for 1 yard for a TOUCHDOWN.,3,23
05:22,0,Made Extra Point,0,Chris Milo extra point is good.,3,24
05:22,0,Kickoff,16,Ricky Schmitt kicks off to the Ham16. Brandon Banks return for 16 yards to Ham32. Tackled by Tyron Brackenridge.,3,24
05:16,1,Objectionable Conduct,38,Henry Burris pass to Bakari Grant for 48 yards to the Ssk30. Tackled by Tristan Jackson. Penalty: Objectionable Conduct on Hamilton (Bakari Grant) -10 yards.,3,24
04:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,3,24
04:20,2,Pass,23,Henry Burris pass to Greg Ellingson for 23 yards to the Ssk17. Tackled by Terrell Maze.,3,24
03:46,1,Rush,0,C.J. Gable rush for no gain to the Ssk17. Tackled by John Chick.,3,24
03:08,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,3,24
02:47,3,Missed Field Goal,24,Luca Congi 24 yard field goal attempt is GOOD.,6,24
02:47,1,Rush,18,Kory Sheets rush for 18 yards to the Ssk53. Tackled by Neil King.,6,24
02:40,1,Rush,15,Kory Sheets rush for 15 yards to the Ham42. Tackled by Neil King.,6,24
01:56,1,Pass,42,Darian Durant pass to Geroy Simon for 42 yards for a TOUCHDOWN.,6,30
01:56,0,Made Extra Point,0,Chris Milo extra point is good.,6,31
01:56,0,Kickoff,24,Ricky Schmitt kicks off to the Ham9. Brandon Banks return for 24 yards to Ham33. Tackled by Brian Peters.,6,31
01:49,1,Incomplete Pass,0,Henry Burris incomplete pass intended for John Delahunt.,6,31
01:43,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,6,31
01:36,3,Unnecessary Roughness,-12,Josh Bartel punts for 36 yards to Ssk41. Jock Sanders return for 3 yards to Ssk44. Tackled by Marcellus Bowman. Penalty: Unnecessary Roughness on Saskatchewan (Diamond Ferri) -15 yards.,6,31
01:25,1,Rush,20,Kory Sheets rush for 20 yards to the Ssk49. Tackled by Neil King.,6,31
01:18,1,Rush,5,Darian Durant rush for 5 yards to the Ssk54. Tackled by Brandon Isaac.,6,31
01:01,2,Pass,5,Darian Durant pass to Taj Smith for 5 yards to the Ham51. Tackled by Simoni Lawrence.,6,31
00:54,1,Pass,-1,Darian Durant pass to Kory Sheets for a loss of 1 yard to the Ham52. Tackled by Jamall Johnson.,6,31
00:34,2,Rush,5,Darian Durant rush for 5 yards to the Ham47. Tackled by Brandon Boudreaux.,6,31
15:00,0,Kickoff,13,Ricky Schmitt kicks off to the Ham18. Brandon Banks return for 13 yards to Ham31. Tackled by Daryl Stephenson.,6,31
14:55,1,Sack,-7,Sack at Ham24 for a loss of 7 yards by John Chick.,6,31
14:17,2,Pass,12,Henry Burris pass to Andy Fantuz for 12 yards to the Ham36. Tackled by Dwight Anderson.,6,31
13:39,3,Punt,0,Josh Bartel punts for 35 yards to Ssk39. No return.,6,31
13:31,1,Rush,13,Kory Sheets rush for 13 yards to the Ssk52. Tackled by Rico Murray.,6,31
12:54,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,6,31
12:29,2,Pass,5,Darian Durant pass to Neal Hughes for 5 yards to the Ham53. Tackled by Simoni Lawrence.,6,31
12:01,3,Punt,4,Ricky Schmitt punts for 35 yards to Ham18. Brandon Banks return for 4 yards to Ham22. Tackled by Levi Steinhauer.,6,31
11:35,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,6,31
11:24,2,Pass,18,Henry Burris pass to Bakari Grant for 18 yards to the Ham40. Tackled by Rod Williams.,6,31
10:52,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,6,31
10:20,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,6,31
09:58,3,Punt,6,Josh Bartel punts for 40 yards to Ssk30. Jock Sanders return for 6 yards to Ssk36. Tackled by Arnaud Gascon-Nadon.,6,31
09:48,1,Rush,-2,Kory Sheets rush for a loss of 2 yards to the Ssk34. Tackled by Brandon Isaac.,6,31
09:04,2,Pass,10,Darian Durant pass to Geroy Simon for 10 yards to the Ssk44. Tackled by Evan McCollough.,6,31
08:38,3,Punt,-5,Ricky Schmitt punts for 38 yards to Ham28. Brandon Banks return for a loss of 5 yards to Ham23. Tackled by Tyron Brackenridge.,6,31
08:04,1,Rush,14,C.J. Gable rush for 14 yards to the Ham37. Tackled by Dwight Anderson.,6,31
07:53,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,6,31
07:31,2,Pass,12,Henry Burris pass to Andy Fantuz for 12 yards to the Ham49. Tackled by Weldon Brown.,6,31
06:59,1,Rush,2,C.J. Gable rush for 2 yards to the Ham51. Tackled by Keith Shologan.,6,31
06:26,2,Interception,0,Henry Burris pass intended for Greg Ellingson INTERCEPTED by Weldon Brown. No return. Tackled by Greg Ellingson.,6,31
05:53,1,Rush,6,Kory Sheets rush for 6 yards to the Ssk41. Tackled by Jamall Johnson.,6,31
05:26,2,Rush,-6,Darian Durant rush for a loss of 6 yards to the Ssk35. Tackled by Brian Bulcke.,6,31
04:45,3,No Yards,5,Ricky Schmitt punts for 10 yards to Ssk45. Penalty: No Yards on Saskatchewan (Brian Peters) -5 yards.,6,31
04:21,1,Pass,11,Henry Burris pass to Andy Fantuz for 11 yards to the Ssk29. Tackled by Weldon Brown.,6,31
04:09,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz defensed by Craig Butler.,6,31
03:52,2,Pass,11,Henry Burris pass to Andy Fantuz for 11 yards to the Ssk18. Tackled by Weldon Brown.,6,31
02:52,1,Rush,18,Henry Burris rush for 18 yards for a TOUCHDOWN.,12,31
02:39,0,Made Extra Point,0,Luca Congi extra point is good.,13,31
02:39,0,Kickoff OOB,30,Luca Congi kicks off to the Ssk17. Penalty: Kickoff OOB on Hamilton (Luca Congi) -28 yards.,13,31
02:39,1,Rush,0,Kory Sheets rush for no gain to the Ssk45. Tackled by Torrey Davis.,13,31
02:00,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,13,31
01:35,3,Punt,26,Ricky Schmitt punts for 32 yards to Ham33. Brandon Banks return for 26 yards to Ssk51. Tackled by Graig Newman.,13,31
01:10,1,Pass,25,Henry Burris pass to Luke Tasker for 25 yards to the Ssk26. Tackled by Rod Williams.,13,31
00:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,13,31
00:01,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz defensed by John Chick.,13,31
14:48,3,Missed Field Goal,33,Luca Congi 33 yard field goal attempt is GOOD.,16,31
14:48,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,16,31
14:26,2,Pass,9,Darian Durant pass to Weston Dressler for 9 yards to the Ssk44. Tackled by Rico Murray.,16,31
13:52,3,Punt,6,Ricky Schmitt punts for 49 yards to Ham17. Luke Tasker return for 6 yards to Ham23. Tackled by Tristan Black.,16,31
13:22,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz defensed by Terrell Maze.,16,31
13:11,2,Rush,16,Henry Burris rush for 16 yards to the Ham39. Tackled by Carlos Thomas.,16,31
12:38,1,Pass,6,Henry Burris pass to Greg Ellingson for 6 yards to the Ham45. Tackled by John Chick.,16,31
11:54,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Luke Tasker.,16,31
11:24,3,Punt,6,Josh Bartel punts for 43 yards to Ssk22. Jock Sanders return for 6 yards to Ssk28. Tackled by Jamall Johnson.,16,31
11:13,1,Rush,6,Kory Sheets rush for 6 yards to the Ssk34. Tackled by Brandon Boudreaux.,16,31
10:46,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Chris Best) -5 yards.,16,31
10:23,0,Holding,-10,Penalty: Holding on Saskatchewan (Chris Best) -10 yards.,16,31
09:59,2,Rush,21,Kory Sheets rush for 21 yards to the Ssk40. Tackled by Neil King.,16,31
09:36,1,Rush,16,Kory Sheets rush for 16 yards to the Ham54. Tackled by Rico Murray.,16,31
09:06,1,Rush,7,Jock Sanders rush for 7 yards to the Ham47. Tackled by Jamall Johnson.,16,31
08:22,2,Rush,-2,Jock Sanders rush for a loss of 2 yards to the Ham49. Tackled by Brandon Boudreaux.,16,31
07:47,0,Roughing Kicker,15,Penalty: Roughing Kicker on Hamilton (Luke Tasker) 15 yards.,16,31
07:17,1,Rush,0,Darian Durant rush for no gain to the Ham34.,16,31
06:52,2,Pass,30,Darian Durant pass to Weston Dressler for 30 yards to the Ham4. Tackled by Arthur Hobbs.,16,31
05:23,1,Rush,4,Kory Sheets rush for 4 yards for a TOUCHDOWN.,16,37
05:02,0,Made Extra Point,0,Chris Milo extra point is good.,16,38
05:02,0,Unnecessary Roughness,22,Ricky Schmitt kicks off to the Ham13. Brandon Banks return for 37 yards to Ham50. Tackled by Levi Steinhauer. Penalty: Unnecessary Roughness on Hamilton (Arnaud Gascon-Nadon) -15 yards.,16,38
04:51,1,Sack,-9,Sack at Ham26 for no gain by John Chick Recovered by Ssk (Ricky Foley). Tackled by Greg Wojt,16,38
04:09,1,Pass,26,Darian Durant pass to Weston Dressler for 26 yards for a TOUCHDOWN.,16,44
03:48,0,Made Extra Point,0,Chris Milo extra point is good.,16,45
03:48,0,Kickoff,31,Ricky Schmitt kicks off to the Ham15. Brandon Banks return for 31 yards to Ham46. Tackled by Brian Peters.,16,45
03:39,1,Pass,20,Henry Burris pass to Samuel Giguere for 20 yards to the Ssk44. Tackled by Terrell Maze.,16,45
03:11,1,Rush,2,C.J. Gable rush for 2 yards to the Ssk42. Tackled by Alex Hall.,16,45
02:47,0,Illegal Contact,10,Penalty: Illegal Contact on Saskatchewan (Weldon Brown) 10 yards.,16,45
02:38,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,16,45
02:31,2,Pass,16,Henry Burris pass to Andy Fantuz for 16 yards to the Ssk16. Tackled by Dwight Anderson.,16,45
02:23,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,16,45
02:19,2,Pass,14,Henry Burris pass to Luke Tasker for 14 yards to the Ssk2. Tackled by Weldon Brown.,16,45
01:56,1,Rush,2,C.J. Gable rush for 2 yards for a TOUCHDOWN.,22,45
01:56,0,Made Extra Point,0,Luca Congi extra point is good.,23,45
01:56,0,Kickoff,0,Luca Congi kicks off to the Ham53. Geroy Simon - no return.,23,45
01:54,1,Rush,5,Kory Sheets rush for 5 yards to the Ham48. Tackled by Brian Bulcke.,23,45
01:48,2,Rush,8,Neal Hughes rush for 8 yards to the Ham40. Tackled by Brian Bulcke.,23,45
01:24,1,Rush,16,Neal Hughes rush for 16 yards to the Ham24. Tackled by Neil King.,23,45
00:59,1,Unnecessary Roughness,16,Neal Hughes rush for 8 yards to the Ham16. Tackled by Rico Murray. Penalty: Unnecessary Roughness on Hamilton (Torrey Davis) 8 yards.,23,45
