Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
12:01,2,Rush,8,Jacory Harris rush for 8 yards to the Edm39. Tackled by Woodny Turenne.,11,14
11:26,2,Punt,11,Grant Shaw punts for 51 yards to Ssk20. Phillip Livas return for 11 yards to Ssk31. Tackled by Rennie Curran.,11,14
10:59,1,Rush,3,Stephfon Green rush for 3 yards to the Ssk34. Tackled by Eric Samuels.,11,14
10:21,0,Roughing Passer,15,Penalty: Roughing Passer on Edmonton (Justin Capicciotti) 15 yards.,11,14
10:05,1,Rush,2,Stephfon Green rush for 2 yards to the Ssk51. Tackled by Mike Cornell.,11,14
09:30,2,Sack,-13,Sack at Ssk38 for a loss of 13 yards by Lindsey Witten.,11,14
09:10,3,Punt,14,Chris Milo punts for 54 yards to Edm18. Tracy Lampley return for 14 yards to Edm32. Tackled by Levi Steinhauer.,11,14
08:35,1,Sack,-10,Sack at Edm22 for a loss of 10 yards by Will Davis.,11,14
07:49,2,Sack,-5,Sack at Edm17 for a loss of 5 yards by Antonio Coleman.,11,14
07:32,3,Illegal Block,-8,Grant Shaw punts for 50 yards to Ssk43. Phillip Livas return for 2 yards to Ssk45. Penalty: Illegal Block on Saskatchewan (Kevin Regimbald-Gagne) -10 yards.,11,14
07:09,1,Pass,50,Tino Sunseri pass to Greg Carr for 50 yards to the Edm25. Tackled by Clint Kent.,11,14
06:35,1,Rush,2,DeDe Dorsey rush for 2 yards to the Edm23. Tackled by Gregory Alexandre.,11,14
06:05,2,Pass,3,Tino Sunseri pass to Phillip Livas for 3 yards to the Edm20. Tackled by Donovan Richard.,11,14
04:59,3,Missed Field Goal,27,Brody McKnight 27 yard field goal attempt is GOOD.,14,14
04:59,0,Kickoff,13,Brody McKnight kicks off to the Edm12. Terrance Lewis return for 13 yards to Edm25. Tackled by Reshard Langford.,14,14
04:48,1,Pass,8,Jacory Harris pass to Tracy Lampley for 8 yards to the Edm33. Tackled by Diamond Ferri.,14,14
04:26,2,Rush,2,Smith Wright rush for 2 yards to the Edm35. Tackled by Antonio Coleman.,14,14
03:40,1,Rush,0,Tracy Lampley rush for no gain to the Edm35. Tackled by Zach Evans.,14,14
03:15,2,Pass,11,Jacory Harris pass to Youssy Pierre for 11 yards to the Edm46. Tackled by Brian Peters.,14,14
02:40,1,Incomplete Pass,0,Jacory Harris incomplete pass intended for Ed Gant.,14,14
02:27,2,Incomplete Pass,0,Jacory Harris incomplete pass intended for Ed Gant.,14,14
02:05,3,Fumble,0,"Grant Shaw punts for 57 yards to Ssk7. Phillip Livas return for no gain to Ssk7., recovered by Edm (Rennie Curran). FUMBLE",14,14
01:17,1,Rush,7,Jacory Harris rush for 7 yards for a TOUCHDOWN.,14,20
01:03,0,Made Extra Point,0,Grant Shaw extra point is good.,14,21
01:03,0,Kickoff,26,Grant Shaw kicks off to the Ssk17. Phillip Livas return for 26 yards to Ssk43. Tackled by Nathan Kanya.,14,21
00:57,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Alex Anthony.,14,21
00:39,0,Roughing Passer,15,Penalty: Roughing Passer on Edmonton (Lindsey Witten) 15 yards.,14,21
00:08,0,Fumble,-3,"FUMBLE, recovered by Ssk (DeDe Dorsey). . Tackled by Clint Kent",14,21
00:01,2,Pass,16,Tino Sunseri pass to Jordan Sisco for 16 yards to the Edm39. Tackled by Otis Merrill.,14,21
15:00,1,Rush,1,DeDe Dorsey rush for 1 yard to the Edm38. Tackled by Justin Capicciotti.,14,21
14:30,2,Pass,-6,Tino Sunseri pass to DeDe Dorsey for a loss of 6 yards to the Edm44. Tackled by Donovan Richard.,14,21
13:54,3,Punt,15,Chris Milo punts for 37 yards to Edm7. Terrance Lewis return for 15 yards to Edm22. Tackled by Levi Steinhauer.,14,21
13:33,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Ed Gant.,14,21
13:13,2,Pass,5,Jonathan Crompton pass to Ed Gant for 5 yards to the Edm27. Tackled by Woodny Turenne.,14,21
