Time,Down,Type,Yards,Details,Calgary,Saskatchewan
09:24,2,Pass,28,Darian Durant pass to Weston Dressler for 28 yards for a TOUCHDOWN.,14,9
09:00,0,Two Point Conversion,5,Darian Durant 2 pt conversion pass to Kory Sheets is GOOD.,14,11
09:00,0,Kickoff,19,Ricky Schmitt kicks off to the Cgy2. Larry Taylor return for 19 yards to Cgy21. Tackled by Woodny Turenne.,14,11
08:54,1,Pass,7,Drew Tate pass to Maurice Price for 7 yards to the Cgy28. Tackled by Prince Miller.,14,11
08:19,2,Pass,7,Drew Tate pass to Nik Lewis for 7 yards to the Cgy35. Tackled by Dwight Anderson.,14,11
07:46,1,Rush,2,Jon Cornish rush for 2 yards to the Cgy37. Tackled by Tearrius George.,14,11
07:02,2,Sack,-2,Sack at Cgy35 for a loss of 2 yards by Will Davis.,14,11
06:10,3,Illegal Block,56,Rob Maver punts for 46 yards to Ssk29. Penalty: Illegal Block on Saskatchewan (Dan Clark) 10 yards.,14,11
05:47,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk23. Tackled by Malik Jackson.,14,11
05:14,2,Pass,7,Darian Durant pass to Taj Smith for 7 yards to the Ssk30. Tackled by Brandon Smith.,14,11
04:48,1,Rush,9,Kory Sheets rush for 9 yards to the Ssk39. Tackled by Demetrice Morley.,14,11
04:18,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,14,11
04:00,3,Rush,1,Drew Willy rush for 1 yard to the Ssk40. Tackled by Junior Turner.,14,11
03:12,1,Pass,32,Darian Durant pass to Chris Getzlaf for 32 yards to the Cgy38. Tackled by Demetrice Morley.,14,11
02:54,1,Pass,10,Darian Durant pass to Chris Getzlaf for 10 yards to the Cgy28. Tackled by Jonathan Hefney.,14,11
02:41,2,Rush,4,Kory Sheets rush for 4 yards to the Cgy24. Tackled by Shawn Lemon.,14,11
02:26,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,14,11
02:10,2,Offside,-5,Penalty: Offside on Saskatchewan (Eron Riley) -5 yards.,14,11
01:56,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Eron Riley.,14,11
01:45,3,Missed Field Goal,36,Chris Milo 36 yard field goal attempt is GOOD.,14,14
01:45,1,Pass,5,Drew Tate pass to Larry Taylor for 5 yards to the Cgy40. Tackled by Woodny Turenne.,14,14
01:38,2,Pass,13,Drew Tate pass to Anthony Parker for 13 yards to the Cgy53. Tackled by Macho Harris.,14,14
01:16,1,Pass,8,Drew Tate pass to Joe West for 8 yards to the Ssk49. Tackled by Prince Miller.,14,14
01:04,2,Rush,5,Jon Cornish rush for 5 yards to the Ssk44. Tackled by Craig Butler.,14,14
00:49,1,Pass,8,Drew Tate pass to Marquay McDaniel for 8 yards to the Ssk36. Tackled by Macho Harris.,14,14
00:39,2,Rush,10,Jon Cornish rush for 10 yards to the Ssk26. Tackled by Macho Harris.,14,14
00:32,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Nik Lewis.,14,14
00:26,2,Pass,10,Drew Tate pass to Marquay McDaniel for 10 yards to the Ssk16. Tackled by Dwight Anderson.,14,14
00:14,1,Pass,16,Drew Tate pass to Joe West for 16 yards for a TOUCHDOWN.,20,14
00:14,0,Made Extra Point,0,Rene Paredes extra point is good.,21,14
00:14,0,Kickoff,28,Rene Paredes kicks off to the Ssk22. Jock Sanders return for 28 yards to Ssk50. Tackled by Ben D'Aguilar.,21,14
00:01,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Eron Riley.,21,14
15:00,0,Kickoff,20,Rene Paredes kicks off to the Ssk21. Jock Sanders return for 20 yards to Ssk41. Tackled by Karl McCartney.,21,14
14:54,1,Pass,9,Darian Durant pass to Kory Sheets for 9 yards to the Ssk50. Tackled by Demonte' Bolden.,21,14
14:01,2,Rush,3,Kory Sheets rush for 3 yards to the Ssk53. Tackled by Charleston Hughes.,21,14
13:25,1,Rush,18,Kory Sheets rush for 18 yards to the Cgy39. Tackled by Eric Fraser.,21,14
12:51,1,Rush,7,Kory Sheets rush for 7 yards to the Cgy32. Tackled by Charleston Hughes.,21,14
12:26,2,Rush,1,Kory Sheets rush for 1 yard to the Cgy31. Tackled by Shawn Lemon.,21,14
11:40,3,Missed Field Goal,38,Chris Milo 38 yard field goal attempt is GOOD.,21,17
11:40,1,Rush,1,Drew Tate rush for 1 yard to the Cgy36. Tackled by Ricky Foley.,21,17
11:08,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Joe West defensed by Macho Harris.,21,17
10:39,3,Punt,5,Rob Maver punts for 39 yards to Ssk35. Jock Sanders return for 5 yards to Ssk40. Tackled by Randy Chevrier.,21,17
10:10,1,Pass,4,Darian Durant pass to Taj Smith for 4 yards to the Ssk44. Tackled by Derrius Brooks.,21,17
09:42,2,Pass,8,Darian Durant pass to Weston Dressler for 8 yards to the Ssk52. Tackled by Jamar Wall.,21,17
09:02,1,Rush,9,Kory Sheets rush for 9 yards to the Cgy49. Tackled by Charleston Hughes.,21,17
08:25,2,Pass,14,Darian Durant pass to Scott McHenry for 14 yards to the Cgy35. Tackled by Derrius Brooks.,21,17
07:54,1,Rush,9,Darian Durant rush for 9 yards to the Cgy26. Tackled by Malik Jackson.,21,17
07:17,2,Rush,5,Kory Sheets rush for 5 yards to the Cgy21. Tackled by Shawn Lemon.,21,17
06:44,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,21,17
06:09,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,21,17
05:25,3,Missed Field Goal,29,Chris Milo 29 yard field goal attempt is GOOD.,21,20
05:25,1,Pass,9,Drew Tate pass to Joe West for 9 yards to the Cgy44. Tackled by Macho Harris.,21,20
05:02,2,Rush,1,Bo Levi Mitchell rush for 1 yard to the Cgy45. Tackled by John Chick.,21,20
04:04,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy48. Tackled by John Chick.,21,20
03:29,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Marquay McDaniel.,21,20
03:12,3,Punt,6,Rob Maver punts for 41 yards to Ssk21. Jock Sanders return for 6 yards to Ssk27. Tackled by Matt Walter.,21,20
02:49,1,Pass,5,Darian Durant pass to Taj Smith for 5 yards to the Ssk32. Tackled by Jonathan Hefney.,21,20
02:22,2,Pass,10,Darian Durant pass to Chris Getzlaf for 10 yards to the Ssk42. Tackled by Jonathan Hefney.,21,20
01:45,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk45. Tackled by Charleston Hughes.,21,20
01:00,2,Pass,13,Darian Durant pass to Weston Dressler for 13 yards to the Cgy52. Tackled by Jamar Wall.,21,20
00:25,1,Pass,4,Darian Durant pass to Chris Getzlaf for 4 yards to the Cgy48. Tackled by Eric Fraser.,21,20
15:00,2,Rush,8,Darian Durant rush for 8 yards to the Cgy40. Tackled by Jamar Wall.,21,20
14:40,1,Rush,6,Kory Sheets rush for 6 yards to the Cgy34. Tackled by Shawn Lemon.,21,20
14:06,0,Pass Interference,31,Penalty: Pass Interference on Calgary (Jonathan Hefney) 31 yards.,21,20
13:20,1,Rush,3,Kory Sheets rush for 3 yards for a TOUCHDOWN.,21,26
12:57,0,Two Point Conversion,5,Darian Durant 2 pt conversion pass to Weston Dressler is GOOD.,21,28
12:57,0,Kickoff,29,Ricky Schmitt kicks off to the Cgy4. Larry Taylor return for 29 yards to Cgy33. Tackled by Tristan Black.,21,28
12:50,1,Rush,6,Jon Cornish rush for 6 yards to the Cgy39. Tackled by Ricky Foley.,21,28
12:08,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Maurice Price defensed by Prince Miller.,21,28
11:45,3,Punt,19,Rob Maver punts for 45 yards to Ssk26. Jock Sanders return for 19 yards to Ssk45. Tackled by Eric Fraser.,21,28
11:22,1,Pass,4,Darian Durant pass to Chris Getzlaf for 4 yards to the Ssk49. Tackled by Jamar Wall.,21,28
10:51,2,Pass,9,Darian Durant pass to Chris Getzlaf for 9 yards to the Cgy52. Tackled by Eric Fraser.,21,28
10:05,1,Rush,-4,Kory Sheets rush for a loss of 4 yards to the Ssk54. Tackled by Shawn Lemon.,21,28
09:17,2,Pass,6,Darian Durant pass to Weston Dressler for 6 yards to the Cgy50. Tackled by Jonathan Hefney.,21,28
08:41,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Calgary -10 yards.,21,28
07:59,1,Rush,7,Kory Sheets rush for 7 yards to the Cgy33. Tackled by Justin Phillips.,21,28
07:34,2,Rush,4,Kory Sheets rush for 4 yards to the Cgy29. Tackled by Brandon Smith.,21,28
06:57,1,Sack,-9,Sack at Cgy38 for a loss of 9 yards by Shawn Lemon.,21,28
06:23,2,Unnecessary Roughness,23,Darian Durant pass to Weston Dressler for 8 yards to the Cgy30. Penalty: Unnecessary Roughness on Calgary (Juwan Simpson) 15 yards.,21,28
05:29,2,Pass,15,Darian Durant pass to Chris Getzlaf for 15 yards for a TOUCHDOWN.,21,34
05:08,0,Made Extra Point,0,Chris Milo extra point is good.,21,35
05:08,0,Kickoff,23,Ricky Schmitt kicks off to the Cgy10. Larry Taylor return for 23 yards to Cgy33. Tackled by Graig Newman.,21,35
05:02,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price.,21,35
04:46,2,Sack,-4,Sack at Cgy29 for a loss of 4 yards by Renauld Williams.,21,35
04:01,3,Illegal Block,-2,Rob Maver punts for 52 yards to Ssk29. Jock Sanders return for 8 yards to Ssk37. Penalty: Illegal Block on Saskatchewan (Graig Newman) -10 yards.,21,35
03:25,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk32. Tackled by Junior Turner.,21,35
03:14,2,Rush,11,Kory Sheets rush for 11 yards to the Ssk43. Tackled by Brandon Smith.,21,35
03:00,1,Rush,12,Kory Sheets rush for 12 yards to the Ssk55. Tackled by Shawn Lemon.,21,35
02:33,1,Rush,2,Kory Sheets rush for 2 yards to the Cgy53. Tackled by Juwan Simpson.,21,35
02:10,2,Rush,8,Kory Sheets rush for 8 yards to the Cgy45. Tackled by Demetrice Morley.,21,35
02:04,1,Rush,3,Kory Sheets rush for 3 yards to the Cgy42. Tackled by Juwan Simpson.,21,35
01:42,2,Sack,-3,Sack at Cgy45 for a loss of 3 yards by Juwan Simpson.,21,35
00:46,3,Punt Single,62,Ricky Schmitt punts for 62 yards to Cgy0 (Single).,21,36
00:46,1,Pass,8,Kevin Glenn pass to Maurice Price for 8 yards to the Cgy43. Tackled by Prince Miller.,21,36
00:39,2,Pass,13,Kevin Glenn pass to Jabari Arthur for 13 yards to the Ssk54. Tackled by Prince Miller.,21,36
00:32,1,Pass,7,Kevin Glenn pass to Jabari Arthur for 7 yards to the Ssk47. Tackled by Weldon Brown.,21,36
00:24,2,Pass,13,Kevin Glenn pass to Marquay McDaniel for 13 yards to the Ssk34. Tackled by Dwight Anderson.,21,36
00:18,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,21,36
00:01,2,Interception,0,Kevin Glenn pass intended for Anthony Parker INTERCEPTED by Macho Harris. No return. Tackled by Anthony Parker.,21,36
