Time,Down,Type,Yards,Details,Saskatchewan,Montreal
15:00,0,Illegal Block,27,Sean Whyte kicks off to the Ssk13. Tristan Jackson return for 17 yards to Ssk30. Tackled by Jamahl Knowles. Penalty: Illegal Block on Montreal (Jamahl Knowles) 10 yards.,3,4
14:54,1,Pass,5,Darian Durant pass to Chris Getzlaf for 5 yards to the Ssk45. Tackled by Chip Cox.,3,4
14:19,2,Pass,8,Darian Durant pass to Weston Dressler for 8 yards to the Ssk53. Tackled by Billy Parker.,3,4
13:54,1,Pass,3,Darian Durant pass to Scott McHenry for 3 yards to the Mtl54. Tackled by Chip Cox.,3,4
13:20,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf defensed by Chip Cox.,3,4
12:43,3,Punt Single,0,Ricky Schmitt punts for 57 yards to Mtl0. No return (Single).,4,4
12:43,1,Rush,22,Arland Bruce rush for 22 yards to the Ssk53. Tackled by Terrell Maze.,4,4
12:03,1,Pass,1,Josh Neiswander pass to Eric Deslauriers for 1 yard to the Ssk52. Tackled by Eddie Russ.,4,4
11:41,2,Pass,3,Josh Neiswander pass to Brandon London for 3 yards to the Ssk49.,4,4
11:08,3,Holding,43,Sean Whyte punts for 36 yards to Ssk13. Penalty: Holding on Saskatchewan (Eddie Russ) 7 yards.,4,4
10:42,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,4,4
10:21,2,Pass,10,Darian Durant pass to Taj Smith for 10 yards to the Ssk16. Tackled by Mike Edem.,4,4
09:37,1,Pass,3,Darian Durant pass to Taj Smith for 3 yards to the Ssk19. Tackled by Billy Parker.,4,4
08:46,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Billy Parker.,4,4
08:22,3,Punt,6,Ricky Schmitt punts for 45 yards to Mtl46. Tyron Carrier return for 6 yards to Mtl52. Tackled by Graig Newman.,4,4
08:05,1,Fumble,3,"Troy Smith rush for 3 yards to the Mtl55. FUMBLE, recovered by Mtl (Jerome Messam).",4,4
07:12,2,Fumble,54,"Troy Smith pass to Jerome Messam for 54 yards to the Ssk1. FUMBLE, recovered by Ssk (Eddie Russ). Tackled by Michael Ola.",4,4
06:44,1,Rush,3,Darian Durant rush for 3 yards to the Ssk28. Tackled by Jerald Brown.,4,4
06:04,2,Pass,12,Darian Durant pass to Weston Dressler for 12 yards to the Ssk40. Tackled by John Bowman.,4,4
05:16,1,Pass,9,Darian Durant pass to Taj Smith for 9 yards to the Ssk49. Tackled by Ed Gainey.,4,4
05:03,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,4,4
04:47,3,Rush,1,Drew Willy rush for 1 yard to the Ssk50. Tackled by Kyries Hebert.,4,4
04:14,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,4,4
03:48,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,4,4
03:22,3,Illegal Punt,10,Ricky Schmitt punts for 20 yards to Mtl40. Penalty: Illegal Punt on Saskatchewan (Ricky Schmitt) -10 yards.,4,4
03:07,1,Pass,2,Josh Neiswander pass to S.J. Green for 2 yards to the Mtl52. Tackled by Eddie Russ.,4,4
02:27,0,Pass Interference,13,Penalty: Pass Interference on Saskatchewan (Dwight Anderson) 13 yards.,4,4
01:48,1,Pass,45,Josh Neiswander pass to Duron Carter for 45 yards for a TOUCHDOWN.,4,10
01:31,0,Made Extra Point,0,Sean Whyte extra point is good.,4,11
01:31,0,Kickoff,38,Sean Whyte kicks off to the Ssk16. Tristan Jackson return for 38 yards to Ssk54. Tackled by Bear Woods.,4,11
01:21,1,Rush,2,Neal Hughes rush for 2 yards to the Mtl54. Tackled by Michael Klassen.,4,11
00:45,2,Offside,-5,Penalty: Offside on Saskatchewan (Chris Getzlaf) -5 yards.,4,11
00:24,2,Interception,0,Darian Durant pass intended for Chris Getzlaf INTERCEPTED by Jerald Brown. No return. Tackled by Weston Dressler.,4,11
00:01,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Arland Bruce.,4,11
15:00,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Arland Bruce.,4,11
14:43,3,Illegal Block,0,Sean Whyte punts for 50 yards to Ssk25. Tristan Jackson return for 10 yards to Ssk35. Penalty: Illegal Block on Saskatchewan (Scott McHenry) -10 yards.,4,11
14:06,1,Pass,17,Darian Durant pass to Taj Smith for 17 yards to the Ssk42. Tackled by Michael Carter.,4,11
13:51,1,Pass,18,Darian Durant pass to Geroy Simon for 18 yards to the Mtl50. Tackled by Jerald Brown.,4,11
13:17,1,Pass,26,Darian Durant pass to Weston Dressler for 26 yards to the Mtl24. Tackled by Chip Cox.,4,11
12:40,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf defensed by Chip Cox.,4,11
11:55,2,Pass,24,Darian Durant pass to Weston Dressler for 24 yards for a TOUCHDOWN.,10,11
11:44,0,Made Extra Point,0,Chris Milo extra point is good.,11,11
11:44,0,Kickoff,43,Ricky Schmitt kicks off to the Mtl15. Tyron Carrier return for 43 yards to Ssk52. Tackled by Eddie Russ.,11,11
11:28,1,Pass,4,Josh Neiswander pass to Duron Carter for 4 yards to the Ssk48. Tackled by John Chick.,11,11
10:43,2,Pass,8,Josh Neiswander pass to Duron Carter for 8 yards to the Ssk40. Tackled by Terrell Maze.,11,11
10:08,1,Rush,1,Jerome Messam rush for 1 yard to the Ssk39. Tackled by Jermaine McElveen.,11,11
09:40,2,Pass,6,Josh Neiswander pass to Arland Bruce for 6 yards to the Ssk33. Tackled by Prince Miller.,11,11
08:42,3,Missed Field Goal,40,Sean Whyte 40 yard field goal attempt is GOOD.,11,14
08:42,0,Kickoff,42,Sean Whyte kicks off to the Ssk10. Tristan Jackson return for 42 yards to Ssk52. Tackled by Mike Edem.,11,14
08:15,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,11,14
08:01,2,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Mtl50. Tackled by Jerald Brown.,11,14
06:53,3,Punt Single,0,Ricky Schmitt punts for 62 yards to Mtl0. No return (Single).,12,14
06:53,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Duron Carter.,12,14
06:39,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Brandon London.,12,14
