Time,Down,Type,Yards,Details,Saskatchewan,Calgary
12:00,3,Punt,4,Ricky Schmitt punts for 35 yards to Cgy43.   return for 4 yards to Cgy47. Tackled by Paul Woldu.,22,6
11:41,1,Rush,9,Jon Cornish rush for 9 yards to the Ssk54. Tackled by John Chick.,22,6
11:09,2,Rush,3,Drew Tate rush for 3 yards to the Ssk51. Tackled by Brian Peters.,22,6
10:35,1,Pass,5,Drew Tate pass to Maurice Price for 5 yards to the Ssk46. Tackled by Rod Williams.,22,6
09:44,2,Pass,46,Drew Tate pass to Joe West for 46 yards for a TOUCHDOWN.,22,12
09:23,0,Made Extra Point,0,Rene Paredes extra point is good.,22,13
09:23,0,Kickoff,26,Rene Paredes kicks off to the Ssk8. Jock Sanders return for 26 yards to Ssk34. Tackled by Jamar Wall.,22,13
09:16,1,Pass,36,Darian Durant pass to Weston Dressler for 36 yards to the Cgy40.,22,13
08:11,1,Pass,20,Darian Durant pass to Chris Getzlaf for 20 yards to the Cgy20. Tackled by Juwan Simpson.,22,13
07:54,1,Rush,7,Kory Sheets rush for 7 yards to the Cgy13. Tackled by Charleston Hughes.,22,13
07:12,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Eric Fraser.,22,13
06:44,3,No Yards,3,8 yard field goal attempt by Chris Milo is NO GOOD. Penalty: No Yards on Saskatchewan (Levi Steinhauer) -5 yards.,22,13
06:13,1,Rush,32,Jon Cornish rush for 32 yards to the Cgy42. Tackled by  .,22,13
05:34,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Joe West.,22,13
05:11,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Brad Sinopoli.,22,13
04:46,3,Punt,5,Rob Maver punts for 55 yards to Ssk13. Jock Sanders return for 5 yards to Ssk18. Tackled by Yannick Carter.,22,13
04:28,1,Rush,11,Kory Sheets rush for 11 yards to the Ssk29. Tackled by Juwan Simpson.,22,13
03:51,1,Pass,3,Darian Durant pass to Taj Smith for 3 yards to the Ssk32. Tackled by Keon Raymond.,22,13
03:01,2,Pass,6,Darian Durant pass to Taj Smith for 6 yards to the Ssk38. Tackled by Chris Randle.,22,13
02:14,3,Punt,3,Ricky Schmitt punts for 36 yards to Cgy36.   return for 3 yards to Cgy39. Tackled by  .,22,13
01:56,1,Time Count,-5,Penalty: Time Count on Calgary (Drew Tate) -5 yards.,22,13
01:33,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Maurice Price.,22,13
01:27,2,Pass,9,Drew Tate pass to Jon Cornish for 9 yards to the Cgy43. Tackled by Craig Butler.,22,13
00:52,3,Punt,10,Rob Maver punts for 49 yards to Ssk18. Jock Sanders return for 10 yards to Ssk28. Tackled by Cordarro Law.,22,13
00:34,1,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Ssk36. Tackled by Deron Mayo.,22,13
00:08,2,Rush,4,Kory Sheets rush for 4 yards to the Ssk40. Tackled by Deron Mayo.,22,13
15:00,1,Pass,1,Darian Durant pass to Jock Sanders for 1 yard to the Ssk41. Tackled by Derrius Brooks.,22,13
14:38,2,Rush,7,Darian Durant rush for 7 yards to the Ssk48. Tackled by Deron Mayo.,22,13
13:30,3,Rush,5,Kory Sheets rush for 5 yards to the Ssk53. Tackled by Chris Randle.,22,13
12:59,1,Rush,8,Kory Sheets rush for 8 yards to the Cgy49. Tackled by Deron Mayo.,22,13
12:15,2,Rush,4,Kory Sheets rush for 4 yards to the Cgy45. Tackled by Charleston Hughes.,22,13
11:40,1,Rush,10,Jock Sanders rush for 10 yards to the Cgy35. Tackled by  .,22,13
10:55,2,Rush,10,Jock Sanders rush for 10 yards to the Cgy25. Tackled by Fred Bennett.,22,13
10:11,1,Rush,8,Kory Sheets rush for 8 yards to the Cgy17. Tackled by Chris Randle.,22,13
09:48,2,Pass,4,Darian Durant pass to Scott McHenry for 4 yards to the Cgy13. Tackled by Derrius Brooks.,22,13
09:10,1,Rush,3,Kory Sheets rush for 3 yards to the Cgy10. Tackled by Deron Mayo.,22,13
08:28,2,Pass,5,Darian Durant pass to Rob Bagg for 5 yards to the Cgy5. Tackled by Jamar Wall.,22,13
07:23,3,Missed Field Goal,12,Chris Milo 12 yard field goal attempt is GOOD.,25,13
07:23,1,Rush,11,Jon Cornish rush for 11 yards to the Cgy46. Tackled by  .,25,13
06:54,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Brad Sinopoli.,25,13
06:36,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Brad Sinopoli.,25,13
06:14,3,Punt,4,Rob Maver punts for 42 yards to Ssk22. Jock Sanders return for 4 yards to Ssk26. Tackled by Yannick Carter.,25,13
05:58,1,Rush,2,Kory Sheets rush for 2 yards to the Ssk28. Tackled by Junior Turner.,25,13
05:16,2,Rush,7,Darian Durant rush for 7 yards to the Ssk35. Tackled by Deron Mayo.,25,13
04:26,3,Fumble,2,"Ricky Schmitt punts for 45 yards to Cgy30.   return for 2 yards to Cgy32. FUMBLE, recovered by Ssk (Paul Woldu).",25,13
04:12,1,Rush,0,Kory Sheets rush for no gain to the Cgy32. Tackled by Junior Turner.,25,13
03:29,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,25,13
02:59,3,Missed Field Goal,39,Chris Milo 39 yard field goal attempt is GOOD.,28,13
02:59,1,Rush,5,Drew Tate rush for 5 yards to the Cgy40. Tackled by  .,28,13
02:48,2,Pass,2,Drew Tate pass to Maurice Price for 2 yards to the Cgy42. Tackled by Rod Williams.,28,13
02:28,3,Incomplete Pass,0,Drew Tate incomplete pass intended for Anthony Parker.,28,13
02:13,1,Rush,3,Kory Sheets rush for 3 yards to the Cgy39. Tackled by  .,28,13
02:07,2,Rush,8,Kory Sheets rush for 8 yards to the Cgy31. Tackled by Chris Randle.,28,13
01:44,1,Rush,30,Kory Sheets rush for 30 yards to the Cgy1. Tackled by Deron Mayo.,28,13
01:12,1,Rush,1,Kory Sheets rush for 1 yard for a TOUCHDOWN.,34,13
01:12,0,Made Extra Point,0,Chris Milo extra point is good.,35,13
01:12,0,Kickoff,12,Ricky Schmitt kicks off to the Cgy18.   return for 12 yards to Cgy30. Tackled by Brandon Smith.,35,13
01:10,1,Pass,6,Bo Levi Mitchell pass to Matt Walter for 6 yards to the Cgy36. Tackled by Craig Butler.,35,13
00:56,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass defensed by Rod Williams.,35,13
00:40,3,Rush,14,Matt Walter rush for 14 yards to the Cgy50. Tackled by  .,35,13
00:32,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Saskatchewan 10 yards.,35,13
00:26,1,Rush,5,Bo Levi Mitchell rush for 5 yards to the Ssk45. Tackled by Alex Hall.,35,13
00:16,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,35,13
