Time,Down,Type,Yards,Details,Edmonton,Hamilton
01:15,3,Missed Field Goal,26,Luca Congi 26 yard field goal attempt is GOOD.,16,13
01:15,1,Rush,10,Hugh Charles rush for 10 yards to the Edm45. Tackled by James Patrick.,16,13
01:08,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Marcus Henry.,16,13
00:50,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Isaiah Sweeney defensed by Erik Harris.,16,13
00:41,0,Fumble,1,", recovered by Edm (Lindsey Lamar). Grant Shaw punts for 34 yards to Ham31. Lindsey Lamar return for 1 yard to Ham32. FUMBLE",16,13
00:34,1,Rush,1,C.J. Gable rush for 1 yard to the Ham33. Tackled by J.C. Sherritt.,16,13
00:29,2,Rush,7,Lindsey Lamar rush for 7 yards to the Ham40. Tackled by Damaso Munoz.,16,13
15:00,0,Kickoff,23,Grant Shaw kicks off to the Ham11. C.J. Gable return for 23 yards to Ham34. Tackled by Mike Cornell.,16,13
14:50,1,Pass,14,Henry Burris pass to Simon Charbonneau-Campeau for 14 yards to the Ham48. Tackled by Marcell Young.,16,13
14:23,1,Rush,-1,Lindsey Lamar rush for a loss of 1 yard to the Ham47. Tackled by J.C. Sherritt.,16,13
13:47,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Simon Charbonneau-Campeau.,16,13
13:04,3,Holding,-7,Josh Bartel punts for 45 yards to Edm18. Joe Burnett return for 3 yards to Edm21. Penalty: Holding on Edmonton (Kyle Norris) -10 yards.,16,13
12:53,1,Rush,-1,Hugh Charles rush for a loss of 1 yard to the Edm10. Tackled by Brian Bulcke.,16,13
12:39,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Calvin McCarty.,16,13
11:55,3,Fumble,-4,"Grant Shaw punts for 48 yards to Ham52. Lindsey Lamar return for a loss of 4 yards to Ham48. FUMBLE, recovered by Edm (Chris Rwabukamba). Tackled by Lindsey Lamar.",16,13
11:33,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,16,13
11:15,2,Pass,7,Mike Reilly pass to Calvin McCarty for 7 yards to the Ham41. Tackled by Terrance Parks.,16,13
10:52,0,Fumble,0,", recovered by Edm (Matt Bucknor). Grant Shaw punts for 36 yards to Ham5. Lindsey Lamar return for no gain to Ham5. FUMBLE",16,13
09:57,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable defensed by Marcus Howard.,16,13
09:45,2,Interception,0,Henry Burris pass intended for Simon Charbonneau-Campeau INTERCEPTED by T.J. Hill. No return. Tackled by Simon Charbonneau-Campeau.,16,13
