Time,Down,Type,Yards,Details,Toronto,Hamilton
10:59,1,Rush,2,C.J. Gable rush for 2 yards for a TOUCHDOWN.,8,22
10:40,0,Made Extra Point,0,Brett Lauther extra point is good.,8,23
10:40,0,Kickoff,18,Brett Lauther kicks off to the Tor15. Major Culbert return for 18 yards to Tor33. Tackled by Dahrran Diedrick.,8,23
10:33,1,Pass,8,Ricky Ray pass to Spencer Watt for 8 yards to the Tor41. Tackled by Eric Norwood.,8,23
09:59,2,Rush,-2,Chad Owens rush for a loss of 2 yards to the Tor39. Tackled by Nate Bussey.,8,23
09:27,3,Punt,-1,Swayze Waters punts for 50 yards to Ham21. Brandon Banks return for a loss of 1 yard to Ham20. Tackled by Mike Bradwell.,8,23
09:12,1,Rush,11,Brandon Banks rush for 11 yards to the Ham31. Tackled by Jamie Robinson.,8,23
08:53,1,Rush,3,C.J. Gable rush for 3 yards to the Ham34. Tackled by  .,8,23
08:26,2,Pass,11,Henry Burris pass to Luke Tasker for 11 yards to the Ham45. Tackled by Cleyon Laing.,8,23
07:38,1,Rush,9,Dan LeFevour rush for 9 yards to the Ham54. Tackled by Jonathan Williams.,8,23
07:10,2,Rush,4,C.J. Gable rush for 4 yards to the Tor52. Tackled by Ivan Brown.,8,23
06:37,1,Pass,4,Dan LeFevour pass to C.J. Gable for 4 yards to the Tor48. Tackled by Cleyon Laing.,8,23
06:00,2,Pass,27,Dan LeFevour pass to Luke Tasker for 27 yards to the Tor21. Tackled by Jalil Carter.,8,23
05:30,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,8,23
04:59,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,8,23
04:11,3,Field Goal Single,41,41 yard field goal attempt by Brett Lauther is NO GOOD (Single).,8,24
04:11,1,Pass,15,Ricky Ray pass to Chad Owens for 15 yards to the Tor50. Tackled by Arthur Hobbs.,8,24
03:51,1,Rush,17,Jerious Norwood rush for 17 yards to the Ham43. Tackled by Evan McCollough.,8,24
03:20,1,Pass,10,Ricky Ray pass to Andre Durie for 10 yards to the Ham33. Tackled by Nate Bussey.,8,24
02:40,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Zander Robinson defensed by Simoni Lawrence.,8,24
02:03,2,Pass,23,Ricky Ray pass to Dontrelle Inman for 23 yards to the Ham10. Tackled by Simoni Lawrence.,8,24
01:39,1,Pass,-1,Ricky Ray pass to Zander Robinson for a loss of 1 yard to the Ham11. Tackled by Evan McCollough.,8,24
00:53,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman.,8,24
00:14,3,Missed Field Goal,19,Swayze Waters 19 yard field goal attempt is GOOD.,11,24
00:14,0,Kickoff,21,Swayze Waters kicks off to the Ham5. Brandon Banks return for 21 yards to Ham26. Tackled by Jermaine Gabriel.,11,24
00:08,1,Pass,8,Henry Burris pass to Bakari Grant for 8 yards to the Ham34. Tackled by Marcus Ball.,11,24
15:00,2,Rush,3,C.J. Gable rush for 3 yards to the Ham37. Tackled by Neiko Thorpe.,11,24
14:20,1,Pass,26,Henry Burris pass to Andy Fantuz for 26 yards to the Tor47. Tackled by Jalil Carter.,11,24
13:35,1,Rush,4,C.J. Gable rush for 4 yards to the Tor43. Tackled by Cleyon Laing.,11,24
