Time,Down,Type,Yards,Details,Montreal,Hamilton
06:57,3,Rush,-4,C.J. Gable rush for a loss of 4 yards to the Mtl6. Tackled by Chip Cox.,2,0
06:05,1,Pass,9,Troy Smith pass to S.J. Green for 9 yards to the Mtl15. Tackled by Evan McCollough.,2,0
05:54,2,Rush,17,Tyrell Sutton rush for 17 yards to the Mtl32. Tackled by Jamall Johnson.,2,0
05:31,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter defensed by Delvin Breaux.,2,0
04:53,2,Pass,15,Troy Smith pass to Arland Bruce for 15 yards to the Mtl47. Tackled by Evan McCollough.,2,0
04:31,1,Pass,6,Troy Smith pass to Tyrell Sutton for 6 yards to the Mtl53. Tackled by Simoni Lawrence.,2,0
03:55,2,Pass,2,Troy Smith pass to Tyrell Sutton for 2 yards to the Mtl55. Tackled by Simoni Lawrence.,2,0
03:05,3,Holding,-8,Burke Dales punts for 26 yards to Ham29. Brandon Banks return for 2 yards to Ham31. Penalty: Holding on Hamilton (Jamall Johnson) -10 yards.,2,0
02:29,1,Pass,20,Henry Burris pass to Samuel Giguere for 20 yards to the Ham41. Tackled by Chip Cox.,2,0
02:14,1,Pass,8,Henry Burris pass to Onrea Jones for 8 yards to the Ham49. Tackled by Moton Hopkins.,2,0
01:51,2,Rush,-4,Brandon Banks rush for a loss of 4 yards to the Ham45. Tackled by Jerald Brown.,2,0
01:32,3,Punt,0,Josh Bartel punts for 55 yards to Mtl10. No return.,2,0
01:19,1,Rush,21,Tyrell Sutton rush for 21 yards to the Mtl31. Tackled by Eric Norwood.,2,0
01:11,1,Rush,4,Tyrell Sutton rush for 4 yards to the Mtl35. Tackled by Jamall Johnson.,2,0
00:49,2,Rush,4,Tyrell Sutton rush for 4 yards to the Mtl39. Tackled by Eric Norwood.,2,0
00:25,0,Blocked Punt,-25,FUMBLE Punt blocked by Neil King.  Recovered by Mtl (Burke Dales),2,0
15:00,0,Kickoff,14,Sean Whyte kicks off to the Ham35. Onrea Jones return for 14 yards to Ham49. Tackled by Michael Klassen.,2,0
14:54,1,Pass,20,Henry Burris pass to Bakari Grant for 20 yards to the Mtl41. Tackled by Geoff Tisdale.,2,0
14:29,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz defensed by Billy Parker.,2,0
13:51,2,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,2,0
13:31,3,Missed Field Goal,41,56 yard field goal attempt by Luca Congi is NO GOOD.  Missed field goal returned by Duron Carter to the Mtl26. Tackled by  .,2,0
12:55,1,Fumble,-4,"Arland Bruce rush for a loss of 4 yards to the Mtl22. FUMBLE, recovered by Ham (Rico Murray).",2,0
12:44,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Onrea Jones.,2,0
12:26,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,2,0
11:45,3,Missed Field Goal,29,Luca Congi 29 yard field goal attempt is GOOD.,2,3
11:45,1,Rush,2,Tyrell Sutton rush for 2 yards to the Mtl37. Tackled by Eric Norwood.,2,3
11:24,2,Fumble,30,"Troy Smith pass to Bo Bowling for 26 yards to the Ham47. FUMBLE, recovered by Ham (Evan McCollough) and returned for 4 yards. Tackled by Duron Carter.",2,3
10:48,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson defensed by Marc-Olivier Brouillette.,2,3
10:26,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,2,3
10:01,3,Punt,0,Josh Bartel punts for 40 yards to Mtl19. No return.,2,3
09:51,1,Rush,1,Tyrell Sutton rush for 1 yard to the Mtl20. Tackled by Brandon Isaac.,2,3
09:28,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Bo Bowling.,2,3
08:51,3,Punt,11,Burke Dales punts for 22 yards to Mtl42. Brandon Banks return for 11 yards to Mtl31. Tackled by Brandon London.,2,3
08:25,1,Rush,3,Dan LeFevour rush for 3 yards to the Mtl28. Tackled by Winston Venable.,2,3
08:02,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,2,3
06:57,3,Missed Field Goal,35,Luca Congi 35 yard field goal attempt is GOOD.,2,6
06:57,1,Pass,19,Troy Smith pass to S.J. Green for 19 yards to the Mtl54. Tackled by Jamall Johnson.,2,6
06:36,1,Face Mask,16,Tyrell Sutton rush for 1 yard to the Mtl55. Tackled by Marcellus Bowman. Penalty: Face Mask on Hamilton (Simoni Lawrence) 15 yards.,2,6
05:51,1,Rush,11,Tyrell Sutton rush for 11 yards to the Ham29. Tackled by Eric Norwood.,2,6
04:33,1,Pass,29,Troy Smith pass to Duron Carter for 29 yards for a TOUCHDOWN.,8,6
04:12,0,Made Extra Point,0,Sean Whyte extra point is good.,9,6
04:12,0,Kickoff,11,Sean Whyte kicks off to the Ham38. Arnaud Gascon-Nadon return for 11 yards to Ham49. Tackled by Nicolas Boulay.,9,6
04:05,1,Pass,6,Henry Burris pass to Samuel Giguere for 6 yards to the Ham55. Tackled by Chip Cox.,9,6
03:42,2,Pass,4,Henry Burris pass to Bakari Grant for 4 yards to the Mtl51. Tackled by Geoff Tisdale.,9,6
02:52,3,Rush,3,Dan LeFevour rush for 3 yards to the Mtl48. Tackled by Moton Hopkins.,9,6
02:23,1,Pass,13,Henry Burris pass to Samuel Giguere for 13 yards to the Mtl35. Tackled by Chip Cox.,9,6
01:36,1,Incomplete Pass,0,Dave Stala incomplete pass intended for Andy Fantuz defensed by Marc-Olivier Brouillette.,9,6
01:09,2,Interception,3,Henry Burris pass intended for Greg Ellingson INTERCEPTED by Winston Venable and returned for 3 yards. Tackled by Greg Ellingson.,9,6
00:44,1,Rush,2,Tyrell Sutton rush for 2 yards to the Mtl15. Tackled by Simoni Lawrence.,9,6
00:13,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green defensed by Delvin Breaux.,9,6
15:00,3,Punt,13,Burke Dales punts for 65 yards to Ham30. Brandon Banks return for 13 yards to Ham43. Tackled by Jerod Zaleski.,9,6
14:32,1,Rush,2,Dan LeFevour rush for 2 yards to the Ham45. Tackled by Michael Klassen.,9,6
14:11,2,Pass,3,Henry Burris pass to Greg Ellingson for 3 yards to the Ham48. Tackled by Billy Parker.,9,6
13:29,3,Punt,8,Josh Bartel punts for 26 yards to Mtl36. Arland Bruce return for 8 yards to Mtl44. Tackled by Marc Beswick.,9,6
13:17,1,Rush,7,Arland Bruce rush for 7 yards to the Mtl51. Tackled by Simoni Lawrence.,9,6
12:55,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,9,6
12:29,3,Punt,12,Burke Dales punts for 48 yards to Ham11. Onrea Jones return for 12 yards to Ham23. Tackled by Nicolas Boulay.,9,6
12:07,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere.,9,6
11:55,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,9,6
11:29,3,Punt,2,Josh Bartel punts for 31 yards to Ham54. Bo Bowling return for 2 yards to Ham52. Tackled by Rico Murray.,9,6
11:20,1,Rush,7,Tyrell Sutton rush for 7 yards to the Ham45. Tackled by Eric Norwood.,9,6
10:59,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,9,6
09:52,3,Punt Single,0,Burke Dales punts for 52 yards to Ham0. No return (Single).,10,6
09:52,1,Rush,9,Dan LeFevour rush for 9 yards to the Ham44. Tackled by Chip Cox.,10,6
09:31,2,Rush,2,Dan LeFevour rush for 2 yards to the Ham46. Tackled by Aaron Lavarias.,10,6
08:52,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Brandon Banks.,10,6
08:15,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Bakari Grant defensed by Geoff Tisdale.,10,6
07:54,3,Punt,0,Josh Bartel punts for 14 yards to Mtl50. No return.,10,6
07:48,1,Rush,10,Tyrell Sutton rush for 10 yards to the Ham50. Tackled by Brian Bulcke.,10,6
07:25,1,Rush,0,Tyrell Sutton rush for no gain to the Ham50. Tackled by Brandon Boudreaux.,10,6
06:39,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Tyrell Sutton defensed by Rico Murray.,10,6
05:58,3,Punt,0,Burke Dales punts for 37 yards to Ham13. No return.,10,6
05:32,1,Pass,8,Henry Burris pass to Andy Fantuz for 8 yards to the Ham21. Tackled by Shea Emry.,10,6
05:09,2,Rush,5,Dan LeFevour rush for 5 yards to the Ham26. Tackled by John Bowman.,10,6
04:36,1,Pass,10,Henry Burris pass to Greg Ellingson for 10 yards to the Ham36. Tackled by Ed Gainey.,10,6
03:54,1,Pass,18,Dan LeFevour pass to Brandon Banks for 18 yards to the Ham54. Tackled by Chip Cox.,10,6
03:35,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for C.J. Gable.,10,6
02:54,2,Pass,10,Henry Burris pass to Greg Ellingson for 10 yards to the Mtl46. Tackled by Billy Parker.,10,6
02:43,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,10,6
02:33,2,Pass,12,Henry Burris pass to Andy Fantuz for 12 yards to the Mtl34. Tackled by Marc-Olivier Brouillette.,10,6
02:27,1,Pass,10,Henry Burris pass to Samuel Giguere for 10 yards to the Mtl24. Tackled by Ed Gainey.,10,6
02:04,2,Rush,2,Dan LeFevour rush for 2 yards to the Mtl22. Tackled by Moton Hopkins.,10,6
01:50,1,Pass,5,Henry Burris pass to Andy Fantuz for 5 yards to the Mtl17. Tackled by Jerald Brown.,10,6
01:04,2,Pass,17,Henry Burris pass to C.J. Gable for 17 yards for a TOUCHDOWN.,10,12
01:04,0,Made Extra Point,0,Luca Congi extra point is good.,10,13
01:04,0,Kickoff,1,Luca Congi kicks off to the Mtl42. Bo Bowling return for 1 yard to Mtl43. Tackled by Frederic Plesius.,10,13
00:57,1,Rush,8,Troy Smith rush for 8 yards to the Mtl51. Tackled by Brandon Boudreaux.,10,13
00:46,2,Rush,21,Tyrell Sutton rush for 21 yards to the Ham38. Tackled by Brandon Boudreaux.,10,13
00:38,1,Rush,8,Tyrell Sutton rush for 8 yards to the Ham30. Tackled by Jamall Johnson.,10,13
00:26,2,Rush,5,Tyrell Sutton rush for 5 yards to the Ham25. Tackled by Brandon Boudreaux.,10,13
00:10,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,10,13
00:00,2,Missed Field Goal,32,Sean Whyte 32 yard field goal attempt is GOOD.,13,13
00:00,1,Pass,5,Troy Smith pass to S.J. Green for 5 yards to the Ham30.,13,13
00:00,2,Pass,3,Troy Smith pass to Duron Carter for 3 yards to the Ham27. Tackled by Delvin Breaux.,13,13
15:00,3,Missed Field Goal,34,Sean Whyte 34 yard field goal attempt is GOOD.,16,13
00:00,1,Pass,9,Henry Burris pass to Greg Ellingson for 9 yards to the Mtl26. Tackled by Marc-Olivier Brouillette.,16,13
00:00,2,Rush,1,Dan LeFevour rush for 1 yard to the Mtl25. Tackled by Aaron Lavarias.,16,13
00:00,3,Rush,1,Dan LeFevour rush for 1 yard to the Mtl24. Tackled by Moton Hopkins.,16,13
00:00,1,Pass,9,Henry Burris pass to Andy Fantuz for 9 yards to the Mtl15. Tackled by Geoff Tisdale.,16,13
00:00,2,Rush,1,Dan LeFevour rush for 1 yard to the Mtl14. Tackled by John Bowman.,16,13
00:00,3,Rush,1,Dan LeFevour rush for 1 yard to the Mtl13. Tackled by John Bowman.,16,13
00:00,1,Rush,11,Dan LeFevour rush for 11 yards to the Mtl2. Tackled by Aaron Lavarias.,16,13
15:00,1,Rush,2,Dan LeFevour rush for 2 yards for a TOUCHDOWN.,16,19
