Time,Down,Type,Yards,Details,Hamilton,Montreal
01:24,3,Punt,14,Brett Lauther punts for 47 yards to Mtl8. Tyron Carrier return for 14 yards to Mtl22.,26,12
01:10,1,Rush,0,Quinton Porter rush for no gain to the Mtl22. Tackled by Arnaud Gascon-Nadon.,26,12
00:29,2,Sack,-6,Sack at Mtl16 for a loss of 6 yards by Marc-Antoine Fortin.,26,12
00:10,3,Unnecessary Roughness,-1,Sean Whyte punts for 37 yards to Mtl53. Lindsey Lamar return for 14 yards to Mtl39. Tackled by Nicolas Boulay. Penalty: Unnecessary Roughness on Hamilton (Nick Rosamonda) -15 yards.,26,12
15:00,1,Rush,19,Jeremiah Masoli rush for 19 yards to the Mtl35.,26,12
14:37,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Bryn Roy) 15 yards.,26,12
14:18,1,Pass,19,Jeremiah Masoli pass to Lindsey Lamar for 19 yards to the Mtl1. Tackled by Bryn Roy.,26,12
13:37,1,Rush,1,Jeremiah Masoli rush for 1 yard for a TOUCHDOWN.,32,12
13:27,0,Made Extra Point,0,Brett Lauther extra point is good.,33,12
13:27,1,Offside,-5,Penalty: Offside on Hamilton (Nick Rosamonda) -5 yards.,33,12
13:20,0,Kickoff,5,Brett Lauther kicks off to the Mtl26. Duron Carter return for 5 yards to Mtl31. Tackled by Jonathan Beaulieu-Richard.,33,12
13:10,1,Pass,4,Quinton Porter pass to Tyron Carrier for 4 yards to the Mtl35. Tackled by Erik Harris.,33,12
12:02,2,Pass,75,Quinton Porter pass to Kenny Stafford for 75 yards for a TOUCHDOWN.,33,18
11:56,0,Made Extra Point,0,Sean Whyte extra point is good.,33,19
11:56,0,Kickoff,17,Sean Whyte kicks off to the Ham15. Lindsey Lamar return for 17 yards to Ham32. Tackled by Kristian Matte.,33,19
11:45,1,Rush,-2,Lindsey Lamar rush for a loss of 2 yards to the Ham30. Tackled by Aaron Lavarias.,33,19
11:12,2,Pass,19,Jeremiah Masoli pass to Lyle Leong Jr. for 19 yards to the Ham49. Tackled by Ed Gainey.,33,19
10:30,1,Offside,-5,Penalty: Offside on Hamilton (Justin Hilton) -5 yards.,33,19
10:11,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Dave Stala.,33,19
09:53,2,Pass,6,Jeremiah Masoli pass to Lindsey Lamar for 6 yards to the Ham50. Tackled by Kenny Ingram.,33,19
09:05,3,No Yards,27,Brett Lauther punts for 42 yards to Mtl18. Penalty: No Yards on Hamilton (Emanuel Davis) -15 yards.,33,19
08:40,1,Incomplete Pass,0,Quinton Porter incomplete pass intended for Kenny Stafford.,33,19
08:32,2,Rush,10,Quinton Porter rush for 10 yards to the Mtl43. Tackled by Donavan Robinson.,33,19
07:45,1,Incomplete Pass,0,Quinton Porter incomplete pass intended for Kenny Stafford defensed by Ricardo Colclough.,33,19
07:29,2,Rush,9,Quinton Porter rush for 9 yards to the Mtl52. Tackled by C.J. Gable.,33,19
06:35,3,Rush,1,Quinton Porter rush for 1 yard to the Mtl53. Tackled by Eze Obiora.,33,19
06:16,1,Incomplete Pass,0,Quinton Porter incomplete pass intended for Kenny Stafford.,33,19
06:01,2,Pass,19,Quinton Porter pass to Ezra Millington for 19 yards to the Ham38. Tackled by Mike Daly.,33,19
05:19,1,Rush,18,Quinton Porter rush for 18 yards to the Ham20.,33,19
04:26,1,Pass,20,Quinton Porter pass to Tyron Carrier for 20 yards for a TOUCHDOWN.,33,25
04:15,0,Made Extra Point,0,Sean Whyte extra point is good.,33,26
04:15,0,Kickoff,23,Sean Whyte kicks off to the Ham12. Lindsey Lamar return for 23 yards to Ham35. Tackled by Bo Adebayo.,33,26
04:09,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass defensed by Ed Gainey.,33,26
03:50,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Justin Hilton.,33,26
03:31,3,No Yards,33,Brett Lauther punts for 38 yards to Mtl37. Penalty: No Yards on Hamilton (Arthur Hobbs) -5 yards.,33,26
03:17,1,Illegal Block,6,Quinton Porter pass to Tyron Carrier for 16 yards to the Ham52. Tackled by Mike Daly. Penalty: Illegal Block on Montreal (Duron Carter) -10 yards.,33,26
02:52,1,Incomplete Pass,0,Quinton Porter incomplete pass intended for Kenny Stafford.,33,26
02:37,2,Incomplete Pass,0,Quinton Porter incomplete pass intended for D.L. Moore.,33,26
02:30,3,Punt,4,Sean Whyte punts for 37 yards to Ham25. Lindsey Lamar return for 4 yards to Ham29. Tackled by Jordan Verdone.,33,26
02:19,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Simon Le Marquand.,33,26
02:14,2,Pass,17,Jeremiah Masoli pass to Simon Charbonneau-Campeau for 17 yards to the Ham46. Tackled by Kenny Ingram.,33,26
02:09,1,Offside,5,Penalty: Offside on Montreal (Michael Parker) 5 yards.,33,26
01:56,1,Rush,0,Lindsey Lamar rush for no gain to the Ham51. Tackled by Nicolas Boulay.,33,26
01:46,2,Pass,21,Jeremiah Masoli pass to Lindsey Lamar for 21 yards to the Mtl38. Tackled by Michael Carter.,33,26
01:20,1,Sack,-5,Sack at Mtl43 for a loss of 5 yards by Mike Lockley.,33,26
01:01,2,Incomplete Pass,0,Jeremiah Masoli incomplete pass defensed by Ed Gainey.,33,26
00:59,3,Time Count,-10,Penalty: Time Count on Hamilton -10 yards.,33,26
00:59,3,Punt,12,Brett Lauther punts for 48 yards to Mtl5. C.J. Washington return for 12 yards to Mtl17. Tackled by Jonathan Beaulieu-Richard.,33,26
00:49,1,Incomplete Pass,0,Quinton Porter incomplete pass intended for Ezra Millington.,33,26
00:44,2,Pass,14,Quinton Porter pass to D.L. Moore for 14 yards to the Mtl31. Tackled by Emanuel Davis.,33,26
00:35,1,Pass,9,Quinton Porter pass to Tyron Carrier for 9 yards to the Mtl40. Tackled by Erik Harris.,33,26
00:19,2,Pass,21,Quinton Porter pass to Tyron Carrier for 21 yards to the Ham49. Tackled by Donavan Robinson.,33,26
00:09,1,Interception,9,Quinton Porter pass INTERCEPTED by Erik Harris and returned for 9 yards. Tackled by Kristian Matte.,33,26
